#Résultats bruts de l'abondance de mutation du gène FLT3 selon la feature isDenovo, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.000345 avec le test Mann-Whitney U
  Abundance   TotalKmers  NormalizedExpression isDenovo
  20.172414 7.548975e+09              2.672206    FALSE
  22.965517 9.399235e+09              2.443339     TRUE
  21.931034 9.386605e+09              2.336418    FALSE
  12.413793 7.153630e+09              1.735314    FALSE
  15.793103 7.843750e+09              2.013463     TRUE
  14.275862 1.312078e+10              1.088034    FALSE
 445.310345 9.754595e+09             45.651342    FALSE
 449.310345 7.843750e+09             57.282592     TRUE
  82.862069 8.174919e+09             10.136133     TRUE
  39.310345 8.340798e+09              4.713020     TRUE
 402.827586 7.814987e+09             51.545524     TRUE
  14.241379 6.313854e+09              2.255576     TRUE
  56.344828 8.901559e+09              6.329771     TRUE
  13.034483 4.938896e+09              2.639149     TRUE
  27.034483 1.312078e+10              2.060432    FALSE
  20.482759 1.199207e+10              1.708026    FALSE
  94.172414 8.566528e+09             10.993067     TRUE
  10.241379 9.745327e+09              1.050902     TRUE
  45.310345 4.579619e+09              9.893911     TRUE
 296.346154 1.182556e+10             25.059806     TRUE
2684.115385 1.056111e+10            254.150872    FALSE
  68.923077 5.938861e+09             11.605437    FALSE
 163.423077 7.091594e+09             23.044618    FALSE
 502.153846 7.004248e+09             71.692756     TRUE
 354.769231 6.979146e+09             50.832756     TRUE
  10.923077 8.167692e+09              1.337352     TRUE
  42.615385 9.386605e+09              4.540021    FALSE
 114.653846 9.990793e+09             11.475950    FALSE
 124.500000 8.901559e+09             13.986314     TRUE
  70.000000 1.257424e+10              5.566936     TRUE
 186.384615 1.344911e+10             13.858508    FALSE
  12.923077 9.754595e+09              1.324819    FALSE
 171.423077 4.579619e+09             37.431730     TRUE
  14.428571 1.142118e+10              1.263317    FALSE
 120.965517 6.572317e+09             18.405307     TRUE
 291.931034 8.531157e+09             34.219395     TRUE
  13.896552 7.192489e+09              1.932092    FALSE
 445.862069 6.313854e+09             70.616471     TRUE
  24.586207 9.576597e+09              2.567322    FALSE
  11.827586 7.153630e+09              1.653369    FALSE
2279.724138 8.923147e+09            255.484317     TRUE
 144.206897 6.572317e+09             21.941560     TRUE
  23.068966 7.192489e+09              3.207369    FALSE
  11.758621 7.726760e+09              1.521805     TRUE
 448.586207 1.142118e+10             39.276703    FALSE
  13.896552 1.312078e+10              1.059125    FALSE
 188.172414 5.742223e+09             32.769958    FALSE
 603.965517 5.411534e+09            111.607083    FALSE
  42.241379 7.192489e+09              5.872985    FALSE
 121.862069 6.648606e+09             18.328965    FALSE
 220.000000 6.436533e+09             34.179889     TRUE
 164.310345 7.888831e+09             20.828224    FALSE
 746.413793 9.253249e+09             80.665053    FALSE
 712.689655 8.542809e+09             83.425678    FALSE
  13.896552 1.312078e+10              1.059125    FALSE
  84.310345 8.260289e+09             10.206707     TRUE
  80.448276 8.901402e+09              9.037709     TRUE
  18.172414 1.199207e+10              1.515370    FALSE
 325.931034 1.264142e+10             25.782792    FALSE
  13.586207 9.820734e+09              1.383421     TRUE
 131.896552 1.249729e+10             10.554012     TRUE
 335.379310 6.572317e+09             51.029080     TRUE
 319.172414 6.520492e+09             48.949128    FALSE
  48.206897 5.742223e+09              8.395162    FALSE
1391.482759 7.171245e+09            194.036426    FALSE
  63.310345 7.958003e+09              7.955557     TRUE
 666.413793 1.419232e+10             46.955934     TRUE
 528.862069 7.068893e+09             74.815401    FALSE
