#Résultats bruts de l'abondance de mutation du gène PTPN11 selon la feature consensus_sex, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.030128 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression consensus_sex
200.241379 8.755676e+09             22.869893          Male
 10.689655 1.098682e+10              0.972953          Male
 74.413793 6.907665e+09             10.772641        Female
 19.655172 5.670167e+09              3.466418          Male
 23.344828 8.738938e+09              2.671358        Female
116.068966 6.960387e+09             16.675649          Male
 13.896552 6.971020e+09              1.993475          Male
 18.172414 5.697277e+09              3.189666          Male
105.586207 8.864156e+09             11.911591          Male
 43.448276 7.882991e+09              5.511648        Female
 14.965517 7.373008e+09              2.029771          Male
186.000000 8.025251e+09             23.176845        Female
 30.206897 1.185453e+10              2.548131        Female
 48.862069 1.227116e+10              3.981862        Female
 23.827586 6.152350e+09              3.872925        Female
 14.965517 7.451200e+09              2.008471        Female
 12.827586 7.766620e+09              1.651630        Female
192.413793 9.771467e+09             19.691393        Female
 53.241379 9.273773e+09              5.741070        Female
 12.827586 9.872869e+09              1.299276          Male
 10.689655 8.063055e+09              1.325757          Male
 20.310345 7.726760e+09              2.628572          Male
 23.517241 1.126676e+10              2.087312          Male
 14.965517 9.148745e+09              1.635800        Female
 29.620690 1.137375e+10              2.604303          Male
 31.379310 9.682106e+09              3.240959          Male
 95.827586 8.776193e+09             10.919038        Female
125.068966 7.670495e+09             16.305201        Female
 45.965517 5.835413e+09              7.876994        Female
 37.689655 7.145735e+09              5.274427        Female
 27.793103 7.811765e+09              3.557852          Male
 34.206897 8.472738e+09              4.037290          Male
 26.172414 8.512059e+09              3.074745          Male
 36.103448 7.820031e+09              4.616791          Male
 14.965517 1.142118e+10              1.310330        Female
 14.965517 5.697277e+09              2.626784          Male
 83.000000 8.074296e+09             10.279533        Female
222.103448 1.130116e+10             19.653158          Male
229.862069 1.285754e+10             17.877605        Female
 90.965517 7.489154e+09             12.146301        Female
 94.827586 6.832622e+09             13.878652        Female
112.379310 8.919518e+09             12.599258        Female
100.655172 6.590222e+09             15.273412        Female
 13.827586 6.971020e+09              1.983581          Male
 10.689655 6.421663e+09              1.664624          Male
