#Résultats bruts de l'abondance de mutation du gène TET2 selon la feature consensus_sex, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.016850 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression consensus_sex
103.896552 7.460806e+09             13.925648        Female
 77.137931 7.301011e+09             10.565376          Male
580.482759 1.121204e+10             51.773156        Female
166.333333 7.970342e+09             20.869032        Female
114.655172 9.399235e+09             12.198351        Female
131.862069 9.386605e+09             14.047898        Female
 82.310345 9.872869e+09              8.337024          Male
169.586207 9.754595e+09             17.385264        Female
119.448276 6.844100e+09             17.452737          Male
135.275862 1.246479e+10             10.852639        Female
 13.896552 5.578305e+09              2.491178        Female
 24.137931 5.670167e+09              4.257005          Male
 23.517241 6.675530e+09              3.522902          Male
 18.172414 6.245514e+09              2.909675          Male
 16.896552 5.989376e+09              2.821087          Male
 11.758621 8.914914e+09              1.318983        Female
 40.482759 8.897694e+09              4.549804          Male
 47.068966 8.954176e+09              5.256650        Female
 35.275862 6.623609e+09              5.325777          Male
 11.758621 6.145850e+09              1.913262          Male
 59.344828 1.089831e+10              5.445324        Female
 23.517241 9.686832e+09              2.427754        Female
 69.448276 1.219810e+10              5.693368          Male
 32.068966 8.030638e+09              3.993327          Male
 38.034483 1.285754e+10              2.958146        Female
 46.142857 9.022035e+09              5.114462          Male
199.551724 8.843945e+09             22.563655        Female
 31.827586 8.738210e+09              3.642346          Male
 11.758621 7.467501e+09              1.574639        Female
 53.137931 1.293085e+10              4.109393          Male
 20.517241 1.056111e+10              1.942716          Male
 15.551724 7.004248e+09              2.220327          Male
 33.137931 7.548975e+09              4.389726        Female
 47.655172 9.036584e+09              5.273583          Male
 83.379310 1.208175e+10              6.901261        Female
 41.172414 8.673760e+09              4.746778        Female
 72.310345 8.002611e+09              9.035844        Female
 11.758621 1.104851e+10              1.064272          Male
 62.206897 1.233472e+10              5.043237          Male
 30.896552 1.179849e+10              2.618686          Male
118.259259 5.429623e+09             21.780382          Male
 61.448276 5.786196e+09             10.619806          Male
 50.034483 6.033548e+09              8.292713          Male
 54.689655 6.572317e+09              8.321213        Female
 61.241379 6.544644e+09              9.357481          Male
 77.275862 6.827333e+09             11.318602          Male
 81.862069 6.313854e+09             12.965468          Male
 35.275862 8.150876e+09              4.327861          Male
 63.586207 7.646813e+09              8.315386          Male
 77.551724 8.115899e+09              9.555531        Female
 64.931034 1.269244e+10              5.115726        Female
 44.965517 5.578305e+09              8.060785        Female
105.000000 5.670167e+09             18.517972          Male
 91.206897 6.675530e+09             13.662869          Male
103.586207 6.245514e+09             16.585698          Male
 42.931034 5.989376e+09              7.167864          Male
 91.379310 8.914914e+09             10.250161        Female
 68.965517 8.897694e+09              7.750943          Male
 12.862069 3.358283e+09              3.829954          Male
129.448276 8.954176e+09             14.456749        Female
 18.172414 6.623609e+09              2.743582          Male
 24.586207 6.145850e+09              4.000457          Male
162.758621 1.089831e+10             14.934300        Female
 65.310345 9.686832e+09              6.742178        Female
143.034483 1.219810e+10             11.725963          Male
 32.068966 8.030638e+09              3.993327          Male
 78.517241 1.285754e+10              6.106707        Female
 17.275862 7.430744e+09              2.324917        Female
120.965517 9.737213e+09             12.423012        Female
 15.896552 8.141680e+09              1.952490          Male
 24.068966 1.098682e+10              2.190713          Male
 34.172414 6.204715e+09              5.507491          Male
151.620690 1.086433e+10             13.955822          Male
 58.724138 7.145132e+09              8.218762        Female
 15.896552 9.682106e+09              1.641848          Male
 14.965517 7.328424e+09              2.042119          Male
 55.482759 6.217670e+09              8.923400          Male
135.586207 7.970342e+09             17.011340        Female
104.034483 9.245606e+09             11.252316          Male
 11.758621 6.907665e+09              1.702257        Female
 30.896552 6.829888e+09              4.523728          Male
 10.068966 8.350758e+09              1.205755          Male
 33.137931 9.483174e+09              3.494392        Female
 12.655172 5.742223e+09              2.203880        Female
 52.379310 8.531157e+09              6.139766        Female
 17.344828 8.812339e+09              1.968243          Male
 43.827586 7.670495e+09              5.713788        Female
 84.931034 8.714912e+09              9.745484        Female
 23.896552 6.911803e+09              3.457354          Male
 36.517241 9.492673e+09              3.846887          Male
 63.137931 1.143744e+10              5.520286          Male
 76.000000 1.056111e+10              7.196213          Male
 18.172414 5.860219e+09              3.100979        Female
 23.827586 6.703878e+09              3.554299          Male
 43.482759 8.340798e+09              5.213261          Male
 17.103448 8.011331e+09              2.134907        Female
 61.862069 6.152350e+09             10.055032        Female
 39.862069 8.617071e+09              4.625942        Female
 38.482759 8.579946e+09              4.485198          Male
 17.103448 7.958003e+09              2.149214          Male
 39.620690 7.232959e+09              5.477798        Female
 49.310345 5.670167e+09              8.696453          Male
 58.896552 6.124994e+09              9.615773        Female
 16.758621 7.278233e+09              2.302567          Male
 19.241379 7.132607e+09              2.697664          Male
 51.827586 7.355166e+09              7.046420          Male
 11.379310 1.245375e+10              0.913725        Female
 60.827586 1.428796e+10              4.257262          Male
 26.724138 4.588512e+09              5.824140          Male
 25.620690 9.008421e+09              2.844082          Male
 11.758621 7.588827e+09              1.549465          Male
 18.206897 5.350324e+09              3.402952          Male
179.724138 1.419232e+10             12.663476        Female
 20.896552 9.053483e+09              2.308123        Female
 58.896552 7.068893e+09              8.331793          Male
 52.620690 9.554830e+09              5.507235        Female
129.896552 1.121204e+10             11.585451        Female
 40.620690 7.192489e+09              5.647654          Male
 28.310345 6.968782e+09              4.062452          Male
 27.793103 1.066532e+10              2.605931        Female
