#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature totalDrug, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.000868 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression totalDrug
 22.448276 8.352852e+09              2.687498         y
 16.034483 5.760585e+09              2.783482         y
342.586207 8.362410e+09             40.967402         n
 77.586207 4.643957e+09             16.706919         n
 26.827586 7.978464e+09              3.362500         y
376.275862 9.789722e+09             38.435808         y
 32.000000 5.872176e+09              5.449428         y
139.448276 5.816476e+09             23.974702         y
484.137931 1.312078e+10             36.898553         y
369.620690 1.199207e+10             30.822099         y
516.620690 8.747321e+09             59.060449         n
125.482759 6.058733e+09             20.711057         y
 52.620690 7.093041e+09              7.418636         n
144.689655 7.200373e+09             20.094744         y
 17.724138 9.354307e+09              1.894757         y
 76.655172 7.188095e+09             10.664185         y
309.379310 8.617071e+09             35.903069         y
260.551724 1.207313e+10             21.581119         n
198.931034 6.145850e+09             32.368354         y
 12.827586 5.903974e+09              2.172704         y
 84.448276 9.109860e+09              9.269986         n
320.275862 9.745327e+09             32.864556         y
139.793103 6.547884e+09             21.349355         y
224.793103 1.050290e+10             21.402949         y
411.862069 5.350324e+09             76.978908         y
 76.275862 7.276187e+09             10.482944         y
 14.037037 7.646813e+09              1.835672         y
 37.517241 7.974097e+09              4.704889         n
 13.793103 8.472738e+09              1.627939         y
 40.827586 7.839564e+09              5.207890         y
 80.551724 6.065394e+09             13.280543         y
 94.896552 9.697777e+09              9.785392         y
 61.724138 6.763000e+09              9.126739         y
 12.727273 8.909130e+09              1.428565         n
 82.275862 7.467696e+09             11.017570         y
135.827586 1.126770e+10             12.054593         y
124.896552 1.130116e+10             11.051659         y
 46.689655 1.173747e+10              3.977828         y
 45.931034 5.786196e+09              7.938037         y
 19.551724 1.072766e+10              1.822552         n
 65.793103 8.923147e+09              7.373307         y
107.344828 7.232959e+09             14.841067         n
 55.344828 8.140602e+09              6.798616         n
 24.586207 6.109573e+09              4.024210         y
 16.517241 9.682106e+09              1.705955         y
 83.517241 6.551782e+09             12.747256         y
170.137931 9.651607e+09             17.627939         y
162.551724 8.560410e+09             18.988779         n
 18.000000 9.835948e+09              1.830022         n
157.655172 6.065394e+09             25.992569         y
374.000000 9.789722e+09             38.203334         y
 28.862069 7.430744e+09              3.884142         y
 34.206897 8.141680e+09              4.201454         y
612.931034 1.098682e+10             55.787868         n
375.689655 8.693196e+09             43.216518         y
 79.275862 6.204715e+09             12.776712         n
212.206897 1.086433e+10             19.532437         n
367.275862 7.145132e+09             51.402252         y
315.206897 6.572317e+09             47.959780         y
 44.896552 9.682106e+09              4.637064         y
189.482759 7.328424e+09             25.855868         y
105.448276 7.970342e+09             13.230081         y
 95.896552 6.907665e+09             13.882630         n
145.965517 6.829888e+09             21.371583         n
 23.517241 8.350758e+09              2.816180         n
191.827586 9.483174e+09             20.228205         n
138.862069 5.742223e+09             24.182632         y
 22.448276 1.192939e+10              1.881763         n
 46.758621 8.977505e+09              5.208420         y
 40.620690 7.030049e+09              5.778151         y
 23.517241 8.531157e+09              2.756630         n
 44.586207 8.812339e+09              5.059520         n
233.241379 7.670495e+09             30.407604         y
642.586207 1.182556e+10             54.338770         y
 59.241379 7.467501e+09              7.933227         y
209.517241 6.916062e+09             30.294297         y
183.103448 5.751399e+09             31.836332         y
 49.689655 8.714912e+09              5.701682         y
230.241379 5.850998e+09             39.350790         n
 83.413793 9.492673e+09              8.787176         y
 66.379310 5.578305e+09             11.899549         y
182.758621 1.143744e+10             15.978983         y
 67.448276 5.986453e+09             11.266818         y
289.137931 1.056111e+10             27.377607         n
321.655172 5.860219e+09             54.887911         y
 89.586207 6.463916e+09             13.859431         y
225.206897 1.458903e+10             15.436727         y
 50.896552 7.965646e+09              6.389507         y
 70.379310 8.340798e+09              8.437959         n
 55.586207 5.411534e+09             10.271802         y
 73.758621 7.171245e+09             10.285330         y
 22.068966 8.011331e+09              2.754719         y
 37.413793 6.152350e+09              6.081220         y
404.655172 8.617071e+09             46.959710         y
 10.689655 7.978464e+09              1.339814         y
181.793103 8.579946e+09             21.188140         y
161.000000 7.958003e+09             20.231207         n
440.172414 9.070957e+09             48.525464         y
255.275862 7.232959e+09             35.293422         n
115.206897 5.670167e+09             20.318077         y
 91.517241 8.731695e+09             10.481040         y
149.517241 6.124994e+09             24.411003         y
130.724138 7.278233e+09             17.960972         n
134.758621 4.603824e+09             29.271021         y
205.241379 7.132607e+09             28.775086         y
107.965517 7.355166e+09             14.678870         y
543.551724 8.560410e+09             63.495995         n
 47.896552 6.355437e+09              7.536311         y
 44.068966 7.470523e+09              5.899047         n
155.965517 9.344986e+09             16.689754         y
101.206897 6.643900e+09             15.233057         y
282.275862 1.003396e+10             28.132044         y
717.275862 1.428796e+10             50.201420         y
 25.655172 6.109573e+09              4.199176         y
183.827586 6.639299e+09             27.687801         n
648.482759 9.984314e+09             64.950154         y
107.965517 4.588512e+09             23.529526         y
 19.241379 8.754688e+09              2.197837         y
437.724138 8.749191e+09             50.030243         y
103.482759 9.008421e+09             11.487336         y
348.448276 7.588827e+09             45.915960         y
320.862069 5.350324e+09             59.970591         y
 81.896552 7.660982e+09             10.690085         n
273.827586 1.419232e+10             19.294064         y
302.137931 1.234512e+10             24.474280         n
128.068966 9.885019e+09             12.955864         y
 47.034483 9.053483e+09              5.195181         y
 39.275862 7.814987e+09              5.025711         y
377.862069 9.414387e+09             40.136663         y
251.137931 6.590222e+09             38.107661         y
294.413793 7.068893e+09             41.649208         y
189.793103 6.142994e+09             30.895863         y
350.206897 9.554830e+09             36.652343         y
402.517241 7.619020e+09             52.830583         y
379.000000 6.544644e+09             57.909952         y
 54.965517 6.592623e+09              8.337428         n
212.103448 7.192489e+09             29.489576         y
205.482759 7.202073e+09             28.531058         y
 84.827586 8.596962e+09              9.867158         y
 63.068966 6.968782e+09              9.050213         y
 21.827586 5.372527e+09              4.062815         y
250.413793 8.745010e+09             28.635049         y
 96.206897 7.974097e+09             12.064926         n
232.000000 1.207313e+10             19.216222         n
110.137931 6.675530e+09             16.498754         n
245.275862 1.015272e+10             24.158644         y
368.620690 1.192839e+10             30.902816         y
199.758621 6.443114e+09             31.003427         n
134.413793 8.722326e+09             15.410316         n
269.793103 8.101218e+09             33.302784         y
212.620690 7.001288e+09             30.368796         n
141.758621 7.267595e+09             19.505574         y
221.862069 8.933638e+09             24.834459         y
 65.275862 9.470333e+09              6.892668         y
 45.965517 9.250500e+09              4.968976         n
 12.827586 7.196731e+09              1.782419         y
149.655172 6.171712e+09             24.248568         y
146.896552 8.486195e+09             17.310062         y
 90.413793 8.472738e+09             10.671143         y
209.620690 6.827333e+09             30.703159         y
132.068966 7.871317e+09             16.778510         y
 79.206897 8.495132e+09              9.323799         y
 86.034483 5.633341e+09             15.272374         n
133.931034 8.510533e+09             15.737092         y
110.724138 5.835413e+09             18.974515         y
198.551724 6.245514e+09             31.791094         y
 86.068966 6.648606e+09             12.945415         y
187.103448 7.031968e+09             26.607552         y
 24.034483 7.859985e+09              3.057828         y
 14.862069 5.449456e+09              2.727257         y
231.344828 8.873211e+09             26.072279         y
483.758621 7.191314e+09             67.269849         y
 28.137931 9.429462e+09              2.984044         y
 64.931034 3.538080e+09             18.352052         y
 80.344828 9.854434e+09              8.153165         y
500.965517 9.177622e+09             54.585549         n
210.379310 7.726760e+09             27.227363         y
313.482759 1.422772e+10             22.033242         y
 38.241379 8.546911e+09              4.474292         y
 19.241379 8.002611e+09              2.404388         y
