#Boxplots d'expressions du gène CBL en fonction de la feature totalDrug
#Résultat du test statistique Mann-Whitney U : U = 43778.000, p-value = 0.031
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2452       y        5.964653
BA2922       y        6.575608
BA2707       y        6.432897
BA2409       y        6.926931
BA2480       y        6.101486
BA2496       y        6.953448
BA3037       y        6.484129
BA2236       y        6.430955
BA2172       y        6.030673
BA2865       y        6.007604
BA2923       y        7.338908
BA2003       y        5.586828
BA2751       y        6.316752
BA3395       y        7.048512
BA2286       y        6.455051
BA2488       y        6.480131
BA3379       y        6.508048
BA2887       y        6.974502
BA2712       y        6.928331
BA2858       y        5.644613
BA2068       y        5.454892
BA2104       y        7.232160
BA3124       n        6.218877
BA2921       y        5.825803
BA2449       y        5.722908
BA2360       y        6.299624
BA2802       y        6.442273
BA2235       y        6.790387
BA3038       y        6.896450
BA3006       y        5.823924
BA2245       y        6.050256
BA2667       y        6.718954
BA2239       y        6.935583
BA2782       n        6.891184
BA2649       y        6.169930
BA2592       y        4.920744
BA2861       y        6.649664
BA2134       y        6.599996
BA2909       y        7.482761
BA2429       n        6.242272
BA2653       n        5.004480
BA2947       y        6.022867
BA2032       y        6.089233
BA2162       y        6.843353
BA2564       n        6.645189
BA2597       y        3.800760
BA3243       y        6.991755
BA2106       y        5.347945
BA2939       y        6.101902
BA2427       n        5.879657
BA2841       n        4.580485
BA2446       y        7.149214
BA2025       y        7.162152
BA2645       y        5.597759
BA2525       y        5.286488
BA2876       n        5.730142
BA2357       y        6.133757
BA2546       y        6.732223
BA2742       y        6.118865
BA2316       n        6.737459
BA2421       y        6.788651
BA2087       y        7.026980
BA2910       y        6.213169
BA2148       y        6.367428
BA2329       y        6.694087
BA2677       y        6.332801
BA3178       n        7.253585
BA2072       y        6.700265
BA3029       n        5.227843
BA2735       y        6.400255
BA2733       n        5.733627
BA2995       y        5.196287
BA2069       y        6.809028
BA2100       y        5.892417
BA2953       y        5.164632
BA2681       n        5.318292
BA2248       n        5.720235
BA2832       y        7.036239
BA2308       y        6.504470
BA2413       y        6.133757
BA2701       y        6.819477
BA2634       y        6.803645
BA2937       y        6.535435
BA2600       n        6.351173
BA2019       n        3.956823
BA2412       y        7.218781
BA2334       y        6.496509
BA2050       y        6.185072
BA3230       y        6.625214
BA2481       y        5.915548
BA2731       y        6.758313
BA2418       n        5.657890
BA2294       y        6.630588
BA2816       n        5.856159
BA2814       y        7.206357
BA2631       y        6.399263
BA2023       n        6.813949
BA2375       n        6.651878
BA2485       n        6.115037
BA2455       n        7.169536
BA2636       y        6.276035
BA2325       y        6.772460
BA2169       n        5.581590
BA2156       y        6.312054
BA2511       y        5.302337
BA2168       y        5.729035
BA2505       n        7.048512
BA2860       n        6.339185
BA2871       n        5.792436
BA2655       n        5.281772
BA2227       n        5.128770
BA2812       y        6.614332
BA2125       n        6.620335
BA2603       y        6.586235
BA2808       n        6.455522
BA2282       n        6.425302
BA2482       y        6.755426
BA2822       y        6.718954
BA2594       y        6.585716
BA2747       y        5.651392
BA2561       n        5.577842
BA2094       n        6.944901
BA2567       n        6.150174
BA2906       n        6.347374
BA2956       y        5.828595
BA2474       y        6.297814
BA2065       y        6.655723
BA2737       y        7.018474
BA2463       y        5.692956
BA2110       y        6.643584
