#Boxplots d'expressions du gène IDH2 en fonction de la feature mostRecentTreatmentType
#Résultat du test statistique ANOVA : F = 2.832, p-value = 0.004
#Tableau des résultats :
Sample                                Feature  ExpressionGene
BA2452                  Standard Chemotherapy        9.092308
BA2922 Targeted Therapy - Kinase Inhibitor(s)        8.464310
BA2707                  Standard Chemotherapy        8.666892
BA2409                 Bone Marrow Transplant        6.828514
BA2480                  Standard Chemotherapy        8.399605
BA2496                  Standard Chemotherapy        8.283115
BA3037                 Bone Marrow Transplant        8.037222
BA2236                  Standard Chemotherapy        8.192116
BA2172                                   NONE        9.304857
BA2865                 Bone Marrow Transplant        7.789593
BA2923             Supportive/Palliative Care        7.826881
BA2003                  Standard Chemotherapy        7.848834
BA2751                                   NONE        8.187964
BA3395                  Standard Chemotherapy        8.406646
BA2286                  Standard Chemotherapy        8.481590
BA2488                  Standard Chemotherapy        7.926997
BA3379                 Bone Marrow Transplant        8.501602
BA2887                  Standard Chemotherapy        8.796353
BA2712                                   NONE        8.638945
BA2858                  Standard Chemotherapy        8.675379
BA2068                  Standard Chemotherapy        8.322287
BA2104                                   NONE        7.572514
BA3124                 Bone Marrow Transplant        7.547334
BA2921             Supportive/Palliative Care        8.852593
BA2449                  Standard Chemotherapy        9.263352
BA2360                  Standard Chemotherapy        9.077611
BA2802                  Standard Chemotherapy        8.340080
BA2235                  Standard Chemotherapy        7.799569
BA3038                 Bone Marrow Transplant        7.935022
BA3006                 Bone Marrow Transplant        8.150910
BA2245                  Standard Chemotherapy        8.589926
BA2667                                   NONE        8.406646
BA2239                  Standard Chemotherapy        7.479524
BA2782                                   NONE        7.290774
BA2649                  Standard Chemotherapy        8.781082
BA2592 Targeted Therapy - Kinase Inhibitor(s)        8.778046
BA2861                 Bone Marrow Transplant        8.597983
BA2134                  Standard Chemotherapy        7.414970
BA2909                  Standard Chemotherapy        7.356735
BA2429                  Standard Chemotherapy        7.434268
BA2653                  Standard Chemotherapy        8.889785
BA2947                  Standard Chemotherapy        8.226279
BA2032 Targeted Therapy - Kinase Inhibitor(s)        7.755101
BA2162                  Standard Chemotherapy        7.464741
BA2564                  Standard Chemotherapy        8.243017
BA2597                  Standard Chemotherapy        7.852051
BA3243               Targeted Therapy - Other        7.969059
BA2106                  Standard Chemotherapy        8.444819
BA2939                  Standard Chemotherapy        7.725460
BA2427                  Standard Chemotherapy        7.994138
BA2841             Supportive/Palliative Care        9.267456
BA2446             Supportive/Palliative Care        8.521901
BA2025             Supportive/Palliative Care        8.672544
BA2645                 Bone Marrow Transplant        9.144815
BA2525                  Standard Chemotherapy        6.879121
BA2876                  Standard Chemotherapy        7.462610
BA2357                 Bone Marrow Transplant        8.739106
BA2546                  Standard Chemotherapy        8.067061
BA2742                                   NONE        7.800943
BA2316                                   NONE        8.044146
BA2421                  Standard Chemotherapy        8.031971
BA2087                 Bone Marrow Transplant        8.493406
BA2910 Targeted Therapy - Kinase Inhibitor(s)        8.506650
BA2148                  Standard Chemotherapy        7.088211
BA2329                  Standard Chemotherapy        8.009529
BA2677                  Standard Chemotherapy        8.276700
BA3178                  Standard Chemotherapy        8.035502
BA2072                  Standard Chemotherapy        8.532160
BA3029 Targeted Therapy - Kinase Inhibitor(s)        7.699213
BA2735 Targeted Therapy - Kinase Inhibitor(s)        8.019656
BA2733                  Standard Chemotherapy        8.226503
BA2995                  Standard Chemotherapy        8.418461
BA2069                  Standard Chemotherapy        8.655650
BA2100 Targeted Therapy - Kinase Inhibitor(s)        7.637556
BA2953 Targeted Therapy - Kinase Inhibitor(s)        9.037865
BA2681                  Standard Chemotherapy        8.516799
BA2248 Targeted Therapy - Kinase Inhibitor(s)        8.304732
BA2832                  Standard Chemotherapy        8.369512
BA2308                  Standard Chemotherapy        8.266079
BA2413                  Standard Chemotherapy        8.324498
BA2701                 Bone Marrow Transplant        7.603953
BA2634                  Standard Chemotherapy        7.812499
BA2937                 Bone Marrow Transplant        8.230612
BA2600                 Bone Marrow Transplant        8.162543
BA2019                  Standard Chemotherapy        8.733202
BA2412                  Standard Chemotherapy        7.242184
BA2334 Targeted Therapy - Kinase Inhibitor(s)        8.122302
BA2050 Targeted Therapy - Kinase Inhibitor(s)        8.727320
BA3230                  Standard Chemotherapy        8.519348
BA2481                  Standard Chemotherapy        8.411359
BA2731                 Bone Marrow Transplant        7.728095
BA2418                  Standard Chemotherapy        7.837049
BA2294                  Standard Chemotherapy        8.692496
BA2816                 Bone Marrow Transplant        8.272441
BA2814                 Bone Marrow Transplant        8.733202
BA2631                  Standard Chemotherapy        8.037222
BA2023                 Bone Marrow Transplant        7.845671
BA2375                  Standard Chemotherapy        7.841279
BA2485                  Standard Chemotherapy        8.528867
BA2455             Supportive/Palliative Care        7.186441
BA2636                  Standard Chemotherapy        8.255544
BA2325                  Standard Chemotherapy        7.057960
BA2169                  Standard Chemotherapy        8.855777
BA2156                 Bone Marrow Transplant        8.781082
BA2511                  Standard Chemotherapy        7.467841
BA2168                  Standard Chemotherapy        8.298209
BA2505                  Standard Chemotherapy        8.147056
BA2860                  Standard Chemotherapy        8.423216
