#Boxplots d'expressions du gène SRSF2 en fonction de la feature consensusAMLFusions
#Résultat du test statistique ANOVA : F = 2.545, p-value = 0.017
#Tableau des résultats :
Sample       Feature  ExpressionGene
BA2922    DEK-NUP214        9.321759
BA2172      KMT2A_re        8.712713
BA2488      PML-RARA        8.901037
BA2449 RUNX1-RUNX1T1        8.606085
BA3038    CBFB-MYH11        8.608796
BA2649      PML-RARA        9.614385
BA2909 RUNX1-RUNX1T1        8.792052
BA2947 RUNX1-RUNX1T1        9.415200
BA2564    CBFB-MYH11        8.907609
BA3243      PML-RARA        9.045020
BA2427    CBFB-MYH11        9.163984
BA2446   MLLT3-KMT2A        9.473026
BA2025   MLLT3-KMT2A        9.096003
BA2087   MLLT3-KMT2A        8.819807
BA2148    CBFB-MYH11        8.724387
BA3178   MLLT3-KMT2A        8.875016
BA2072    CBFB-MYH11        9.133421
BA2733    CBFB-MYH11        9.226880
BA2069   MLLT3-KMT2A        9.477697
BA2308   GATA2-MECOM        9.758516
BA2413   GATA2-MECOM        9.629756
BA2334    DEK-NUP214        9.564204
BA2050    DEK-NUP214        9.949051
BA2294 RUNX1-RUNX1T1        9.609294
BA2814   MLLT3-KMT2A        9.107139
BA2511   GATA2-MECOM        9.369168
BA2505   GATA2-MECOM        9.391184
BA2282      PML-RARA        9.023649
BA2482    CBFB-MYH11        8.910905
BA2906      KMT2A_re        9.911433
BA2956    CBFB-MYH11        9.905255
BA2737 RUNX1-RUNX1T1        9.809719
BA2463 RUNX1-RUNX1T1        9.526843
BA2992    CBFB-MYH11        9.144815
BA2260    CBFB-MYH11        9.129640
BA2524    CBFB-MYH11        8.988646
BA2811      PML-RARA        9.247042
BA2540   MLLT3-KMT2A        9.045020
BA2928   MLLT3-KMT2A        9.369168
BA2651   MLLT3-KMT2A        8.927488
BA3013      KMT2A_re        9.506014
BA2377   MLLT3-KMT2A        7.838400
BA2095      PML-RARA        9.614385
BA2727   GATA2-MECOM        8.924158
BA2053    CBFB-MYH11        8.715624
BA2354 RUNX1-RUNX1T1        9.036084
BA3145    DEK-NUP214        9.309066
BA2464      PML-RARA        8.855777
BA2541      KMT2A_re        9.048609
BA2143      PML-RARA        9.030742
BA2497      KMT2A_re        8.614232
BA2575    CBFB-MYH11        8.558132
BA2791      PML-RARA        9.614385
BA2709    CBFB-MYH11        8.686769
BA2281      PML-RARA        9.645280
BA2828    CBFB-MYH11        9.063046
BA2952   MLLT3-KMT2A        8.992112
BA2051    CBFB-MYH11        8.884724
BA2532      PML-RARA        8.944245
BA3011      PML-RARA        9.077507
BA2510      KMT2A_re        8.992112
BA2374      PML-RARA        9.676798
BA2031      KMT2A_re        8.606085
BA2066      KMT2A_re        8.901037
BA2304   MLLT3-KMT2A        8.616958
BA2355      KMT2A_re        9.525175
BA2322    CBFB-MYH11        9.160132
BA2121 RUNX1-RUNX1T1        8.924158
BA2944 RUNX1-RUNX1T1        9.238947
BA2978 RUNX1-RUNX1T1        8.401948
BA2587    CBFB-MYH11        9.023649
BA2623    CBFB-MYH11        9.321759
BA2426    CBFB-MYH11        9.030742
BA2786   MLLT3-KMT2A        9.422519
BA2483      KMT2A_re        8.635259
BA3002      KMT2A_re        8.697204
BA2639    CBFB-MYH11        9.427046
BA2501      PML-RARA        9.409015
BA3407      KMT2A_re        9.382342
BA2646      PML-RARA        8.950997
BA2306 RUNX1-RUNX1T1        8.742067
BA2842 RUNX1-RUNX1T1        8.619688
BA2904    CBFB-MYH11        9.137210
BA2234      KMT2A_re        8.971424
BA2022      PML-RARA        9.758516
BA2037   GATA2-MECOM        9.230892
BA2882   MLLT3-KMT2A        8.560755
BA2728   GATA2-MECOM        8.537317
BA2951   GATA2-MECOM        9.148631
BA2584      KMT2A_re       10.047529
BA2047      PML-RARA        9.589095
BA2101    CBFB-MYH11        9.482382
BA2507    CBFB-MYH11        9.880796
BA2500      PML-RARA        9.030742
BA2830    CBFB-MYH11        9.449871
BA2353    CBFB-MYH11        9.242989
BA3118    CBFB-MYH11        9.222877
BA3206 RUNX1-RUNX1T1        9.574114
BA3103    CBFB-MYH11        8.917518
BA3187    CBFB-MYH11        9.275693
BA3098    CBFB-MYH11        9.129640
BA3126      KMT2A_re        8.266079
BA3418   GATA2-MECOM        8.978290
BA3085 RUNX1-RUNX1T1        9.077611
BA3173 RUNX1-RUNX1T1        9.981147
BA3374      KMT2A_re        8.793287
BA3403      KMT2A_re        8.474158
BA3222      KMT2A_re        9.084943
BA3167   MLLT3-KMT2A        8.476631
BA3430   MLLT3-KMT2A        8.387475
BA3384      KMT2A_re        9.179483
BA3449   GATA2-MECOM        9.092308
BA3163   MLLT3-KMT2A        8.529588
BA3158 RUNX1-RUNX1T1        9.559273
BA3162    CBFB-MYH11        8.122302
BA3084      KMT2A_re        9.317517
BA3169      KMT2A_re        8.907609
BA3438      KMT2A_re        9.629756
BA3191    CBFB-MYH11        8.778046
BA3448      KMT2A_re        9.382342
BA3094      KMT2A_re        8.669716
BA3373   GATA2-MECOM        9.321759
BA3319    CBFB-MYH11        8.430380
BA3240      BCR-ABL1        9.081273
BA3264      PML-RARA        9.554357
BA3417      BCR-ABL1        9.234915
BA3213    CBFB-MYH11        9.263352
BA3250    CBFB-MYH11        9.218884
BA3177    CBFB-MYH11        9.477697
BA3182    CBFB-MYH11        8.917518
BA3369    CBFB-MYH11        9.247042
BA3295    CBFB-MYH11        8.768973
BA3283    CBFB-MYH11        9.473026
BA3136      KMT2A_re        9.052206
BA3351      PML-RARA        9.544570
BA3137    CBFB-MYH11        9.063046
BA3249      KMT2A_re        8.889785
