#Boxplots d'expressions du gène KRAS en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 2.856, p-value = 0.036
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2634         mut5        6.491521
   BA2801         mut5        6.758313
   BA2914         mut5        6.564788
   BA3002         mut5        6.948816
   BA2304         mut8        6.340527
   BA2497         mut8        6.207402
   BA3250         mut8        6.722961
   BA3390         mut8        6.715012
   BA3430         mut8        6.659581
   BA3451         mut8        6.379290
   BA2148        mut12        6.921110
   BA2828        mut12        6.426720
   BA2837        mut12        6.935583
   BA3171        mut12        6.395512
   BA3448        mut12        6.304181
   BA3449        mut12        7.127388
   BA2409       NonMut        5.894403
   BA3037       NonMut        6.643048
   BA2496       NonMut        6.082379
   BA2172       NonMut        6.431936
   BA2865       NonMut        5.996055
   BA2923       NonMut        6.160454
   BA2751       NonMut        6.189502
   BA2480       NonMut        5.916376
   BA2286       NonMut        5.850694
   BA2922       NonMut        5.263187
   BA2452       NonMut        5.325945
   BA3379       NonMut        5.481650
   BA2887       NonMut        5.567051
   BA2068       NonMut        5.025864
   BA2236       NonMut        5.546940
   BA2104       NonMut        6.333683
   BA3124       NonMut        5.891244
   BA3395       NonMut        6.057343
   BA2921       NonMut        7.007140
   BA2449       NonMut        6.304181
   BA2003       NonMut        6.549289
   BA2360       NonMut        5.141234
   BA2802       NonMut        6.369305
   BA2235       NonMut        6.480131
   BA2858       NonMut        6.469283
   BA3038       NonMut        6.028967
   BA3006       NonMut        6.368407
   BA2245       NonMut        6.940925
   BA2667       NonMut        5.513104
   BA2239       NonMut        5.745895
   BA2782       NonMut        6.260333
   BA2649       NonMut        6.026575
   BA2488       NonMut        6.141075
   BA2861       NonMut        5.884446
   BA2909       NonMut        6.500025
   BA2429       NonMut        5.936507
   BA2653       NonMut        6.543590
   BA2134       NonMut        6.017047
   BA2947       NonMut        6.029834
   BA2032       NonMut        6.775448
   BA2162       NonMut        6.580287
   BA2564       NonMut        6.125525
   BA2597       NonMut        7.318485
   BA3243       NonMut        6.045681
   BA2106       NonMut        6.486061
   BA2427       NonMut        7.278988
   BA2841       NonMut        6.237998
   BA2446       NonMut        6.132085
   BA2645       NonMut        7.453751
   BA2525       NonMut        7.216211
   BA2876       NonMut        7.148404
