seq_name	BA2040	BA2160	BA2303	BA2353	BA2516	BA2590	BA2647	BA2891	BA2924	BA2971	BA3036	BA3059	BA3073	BA3078	BA3079	BA3083	BA3084	BA3085	BA3087	BA3089	BA3094	BA3095	BA3098	BA3099	BA3103	BA3108	BA3109	BA3110	BA3114	BA3116	BA3117	BA3118	BA3119	BA3123	BA3124	BA3126	BA3128	BA3130	BA3133	BA3135	BA3136	BA3137	BA3138	BA3139	BA3141	BA3142	BA3145	BA3146	BA3149	BA3152	BA3153	BA3154	BA3156	BA3157	BA3158	BA3162	BA3163	BA3164	BA3167	BA3169	BA3171	BA3173	BA3174	BA3175	BA3176	BA3177	BA3178	BA3180	BA3181	BA3182	BA3183	BA3185	BA3186	BA3187	BA3189	BA3190	BA3191	BA3192	BA3194	BA3195	BA3197	BA3199	BA3200	BA3202	BA3203	BA3206	BA3207	BA3208	BA3210	BA3211	BA3212	BA3213	BA3214	BA3216	BA3217	BA3219	BA3221	BA3222	BA3225	BA3226	BA3227	BA3228	BA3229	BA3230	BA3232	BA3234	BA3235	BA3237	BA3240	BA3242	BA3243	BA3245	BA3249	BA3250	BA3251	BA3255	BA3258	BA3260	BA3261	BA3264	BA3266	BA3268	BA3269	BA3270	BA3271	BA3273	BA3275	BA3277	BA3280	BA3283	BA3285	BA3286	BA3289	BA3290	BA3293	BA3295	BA3296	BA3297	BA3299	BA3300	BA3302	BA3305	BA3306	BA3308	BA3310	BA3311	BA3312	BA3315	BA3317	BA3318	BA3319	BA3322	BA3324	BA3325	BA3326	BA3328	BA3329	BA3332	BA3333	BA3334	BA3335	BA3339	BA3341	BA3345	BA3347	BA3351	BA3352	BA3353	BA3357	BA3362	BA3367	BA3369	BA3371	BA3373	BA3374	BA3375	BA3376	BA3379	BA3380	BA3381	BA3384	BA3385	BA3386	BA3388	BA3390	BA3394	BA3395	BA3397	BA3399	BA3400	BA3403	BA3405	BA3406	BA3407	BA3408	BA3410	BA3411	BA3412	BA3413	BA3415	BA3416	BA3417	BA3418	BA3421	BA3422	BA3423	BA3427	BA3430	BA3431	BA3433	BA3434	BA3435	BA3436	BA3438	BA3445	BA3446	BA3447	BA3448	BA3449	BA3450	BA3451	BA3452	BA3453	BA3454
TET2_var163_kmer8.kmer1 ct:1	69	318	0	0	0	96	33	0	0	0	0	0	31	0	0	0	0	99	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	224	0	215	0	0	0	0	0	126	171	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	170	174	0	0	76	0	0	0	0	0	67	75	0	0	0	40	0	198	0	73	0	0	0	0	30	0	0	139	126	0	95	0	0	161	0	0	2	2	75	0	0	0	54	0	0	219	0	0	0	214	0	0	0	0	0	111	0	0	72	0	0	0	161	0	0	0	0	0	0	45	0	0	115	0	0	0	0	181	74	0	0	0	0	117	45	130	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	50	0	0	0	0	0	0	0	0	151	220	0	0	0	41	0	171	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	53	520	0	0	0	404	0	0	0	0	0	0	0	31	0
TET2_var163_kmer13.kmer1 ct:1	69	309	0	0	0	96	34	0	0	0	0	0	31	0	0	0	0	99	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	229	0	215	0	0	0	0	0	128	170	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	170	172	0	0	76	0	0	0	0	0	62	70	0	0	0	40	0	198	0	75	0	0	0	0	30	0	0	139	126	0	102	0	0	161	0	0	2	2	75	0	0	0	57	0	0	224	0	0	0	223	0	0	0	0	0	112	0	0	71	0	0	0	162	0	0	0	0	0	0	45	0	0	115	0	0	0	0	180	76	0	0	0	0	113	45	127	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	50	0	0	0	0	0	0	0	0	143	222	0	0	0	35	0	171	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	53	522	0	0	0	395	0	0	0	0	0	0	0	31	0
TET2_var163_kmer7.kmer1 ct:1	69	318	0	0	0	96	33	0	0	0	0	0	28	0	0	0	0	99	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	221	0	215	0	0	0	0	0	120	167	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	170	174	0	0	76	0	0	0	0	0	67	75	0	0	0	40	0	198	0	73	0	0	0	0	30	0	0	139	122	0	95	0	0	161	0	0	2	2	75	0	0	0	54	0	0	218	0	0	0	214	0	0	0	0	0	111	0	0	72	0	0	0	161	0	0	0	0	0	0	45	0	0	115	0	0	0	0	180	74	0	0	0	0	117	45	130	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	50	0	0	0	0	0	0	0	0	151	220	0	0	0	41	0	171	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	53	517	0	0	0	404	0	0	0	0	0	0	0	31	0
TET2_var163_kmer0.kmer1 ct:1	69	303	0	0	0	96	29	0	0	0	0	0	28	0	0	0	0	95	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	207	0	206	0	0	0	0	0	120	160	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	171	171	0	0	76	0	0	0	0	0	67	68	0	0	0	40	0	198	0	68	0	0	0	0	29	0	0	138	118	0	95	0	0	161	0	0	2	2	70	0	0	0	54	0	0	205	0	0	0	204	0	0	0	0	0	111	0	0	72	0	0	0	149	0	0	0	0	0	0	45	0	0	115	0	0	0	0	169	70	0	0	0	0	117	42	130	0	0	0	0	25	0	0	0	0	2	0	0	0	0	0	2	0	0	0	50	0	0	0	0	0	0	0	0	143	208	0	0	0	41	0	171	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	53	466	0	0	0	396	0	0	0	0	0	0	0	31	0
TET2_var163_kmer2.kmer1 ct:1	69	303	0	0	0	96	33	0	0	0	0	0	28	0	0	0	0	95	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	210	0	215	0	0	0	0	0	120	160	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	171	171	0	0	76	0	0	0	0	0	67	68	0	0	0	40	0	198	0	73	0	0	0	0	29	0	0	138	118	0	95	0	0	161	0	0	2	2	70	0	0	0	54	0	0	209	0	0	0	214	0	0	0	0	0	111	0	0	72	0	0	0	149	0	0	0	0	0	0	45	0	0	115	0	0	0	0	169	70	0	0	0	0	117	42	130	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	50	0	0	0	0	0	0	0	0	143	208	0	0	0	41	0	171	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	53	471	0	0	0	396	0	0	0	0	0	0	0	31	0
TET2_var163_kmer18.kmer1 ct:1	69	313	0	0	0	96	34	0	0	0	0	0	31	0	0	0	0	99	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	225	0	219	0	0	0	0	0	123	172	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	171	161	0	0	76	0	0	0	0	0	65	70	0	0	0	40	0	201	0	72	0	0	0	0	30	0	0	139	125	0	102	0	0	161	0	0	4	2	75	0	2	0	57	0	0	224	0	0	0	218	0	0	0	0	0	112	0	0	70	0	0	0	162	0	0	0	0	0	0	45	0	0	115	0	0	0	0	180	78	0	0	0	0	113	48	127	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	50	0	0	0	0	0	0	0	0	146	226	0	0	0	35	0	172	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	53	527	0	0	0	404	0	0	0	0	0	0	0	31	0
TET2_var163_kmer26.kmer1 ct:1	72	301	0	0	0	96	34	0	0	0	0	0	31	0	0	0	0	99	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	225	0	219	0	0	0	0	0	132	175	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	169	161	0	0	76	0	0	0	0	0	62	70	0	0	0	40	0	201	0	72	0	0	0	0	30	0	0	130	125	0	102	0	0	161	0	0	4	2	75	0	2	0	57	0	0	217	0	0	0	220	0	0	0	0	0	112	0	0	67	0	0	0	153	0	0	0	0	0	0	45	0	0	115	0	0	0	0	185	77	0	0	0	0	109	46	127	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	48	0	0	0	0	0	0	0	0	146	226	0	0	0	35	0	169	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	51	534	0	0	0	412	0	0	0	0	0	0	0	31	0
TET2_var163_kmer4.kmer1 ct:1	69	316	0	0	0	96	33	0	0	0	0	0	28	0	0	0	0	99	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	221	0	215	0	0	0	0	0	120	166	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	170	174	0	0	76	0	0	0	0	0	67	74	0	0	0	40	0	198	0	73	0	0	0	0	29	0	0	140	118	0	95	0	0	161	0	0	2	2	70	0	0	0	54	0	0	217	0	0	0	214	0	0	0	0	0	111	0	0	72	0	0	0	158	0	0	0	0	0	0	45	0	0	115	0	0	0	0	169	70	0	0	0	0	117	42	130	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	50	0	0	0	0	0	0	0	0	143	218	0	0	0	41	0	171	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	53	512	0	0	0	404	0	0	0	0	0	0	0	31	0
TET2_var163_kmer16.kmer1 ct:1	69	313	0	0	0	96	34	0	0	0	0	0	31	0	0	0	0	99	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	225	0	215	0	0	0	0	0	128	172	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	171	161	0	0	76	0	0	0	0	0	65	70	0	0	0	40	0	201	0	72	0	0	0	0	30	0	0	139	125	0	102	0	0	161	0	0	4	2	75	0	2	0	57	0	0	224	0	0	0	223	0	0	0	0	0	112	0	0	70	0	0	0	162	0	0	0	0	0	0	45	0	0	115	0	0	0	0	180	78	0	0	0	0	113	50	127	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	50	0	0	0	0	0	0	0	0	143	224	0	0	0	35	0	172	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	53	527	0	0	0	402	0	0	0	0	0	0	0	31	0
TET2_var163_kmer17.kmer1 ct:1	69	313	0	0	0	96	34	0	0	0	0	0	31	0	0	0	0	99	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	225	0	219	0	0	0	0	0	123	172	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	171	161	0	0	76	0	0	0	0	0	65	70	0	0	0	40	0	201	0	72	0	0	0	0	30	0	0	139	125	0	102	0	0	161	0	0	4	2	75	0	2	0	57	0	0	224	0	0	0	223	0	0	0	0	0	112	0	0	70	0	0	0	162	0	0	0	0	0	0	45	0	0	115	0	0	0	0	180	78	0	0	0	0	113	48	127	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	50	0	0	0	0	0	0	0	0	146	226	0	0	0	35	0	172	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	53	527	0	0	0	404	0	0	0	0	0	0	0	31	0
