seq_name	BA2040	BA2160	BA2303	BA2353	BA2516	BA2590	BA2647	BA2891	BA2924	BA2971	BA3036	BA3059	BA3073	BA3078	BA3079	BA3083	BA3084	BA3085	BA3087	BA3089	BA3094	BA3095	BA3098	BA3099	BA3103	BA3108	BA3109	BA3110	BA3114	BA3116	BA3117	BA3118	BA3119	BA3123	BA3124	BA3126	BA3128	BA3130	BA3133	BA3135	BA3136	BA3137	BA3138	BA3139	BA3141	BA3142	BA3145	BA3146	BA3149	BA3152	BA3153	BA3154	BA3156	BA3157	BA3158	BA3162	BA3163	BA3164	BA3167	BA3169	BA3171	BA3173	BA3174	BA3175	BA3176	BA3177	BA3178	BA3180	BA3181	BA3182	BA3183	BA3185	BA3186	BA3187	BA3189	BA3190	BA3191	BA3192	BA3194	BA3195	BA3197	BA3199	BA3200	BA3202	BA3203	BA3206	BA3207	BA3208	BA3210	BA3211	BA3212	BA3213	BA3214	BA3216	BA3217	BA3219	BA3221	BA3222	BA3225	BA3226	BA3227	BA3228	BA3229	BA3230	BA3232	BA3234	BA3235	BA3237	BA3240	BA3242	BA3243	BA3245	BA3249	BA3250	BA3251	BA3255	BA3258	BA3260	BA3261	BA3264	BA3266	BA3268	BA3269	BA3270	BA3271	BA3273	BA3275	BA3277	BA3280	BA3283	BA3285	BA3286	BA3289	BA3290	BA3293	BA3295	BA3296	BA3297	BA3299	BA3300	BA3302	BA3305	BA3306	BA3308	BA3310	BA3311	BA3312	BA3315	BA3317	BA3318	BA3319	BA3322	BA3324	BA3325	BA3326	BA3328	BA3329	BA3332	BA3333	BA3334	BA3335	BA3339	BA3341	BA3345	BA3347	BA3351	BA3352	BA3353	BA3357	BA3362	BA3367	BA3369	BA3371	BA3373	BA3374	BA3375	BA3376	BA3379	BA3380	BA3381	BA3384	BA3385	BA3386	BA3388	BA3390	BA3394	BA3395	BA3397	BA3399	BA3400	BA3403	BA3405	BA3406	BA3407	BA3408	BA3410	BA3411	BA3412	BA3413	BA3415	BA3416	BA3417	BA3418	BA3421	BA3422	BA3423	BA3427	BA3430	BA3431	BA3433	BA3434	BA3435	BA3436	BA3438	BA3445	BA3446	BA3447	BA3448	BA3449	BA3450	BA3451	BA3452	BA3453	BA3454
FLT3_ref6_kmer27.kmer1 ct:1	32	2324	961	1051	1025	1675	1568	13	840	125	931	37	1428	1925	437	875	1447	1795	3081	888	1325	1172	1461	984	359	786	128	1387	355	194	505	277	1241	125	144	1156	816	17	504	1821	2569	345	88	19894	272	482	1790	706	339	861	65	171	3	1374	927	328	194	1689	1054	452	498	1249	274	231	665	1104	2904	807	180	309	836	1643	211	289	1242	111	271	702	159	2710	980	838	945	109	543	819	1166	1211	12	746	2	453	177	2329	3713	919	40	502	1040	2035	1158	830	418	256	746	1096	1545	42	565	414	1975	456	355	575	745	1157	617	12	522	1708	1303	922	829	296	2407	602	1346	1138	1234	192	14707	1238	157	286	591	330	26	1914	650	146	2140	525	186	2592	1513	910	152	261	1079	1529	846	49	794	918	565	474	8	303	2771	196	511	15	176	55	343	414	1950	1038	361	1964	15	565	74	382	711	641	1256	1217	1687	266	858	497	798	108	301	439	237	641	43	15	138	658	1627	31	60	1596	166	2100	508	1792	1108	264	254	350	724	1158	123	306	238	697	561	1509	3304	3382	0	512	405	954	350	482	786	527	649	1577
FLT3_ref6_kmer16.kmer1 ct:1	26	2100	867	915	939	1510	1401	0	766	102	850	37	1299	1641	363	708	2434	1620	2623	789	1194	1073	1356	861	300	682	128	1245	319	173	425	260	1079	78	128	1771	717	17	461	1651	2332	280	72	17285	483	403	1622	574	307	794	51	136	0	1257	863	290	172	1554	955	589	471	1115	256	197	551	994	2408	729	173	266	744	1429	184	275	1110	102	246	653	125	2417	871	709	789	109	515	757	1008	957	12	609	2	386	144	2216	3316	836	52	445	910	1838	933	726	365	227	706	943	1408	40	560	321	1829	395	283	449	649	1016	547	12	469	1482	1128	761	712	225	2174	521	1124	1093	1156	185	12858	1124	138	240	512	285	26	1682	580	121	1828	453	167	2305	1190	826	138	201	966	1351	749	42	694	774	484	424	8	231	2314	174	424	9	145	52	320	352	1798	897	340	3670	15	745	74	354	646	545	1047	1066	1519	339	795	430	695	77	245	396	217	512	43	15	114	608	1463	22	60	1436	153	1810	453	1585	918	200	202	345	610	1912	99	265	209	663	487	1349	2924	3039	0	416	356	860	324	468	720	684	579	1410
FLT3_ref6_kmer18.kmer1 ct:1	26	2218	925	1000	991	1608	1496	0	803	122	907	37	1367	1874	423	839	2500	1691	2989	828	1237	1129	1426	983	330	717	128	1333	319	198	494	273	1247	78	128	1858	755	17	500	1759	2525	336	88	19382	544	471	1721	677	330	851	51	160	0	1313	904	313	172	1643	1006	608	471	1202	256	230	638	1100	2790	795	173	317	828	1618	184	275	1219	102	266	682	159	2577	930	824	931	109	515	807	1129	1121	12	690	2	439	171	2243	3573	899	52	486	1011	1922	1092	819	365	248	768	1053	1486	40	656	383	1964	441	331	567	699	1102	594	12	507	1675	1263	881	784	288	2297	591	1325	1076	1192	185	14249	1194	138	286	558	313	26	1902	635	146	2061	509	186	2485	1405	907	138	201	1008	1426	840	42	764	910	557	480	8	231	2685	183	480	9	175	52	320	395	1912	1017	340	1861	15	552	74	382	667	609	1196	1201	1604	261	857	501	762	103	285	438	234	624	43	15	134	638	1574	31	60	1524	153	2027	482	1759	1057	249	241	358	705	2026	123	289	224	692	559	1444	3144	3273	2	495	385	914	324	468	764	792	620	1561
FLT3_ref6_kmer28.kmer1 ct:1	32	2362	961	1059	1039	1699	1577	13	854	125	932	37	1441	1920	437	876	1447	1810	3085	901	1325	1185	1476	997	359	786	128	1410	357	194	499	277	1239	125	144	1172	834	17	504	1842	2607	345	88	20131	272	489	1806	708	339	879	65	171	3	1387	927	334	194	1706	1071	452	498	1264	285	230	665	1104	2953	810	181	309	845	1636	215	289	1242	111	277	702	156	2750	980	836	953	109	560	828	1165	1242	12	746	2	453	177	2352	3771	933	40	508	1038	2066	1170	830	418	262	753	1106	1560	42	572	414	2003	469	357	585	747	1169	617	12	522	1713	1305	925	829	298	2438	604	1346	1138	1234	189	14876	1253	157	286	591	335	26	1914	650	146	2163	525	186	2631	1526	918	152	261	1094	1542	846	49	807	918	567	474	8	303	2807	196	513	15	180	55	351	414	1968	1040	361	1988	15	565	74	383	716	655	1256	1220	1702	266	872	497	806	108	301	439	238	636	43	771	138	670	1652	31	60	1607	173	2122	508	1792	1108	264	254	350	724	1162	122	306	238	701	567	1509	3336	3417	0	512	405	971	349	482	786	527	663	1576
FLT3_ref6_kmer15.kmer1 ct:1	26	2058	856	915	918	1484	1401	0	743	102	850	37	1299	1612	363	708	2376	1594	2575	789	1167	1052	1296	845	291	682	128	1225	319	173	425	252	1052	78	128	1736	717	17	461	1617	2272	275	72	16914	459	403	1598	565	292	778	51	136	0	1220	864	281	172	1530	937	580	447	1093	256	189	547	953	2371	722	173	266	717	1403	184	275	1094	102	246	643	125	2358	864	679	768	109	473	749	996	947	12	595	2	386	144	2186	3268	813	52	409	896	1794	914	704	365	212	683	928	1381	40	560	321	1806	395	283	449	649	1021	533	12	440	1456	1118	753	693	225	2144	513	1124	1069	1143	185	12581	1093	138	240	508	285	26	1660	569	116	1789	405	162	2278	1169	805	138	201	941	1328	734	42	664	756	477	424	8	231	2266	174	390	9	145	52	320	349	1780	890	295	3612	15	723	74	345	646	528	1033	1047	1492	320	791	430	658	77	245	381	217	495	43	15	114	593	1448	22	60	1418	138	1776	433	1554	902	200	202	345	610	1862	99	245	209	643	474	1349	2852	3028	0	392	339	837	324	468	700	675	579	1390
FLT3_ref6_kmer7.kmer1 ct:1	0	38	8	9	6	8	12	0	0	2	6	0	12	44	9	11	12	5	31	5	6	19	4	15	0	13	2	24	6	0	7	2	48	0	3	5	7	0	2	17	20	5	2	206	17	8	52	8	3	10	0	10	0	7	7	2	0	16	2	11	0	7	2	3	12	21	7	13	0	10	29	35	3	0	19	0	0	6	2	78	11	14	16	0	4	17	19	39	0	5	0	12	10	10	45	13	0	2	20	2	16	8	3	7	4	20	10	2	9	6	3	7	14	10	10	10	2	2	9	29	21	7	24	0	13	13	53	4	11	8	35	15	2	8	17	6	0	18	6	2	38	10	3	22	47	5	2	0	10	7	3	0	3	13	6	5	0	2	109	8	14	0	4	0	0	2	43	19	6	3	0	10	0	2	0	13	10	22	13	6	0	4	20	3	10	7	0	31	2	0	0	3	16	0	2	12	0	20	7	10	24	3	6	2	20	10	0	0	2	4	9	22	46	37	0	0	10	9	2	6	0	35	8	11
FLT3_ref6_kmer19.kmer1 ct:1	26	2285	925	1033	991	1662	1554	13	835	122	907	37	1421	1935	423	861	1420	1760	3072	873	1295	1167	1468	983	330	751	123	1391	351	198	494	273	1265	78	128	1133	783	17	500	1826	2602	336	88	20152	273	471	1777	723	330	851	51	168	0	1367	904	326	172	1691	1034	435	471	1202	256	230	659	1122	2866	795	173	317	840	1653	206	275	1249	102	280	682	159	2670	970	842	931	109	515	830	1160	1208	12	740	2	451	171	2325	3708	929	52	506	1042	2003	1165	819	419	262	728	1109	1539	40	573	410	1939	441	353	567	699	1158	612	12	507	1732	1292	907	813	298	2375	602	1361	1107	1213	185	14833	1225	138	286	558	325	26	1936	635	146	2146	518	186	2562	1513	924	138	258	1046	1486	840	42	799	910	557	480	8	231	2813	183	480	9	175	55	320	395	2019	1044	340	1928	15	569	74	382	693	637	1256	1223	1657	261	894	501	762	103	285	446	234	624	43	15	134	638	1631	31	60	1574	153	2118	495	1811	1124	249	241	358	705	1149	123	289	224	718	559	1489	3274	3412	2	495	385	953	349	468	764	526	620	1594
FLT3_ref6_kmer24.kmer1 ct:1	26	2305	943	1049	1018	1666	1564	13	836	125	935	37	1436	1929	437	855	1437	1781	3065	891	1302	1173	1463	999	349	767	123	1401	351	197	499	276	1242	125	140	1145	803	17	503	1820	2586	336	88	20107	270	477	1777	712	330	863	65	168	3	1366	916	330	194	1689	1050	443	492	1231	274	230	650	1104	2905	810	181	309	830	1640	205	293	1253	111	278	692	159	2711	978	838	943	109	538	824	1161	1213	12	740	2	453	171	2341	3726	924	52	508	1039	2033	1163	835	416	259	741	1110	1545	40	565	414	1962	458	355	575	737	1159	617	12	522	1705	1284	927	813	298	2384	596	1344	1119	1216	197	14785	1240	157	293	582	332	26	1926	649	146	2157	524	186	2588	1531	921	153	261	1064	1513	838	49	806	908	557	478	8	295	2794	190	510	9	173	55	341	408	1999	1041	370	1947	15	565	74	388	709	641	1261	1209	1673	261	878	501	802	106	294	442	240	634	43	15	134	649	1616	31	60	1590	162	2108	495	1791	1112	263	251	349	719	1160	122	297	234	707	565	1494	3281	3394	0	502	401	967	351	481	782	520	642	1582
FLT3_ref6_kmer3.kmer1 ct:1	0	38	8	9	6	8	12	0	0	2	6	0	12	44	9	11	12	5	30	5	6	19	4	15	0	13	2	24	6	0	7	2	52	0	4	5	7	0	2	17	20	5	0	190	17	8	52	8	3	10	0	10	0	3	7	2	0	16	2	11	3	7	2	3	12	21	7	13	0	10	29	35	3	0	19	0	0	6	2	78	11	14	16	0	4	17	19	39	0	5	0	12	10	10	45	13	0	2	20	2	16	8	3	7	4	20	10	2	9	6	3	7	14	10	10	10	2	2	9	28	21	7	24	0	13	13	53	4	11	8	35	15	2	8	17	6	0	18	6	2	38	10	3	22	64	5	0	0	10	7	3	0	3	13	6	5	0	2	109	8	14	0	4	0	0	2	43	19	6	3	0	13	0	2	0	13	10	22	13	6	0	4	20	3	10	7	0	31	2	0	0	3	16	0	2	12	0	20	7	7	24	3	6	2	20	10	0	0	2	4	9	22	46	37	0	0	10	9	2	6	0	35	8	11
FLT3_ref6_kmer12.kmer1 ct:1	26	1983	806	869	881	1417	1329	0	721	93	819	37	1248	1503	324	677	2328	1541	2367	758	1122	997	1296	793	273	629	128	1176	289	164	382	250	964	78	128	1676	683	17	441	1566	2142	255	67	15495	415	366	1532	527	288	759	51	119	0	1176	824	268	172	1463	909	573	430	1047	256	168	508	855	2296	691	161	251	663	1305	184	256	1008	102	234	622	125	2257	826	649	739	109	473	704	936	871	12	563	2	341	128	2110	3106	762	52	409	824	1745	880	647	330	212	665	849	1335	40	528	280	1687	395	238	400	617	994	482	12	440	1340	1024	699	653	225	2045	462	1015	1038	1121	159	11670	1064	138	240	465	251	26	1552	547	116	1673	405	155	2212	1092	751	138	201	904	1273	687	42	645	700	444	392	8	231	2202	174	358	9	145	52	304	335	1744	832	289	3462	15	662	60	303	634	508	958	1121	1442	318	752	376	616	77	229	360	206	451	43	24	114	561	1390	22	60	1376	138	1637	411	1409	846	200	182	335	547	1786	89	235	204	619	431	1279	2782	2915	0	392	453	800	314	419	690	613	555	1307
