seq_name	BA2040	BA2160	BA2303	BA2353	BA2516	BA2590	BA2647	BA2891	BA2924	BA2971	BA3036	BA3059	BA3073	BA3078	BA3079	BA3083	BA3084	BA3085	BA3087	BA3089	BA3094	BA3095	BA3098	BA3099	BA3103	BA3108	BA3109	BA3110	BA3114	BA3116	BA3117	BA3118	BA3119	BA3123	BA3124	BA3126	BA3128	BA3130	BA3133	BA3135	BA3136	BA3137	BA3138	BA3139	BA3141	BA3142	BA3145	BA3146	BA3149	BA3152	BA3153	BA3154	BA3156	BA3157	BA3158	BA3162	BA3163	BA3164	BA3167	BA3169	BA3171	BA3173	BA3174	BA3175	BA3176	BA3177	BA3178	BA3180	BA3181	BA3182	BA3183	BA3185	BA3186	BA3187	BA3189	BA3190	BA3191	BA3192	BA3194	BA3195	BA3197	BA3199	BA3200	BA3202	BA3203	BA3206	BA3207	BA3208	BA3210	BA3211	BA3212	BA3213	BA3214	BA3216	BA3217	BA3219	BA3221	BA3222	BA3225	BA3226	BA3227	BA3228	BA3229	BA3230	BA3232	BA3234	BA3235	BA3237	BA3240	BA3242	BA3243	BA3245	BA3249	BA3250	BA3251	BA3255	BA3258	BA3260	BA3261	BA3264	BA3266	BA3268	BA3269	BA3270	BA3271	BA3273	BA3275	BA3277	BA3280	BA3283	BA3285	BA3286	BA3289	BA3290	BA3293	BA3295	BA3296	BA3297	BA3299	BA3300	BA3302	BA3305	BA3306	BA3308	BA3310	BA3311	BA3312	BA3315	BA3317	BA3318	BA3319	BA3322	BA3324	BA3325	BA3326	BA3328	BA3329	BA3332	BA3333	BA3334	BA3335	BA3339	BA3341	BA3345	BA3347	BA3351	BA3352	BA3353	BA3357	BA3362	BA3367	BA3369	BA3371	BA3373	BA3374	BA3375	BA3376	BA3379	BA3380	BA3381	BA3384	BA3385	BA3386	BA3388	BA3390	BA3394	BA3395	BA3397	BA3399	BA3400	BA3403	BA3405	BA3406	BA3407	BA3408	BA3410	BA3411	BA3412	BA3413	BA3415	BA3416	BA3417	BA3418	BA3421	BA3422	BA3423	BA3427	BA3430	BA3431	BA3433	BA3434	BA3435	BA3436	BA3438	BA3445	BA3446	BA3447	BA3448	BA3449	BA3450	BA3451	BA3452	BA3453	BA3454
GATA2_ref11_kmer10.kmer1 ct:1	14	461	113	315	214	368	36	7	502	892	683	18	224	157	178	274	50	367	145	626	0	601	289	609	82	542	148	9	296	7	500	120	1406	553	108	14	402	0	1056	264	845	359	380	977	1062	897	438	589	16	21	702	0	549	265	488	154	5	1008	0	5	462	188	42	61	249	146	2	233	74	162	298	10	2189	59	349	306	119	227	929	261	1138	404	1691	47	226	206	14	256	222	1449	1589	153	622	186	463	7	14	5	34	585	1201	785	795	347	512	31	29	1062	849	211	1704	264	640	113	311	457	6	44	56	451	660	1509	212	316	220	4	1019	344	304	227	2443	128	20	902	1308	356	26	584	62	329	591	223	451	395	219	241	43	52	672	185	194	67	357	244	22	1265	1641	521	394	22	338	5	339	7	5	181	135	344	1757	0	157	89	90	978	0	322	417	200	357	105	414	429	914	312	35	542	307	29	121	749	13	190	435	62	19	220	67	0	447	242	654	5	415	131	2058	451	645	11	135	706	87	504	2458	4	230	177	19	438	989	279	17	346	194	560
GATA2_ref11_kmer2.kmer1 ct:1	14	396	108	258	183	315	36	7	439	725	598	18	204	143	162	239	50	318	124	530	0	514	261	525	72	469	139	9	281	7	430	104	1248	467	100	14	362	0	915	199	715	297	333	837	932	745	345	462	12	21	614	0	443	234	408	116	5	873	0	5	379	172	42	61	236	110	2	202	59	138	257	10	1765	59	316	273	293	199	828	224	955	347	1383	49	213	175	14	210	190	1139	1384	131	550	165	422	7	14	5	34	505	972	679	710	299	421	31	29	905	775	192	1482	218	534	113	251	389	6	44	56	399	575	1273	180	297	174	4	872	280	228	205	2139	128	20	827	1139	318	26	498	55	266	502	220	392	336	173	213	43	52	586	170	174	67	322	244	22	1105	1445	478	364	22	862	5	314	7	5	171	108	304	1497	0	142	89	90	856	0	271	346	189	297	105	339	357	779	264	35	478	257	29	103	642	13	166	377	54	19	206	67	3	392	220	525	5	338	100	1859	367	551	11	108	580	74	464	2043	4	218	153	19	344	775	234	17	308	158	503
GATA2_ref11_kmer1.kmer1 ct:1	14	402	108	258	183	315	36	7	429	733	606	18	200	143	162	239	50	315	133	535	0	515	261	527	72	474	130	9	281	7	430	104	1255	469	100	14	362	0	921	199	724	297	333	851	943	745	334	478	12	21	614	0	424	234	412	116	5	877	0	5	385	168	42	61	236	107	2	196	45	138	257	10	1775	59	303	263	307	202	828	214	954	349	1387	49	213	182	14	207	190	1135	1392	131	551	165	425	7	14	5	34	508	980	663	723	302	420	31	29	909	781	192	1477	218	534	113	251	393	6	44	56	398	571	1284	180	297	173	4	879	268	228	205	2162	128	20	827	1146	327	26	504	55	266	501	219	392	336	173	213	43	52	583	158	174	67	322	244	22	1105	1446	463	367	22	867	5	311	7	5	171	108	304	1516	0	119	89	90	833	0	262	354	181	296	105	339	359	802	268	35	478	254	29	103	648	13	160	387	49	19	206	67	3	384	220	506	5	337	100	1862	367	561	11	114	568	74	467	2062	4	218	142	19	350	781	233	17	298	158	508
GATA2_ref11_kmer11.kmer1 ct:1	14	461	113	315	214	368	36	7	502	896	683	18	224	157	178	274	50	363	145	626	0	601	281	609	82	536	148	9	296	7	485	130	1400	567	108	14	402	0	1066	264	845	359	377	981	1067	897	438	604	16	21	702	0	560	265	488	154	5	1021	0	5	471	188	42	61	240	146	2	236	74	157	299	10	2195	59	349	306	119	227	936	261	1143	404	1684	47	226	206	14	256	222	1458	1578	153	614	186	463	7	14	5	34	596	1205	787	784	347	512	31	29	1066	849	213	1729	264	640	113	310	457	6	44	56	451	660	1506	214	316	217	4	1020	350	304	227	2456	128	20	902	1308	358	26	584	62	329	591	223	454	395	219	241	43	52	674	185	194	67	357	244	22	1263	1630	537	394	22	338	5	339	7	5	181	135	344	1752	0	157	89	90	981	0	319	417	200	357	105	414	439	914	312	35	542	307	29	126	736	13	190	435	62	19	229	67	0	447	242	654	5	415	131	2056	451	645	11	135	709	87	504	2471	4	227	177	19	438	989	279	17	346	194	570
GATA2_ref11_kmer15.kmer1 ct:1	14	449	113	302	207	339	36	7	474	830	659	20	212	157	166	255	54	338	143	588	0	559	253	568	72	521	128	9	263	7	456	114	1327	509	93	14	364	0	1008	243	792	330	351	937	991	856	415	562	13	21	654	0	521	236	452	138	5	981	0	11	420	175	38	51	227	136	2	224	72	144	287	10	2114	59	334	294	102	213	897	244	1075	395	1574	45	204	192	14	258	211	1385	1512	147	576	161	440	7	14	5	34	547	1147	731	766	332	503	31	24	1047	811	200	1635	244	600	112	269	445	6	44	56	441	623	1449	196	295	197	4	972	326	280	219	2348	128	20	839	1256	334	18	551	51	319	571	206	422	354	207	232	42	52	633	162	191	46	340	255	25	1185	1505	508	362	22	321	5	295	7	0	169	132	344	1660	0	150	81	74	915	0	305	387	191	347	90	400	415	882	295	27	527	296	33	107	656	13	167	413	59	19	204	67	0	433	226	609	5	373	128	1893	423	619	11	121	653	88	451	2254	4	213	170	19	416	926	250	17	327	177	539
GATA2_ref11_kmer23.kmer1 ct:1	14	428	113	273	195	325	36	7	424	743	611	20	197	143	157	247	54	320	124	559	0	523	253	540	72	481	128	9	251	7	454	114	1273	493	84	8	345	0	892	243	773	318	366	902	955	845	392	548	13	21	612	0	504	236	409	137	5	857	0	11	416	163	38	51	227	123	0	197	65	137	258	10	1921	59	331	286	102	211	841	229	983	407	1462	45	182	162	14	254	211	1307	1392	150	570	161	391	7	22	5	34	517	1057	722	734	309	489	31	24	969	784	183	1575	239	559	116	269	415	6	44	56	422	609	1458	179	277	194	0	946	297	271	212	2244	109	20	830	1228	322	18	560	51	307	524	205	384	313	197	224	458	53	573	162	187	46	331	259	25	1145	1450	488	349	22	310	5	263	7	0	169	131	345	1682	0	143	75	74	891	0	286	343	184	306	90	376	389	842	272	27	484	263	33	107	595	13	167	372	59	19	199	67	0	397	226	594	5	357	128	1863	395	633	11	119	587	88	410	2172	4	203	165	19	395	873	240	17	348	177	505
GATA2_ref11_kmer13.kmer1 ct:1	14	448	113	315	207	369	36	7	495	872	666	18	224	157	178	267	50	363	145	611	0	576	281	584	82	536	148	9	296	7	485	130	1358	541	108	14	402	0	1034	253	827	347	361	953	1036	871	440	586	16	21	663	0	546	265	470	154	5	990	0	11	455	188	42	61	240	146	2	236	74	157	295	10	2132	59	339	306	119	227	905	261	1099	393	1635	47	219	206	14	256	222	1412	1543	153	597	176	463	7	14	5	34	564	1173	763	774	347	512	31	29	1041	830	205	1680	250	629	113	299	450	6	44	56	446	660	1454	206	316	208	4	991	350	297	227	2397	128	20	871	1260	342	26	565	62	323	591	223	438	381	219	241	43	52	652	183	194	67	350	257	22	1230	1564	528	394	22	332	5	330	7	5	181	135	344	1697	0	157	89	90	959	0	319	410	200	359	105	414	435	898	312	38	542	304	33	126	736	13	190	413	62	19	213	67	0	447	236	623	5	403	129	1990	437	633	11	135	680	88	486	2359	4	227	175	19	425	952	279	17	346	194	556
GATA2_ref11_kmer12.kmer1 ct:1	14	448	113	315	207	369	36	7	502	872	666	18	224	157	178	267	50	363	145	613	0	576	281	593	82	536	148	9	296	7	485	130	1358	541	108	14	402	0	1034	253	827	359	361	953	1036	883	440	586	16	21	670	0	546	265	472	154	5	990	0	11	459	188	42	61	240	146	2	236	74	157	295	10	2130	59	339	306	119	227	913	261	1099	393	1635	47	226	206	14	256	222	1412	1578	153	597	176	463	7	14	5	34	575	1182	763	784	347	512	31	29	1041	845	205	1680	250	640	113	299	450	6	44	56	446	660	1468	206	316	217	4	1004	350	297	227	2408	128	20	871	1277	349	26	565	62	323	591	223	441	386	219	241	43	52	659	183	194	67	350	257	22	1230	1599	528	394	22	332	5	339	7	5	181	135	344	1718	0	157	89	90	966	0	319	410	200	357	105	414	439	899	312	35	542	307	29	126	736	13	190	413	62	19	213	67	2	447	236	633	5	403	131	2018	438	645	11	135	687	88	486	2381	4	227	175	19	425	961	279	17	346	194	561
GATA2_ref11_kmer19.kmer1 ct:1	14	436	113	283	195	328	36	7	432	764	623	20	197	143	157	255	54	319	132	566	0	531	253	540	72	477	128	9	263	7	451	114	1224	495	93	8	359	0	937	243	776	318	345	904	944	816	392	551	13	21	624	0	505	236	423	140	5	889	0	11	420	175	38	51	227	129	0	215	65	137	270	10	1992	59	334	286	102	211	846	229	1012	391	1497	45	182	192	14	258	211	1319	1394	147	552	161	401	7	14	5	34	533	1082	732	723	324	489	31	24	990	794	200	1588	244	576	116	269	428	6	44	56	417	597	1402	196	283	197	0	934	309	280	212	2268	128	20	815	1197	329	18	535	51	307	533	205	422	354	207	230	449	53	564	162	187	46	341	256	25	1126	1407	494	349	22	310	5	269	7	0	169	133	344	1594	0	150	81	74	878	0	291	371	192	319	90	376	389	847	275	27	494	263	33	107	605	13	167	380	59	19	197	67	0	412	226	603	5	373	128	1832	412	620	11	121	604	88	417	2201	4	213	165	19	395	885	250	17	333	177	528
GATA2_ref11_kmer30.kmer1 ct:1	14	437	101	273	197	332	36	7	438	757	590	18	197	147	159	247	54	336	127	567	0	500	255	539	72	462	122	9	249	7	452	114	1225	480	84	8	355	0	900	241	782	300	350	898	957	821	385	552	11	21	609	0	481	227	402	137	5	843	0	11	409	163	38	51	219	123	0	195	61	137	258	12	1886	59	308	276	102	211	841	235	964	390	1436	47	175	164	14	248	208	1281	1397	160	546	161	387	7	22	5	34	503	1017	719	699	309	462	31	24	936	770	183	1599	233	546	114	258	403	6	44	56	414	590	1356	174	269	193	2	925	311	259	206	2216	109	20	796	1181	328	18	518	51	311	541	205	388	306	197	230	439	53	586	157	187	46	329	263	25	1114	1396	476	349	22	289	7	255	7	0	169	134	354	1593	2	143	84	74	866	0	278	332	176	312	90	355	416	835	279	27	484	271	33	107	581	13	177	356	59	19	194	67	0	394	214	588	5	352	121	1845	387	612	11	113	596	88	398	2170	4	199	165	19	389	830	228	19	327	163	482
