seq_name	BA2040	BA2160	BA2303	BA2353	BA2516	BA2590	BA2647	BA2891	BA2924	BA2971	BA3036	BA3059	BA3073	BA3078	BA3079	BA3083	BA3084	BA3085	BA3087	BA3089	BA3094	BA3095	BA3098	BA3099	BA3103	BA3108	BA3109	BA3110	BA3114	BA3116	BA3117	BA3118	BA3119	BA3123	BA3124	BA3126	BA3128	BA3130	BA3133	BA3135	BA3136	BA3137	BA3138	BA3139	BA3141	BA3142	BA3145	BA3146	BA3149	BA3152	BA3153	BA3154	BA3156	BA3157	BA3158	BA3162	BA3163	BA3164	BA3167	BA3169	BA3171	BA3173	BA3174	BA3175	BA3176	BA3177	BA3178	BA3180	BA3181	BA3182	BA3183	BA3185	BA3186	BA3187	BA3189	BA3190	BA3191	BA3192	BA3194	BA3195	BA3197	BA3199	BA3200	BA3202	BA3203	BA3206	BA3207	BA3208	BA3210	BA3211	BA3212	BA3213	BA3214	BA3216	BA3217	BA3219	BA3221	BA3222	BA3225	BA3226	BA3227	BA3228	BA3229	BA3230	BA3232	BA3234	BA3235	BA3237	BA3240	BA3242	BA3243	BA3245	BA3249	BA3250	BA3251	BA3255	BA3258	BA3260	BA3261	BA3264	BA3266	BA3268	BA3269	BA3270	BA3271	BA3273	BA3275	BA3277	BA3280	BA3283	BA3285	BA3286	BA3289	BA3290	BA3293	BA3295	BA3296	BA3297	BA3299	BA3300	BA3302	BA3305	BA3306	BA3308	BA3310	BA3311	BA3312	BA3315	BA3317	BA3318	BA3319	BA3322	BA3324	BA3325	BA3326	BA3328	BA3329	BA3332	BA3333	BA3334	BA3335	BA3339	BA3341	BA3345	BA3347	BA3351	BA3352	BA3353	BA3357	BA3362	BA3367	BA3369	BA3371	BA3373	BA3374	BA3375	BA3376	BA3379	BA3380	BA3381	BA3384	BA3385	BA3386	BA3388	BA3390	BA3394	BA3395	BA3397	BA3399	BA3400	BA3403	BA3405	BA3406	BA3407	BA3408	BA3410	BA3411	BA3412	BA3413	BA3415	BA3416	BA3417	BA3418	BA3421	BA3422	BA3423	BA3427	BA3430	BA3431	BA3433	BA3434	BA3435	BA3436	BA3438	BA3445	BA3446	BA3447	BA3448	BA3449	BA3450	BA3451	BA3452	BA3453	BA3454
IDH2_ref7_kmer3.kmer1 ct:1	847	651	446	1180	1047	1976	1062	310	715	898	756	666	890	1232	439	855	1506	868	1161	742	1252	854	1183	1061	1289	1376	353	757	546	954	2003	890	920	673	419	533	1456	491	878	1071	661	853	659	3872	846	565	595	667	432	824	1794	429	641	1160	1038	828	655	1003	785	990	536	1423	558	492	678	1773	859	958	527	1320	913	793	1286	1229	1086	852	505	902	1611	740	739	2477	607	1438	826	657	303	304	558	1201	917	1315	955	667	808	457	512	1623	388	687	791	1192	889	1056	754	904	334	833	1426	426	696	630	680	920	874	816	718	617	957	1394	859	994	266	699	936	835	1227	1202	515	735	3464	1282	213	897	975	1207	815	888	874	1092	1457	912	909	1017	882	510	1933	847	965	931	818	719	1377	406	733	801	2155	1494	1050	688	471	461	474	911	766	1266	676	1290	1239	1792	792	1280	1393	1331	591	541	656	946	1064	1596	890	535	1111	416	478	569	845	1394	385	638	1210	787	733	945	306	828	956	1971	1244	3340	1103	1035	744	373	809	760	577	295	380	862	899	576	589	1008	657	455	288	752	771	859	732	951	667	1105
IDH2_ref7_kmer18.kmer1 ct:1	7	10	6	11	16	33	14	5	16	29	10	5	16	21	4	15	24	14	13	6	27	7	9	17	21	28	19	29	12	13	13	8	19	8	13	3	34	3	10	53	13	23	11	19	18	12	22	7	18	9	49	14	4	11	15	8	5	8	9	12	3	9	2	6	16	15	8	47	0	8	11	35	24	14	4	15	6	7	21	26	15	18	13	19	11	16	6	10	20	21	9	16	25	24	14	7	8	9	7	12	26	13	7	16	12	8	2	12	23	7	5	22	11	9	10	9	11	24	29	21	8	12	15	10	9	25	9	46	15	9	20	7	5	10	8	12	8	22	12	18	22	20	16	22	26	8	24	7	6	21	5	17	6	10	13	7	37	21	27	14	23	20	16	23	8	12	21	30	29	5	8	14	16	12	0	8	10	13	16	21	9	6	24	11	3	7	2	19	31	24	6	11	9	14	22	7	8	10	9	16	9	13	22	11	35	12	14	0	10	51	14	15	23	4	8	20	9	6	7	19	6	23	22	7
IDH2_ref7_kmer2.kmer1 ct:1	856	657	445	1180	1058	2001	1074	313	727	903	767	674	899	1231	439	863	1516	866	1159	744	1257	858	1195	1069	1311	1376	349	757	554	954	2016	883	921	673	419	531	1461	491	889	1075	671	851	658	3906	847	565	599	668	432	824	1814	429	633	1176	1049	830	655	1003	784	999	536	1426	559	492	674	1773	859	962	513	1325	917	804	1289	1235	1082	861	514	916	1623	748	746	2501	607	1462	826	657	303	304	563	1193	920	1315	959	670	808	457	519	1624	388	682	792	1198	896	1056	749	910	334	840	1452	426	696	630	684	931	886	811	718	618	965	1391	859	1001	266	693	934	836	1241	1210	516	735	3490	1282	213	905	982	1218	815	884	888	1105	1460	922	910	1022	890	510	1940	851	965	933	818	723	1396	414	734	808	2171	1491	1058	687	471	460	477	914	771	1266	663	1306	1241	1799	802	1285	1393	1339	595	542	658	944	1076	1602	887	545	1121	416	478	576	851	1402	383	648	1226	793	736	943	306	830	959	1986	1244	3373	1104	1035	743	371	814	758	577	295	373	875	895	584	572	1010	648	455	288	753	773	867	742	956	674	1105
IDH2_ref7_kmer28.kmer1 ct:1	7	10	6	5	15	34	14	5	11	26	10	5	16	13	2	15	24	14	13	6	27	7	9	17	21	28	19	29	8	13	8	10	14	6	13	3	32	3	10	47	13	22	11	11	18	10	20	7	18	9	48	7	4	7	15	8	5	8	9	12	3	3	2	6	16	10	8	43	2	8	11	35	24	4	4	15	6	7	11	17	15	16	13	7	11	16	6	10	18	17	4	16	13	24	14	7	8	9	7	12	26	8	7	10	12	8	2	12	23	7	2	22	11	9	10	9	11	13	17	21	8	10	13	10	9	25	9	46	15	9	18	7	5	10	8	12	8	22	12	18	22	15	16	12	26	8	24	7	6	8	5	17	6	10	10	7	28	13	25	14	23	20	16	23	4	12	8	30	19	5	8	14	12	8	0	8	10	13	11	18	9	6	24	11	3	7	2	18	29	15	6	11	9	14	22	7	8	10	9	8	9	9	13	11	31	9	14	0	10	47	14	9	23	4	8	20	9	6	7	16	5	18	19	7
IDH2_ref7_kmer30.kmer1 ct:1	7	10	6	5	15	34	14	5	11	17	10	5	16	13	2	15	24	14	13	6	27	7	9	17	21	28	19	29	8	13	8	10	14	6	13	3	21	3	10	47	13	22	11	11	18	10	20	7	18	9	48	7	4	7	15	8	5	8	9	12	3	3	2	6	16	10	8	39	2	8	11	35	24	4	4	15	6	7	11	17	15	16	13	7	11	16	6	10	9	17	4	16	13	25	14	7	8	9	7	5	26	8	7	10	12	8	2	12	23	7	2	22	11	9	10	9	11	13	17	21	8	10	13	10	9	25	9	46	15	9	18	7	5	10	8	12	8	22	12	18	22	15	16	12	26	8	24	7	6	8	5	17	6	10	10	7	28	13	25	14	20	20	16	23	4	12	8	30	19	5	8	14	12	8	0	8	10	13	11	18	9	6	24	11	3	7	2	18	29	15	6	11	9	14	20	7	8	10	9	8	9	9	13	11	31	9	14	0	10	47	14	9	23	4	8	20	9	6	7	16	5	16	19	7
IDH2_ref7_kmer1.kmer1 ct:1	837	638	445	1146	1030	1948	1047	313	710	869	745	648	868	1208	425	843	1460	832	1123	712	1205	841	1155	1040	1274	1336	349	737	545	896	1944	859	903	644	406	516	1418	474	866	1041	651	823	634	3807	813	555	566	640	418	806	1770	414	618	1138	1016	797	631	978	757	982	524	1371	502	492	663	1729	833	914	513	1288	897	790	1237	1207	1051	840	499	887	1572	708	718	2430	580	1419	808	641	303	292	540	1145	904	1290	939	641	784	444	501	1580	373	662	776	1165	883	1020	727	895	334	818	1425	412	673	603	656	905	873	790	705	598	936	1335	832	979	266	664	904	816	1202	1178	488	724	3399	1243	201	879	956	1185	804	864	855	1061	1421	895	882	999	861	489	1906	817	947	893	802	687	1361	399	696	796	2132	1445	1042	660	456	460	445	890	731	1245	634	1262	1197	1750	781	1253	1325	1290	561	531	635	921	1039	1571	837	531	1080	408	472	568	811	1361	366	625	1191	793	707	923	300	810	929	1934	1210	3297	1066	1017	718	358	793	735	563	294	373	835	863	565	572	977	621	441	276	730	747	840	710	927	646	1075
IDH2_ref7_kmer4.kmer1 ct:1	850	656	446	1185	1051	1988	1071	308	715	898	761	666	890	1243	439	855	1506	868	1161	748	1257	862	1193	1064	1291	1380	353	757	550	961	2028	890	920	674	421	536	1462	491	876	1081	662	869	671	3890	846	565	597	669	432	824	1795	431	647	1168	1045	828	655	1004	785	994	536	1427	558	492	688	1791	854	965	527	1336	913	807	1287	1234	1102	852	507	902	1622	740	745	2507	611	1446	826	657	303	304	558	1208	917	1315	974	667	808	457	512	1626	391	699	800	1192	904	1056	754	904	334	841	1439	426	701	630	681	927	880	816	727	623	961	1397	865	1014	266	699	936	835	1243	1205	516	744	3481	1282	213	903	988	1215	819	895	874	1095	1462	924	909	1024	889	510	1933	858	965	934	827	730	1384	409	733	805	2192	1494	1055	688	467	468	474	910	772	1266	676	1302	1257	1802	805	1280	1396	1331	591	547	656	953	1069	1614	900	535	1118	417	478	572	845	1407	385	638	1213	790	735	948	306	828	965	1982	1257	3366	1112	1035	751	373	818	760	581	291	383	864	899	590	589	1008	657	455	288	758	779	867	732	964	667	1121
IDH2_ref7_kmer25.kmer1 ct:1	7	10	6	5	15	34	14	5	16	26	10	5	16	13	2	15	24	14	13	6	27	7	9	17	21	28	19	29	8	13	8	10	16	6	13	3	32	3	10	47	13	22	11	11	18	10	20	7	18	9	48	7	4	7	15	8	5	8	9	12	3	3	2	6	16	10	8	43	2	8	11	35	24	4	4	15	6	7	11	17	15	16	13	7	11	16	6	10	18	17	4	16	13	24	14	7	8	9	7	12	26	8	7	10	12	8	2	12	23	7	2	22	11	9	10	9	11	13	17	21	8	10	13	10	9	25	9	46	15	9	18	7	5	10	8	12	8	22	12	18	22	15	16	12	26	8	24	7	6	8	5	17	6	10	10	7	28	13	25	14	23	20	16	23	4	12	8	30	19	5	8	14	12	8	0	8	10	13	11	18	9	6	24	11	3	7	2	18	31	15	6	11	9	14	22	7	8	10	9	8	9	9	13	11	31	9	14	0	10	47	14	9	23	4	8	20	9	6	7	16	5	23	19	7
IDH2_ref7_kmer29.kmer1 ct:1	7	10	6	5	15	34	14	5	11	17	10	5	16	13	2	15	24	14	13	6	27	7	9	17	21	28	19	29	8	13	8	10	14	6	13	3	21	3	10	47	13	22	11	11	18	10	20	7	18	9	48	7	4	7	15	8	5	8	9	12	3	3	2	6	16	10	8	39	2	8	11	35	24	4	4	15	6	7	11	17	15	16	13	7	11	16	6	10	18	17	4	16	13	25	14	7	8	9	7	12	26	8	7	10	12	8	2	12	23	7	2	22	11	9	10	9	11	13	17	21	8	10	13	10	9	25	9	46	15	9	18	7	5	10	8	12	8	22	12	18	22	15	16	12	26	8	24	7	6	8	5	17	6	10	10	7	28	13	25	14	20	20	16	23	4	12	8	30	19	5	8	14	12	8	0	8	10	13	11	18	9	6	24	11	3	7	2	18	29	15	6	11	9	14	20	7	8	10	9	8	9	9	13	11	31	9	14	0	10	47	14	9	23	4	8	20	9	6	7	16	5	18	19	7
IDH2_ref7_kmer10.kmer1 ct:1	7	10	6	20	18	35	14	5	16	29	10	5	16	21	4	15	25	14	22	6	27	7	16	17	24	37	19	29	12	13	13	8	19	10	17	3	33	3	13	53	16	25	11	26	18	14	22	7	23	22	49	14	4	13	15	8	8	8	9	12	3	9	2	6	16	15	8	47	4	12	15	42	31	14	4	15	10	7	21	24	15	18	13	19	17	16	6	10	18	21	9	16	25	25	14	7	8	23	7	12	30	13	7	16	12	13	2	12	28	7	5	22	11	9	17	9	20	24	29	21	8	12	15	14	9	25	9	46	15	9	20	7	5	13	8	12	8	22	12	18	22	23	16	22	26	8	27	7	6	21	5	17	6	10	13	7	37	21	32	14	23	20	16	23	8	12	21	30	29	11	8	24	16	12	3	13	10	13	16	21	9	6	24	11	3	7	2	19	30	24	6	11	9	14	22	7	8	10	9	16	9	13	22	9	35	12	15	2	10	58	14	15	26	4	14	20	9	6	7	19	6	23	22	7
