seq_name	BA2040	BA2160	BA2303	BA2353	BA2516	BA2590	BA2647	BA2891	BA2924	BA2971	BA3036	BA3059	BA3073	BA3078	BA3079	BA3083	BA3084	BA3085	BA3087	BA3089	BA3094	BA3095	BA3098	BA3099	BA3103	BA3108	BA3109	BA3110	BA3114	BA3116	BA3117	BA3118	BA3119	BA3123	BA3124	BA3126	BA3128	BA3130	BA3133	BA3135	BA3136	BA3137	BA3138	BA3139	BA3141	BA3142	BA3145	BA3146	BA3149	BA3152	BA3153	BA3154	BA3156	BA3157	BA3158	BA3162	BA3163	BA3164	BA3167	BA3169	BA3171	BA3173	BA3174	BA3175	BA3176	BA3177	BA3178	BA3180	BA3181	BA3182	BA3183	BA3185	BA3186	BA3187	BA3189	BA3190	BA3191	BA3192	BA3194	BA3195	BA3197	BA3199	BA3200	BA3202	BA3203	BA3206	BA3207	BA3208	BA3210	BA3211	BA3212	BA3213	BA3214	BA3216	BA3217	BA3219	BA3221	BA3222	BA3225	BA3226	BA3227	BA3228	BA3229	BA3230	BA3232	BA3234	BA3235	BA3237	BA3240	BA3242	BA3243	BA3245	BA3249	BA3250	BA3251	BA3255	BA3258	BA3260	BA3261	BA3264	BA3266	BA3268	BA3269	BA3270	BA3271	BA3273	BA3275	BA3277	BA3280	BA3283	BA3285	BA3286	BA3289	BA3290	BA3293	BA3295	BA3296	BA3297	BA3299	BA3300	BA3302	BA3305	BA3306	BA3308	BA3310	BA3311	BA3312	BA3315	BA3317	BA3318	BA3319	BA3322	BA3324	BA3325	BA3326	BA3328	BA3329	BA3332	BA3333	BA3334	BA3335	BA3339	BA3341	BA3345	BA3347	BA3351	BA3352	BA3353	BA3357	BA3362	BA3367	BA3369	BA3371	BA3373	BA3374	BA3375	BA3376	BA3379	BA3380	BA3381	BA3384	BA3385	BA3386	BA3388	BA3390	BA3394	BA3395	BA3397	BA3399	BA3400	BA3403	BA3405	BA3406	BA3407	BA3408	BA3410	BA3411	BA3412	BA3413	BA3415	BA3416	BA3417	BA3418	BA3421	BA3422	BA3423	BA3427	BA3430	BA3431	BA3433	BA3434	BA3435	BA3436	BA3438	BA3445	BA3446	BA3447	BA3448	BA3449	BA3450	BA3451	BA3452	BA3453	BA3454
RAD21_ref7_kmer10.kmer1 ct:1	513	469	482	572	628	511	607	247	819	483	446	656	702	915	594	880	512	515	1013	541	525	614	586	1015	616	1155	421	497	467	259	946	560	709	489	511	564	406	642	864	618	685	690	636	1290	647	816	535	677	335	778	831	616	1221	686	517	610	435	767	406	792	1366	624	447	457	604	1220	592	820	545	743	845	670	779	540	604	974	486	973	890	463	445	1094	855	844	1042	531	944	377	832	731	1067	727	558	524	789	583	547	1395	626	624	811	915	943	773	670	714	385	713	1147	598	615	530	577	847	411	452	773	1122	506	888	890	1899	549	975	748	405	788	462	477	608	1444	638	323	959	978	920	961	882	376	656	1029	657	543	847	579	759	1135	2074	574	1616	853	723	1077	477	679	1012	955	863	557	549	574	661	586	508	262	825	291	791	530	498	554	885	923	1083	397	533	578	755	644	1212	362	664	799	526	359	775	539	723	368	808	1079	499	560	871	562	772	694	736	407	2003	587	641	796	248	626	633	917	371	412	552	798	874	534	1089	767	548	248	666	1111	826	517	802	449	1082
RAD21_ref7_kmer12.kmer1 ct:1	522	471	497	572	643	521	629	270	823	486	454	666	713	926	593	899	513	522	1033	541	526	625	593	1039	627	1176	427	504	478	271	958	563	709	513	515	565	404	642	875	634	706	718	625	1310	657	838	529	703	335	801	860	615	1220	693	512	630	432	773	407	791	1378	624	445	467	617	1253	601	833	563	757	855	686	784	535	625	990	491	985	904	463	447	1115	877	861	1061	538	978	377	854	746	1102	726	561	532	809	607	547	1430	635	633	822	946	962	800	692	739	395	731	1177	614	631	535	587	866	421	452	799	1148	522	915	899	1940	551	1005	766	427	790	462	483	610	1495	645	323	963	1000	949	964	907	376	678	1056	663	550	875	596	801	1164	2110	584	1646	868	734	1099	489	680	1016	970	873	583	563	588	670	591	505	262	828	294	817	533	507	557	915	922	1110	403	549	595	767	649	1232	372	686	824	541	367	794	551	726	372	838	1113	499	575	902	571	792	717	758	414	2034	600	674	816	244	616	641	932	374	416	565	816	903	544	1113	768	563	257	680	1120	846	527	806	449	1110
RAD21_ref7_kmer1.kmer1 ct:1	62	35	10	15	10	39	78	18	75	57	19	47	34	46	84	24	5	46	21	9	55	34	16	21	67	50	45	69	41	42	56	106	34	19	60	19	32	27	8	62	42	51	123	30	54	36	62	56	17	17	72	61	114	7	37	60	16	14	40	39	40	115	53	14	38	17	13	76	22	16	63	103	36	19	18	41	22	84	31	46	32	23	46	97	101	62	17	41	54	27	16	85	88	35	111	18	36	22	20	19	31	22	36	18	25	18	25	37	41	46	51	84	59	31	87	19	7	122	67	52	49	85	154	32	35	73	102	47	68	136	9	20	46	56	35	49	49	26	32	39	30	72	36	30	57	14	25	17	30	97	17	24	15	61	141	38	78	151	127	87	198	86	36	37	40	34	43	33	50	8	52	23	109	28	2	56	30	13	83	37	2	27	33	118	66	16	7	66	61	63	7	16	58	105	69	65	18	20	28	26	16	51	119	15	153	50	45	24	34	97	48	48	38	110	49	72	20	20	23	117	5	61	37	27
RAD21_ref7_kmer19.kmer1 ct:1	518	476	510	597	645	552	644	291	837	492	484	591	688	961	607	955	502	525	1101	546	504	637	584	1077	635	1193	427	502	483	256	995	559	731	549	532	576	420	671	889	641	705	735	653	1372	679	866	521	700	297	804	870	585	1209	720	482	633	393	768	411	761	1389	635	444	488	641	1295	590	852	561	816	873	710	753	511	626	1051	495	980	933	462	443	1172	905	873	1064	550	1002	398	822	788	1107	738	597	535	798	633	559	1450	638	628	823	990	974	815	701	764	403	746	1219	629	656	556	585	903	411	444	840	1208	510	929	939	2047	563	1039	783	443	850	450	480	640	1539	655	304	972	1033	964	1041	954	366	726	1079	691	564	892	602	837	1165	2152	606	1601	856	769	1117	500	731	1029	978	919	588	555	624	681	594	477	274	846	298	836	569	536	601	946	936	1148	400	557	609	788	665	1273	373	706	858	544	377	837	528	745	368	823	1108	501	564	911	588	824	718	770	418	2117	620	686	836	231	671	656	957	362	414	566	839	918	548	1102	818	583	257	681	1087	872	551	828	456	1156
RAD21_ref7_kmer9.kmer1 ct:1	523	474	486	567	630	511	616	247	830	483	446	656	709	918	594	876	515	517	1009	541	543	624	590	1023	626	1169	422	504	474	259	946	581	705	487	522	568	412	642	875	624	678	690	636	1284	647	816	535	680	335	786	837	616	1248	686	528	610	447	767	406	813	1379	632	447	455	613	1211	599	834	551	751	845	683	787	540	604	967	486	990	880	461	452	1094	845	857	1057	531	935	373	832	740	1070	750	558	523	799	582	550	1398	635	624	809	919	946	778	664	716	392	717	1137	602	608	543	589	846	411	447	758	1150	506	898	883	1903	549	975	761	433	802	471	492	649	1441	638	323	965	982	917	965	889	371	661	1029	686	543	863	595	756	1120	2060	584	1643	852	725	1073	486	679	1006	973	900	571	574	628	685	586	515	262	823	291	791	530	494	559	884	923	1085	397	541	588	747	655	1210	363	658	789	531	359	775	544	745	368	822	1079	499	570	885	575	777	707	738	413	1984	594	651	808	252	626	636	924	371	418	569	808	880	543	1098	762	548	248	675	1126	846	522	812	449	1067
RAD21_ref7_kmer22.kmer1 ct:1	504	467	507	605	654	541	616	327	821	495	497	581	669	940	618	923	501	513	1061	534	488	618	595	1055	624	1159	427	504	472	256	979	555	717	532	524	560	428	670	876	645	669	744	633	1340	664	833	521	693	297	787	849	582	1203	719	481	636	385	756	414	752	1397	634	442	463	620	1284	566	851	564	798	838	682	758	487	611	1027	497	962	911	455	431	1129	919	871	1074	542	972	405	817	779	1095	708	590	539	794	609	564	1429	611	612	819	938	949	801	689	741	382	746	1208	633	632	571	581	915	412	457	801	1177	505	885	892	2047	567	1014	781	435	833	455	479	621	1466	648	304	954	1015	937	1016	910	365	726	1028	658	562	892	611	813	1138	2080	583	1597	812	751	1057	499	707	990	965	920	586	549	613	685	596	469	259	829	296	804	564	536	580	954	929	1108	411	554	601	762	650	1241	373	700	834	533	358	811	505	768	367	833	1096	507	541	907	565	828	730	762	422	2058	625	678	830	227	659	647	941	356	416	561	808	899	548	1120	815	576	257	678	1054	879	519	792	445	1114
RAD21_ref7_kmer14.kmer1 ct:1	524	483	494	597	648	518	636	273	825	483	465	648	719	944	591	907	513	518	1051	548	520	636	600	1048	632	1176	428	506	477	255	974	559	727	538	527	565	412	661	859	639	706	727	645	1323	679	841	536	702	333	809	861	614	1233	704	506	632	425	762	403	795	1375	627	448	478	625	1275	618	840	569	804	854	695	784	535	631	1020	492	994	898	466	447	1147	874	869	1073	549	1016	386	854	746	1109	734	576	539	813	622	550	1422	643	626	826	942	975	809	687	746	399	735	1200	631	635	541	586	874	415	453	816	1190	515	925	917	1977	558	1021	775	434	806	457	490	623	1488	648	323	970	1006	958	1000	927	376	695	1056	662	566	880	585	776	1167	2136	592	1637	862	733	1096	496	695	1028	981	882	595	565	597	675	596	506	267	848	288	840	546	507	571	920	944	1129	399	550	591	788	653	1245	378	693	814	534	362	815	550	740	369	843	1109	498	582	916	588	808	722	758	425	2078	609	684	817	237	642	640	954	375	412	569	833	918	549	1111	786	568	257	685	1116	852	533	818	453	1141
RAD21_ref7_kmer17.kmer1 ct:1	526	484	510	603	651	548	654	291	846	500	482	626	734	959	620	941	511	537	1077	555	520	653	600	1086	645	1205	427	504	483	255	999	563	740	551	532	576	428	683	889	641	720	750	665	1381	684	869	537	721	330	823	889	608	1238	722	500	645	407	769	412	775	1405	646	449	488	636	1301	617	870	571	810	864	718	775	523	635	1057	500	1003	941	469	454	1168	904	894	1089	555	1011	409	853	773	1116	738	597	548	818	653	559	1477	650	631	846	988	988	825	694	767	403	746	1231	646	660	550	586	903	416	455	840	1213	517	935	947	2015	566	1037	788	458	837	467	505	640	1539	658	304	993	1026	984	1028	958	383	732	1084	688	567	898	608	838	1196	2165	606	1630	875	770	1127	509	732	1060	993	903	616	566	624	681	613	496	274	853	297	836	553	532	596	952	951	1150	410	557	619	784	676	1280	378	711	868	550	382	831	564	743	376	848	1134	510	586	938	588	814	739	782	416	2103	634	686	843	231	656	660	963	373	416	579	839	928	558	1112	803	589	262	688	1122	892	551	835	456	1153
RAD21_ref7_kmer15.kmer1 ct:1	527	483	505	597	662	543	647	283	847	501	484	648	738	966	611	946	513	537	1074	562	520	656	600	1075	643	1203	428	515	495	255	1004	575	747	538	543	565	430	661	883	657	706	749	664	1363	705	871	536	727	333	826	895	624	1239	724	506	650	428	775	419	775	1409	645	448	478	639	1315	622	864	576	804	870	719	790	533	643	1070	492	1015	928	477	456	1186	898	893	1103	549	1016	407	871	770	1124	744	597	553	824	646	550	1481	652	627	849	971	993	829	701	764	404	754	1235	631	662	556	597	894	415	453	842	1228	527	940	941	2039	558	1040	788	462	842	457	505	641	1529	658	323	1000	1040	986	1031	967	376	725	1082	683	566	905	603	831	1206	2184	602	1656	892	757	1137	507	735	1070	1005	914	595	565	626	697	611	501	276	869	297	858	548	520	589	954	944	1164	416	565	614	806	666	1287	378	705	862	555	382	832	566	753	379	860	1135	517	595	957	588	808	748	781	425	2130	620	684	835	237	642	661	971	379	428	580	859	935	549	1129	809	587	257	685	1136	899	549	849	453	1172
RAD21_ref7_kmer18.kmer1 ct:1	526	484	510	596	646	548	647	291	846	492	482	626	708	960	607	939	505	525	1083	555	512	639	592	1073	637	1198	427	504	483	250	990	562	731	547	532	576	428	675	892	641	711	743	644	1373	672	866	521	705	318	817	877	598	1217	719	486	630	396	768	411	765	1396	633	449	488	636	1287	607	852	567	805	864	713	754	519	619	1051	495	985	933	466	445	1168	906	882	1089	550	1001	403	833	784	1114	727	597	536	804	633	559	1468	642	627	836	988	969	820	698	764	403	742	1215	639	656	555	580	902	416	447	838	1198	509	922	937	2021	566	1033	783	446	840	456	480	637	1533	650	304	972	1024	970	1027	951	383	726	1075	690	564	898	597	832	1173	2147	606	1606	867	763	1112	500	727	1042	985	908	602	553	624	676	600	481	274	846	298	828	551	532	597	944	939	1141	403	557	612	783	676	1271	373	705	857	550	382	831	546	742	373	838	1132	510	574	914	588	814	723	768	416	2101	625	686	841	231	656	656	961	365	416	568	834	912	551	1102	814	589	262	685	1090	878	547	822	456	1153
