seq_name	BA2040	BA2160	BA2303	BA2353	BA2516	BA2590	BA2647	BA2891	BA2924	BA2971	BA3036	BA3059	BA3073	BA3078	BA3079	BA3083	BA3084	BA3085	BA3087	BA3089	BA3094	BA3095	BA3098	BA3099	BA3103	BA3108	BA3109	BA3110	BA3114	BA3116	BA3117	BA3118	BA3119	BA3123	BA3124	BA3126	BA3128	BA3130	BA3133	BA3135	BA3136	BA3137	BA3138	BA3139	BA3141	BA3142	BA3145	BA3146	BA3149	BA3152	BA3153	BA3154	BA3156	BA3157	BA3158	BA3162	BA3163	BA3164	BA3167	BA3169	BA3171	BA3173	BA3174	BA3175	BA3176	BA3177	BA3178	BA3180	BA3181	BA3182	BA3183	BA3185	BA3186	BA3187	BA3189	BA3190	BA3191	BA3192	BA3194	BA3195	BA3197	BA3199	BA3200	BA3202	BA3203	BA3206	BA3207	BA3208	BA3210	BA3211	BA3212	BA3213	BA3214	BA3216	BA3217	BA3219	BA3221	BA3222	BA3225	BA3226	BA3227	BA3228	BA3229	BA3230	BA3232	BA3234	BA3235	BA3237	BA3240	BA3242	BA3243	BA3245	BA3249	BA3250	BA3251	BA3255	BA3258	BA3260	BA3261	BA3264	BA3266	BA3268	BA3269	BA3270	BA3271	BA3273	BA3275	BA3277	BA3280	BA3283	BA3285	BA3286	BA3289	BA3290	BA3293	BA3295	BA3296	BA3297	BA3299	BA3300	BA3302	BA3305	BA3306	BA3308	BA3310	BA3311	BA3312	BA3315	BA3317	BA3318	BA3319	BA3322	BA3324	BA3325	BA3326	BA3328	BA3329	BA3332	BA3333	BA3334	BA3335	BA3339	BA3341	BA3345	BA3347	BA3351	BA3352	BA3353	BA3357	BA3362	BA3367	BA3369	BA3371	BA3373	BA3374	BA3375	BA3376	BA3379	BA3380	BA3381	BA3384	BA3385	BA3386	BA3388	BA3390	BA3394	BA3395	BA3397	BA3399	BA3400	BA3403	BA3405	BA3406	BA3407	BA3408	BA3410	BA3411	BA3412	BA3413	BA3415	BA3416	BA3417	BA3418	BA3421	BA3422	BA3423	BA3427	BA3430	BA3431	BA3433	BA3434	BA3435	BA3436	BA3438	BA3445	BA3446	BA3447	BA3448	BA3449	BA3450	BA3451	BA3452	BA3453	BA3454
RUNX1_ref29_kmer5.kmer1 ct:1	396	1040	547	1677	783	1604	1070	929	697	940	664	345	941	1246	441	798	553	620	850	1092	457	1224	1659	1484	1060	1045	828	462	356	339	536	664	1773	365	515	551	996	412	692	940	850	1088	1018	1701	930	1818	725	1285	1415	478	94	622	517	1512	667	1207	235	1236	630	455	927	310	998	508	785	1732	291	1477	1018	902	1152	336	1110	853	1473	258	744	1214	602	1616	829	854	1284	327	338	537	797	784	921	1953	880	1252	418	825	1251	303	312	488	736	1537	1818	2055	2016	660	890	890	527	566	1353	1265	730	709	728	1393	780	1141	474	466	370	1274	1280	1195	560	846	1670	126	1608	1019	986	469	1539	949	357	604	2126	976	329	1398	660	617	1557	581	576	2069	1071	770	516	554	1289	612	854	377	958	753	206	1164	467	1021	1464	313	1316	282	723	404	484	478	967	992	447	544	458	1132	399	940	217	1102	1597	568	688	904	903	880	1646	601	354	583	1326	1434	342	1597	623	1018	750	449	217	786	539	196	485	1775	405	392	678	322	1053	1050	472	183	465	1511	1394	1244	1290	1015	759	362	213	703	760	920	585	949	586	2305
RUNX1_ref29_kmer28.kmer1 ct:1	363	963	526	1581	704	1604	1082	832	655	950	611	352	890	1301	423	765	517	560	821	1026	440	1181	1628	1484	1038	1053	851	455	357	351	518	637	1802	357	495	524	944	375	693	914	817	1064	997	1689	945	1778	751	1293	1379	502	232	581	515	1495	653	1173	234	1193	587	453	938	329	995	519	761	1685	255	1474	960	912	1176	329	1021	834	1512	287	730	1158	638	1612	807	926	1290	334	354	546	827	815	977	2032	874	1276	442	819	1262	307	308	494	721	1410	1783	2048	1985	652	871	913	503	583	1345	1184	725	696	671	1402	766	1107	469	498	366	1233	1225	1216	586	834	1629	123	1649	1051	925	514	1555	900	355	604	2153	946	318	1387	651	626	1573	597	593	1979	1053	777	488	527	1241	576	892	377	954	733	201	1216	508	1098	1551	293	1375	266	722	383	430	466	938	991	441	499	482	1122	387	916	182	1053	1611	560	670	922	887	883	1600	649	333	617	1328	1448	337	1648	590	957	745	419	204	796	541	192	478	1823	409	409	663	317	1103	1038	465	171	464	1473	1414	1214	1230	1019	783	332	221	652	725	912	562	958	581	2323
RUNX1_ref29_kmer3.kmer1 ct:1	396	1030	538	1670	783	1569	1052	926	683	938	658	345	908	1202	427	784	548	608	828	1069	453	1201	1647	1477	1043	1029	818	462	356	342	535	650	1717	365	513	542	985	412	682	936	849	1067	1000	1653	936	1765	720	1268	1380	466	85	616	517	1512	666	1184	231	1219	626	455	920	302	988	508	779	1693	287	1446	1011	881	1157	322	1097	847	1416	261	738	1184	597	1589	824	841	1273	327	340	533	786	776	904	1915	871	1218	406	820	1225	303	312	485	734	1518	1786	2004	1944	652	881	870	513	570	1336	1250	729	690	706	1386	762	1141	463	438	363	1248	1255	1167	561	838	1661	116	1564	995	971	478	1490	939	357	585	2056	941	315	1393	652	602	1513	563	564	2041	1052	740	508	552	1281	610	813	374	919	751	206	1128	441	1005	1431	313	1289	275	705	404	473	476	965	981	436	539	458	1097	393	903	211	1081	1572	578	672	877	882	863	1591	598	345	587	1298	1417	342	1552	615	998	754	449	213	773	539	196	485	1745	405	381	669	326	1016	1036	462	185	460	1486	1345	1222	1279	1010	749	362	213	698	754	908	579	925	578	2256
RUNX1_ref29_kmer8.kmer1 ct:1	396	1054	542	1650	781	1651	1082	937	703	948	641	355	947	1292	441	830	561	620	878	1090	457	1228	1684	1536	1060	1053	843	469	363	352	555	680	1850	365	516	556	995	412	700	944	873	1120	1040	1739	974	1836	742	1314	1451	486	94	625	517	1511	669	1204	240	1240	642	453	937	309	1021	522	797	1775	293	1514	1009	925	1194	339	1115	875	1534	273	758	1205	629	1637	825	894	1298	327	338	540	846	804	941	1997	905	1296	418	829	1279	312	323	494	754	1569	1851	2093	2089	675	891	904	538	597	1422	1284	745	708	731	1417	799	1155	493	466	376	1324	1317	1232	574	895	1658	122	1708	1039	990	495	1584	960	362	628	2183	990	329	1456	670	622	1590	602	594	2089	1093	789	516	574	1283	614	900	377	983	771	206	1203	483	1063	1491	314	1372	285	721	414	466	478	980	1029	456	542	485	1144	398	967	206	1121	1624	593	693	942	910	905	1661	630	359	618	1345	1477	343	1628	621	998	754	434	217	804	547	196	496	1838	398	410	682	315	1102	1075	472	183	460	1536	1450	1271	1317	1006	811	362	213	701	767	920	594	984	596	2382
RUNX1_ref29_kmer0.kmer1 ct:1	391	1037	539	1657	788	1569	1044	918	679	939	654	348	919	1209	423	788	543	615	832	1051	462	1197	1649	1490	1010	1036	795	463	357	341	518	650	1725	361	508	547	972	411	673	934	835	1067	1001	1647	944	1769	727	1278	1383	462	85	606	524	1538	666	1180	229	1198	622	451	913	306	992	506	784	1712	287	1455	994	886	1126	322	1100	853	1423	253	735	1186	596	1579	811	820	1257	327	340	528	769	758	892	1886	843	1228	392	834	1245	303	303	483	737	1530	1773	1964	1983	650	882	852	503	575	1359	1238	732	675	703	1392	762	1143	459	438	353	1278	1248	1157	546	828	1642	116	1582	1004	971	462	1470	934	346	585	2065	948	307	1364	643	601	1483	563	563	2036	1035	734	489	533	1296	612	813	375	892	741	208	1113	445	987	1445	313	1279	275	698	402	474	472	965	998	439	546	450	1078	393	899	211	1091	1560	584	672	870	878	852	1574	606	343	588	1271	1424	347	1538	612	996	759	451	213	757	525	192	482	1756	414	381	657	331	1020	1027	463	187	463	1473	1369	1211	1264	1006	740	351	213	701	762	920	587	929	579	2240
RUNX1_ref29_kmer19.kmer1 ct:1	393	1036	534	1681	745	1675	1079	907	706	976	654	377	975	1378	455	835	560	631	917	1063	465	1222	1657	1583	1084	1066	881	465	371	364	552	681	1915	382	528	542	987	418	723	969	879	1115	1048	1819	999	1862	773	1322	1436	501	94	622	538	1536	683	1214	240	1236	640	469	960	325	1033	538	808	1772	280	1529	1013	968	1232	352	1090	900	1603	288	742	1198	673	1666	835	946	1342	339	357	563	863	840	996	2078	948	1336	439	848	1318	318	314	525	752	1557	1866	2135	2114	718	892	951	535	623	1444	1260	724	728	707	1438	821	1194	499	497	385	1331	1308	1264	596	890	1674	123	1735	1093	990	523	1646	971	382	647	2215	1007	338	1481	677	641	1656	637	611	2064	1107	825	530	587	1299	610	939	378	1018	779	216	1266	517	1115	1581	315	1404	300	746	430	475	498	969	1064	475	530	502	1151	416	981	206	1134	1652	598	687	992	905	937	1678	656	364	639	1413	1510	348	1703	630	981	758	432	216	810	567	202	526	1892	426	432	671	331	1166	1068	498	178	462	1573	1505	1290	1306	1064	815	349	221	690	747	919	595	1013	610	2448
RUNX1_ref29_kmer24.kmer1 ct:1	377	1003	537	1656	725	1673	1098	873	678	970	628	370	952	1382	439	807	557	607	876	1077	461	1226	1668	1569	1074	1078	883	469	373	359	535	678	1902	378	522	524	990	407	702	953	847	1123	1040	1809	993	1845	766	1315	1419	497	94	604	533	1530	675	1212	235	1213	627	473	956	329	1035	541	800	1739	270	1524	996	955	1204	342	1071	884	1594	287	730	1207	666	1670	835	953	1339	334	363	557	827	834	994	2116	905	1314	442	847	1329	307	322	494	721	1516	1878	2123	2097	689	891	943	524	617	1407	1248	734	712	711	1456	797	1161	501	498	379	1288	1285	1262	586	881	1676	123	1728	1096	961	520	1607	935	386	627	2206	995	329	1467	665	643	1630	622	607	2070	1105	808	505	570	1304	591	929	383	1001	767	213	1262	522	1117	1617	310	1422	284	739	399	455	466	960	1033	454	517	495	1147	413	956	182	1125	1684	582	680	964	911	931	1671	657	348	648	1412	1503	337	1686	613	963	756	431	204	811	574	202	525	1878	433	427	663	326	1169	1058	477	178	469	1550	1474	1272	1281	1053	815	349	221	688	742	924	581	1004	601	2427
RUNX1_ref29_kmer11.kmer1 ct:1	382	1034	532	1622	751	1624	1062	916	683	913	641	355	934	1290	441	839	544	624	876	1054	457	1177	1605	1536	1035	1025	830	458	356	354	542	663	1879	365	511	538	962	412	699	925	864	1078	1045	1734	968	1802	733	1299	1413	485	94	600	516	1466	654	1188	233	1198	637	447	916	312	991	529	781	1757	288	1494	977	937	1206	339	1066	860	1542	275	729	1183	631	1592	803	886	1284	327	338	540	841	792	932	1948	909	1282	427	803	1266	309	313	492	740	1512	1841	2059	2094	675	875	895	521	607	1409	1248	716	700	706	1389	784	1136	487	466	376	1300	1281	1237	568	879	1625	122	1708	1019	965	512	1585	950	363	632	2203	984	333	1457	657	617	1577	611	602	2023	1072	786	516	576	1254	607	894	377	987	747	213	1219	486	1071	1512	304	1361	292	718	414	466	485	953	1018	456	520	478	1130	398	962	206	1107	1597	592	676	951	883	902	1636	619	358	618	1332	1475	343	1595	617	984	735	434	217	782	544	194	495	1841	398	415	673	315	1111	1027	482	182	462	1503	1448	1224	1281	991	810	355	219	678	738	907	579	977	604	2374
RUNX1_ref29_kmer27.kmer1 ct:1	363	963	522	1574	706	1586	1074	835	655	941	611	352	900	1312	423	776	517	560	876	1023	446	1181	1624	1484	1035	1061	851	455	369	351	518	678	1817	357	495	524	946	407	690	914	819	1071	997	1725	940	1766	758	1288	1376	495	232	594	515	1496	653	1172	234	1185	614	453	932	329	992	519	760	1694	255	1475	960	912	1182	329	1021	834	1549	287	730	1161	638	1600	807	933	1291	334	354	543	827	815	975	2031	874	1276	442	819	1262	307	308	494	721	1448	1806	2041	2042	652	863	921	503	583	1345	1184	736	696	671	1402	770	1104	480	498	366	1238	1225	1212	586	850	1629	123	1660	1052	925	514	1546	903	355	604	2158	957	323	1404	651	627	1566	597	593	1980	1056	777	490	527	1239	576	894	382	954	745	201	1216	508	1102	1554	293	1380	284	722	383	440	466	935	991	441	499	482	1127	387	916	182	1076	1621	563	664	922	891	896	1600	649	333	617	1322	1448	337	1638	590	949	743	419	204	796	541	192	478	1815	424	409	663	317	1135	1030	470	171	464	1481	1422	1217	1229	1019	783	332	221	652	719	903	562	959	581	2328
RUNX1_ref29_kmer29.kmer1 ct:1	347	928	503	1522	676	1536	1047	788	619	904	590	314	857	1249	423	719	480	560	821	981	440	1181	1554	1410	991	1011	851	455	357	332	518	637	1709	357	462	524	901	375	666	914	790	1012	997	1689	898	1703	712	1228	1303	475	232	581	486	1442	601	1131	226	1129	587	453	899	329	963	487	736	1605	255	1391	910	864	1116	329	960	801	1512	280	689	1129	638	1545	762	901	1219	334	354	514	827	769	945	1939	838	1205	442	782	1206	299	308	494	665	1410	1699	1961	1985	624	830	877	503	555	1271	1115	725	666	624	1345	742	1074	469	498	366	1178	1178	1177	548	819	1557	123	1583	989	859	485	1499	850	355	582	2047	914	291	1334	612	591	1511	592	593	1891	1010	777	473	527	1184	550	844	377	918	689	201	1168	475	1055	1486	293	1310	266	686	356	430	466	885	991	411	473	447	1081	387	868	182	1053	1529	522	640	879	843	883	1533	616	333	617	1258	1384	312	1598	572	903	699	395	204	760	541	192	478	1750	409	383	663	306	1103	996	440	171	438	1430	1354	1171	1172	966	756	307	221	652	691	865	535	911	539	2249
