seq_name	BA2040	BA2160	BA2303	BA2353	BA2516	BA2590	BA2647	BA2891	BA2924	BA2971	BA3036	BA3059	BA3073	BA3078	BA3079	BA3083	BA3084	BA3085	BA3087	BA3089	BA3094	BA3095	BA3098	BA3099	BA3103	BA3108	BA3109	BA3110	BA3114	BA3116	BA3117	BA3118	BA3119	BA3123	BA3124	BA3126	BA3128	BA3130	BA3133	BA3135	BA3136	BA3137	BA3138	BA3139	BA3141	BA3142	BA3145	BA3146	BA3149	BA3152	BA3153	BA3154	BA3156	BA3157	BA3158	BA3162	BA3163	BA3164	BA3167	BA3169	BA3171	BA3173	BA3174	BA3175	BA3176	BA3177	BA3178	BA3180	BA3181	BA3182	BA3183	BA3185	BA3186	BA3187	BA3189	BA3190	BA3191	BA3192	BA3194	BA3195	BA3197	BA3199	BA3200	BA3202	BA3203	BA3206	BA3207	BA3208	BA3210	BA3211	BA3212	BA3213	BA3214	BA3216	BA3217	BA3219	BA3221	BA3222	BA3225	BA3226	BA3227	BA3228	BA3229	BA3230	BA3232	BA3234	BA3235	BA3237	BA3240	BA3242	BA3243	BA3245	BA3249	BA3250	BA3251	BA3255	BA3258	BA3260	BA3261	BA3264	BA3266	BA3268	BA3269	BA3270	BA3271	BA3273	BA3275	BA3277	BA3280	BA3283	BA3285	BA3286	BA3289	BA3290	BA3293	BA3295	BA3296	BA3297	BA3299	BA3300	BA3302	BA3305	BA3306	BA3308	BA3310	BA3311	BA3312	BA3315	BA3317	BA3318	BA3319	BA3322	BA3324	BA3325	BA3326	BA3328	BA3329	BA3332	BA3333	BA3334	BA3335	BA3339	BA3341	BA3345	BA3347	BA3351	BA3352	BA3353	BA3357	BA3362	BA3367	BA3369	BA3371	BA3373	BA3374	BA3375	BA3376	BA3379	BA3380	BA3381	BA3384	BA3385	BA3386	BA3388	BA3390	BA3394	BA3395	BA3397	BA3399	BA3400	BA3403	BA3405	BA3406	BA3407	BA3408	BA3410	BA3411	BA3412	BA3413	BA3415	BA3416	BA3417	BA3418	BA3421	BA3422	BA3423	BA3427	BA3430	BA3431	BA3433	BA3434	BA3435	BA3436	BA3438	BA3445	BA3446	BA3447	BA3448	BA3449	BA3450	BA3451	BA3452	BA3453	BA3454
SRSF2_ref0_kmer15.kmer1 ct:1	1573	1073	1284	1584	1424	2773	1166	647	1555	1414	1295	1255	1632	1386	1795	1928	1752	1549	2096	1479	1414	1626	1568	2528	1329	1473	996	1344	1186	1427	2606	1440	1820	923	873	1047	1764	618	2093	1858	1545	1228	1917	2968	1727	1054	966	1622	1203	1889	2133	1983	1584	2594	1268	883	1115	1894	1018	1326	2030	2925	1084	937	1552	3380	1404	1527	748	2011	1966	1122	1988	1511	1634	1298	1132	1547	2391	970	967	3435	1335	2969	2090	1522	837	1199	1983	1297	1676	2153	990	1519	1738	1239	1059	2058	771	1855	1175	1816	1660	1449	2003	956	1156	1404	1306	980	1623	1353	1036	2465	1637	1968	1444	1348	1299	2644	1635	1905	963	1881	2100	1256	2158	2028	1272	1755	2802	1871	880	1624	2260	1711	1621	1688	1477	1474	2094	1186	1098	1009	1104	1196	2325	1668	1582	1306	1216	1427	2219	893	1611	1718	3016	2879	2105	727	1499	1276	830	1347	1784	3461	795	2181	1874	2178	1658	2465	1993	2470	786	1259	1426	1636	1254	2084	1614	1198	2128	838	947	1554	1366	2073	861	1759	1882	858	1874	2245	1175	2136	1893	2247	2230	3363	1387	2321	1143	795	2218	1851	1459	891	796	1687	1780	1225	1425	2812	1999	1337	676	1409	1354	1643	1203	1202	1315	2790
SRSF2_ref0_kmer24.kmer1 ct:1	1630	1071	1283	1625	1469	2840	1154	882	1572	1441	1321	1272	1621	1374	1793	1951	1805	1562	2122	1468	1406	1647	1622	2566	1320	1497	1012	1348	1171	1388	2599	1480	1840	917	840	1035	1763	623	2117	1857	1557	1236	1960	3026	1694	1051	969	1671	1236	1895	2129	1997	1608	2620	1302	890	1150	1917	1062	1372	2085	2963	1098	953	1596	3406	1389	1545	748	2035	1972	1098	2043	1563	1626	1273	1151	1526	2391	946	962	3401	1347	3061	2100	1508	856	1199	2031	1312	1696	2153	972	1548	1760	1202	1093	2065	757	1867	1195	1864	1676	1466	2024	960	1181	1395	1291	1007	1595	1347	1055	2542	1665	1962	1432	1353	1318	2603	1639	1924	963	1884	2145	1232	2142	2073	1297	1761	2888	1901	897	1603	2278	1706	1649	1665	1486	1508	2113	1159	1082	999	1094	1213	2278	1691	1573	1353	1190	1424	2268	886	1617	1673	2990	3006	2122	747	1486	1275	807	1387	1825	3497	782	2196	1928	2270	1664	2512	2019	2440	781	1311	1427	1610	1272	2090	1591	1207	2153	840	950	1541	1387	2106	866	1734	1916	870	1890	2225	1203	2168	1917	2309	2197	3385	1387	2333	1142	797	2192	1823	1442	907	785	1658	1767	1220	1429	2823	2022	1365	659	1391	1331	1627	1270	1184	1322	2826
SRSF2_ref0_kmer6.kmer1 ct:1	1464	1028	1180	1464	1359	2589	1103	408	1475	1337	1223	1159	1483	1322	1655	1805	1637	1424	1974	1369	1328	1526	1426	2379	1254	1374	943	1252	1104	1359	2482	1324	1758	877	810	973	1619	578	1999	1729	1455	1138	1762	2777	1589	979	904	1501	1115	1767	2007	1841	1473	2381	1206	802	1021	1780	925	1233	1865	2753	1003	850	1466	3140	1295	1415	712	1887	1830	1062	1853	1414	1541	1239	1084	1435	2280	918	891	3240	1244	2766	1936	1407	781	1126	1858	1212	1554	2035	938	1460	1664	1163	973	1895	725	1751	1112	1692	1587	1365	1871	881	1068	1329	1236	925	1518	1276	973	2247	1504	1862	1363	1286	1240	2505	1550	1774	923	1774	1935	1205	2029	1877	1169	1692	2638	1722	811	1519	2144	1607	1525	1589	1381	1363	1988	1112	1024	962	1034	1148	2215	1561	1508	1219	1154	1343	2122	841	1511	1609	2797	2653	2010	670	1406	1224	776	1232	1632	3223	772	2026	1768	2021	1567	2251	1842	2355	741	1159	1331	1536	1186	1929	1537	1116	1997	781	883	1434	1227	1919	806	1691	1717	816	1767	2106	1087	2018	1788	2107	2088	3219	1300	2164	1050	750	2098	1708	1378	841	751	1557	1690	1157	1339	2673	1902	1245	642	1336	1231	1509	1124	1133	1208	2613
SRSF2_ref0_kmer5.kmer1 ct:1	1434	1012	1153	1447	1316	2532	1075	349	1443	1318	1195	1138	1465	1287	1639	1774	1614	1388	1941	1340	1291	1485	1376	2336	1235	1322	918	1217	1068	1336	2431	1290	1725	862	778	948	1567	562	1958	1698	1434	1124	1728	2743	1548	951	886	1488	1105	1736	1964	1818	1458	2335	1192	779	1006	1741	891	1220	1836	2682	981	839	1446	3085	1278	1393	693	1832	1795	1032	1807	1402	1508	1217	1052	1414	2242	890	873	3174	1218	2699	1877	1366	755	1103	1825	1193	1527	1992	907	1429	1619	1145	948	1853	711	1721	1107	1662	1567	1331	1833	857	1039	1311	1209	914	1490	1253	962	2216	1473	1796	1345	1249	1225	2447	1526	1734	903	1733	1917	1177	1989	1847	1149	1651	2602	1681	789	1475	2086	1591	1488	1550	1355	1349	1943	1091	1008	933	1030	1143	2182	1551	1471	1181	1147	1298	2094	826	1466	1581	2725	2610	1972	655	1380	1204	758	1220	1595	3182	739	1967	1731	1978	1542	2223	1817	2310	726	1144	1307	1494	1145	1883	1491	1109	1939	773	847	1403	1210	1887	780	1634	1697	787	1738	2088	1050	1970	1752	2081	2038	3182	1283	2125	1014	732	2072	1669	1348	823	735	1521	1643	1140	1295	2621	1866	1237	617	1289	1204	1472	1117	1100	1182	2552
SRSF2_ref0_kmer19.kmer1 ct:1	1575	1054	1261	1570	1423	2768	1142	751	1558	1410	1295	1264	1609	1343	1768	1917	1759	1554	2056	1455	1412	1609	1574	2507	1311	1486	1002	1338	1152	1385	2556	1448	1801	916	849	1029	1730	618	2085	1832	1552	1216	1911	2945	1671	1032	958	1620	1207	1855	2096	1973	1592	2584	1285	889	1120	1885	1037	1333	2036	2913	1077	945	1548	3346	1388	1521	738	2002	1943	1069	1994	1517	1596	1244	1133	1508	2361	948	953	3372	1330	2977	2063	1492	837	1188	1997	1287	1669	2129	959	1518	1726	1192	1062	2038	746	1855	1179	1830	1631	1453	1997	942	1151	1363	1265	976	1582	1341	1034	2470	1625	1927	1412	1331	1287	2573	1607	1866	960	1840	2103	1220	2113	2027	1271	1722	2813	1874	886	1580	2227	1682	1609	1635	1464	1478	2077	1134	1081	996	1098	1190	2242	1641	1556	1319	1158	1419	2211	885	1577	1651	2929	2903	2083	740	1450	1240	805	1354	1785	3412	789	2152	1864	2196	1633	2452	1991	2398	776	1258	1423	1587	1262	2042	1558	1175	2113	832	944	1518	1373	2048	859	1716	1897	846	1830	2179	1185	2120	1896	2255	2182	3327	1361	2295	1128	787	2150	1816	1418	895	785	1631	1729	1211	1414	2790	1976	1336	663	1390	1328	1626	1217	1171	1300	2761
SRSF2_ref0_kmer22.kmer1 ct:1	1580	1051	1262	1600	1444	2788	1151	836	1553	1423	1302	1269	1613	1370	1770	1957	1772	1553	2115	1466	1412	1621	1588	2531	1313	1477	1004	1336	1165	1388	2604	1459	1844	903	844	1038	1735	615	2095	1838	1540	1221	1952	2967	1696	1031	957	1631	1212	1868	2103	1973	1593	2581	1280	889	1129	1893	1047	1334	2044	2937	1090	947	1591	3412	1390	1526	740	2025	1960	1099	2008	1520	1638	1262	1148	1519	2381	941	957	3424	1332	3010	2082	1512	859	1192	2005	1297	1668	2167	979	1535	1725	1195	1081	2056	755	1854	1187	1838	1680	1468	2016	945	1159	1371	1288	995	1592	1339	1039	2487	1636	1954	1439	1356	1301	2610	1652	1907	963	1868	2118	1240	2134	2031	1284	1747	2840	1882	892	1593	2270	1686	1647	1662	1466	1492	2093	1165	1080	1005	1092	1208	2293	1688	1558	1336	1195	1418	2229	887	1604	1679	2994	2983	2102	745	1475	1278	814	1353	1795	3504	782	2180	1900	2234	1684	2482	1996	2440	778	1276	1425	1615	1263	2075	1588	1185	2129	841	944	1548	1372	2095	860	1722	1908	849	1863	2189	1189	2158	1906	2274	2176	3411	1369	2313	1125	784	2195	1815	1449	898	794	1643	1762	1219	1424	2807	2015	1345	665	1387	1321	1624	1243	1192	1298	2832
SRSF2_ref0_kmer8.kmer1 ct:1	1479	1050	1199	1509	1390	2648	1119	470	1516	1367	1251	1183	1527	1334	1700	1827	1678	1463	2011	1401	1367	1563	1463	2418	1280	1403	960	1296	1138	1402	2500	1389	1772	892	837	1002	1673	588	2020	1768	1473	1160	1793	2836	1622	993	928	1541	1146	1813	2042	1891	1514	2450	1236	829	1040	1812	967	1267	1909	2813	1032	873	1474	3176	1326	1455	712	1911	1867	1094	1922	1424	1563	1250	1109	1470	2321	942	926	3270	1281	2841	1981	1450	790	1146	1899	1227	1586	2068	961	1493	1676	1173	1007	1948	740	1819	1150	1723	1602	1401	1921	898	1094	1353	1258	943	1552	1303	993	2307	1550	1929	1370	1285	1262	2538	1568	1805	947	1794	1974	1226	2065	1905	1206	1715	2673	1781	830	1544	2164	1622	1539	1619	1399	1402	2033	1144	1049	985	1055	1153	2221	1582	1531	1257	1165	1378	2159	885	1526	1625	2841	2697	2041	696	1421	1238	803	1274	1675	3247	789	2048	1787	2069	1586	2316	1899	2379	774	1202	1360	1580	1218	1963	1584	1131	2038	802	883	1458	1269	1940	828	1751	1767	816	1801	2136	1123	2050	1809	2153	2117	3248	1327	2204	1070	771	2117	1758	1396	872	770	1610	1716	1176	1377	2732	1933	1270	655	1367	1288	1554	1164	1142	1244	2642
SRSF2_ref0_kmer14.kmer1 ct:1	1583	1079	1278	1600	1436	2787	1172	655	1569	1423	1307	1271	1637	1393	1815	1924	1766	1551	2100	1486	1414	1647	1583	2538	1343	1480	1004	1360	1191	1459	2617	1455	1820	936	892	1058	1770	618	2104	1852	1554	1239	1915	2965	1737	1054	966	1630	1207	1901	2151	1982	1588	2612	1276	874	1118	1893	1013	1325	2038	2952	1093	938	1547	3366	1407	1538	756	2013	1970	1122	2009	1511	1632	1298	1145	1554	2409	982	978	3431	1346	2972	2097	1525	834	1228	1981	1316	1679	2169	1000	1537	1749	1245	1059	2051	776	1879	1189	1822	1671	1469	2006	966	1156	1416	1314	985	1629	1367	1044	2462	1651	1994	1446	1355	1313	2665	1648	1912	974	1880	2093	1259	2167	2034	1282	1773	2805	1876	880	1619	2273	1717	1622	1688	1478	1487	2110	1196	1099	1014	1115	1202	2323	1658	1582	1319	1216	1441	2228	900	1599	1716	3022	2849	2129	740	1505	1285	835	1347	1795	3462	807	2162	1878	2187	1660	2461	1998	2476	786	1264	1445	1654	1280	2084	1627	1192	2137	837	948	1556	1363	2078	865	1796	1884	866	1881	2240	1182	2143	1892	2242	2243	3360	1388	2336	1149	804	2228	1851	1459	903	813	1687	1789	1239	1436	2823	2014	1346	676	1412	1354	1653	1203	1203	1320	2780
SRSF2_ref0_kmer23.kmer1 ct:1	1634	1082	1286	1625	1478	2842	1163	871	1576	1434	1327	1284	1628	1383	1799	1963	1814	1571	2126	1478	1424	1651	1622	2565	1322	1503	1018	1356	1188	1405	2623	1483	1856	917	855	1046	1763	623	2117	1862	1559	1230	1958	3016	1703	1046	969	1665	1241	1891	2128	1995	1616	2627	1311	889	1150	1922	1062	1381	2085	2974	1090	959	1604	3424	1395	1547	752	2052	1988	1104	2058	1564	1638	1283	1148	1533	2399	947	966	3424	1347	3054	2107	1516	866	1209	2031	1318	1702	2174	979	1560	1761	1203	1103	2077	758	1879	1203	1866	1693	1478	2030	960	1181	1394	1299	1005	1592	1353	1058	2534	1668	1975	1442	1364	1330	2623	1656	1932	963	1898	2149	1242	2155	2084	1305	1779	2883	1910	904	1612	2298	1706	1657	1672	1492	1511	2113	1171	1090	1016	1096	1208	2303	1703	1577	1357	1195	1428	2266	887	1617	1690	3015	3011	2124	761	1493	1283	814	1394	1834	3520	782	2194	1928	2263	1692	2510	2015	2464	778	1305	1425	1627	1281	2098	1591	1205	2161	841	950	1558	1382	2108	873	1746	1932	870	1890	2226	1203	2175	1923	2308	2207	3421	1387	2336	1144	807	2205	1832	1453	907	794	1670	1776	1228	1441	2832	2024	1364	665	1401	1341	1625	1269	1187	1331	2848
SRSF2_ref0_kmer27.kmer1 ct:1	1629	1078	1290	1642	1474	2850	1157	916	1585	1459	1325	1267	1614	1372	1787	1955	1796	1584	2123	1481	1406	1640	1640	2585	1320	1502	1007	1348	1181	1396	2601	1478	1827	927	847	1033	1769	623	2118	1861	1571	1246	1981	3041	1699	1061	968	1684	1233	1899	2143	2000	1606	2643	1290	890	1143	1922	1067	1370	2092	2971	1105	946	1596	3409	1400	1531	748	2056	1969	1092	2041	1553	1619	1277	1155	1533	2392	952	966	3418	1348	3084	2103	1522	864	1197	2037	1344	1703	2151	973	1566	1761	1205	1092	2083	758	1863	1192	1883	1700	1475	2040	960	1201	1398	1294	1010	1605	1348	1061	2563	1658	1971	1435	1355	1334	2604	1634	1923	965	1905	2174	1225	2128	2081	1297	1769	2918	1908	896	1613	2286	1716	1659	1655	1493	1522	2116	1167	1080	1005	1089	1232	2278	1691	1587	1356	1193	1421	2298	891	1602	1693	3006	3022	2133	753	1485	1282	805	1387	1816	3508	775	2195	1943	2281	1675	2515	2029	2451	778	1339	1434	1600	1272	2098	1594	1210	2162	839	960	1552	1402	2121	865	1728	1927	879	1892	2253	1187	2181	1933	2309	2213	3420	1405	2354	1145	798	2195	1838	1459	909	786	1666	1778	1228	1419	2835	2030	1381	664	1387	1331	1628	1302	1199	1333	2819
