seq_name	BA2040	BA2160	BA2303	BA2353	BA2516	BA2590	BA2647	BA2891	BA2924	BA2971	BA3036	BA3059	BA3073	BA3078	BA3079	BA3083	BA3084	BA3085	BA3087	BA3089	BA3094	BA3095	BA3098	BA3099	BA3103	BA3108	BA3109	BA3110	BA3114	BA3116	BA3117	BA3118	BA3119	BA3123	BA3124	BA3126	BA3128	BA3130	BA3133	BA3135	BA3136	BA3137	BA3138	BA3139	BA3141	BA3142	BA3145	BA3146	BA3149	BA3152	BA3153	BA3154	BA3156	BA3157	BA3158	BA3162	BA3163	BA3164	BA3167	BA3169	BA3171	BA3173	BA3174	BA3175	BA3176	BA3177	BA3178	BA3180	BA3181	BA3182	BA3183	BA3185	BA3186	BA3187	BA3189	BA3190	BA3191	BA3192	BA3194	BA3195	BA3197	BA3199	BA3200	BA3202	BA3203	BA3206	BA3207	BA3208	BA3210	BA3211	BA3212	BA3213	BA3214	BA3216	BA3217	BA3219	BA3221	BA3222	BA3225	BA3226	BA3227	BA3228	BA3229	BA3230	BA3232	BA3234	BA3235	BA3237	BA3240	BA3242	BA3243	BA3245	BA3249	BA3250	BA3251	BA3255	BA3258	BA3260	BA3261	BA3264	BA3266	BA3268	BA3269	BA3270	BA3271	BA3273	BA3275	BA3277	BA3280	BA3283	BA3285	BA3286	BA3289	BA3290	BA3293	BA3295	BA3296	BA3297	BA3299	BA3300	BA3302	BA3305	BA3306	BA3308	BA3310	BA3311	BA3312	BA3315	BA3317	BA3318	BA3319	BA3322	BA3324	BA3325	BA3326	BA3328	BA3329	BA3332	BA3333	BA3334	BA3335	BA3339	BA3341	BA3345	BA3347	BA3351	BA3352	BA3353	BA3357	BA3362	BA3367	BA3369	BA3371	BA3373	BA3374	BA3375	BA3376	BA3379	BA3380	BA3381	BA3384	BA3385	BA3386	BA3388	BA3390	BA3394	BA3395	BA3397	BA3399	BA3400	BA3403	BA3405	BA3406	BA3407	BA3408	BA3410	BA3411	BA3412	BA3413	BA3415	BA3416	BA3417	BA3418	BA3421	BA3422	BA3423	BA3427	BA3430	BA3431	BA3433	BA3434	BA3435	BA3436	BA3438	BA3445	BA3446	BA3447	BA3448	BA3449	BA3450	BA3451	BA3452	BA3453	BA3454
WT1_ref68_kmer26.kmer1 ct:1	0	17	0	29	0	30	4	0	71	0	39	0	17	0	8	12	0	5	8	72	0	27	15	26	32	26	6	0	6	0	7	26	39	0	7	0	140	0	8	44	0	15	3	35	16	5	50	20	4	5	10	15	0	15	7	14	0	20	0	0	34	14	12	0	9	21	0	36	0	9	20	0	29	24	27	0	10	88	2	6	26	3	35	0	19	5	0	14	8	12	35	25	9	29	30	0	0	0	0	17	35	15	2	0	18	0	0	9	23	4	4	2	73	9	36	35	0	0	2	62	17	30	26	7	19	0	3	15	41	14	31	5	4	0	51	10	0	33	4	4	17	0	56	4	23	9	2	6	31	0	7	2	0	34	0	21	60	9	33	0	82	0	10	0	0	23	23	23	3	0	0	20	17	12	0	10	29	15	69	3	23	12	29	0	3	6	6	23	0	83	0	2	14	0	0	2	0	0	0	20	5	0	25	4	83	95	0	0	8	58	8	21	41	2	0	12	0	37	12	18	0	25	24	47
WT1_ref68_kmer28.kmer1 ct:1	0	17	0	29	0	30	4	0	71	0	39	0	17	0	8	12	0	5	8	72	0	27	15	26	32	26	6	0	6	0	7	26	39	0	7	0	123	0	8	44	0	15	3	35	16	5	50	20	4	5	10	15	0	15	7	14	0	20	0	0	34	14	12	0	9	21	0	36	0	9	20	0	29	24	27	0	10	88	2	6	26	3	35	0	19	5	0	14	8	12	35	25	9	29	30	0	0	0	0	17	35	15	2	0	18	0	0	9	23	4	4	2	73	9	36	34	0	0	2	62	17	30	26	7	19	0	3	15	41	14	31	5	4	0	51	10	0	33	4	4	17	0	56	4	23	9	2	6	31	0	7	2	0	34	0	21	60	9	33	0	82	0	10	0	0	23	23	23	3	0	0	20	17	12	0	10	29	15	69	3	23	12	29	0	3	6	6	23	0	83	0	2	14	0	0	2	0	0	0	20	5	0	25	4	83	95	0	0	8	58	8	21	41	2	0	12	0	37	12	18	0	25	24	47
WT1_ref68_kmer19.kmer1 ct:1	0	17	0	29	0	30	4	0	71	0	39	0	17	0	8	12	0	5	8	72	0	35	15	26	32	26	6	0	6	0	7	26	39	0	7	0	145	0	8	51	0	15	3	41	16	5	54	20	4	5	10	15	3	15	7	14	0	32	0	0	34	14	12	0	9	21	0	62	0	9	20	0	29	24	27	0	10	107	2	6	26	3	35	0	14	5	0	14	8	12	35	25	9	29	30	0	0	0	0	17	35	15	2	0	18	0	0	9	23	4	4	2	68	9	36	35	0	0	2	75	17	29	26	7	19	0	3	15	41	14	31	5	4	0	57	10	0	33	4	4	17	0	56	4	23	9	2	6	31	0	7	2	0	34	0	31	60	9	33	0	98	0	10	0	0	23	23	40	3	0	0	20	17	12	0	10	29	15	69	3	23	12	29	0	3	6	6	23	0	68	0	2	14	0	0	2	3	0	0	20	5	0	25	4	83	110	0	0	8	58	8	21	41	2	0	12	0	48	12	18	0	28	24	24
WT1_ref68_kmer21.kmer1 ct:1	0	17	0	29	0	30	4	0	71	0	39	0	17	0	8	12	0	5	8	72	0	27	15	26	32	26	6	0	6	0	7	26	39	0	7	0	145	0	8	51	0	15	3	41	16	5	64	20	4	5	10	15	3	15	7	14	0	32	0	0	34	14	12	0	9	21	0	62	0	9	20	0	29	24	27	0	10	107	2	6	26	3	35	0	19	5	0	14	8	12	35	25	9	29	30	0	0	0	0	17	35	15	2	0	18	0	0	9	23	4	4	2	68	9	36	35	0	0	2	75	17	30	26	7	19	0	3	15	41	14	31	5	4	0	57	10	0	33	4	4	17	0	56	4	23	9	2	6	31	0	7	2	0	34	0	31	60	9	33	0	98	0	10	0	0	23	23	23	3	0	0	20	17	12	0	10	29	15	69	3	23	12	29	0	3	6	6	23	0	87	0	2	14	0	0	2	3	0	0	20	5	0	25	4	83	112	0	0	8	58	8	21	41	2	0	12	0	37	12	18	0	28	24	47
WT1_ref68_kmer3.kmer1 ct:1	0	17	0	17	0	15	4	0	55	0	39	0	17	0	8	22	2	5	8	72	0	35	15	23	32	26	6	0	6	0	7	26	36	0	7	0	129	0	8	47	0	15	3	31	16	5	54	18	4	5	10	15	3	15	7	14	0	32	0	0	34	14	12	0	9	21	0	50	0	9	14	0	12	27	25	0	10	114	2	6	26	3	35	0	14	5	0	14	8	12	29	19	9	29	27	0	0	0	0	17	35	15	0	0	18	0	0	9	23	4	4	2	60	9	32	35	0	0	2	65	22	29	26	7	27	0	2	15	28	14	31	0	4	0	55	10	0	33	4	4	17	0	56	4	23	9	2	6	31	2	7	2	0	34	0	27	62	9	29	0	82	0	10	0	0	23	23	36	3	0	0	11	17	12	0	7	29	15	69	3	22	0	29	0	3	6	6	23	0	68	0	2	14	0	0	0	3	0	0	20	5	0	25	4	83	103	0	0	8	59	8	21	29	2	0	4	0	40	12	17	0	28	24	24
WT1_ref68_kmer0.kmer1 ct:1	0	17	0	17	0	15	4	0	55	0	39	0	17	0	8	10	0	5	8	72	0	35	15	23	32	26	6	0	6	0	7	26	36	0	7	0	138	0	8	47	0	15	3	31	16	5	54	18	4	5	10	15	3	15	7	14	0	32	0	0	34	14	12	0	9	21	0	50	0	9	14	0	12	27	25	0	10	114	2	6	26	3	35	0	14	5	0	14	8	12	29	19	9	29	27	0	0	0	0	17	35	15	0	0	18	0	0	9	23	4	4	2	60	9	32	35	0	2	2	65	22	29	26	7	27	0	2	15	28	14	31	0	4	0	55	10	0	33	4	4	17	0	56	4	23	9	0	6	31	2	7	2	0	34	0	27	62	9	29	0	82	0	10	0	0	23	17	36	3	0	0	11	17	12	0	7	29	15	69	3	18	4	29	0	3	6	6	23	0	68	0	2	14	0	0	0	3	0	0	20	5	0	25	4	83	112	0	0	8	64	8	21	16	2	0	4	0	40	12	17	0	28	24	24
WT1_ref68_kmer17.kmer1 ct:1	0	17	0	29	0	30	4	0	71	0	39	0	17	0	8	12	0	5	8	72	0	35	15	26	32	26	6	0	6	0	7	26	39	0	7	0	129	0	8	51	0	15	3	41	16	5	54	20	4	5	10	15	3	15	7	14	0	32	0	0	34	14	12	0	9	21	0	57	0	9	20	0	29	27	25	0	10	107	2	6	26	3	35	0	14	5	0	14	8	12	35	25	9	29	30	0	0	0	0	17	35	15	0	0	18	0	0	9	23	4	4	2	68	9	36	35	0	0	2	75	17	29	26	7	19	0	3	15	41	14	31	5	4	0	57	10	0	33	4	4	17	2	56	4	23	9	2	6	31	0	7	2	0	34	0	27	73	9	33	0	98	0	10	0	0	23	23	36	3	0	0	11	17	12	0	10	29	15	69	3	26	12	29	0	3	6	6	23	0	68	0	2	14	0	0	0	3	0	0	20	5	0	25	4	83	110	0	0	8	58	8	21	41	2	0	12	0	40	12	18	0	28	24	24
WT1_ref68_kmer15.kmer1 ct:1	0	17	0	29	0	30	4	0	55	0	39	0	17	0	8	22	0	5	8	72	0	35	15	27	32	26	6	0	6	0	7	26	47	0	7	0	129	0	8	51	0	15	3	41	16	5	54	20	4	5	10	15	3	15	7	14	0	32	0	0	34	14	12	0	9	21	0	57	0	9	20	0	29	27	25	0	10	107	2	6	26	3	35	0	14	5	0	14	8	12	35	25	9	29	30	0	0	0	0	17	35	15	0	0	18	0	0	9	23	4	4	2	68	9	32	35	0	0	2	75	22	29	26	7	19	0	3	15	41	14	31	5	4	0	57	10	0	33	4	4	17	0	56	4	23	9	2	6	31	0	7	2	0	34	0	27	62	9	33	0	92	0	10	0	0	23	23	36	3	0	0	11	17	12	0	7	29	15	69	3	26	12	29	0	3	6	6	23	0	68	0	2	14	0	0	0	3	0	0	20	5	0	25	4	83	110	0	0	8	58	8	21	41	2	0	12	0	40	12	17	0	28	24	24
WT1_ref68_kmer11.kmer1 ct:1	0	17	0	29	0	15	4	0	55	0	39	0	17	0	8	22	0	5	8	72	0	35	15	23	32	26	6	0	6	0	7	26	47	0	7	0	129	0	8	51	0	15	3	41	16	5	54	20	4	5	10	15	3	15	7	14	0	32	0	0	34	14	12	0	9	21	0	57	0	9	14	0	29	27	25	0	10	107	2	6	26	3	35	0	14	5	0	14	8	12	35	25	9	29	27	0	0	0	0	17	35	15	0	0	18	0	0	9	23	4	4	2	68	9	32	35	0	0	2	75	22	29	26	7	27	0	3	15	41	14	31	5	4	0	57	10	0	33	4	4	17	0	56	4	23	9	2	6	31	0	7	2	0	34	0	27	62	9	29	0	82	0	10	0	0	23	23	36	3	0	0	11	17	12	0	7	29	15	69	3	22	0	29	0	3	6	6	23	0	68	0	2	14	0	0	0	3	0	0	20	5	0	25	4	83	110	0	0	8	54	8	21	41	2	0	4	0	40	12	17	0	28	24	24
WT1_ref68_kmer6.kmer1 ct:1	0	17	0	29	0	15	4	0	55	0	39	0	17	0	8	22	2	5	8	72	0	35	15	23	32	26	6	0	6	0	7	26	36	0	7	0	129	0	8	47	0	15	3	31	16	5	54	18	4	5	10	15	3	15	7	14	0	32	0	0	34	14	12	0	9	21	0	50	0	9	14	0	29	27	25	0	10	114	2	6	26	3	35	0	14	5	0	14	8	12	35	19	9	29	27	0	0	0	0	17	35	15	0	0	18	0	0	9	23	4	4	2	60	9	32	35	0	0	2	65	22	29	26	7	27	0	2	15	28	14	31	0	4	0	57	10	0	33	4	4	17	0	56	4	23	9	2	6	31	2	7	2	0	34	0	27	62	9	29	0	82	0	10	0	0	23	23	36	3	0	0	11	17	12	0	7	29	15	69	3	22	0	29	0	3	6	6	23	0	68	0	2	14	0	0	0	3	0	0	20	5	0	25	4	83	103	0	0	8	59	8	21	29	2	0	4	0	40	12	17	0	28	24	24
