seq_name	BA2040	BA2160	BA2303	BA2353	BA2516	BA2590	BA2647	BA2891	BA2924	BA2971	BA3036	BA3059	BA3073	BA3078	BA3079	BA3083	BA3084	BA3085	BA3087	BA3089	BA3094	BA3095	BA3098	BA3099	BA3103	BA3108	BA3109	BA3110	BA3114	BA3116	BA3117	BA3118	BA3119	BA3123	BA3124	BA3126	BA3128	BA3130	BA3133	BA3135	BA3136	BA3137	BA3138	BA3139	BA3141	BA3142	BA3145	BA3146	BA3149	BA3152	BA3153	BA3154	BA3156	BA3157	BA3158	BA3162	BA3163	BA3164	BA3167	BA3169	BA3171	BA3173	BA3174	BA3175	BA3176	BA3177	BA3178	BA3180	BA3181	BA3182	BA3183	BA3185	BA3186	BA3187	BA3189	BA3190	BA3191	BA3192	BA3194	BA3195	BA3197	BA3199	BA3200	BA3202	BA3203	BA3206	BA3207	BA3208	BA3210	BA3211	BA3212	BA3213	BA3214	BA3216	BA3217	BA3219	BA3221	BA3222	BA3225	BA3226	BA3227	BA3228	BA3229	BA3230	BA3232	BA3234	BA3235	BA3237	BA3240	BA3242	BA3243	BA3245	BA3249	BA3250	BA3251	BA3255	BA3258	BA3260	BA3261	BA3264	BA3266	BA3268	BA3269	BA3270	BA3271	BA3273	BA3275	BA3277	BA3280	BA3283	BA3285	BA3286	BA3289	BA3290	BA3293	BA3295	BA3296	BA3297	BA3299	BA3300	BA3302	BA3305	BA3306	BA3308	BA3310	BA3311	BA3312	BA3315	BA3317	BA3318	BA3319	BA3322	BA3324	BA3325	BA3326	BA3328	BA3329	BA3332	BA3333	BA3334	BA3335	BA3339	BA3341	BA3345	BA3347	BA3351	BA3352	BA3353	BA3357	BA3362	BA3367	BA3369	BA3371	BA3373	BA3374	BA3375	BA3376	BA3379	BA3380	BA3381	BA3384	BA3385	BA3386	BA3388	BA3390	BA3394	BA3395	BA3397	BA3399	BA3400	BA3403	BA3405	BA3406	BA3407	BA3408	BA3410	BA3411	BA3412	BA3413	BA3415	BA3416	BA3417	BA3418	BA3421	BA3422	BA3423	BA3427	BA3430	BA3431	BA3433	BA3434	BA3435	BA3436	BA3438	BA3445	BA3446	BA3447	BA3448	BA3449	BA3450	BA3451	BA3452	BA3453	BA3454
GATA2_ref37_kmer14.kmer1 ct:1	0	242	64	180	134	245	23	4	264	515	448	14	148	101	151	176	48	187	68	341	0	343	143	381	32	313	77	4	148	7	232	60	730	384	54	5	249	2	657	181	503	272	266	565	524	499	290	447	5	18	387	0	313	195	261	77	0	563	0	8	331	89	27	36	169	73	0	127	50	89	157	3	1234	33	207	197	175	135	12	158	765	298	1267	31	114	122	11	203	111	1034	1054	99	342	124	337	4	12	2	23	401	872	452	456	254	354	27	25	812	534	194	1200	151	464	82	151	263	5	33	16	262	368	951	93	180	120	3	720	184	196	121	1484	84	16	532	757	193	12	374	43	243	322	141	226	233	166	174	360	22	323	101	105	37	209	243	13	801	1051	362	220	12	658	4	212	0	2	112	103	207	865	2	92	58	44	614	0	224	256	88	226	58	265	341	588	250	21	309	214	26	79	386	9	129	308	28	7	121	53	0	278	134	479	4	234	78	1268	232	453	6	91	421	53	317	1483	3	177	89	13	247	524	145	15	245	101	331
GATA2_ref37_kmer20.kmer1 ct:1	0	258	64	189	134	253	23	4	271	531	447	14	161	102	156	197	48	193	70	348	0	348	148	387	39	326	77	4	162	7	252	75	789	413	54	5	278	2	690	183	532	286	291	586	564	517	284	449	5	18	408	0	310	196	255	77	5	573	3	8	347	103	27	54	169	87	0	127	54	89	171	3	1262	33	220	213	194	141	12	159	812	298	1293	37	112	128	11	203	111	1079	1100	106	363	124	358	4	12	2	23	430	895	454	471	262	363	27	25	838	559	197	1302	166	485	85	157	283	5	33	16	262	378	992	93	188	120	3	747	185	203	126	1569	84	16	565	804	188	12	379	53	235	352	141	226	232	173	184	389	22	358	107	131	37	215	249	13	879	1081	378	250	12	702	4	223	0	2	113	90	209	929	2	100	58	44	629	0	248	256	99	245	64	276	331	609	258	21	344	222	26	79	407	9	143	322	29	7	136	56	0	282	134	509	4	253	78	1359	243	489	6	91	457	53	339	1517	3	180	89	13	280	513	150	10	242	101	383
GATA2_ref37_kmer29.kmer1 ct:1	0	261	72	189	134	228	26	4	276	545	477	4	154	102	161	191	46	213	70	341	0	335	152	385	39	343	76	4	162	7	249	75	771	393	55	5	283	2	661	187	248	272	299	603	505	512	239	317	5	18	417	0	331	199	76	80	5	543	3	8	336	91	27	22	213	65	0	136	54	98	175	3	1311	24	225	208	202	139	12	156	818	322	1285	37	112	122	11	192	111	1098	527	106	363	137	376	4	12	0	23	458	889	468	472	263	390	27	16	775	557	201	1270	158	502	85	83	281	5	39	16	264	392	960	12	189	120	3	742	193	220	128	1547	84	16	507	798	188	12	390	52	94	346	139	261	238	179	184	367	9	368	117	139	29	215	246	13	867	1062	398	250	14	705	4	237	7	2	68	22	215	923	2	0	64	44	654	0	254	261	93	239	71	311	340	602	242	21	355	222	24	79	412	9	143	323	29	7	140	58	0	273	134	460	4	272	44	1297	235	450	6	91	485	43	354	1584	3	175	89	13	284	532	161	10	241	112	377
GATA2_ref37_kmer18.kmer1 ct:1	0	258	64	180	134	240	23	4	271	515	447	14	148	104	154	176	48	193	70	348	0	348	148	387	39	308	77	4	162	7	232	75	734	387	54	5	278	2	663	183	508	267	275	563	526	486	284	447	5	18	408	0	306	196	255	77	5	555	0	8	331	96	27	54	169	87	0	127	50	89	171	3	1218	33	207	198	194	141	12	159	754	298	1261	31	112	119	11	203	111	1040	1039	106	345	124	341	4	12	2	23	403	868	454	446	254	363	27	25	826	529	197	1225	166	474	85	151	263	5	33	16	262	378	933	93	178	120	3	709	185	203	126	1468	84	16	531	755	182	12	379	43	234	352	141	226	232	173	184	358	22	334	107	106	37	215	249	13	816	1035	378	250	12	669	4	212	0	2	113	91	209	889	2	100	58	44	629	0	248	256	99	226	64	266	331	589	250	21	313	210	26	79	407	9	129	310	28	7	136	56	0	282	134	491	4	236	78	1273	237	471	6	91	429	53	325	1449	3	180	89	13	252	503	150	10	242	101	344
GATA2_ref37_kmer24.kmer1 ct:1	0	276	64	189	141	256	23	4	302	565	488	4	161	102	161	203	46	224	70	374	0	365	152	411	39	340	77	4	162	7	250	75	834	419	58	5	278	2	709	183	263	286	305	624	525	561	239	325	5	18	429	0	330	209	76	80	5	601	3	8	356	91	27	22	216	65	0	144	54	98	175	3	1350	33	235	212	194	141	12	169	850	329	1336	37	112	125	11	213	111	1131	564	106	374	137	398	4	12	2	23	452	921	501	481	271	411	27	16	851	592	203	1348	168	513	85	83	291	5	33	16	280	403	1002	12	189	120	3	776	195	221	126	1676	84	16	555	835	188	12	413	52	92	352	147	261	238	179	184	398	9	381	120	140	37	215	270	13	918	1169	403	250	12	725	4	239	7	2	68	22	230	938	2	0	58	44	683	0	248	275	93	241	71	329	368	624	264	21	356	233	24	79	424	9	143	343	29	7	140	65	0	282	134	461	4	274	44	1400	255	481	6	91	487	43	369	1673	3	175	89	13	296	558	172	10	261	112	383
GATA2_ref37_kmer22.kmer1 ct:1	0	258	64	189	134	253	23	4	302	561	485	4	161	102	158	203	46	221	70	379	0	370	152	411	39	345	77	4	162	7	248	75	826	413	58	5	278	2	712	183	263	286	302	630	521	557	240	319	5	18	408	0	337	209	76	77	5	596	3	8	356	91	27	22	215	65	0	127	54	108	185	3	1331	33	235	213	194	141	12	169	830	324	1329	37	112	128	11	203	111	1117	566	106	363	137	387	4	12	2	23	456	927	498	477	271	409	27	16	852	590	206	1323	166	513	85	83	291	5	33	16	274	402	1008	12	190	120	3	763	200	203	126	1658	84	16	561	829	188	12	398	53	92	352	141	255	242	179	184	400	9	377	120	131	37	215	271	13	907	1139	408	250	12	714	4	239	0	2	68	22	227	936	2	0	58	44	674	0	248	275	93	245	71	308	361	622	264	21	348	233	24	79	426	9	143	343	29	7	147	65	0	282	134	456	4	265	44	1384	255	483	6	91	487	43	369	1643	3	175	89	13	295	555	172	10	261	112	383
GATA2_ref37_kmer26.kmer1 ct:1	0	276	72	189	134	239	26	4	282	545	477	4	154	102	161	191	46	216	70	350	0	359	152	386	39	340	77	4	162	7	250	75	822	402	58	5	282	2	685	191	251	288	299	608	514	529	239	315	5	18	419	0	323	202	76	80	5	568	3	8	356	91	27	22	212	65	0	144	54	98	175	3	1313	33	235	212	202	141	12	170	835	322	1298	37	112	125	11	207	111	1098	549	106	385	137	391	4	12	2	23	452	905	482	472	271	401	27	16	801	584	203	1290	165	506	85	83	291	5	39	16	279	406	996	12	189	120	3	759	195	220	132	1569	84	16	529	811	188	12	399	52	92	346	139	261	238	179	184	398	9	364	117	139	37	215	269	13	911	1122	403	250	12	709	4	237	7	2	68	22	226	923	2	0	58	44	681	0	254	266	93	241	71	320	356	590	250	21	356	225	24	79	416	9	143	328	29	7	140	58	0	281	134	455	4	267	44	1391	235	477	6	91	487	43	354	1598	3	175	89	13	286	540	161	10	253	112	383
GATA2_ref37_kmer17.kmer1 ct:1	0	239	64	180	134	240	23	4	271	515	447	14	148	104	154	176	48	193	70	344	0	343	148	387	39	308	77	4	162	7	232	75	722	387	54	5	252	2	659	183	500	267	266	563	515	490	284	447	5	18	383	0	310	196	255	77	5	556	0	8	331	96	27	54	169	86	0	127	50	89	171	3	1218	33	207	198	172	141	12	159	759	298	1262	31	112	119	11	203	111	1039	1039	106	345	124	341	4	12	2	23	403	869	440	444	254	363	27	25	825	521	197	1211	166	473	85	151	263	5	33	16	262	378	933	93	178	120	3	709	185	203	126	1468	84	16	526	744	186	12	379	43	234	322	141	226	233	173	176	358	22	334	107	106	37	207	249	13	794	1016	378	250	12	655	4	212	0	2	113	91	209	880	2	100	58	44	603	0	248	256	88	226	64	264	331	589	250	21	313	210	26	79	390	9	129	309	28	7	136	53	0	282	134	491	4	236	78	1256	237	459	6	91	429	53	317	1462	3	180	89	13	248	507	150	15	242	101	331
GATA2_ref37_kmer6.kmer1 ct:1	7	240	64	163	134	232	23	7	252	492	433	14	144	96	151	173	48	188	68	343	0	331	137	356	32	305	77	4	146	4	233	60	731	373	54	5	241	2	638	169	493	263	251	550	506	486	283	431	5	18	378	0	309	181	273	77	0	537	0	8	298	86	23	36	169	73	0	123	50	89	157	3	1246	36	205	193	173	130	12	158	742	268	1181	31	114	109	11	195	111	990	1026	90	343	124	325	4	12	2	23	381	850	434	439	240	342	27	25	792	528	172	1165	151	453	82	153	272	5	33	16	257	353	937	93	165	120	3	659	184	196	120	1419	84	16	507	754	185	12	352	43	243	322	141	232	239	157	176	340	22	322	101	105	37	204	232	13	765	1019	346	220	12	612	4	202	0	2	112	102	207	845	2	92	58	44	597	0	224	237	74	223	58	261	311	582	236	21	306	219	26	73	388	9	129	297	28	7	121	50	0	275	134	445	0	229	80	1234	232	444	6	84	402	53	282	1455	3	150	89	13	241	517	134	15	241	101	310
GATA2_ref37_kmer16.kmer1 ct:1	0	237	64	180	134	239	23	4	265	515	444	14	148	102	154	176	48	187	69	341	0	343	143	381	32	306	77	4	162	7	232	60	717	381	54	5	249	2	654	183	492	267	266	559	513	492	282	449	5	18	381	0	310	192	255	77	5	555	0	8	332	96	27	58	169	83	0	127	50	89	157	3	1216	33	207	196	172	141	12	159	755	298	1246	31	114	122	11	203	111	1024	1033	106	343	124	336	4	12	2	23	396	864	440	439	254	351	27	25	813	522	194	1202	166	473	82	151	263	5	33	16	254	368	924	93	177	120	3	696	185	191	126	1461	84	16	526	750	186	12	379	43	236	322	141	226	233	173	176	350	22	325	107	106	37	209	246	13	793	1015	363	250	12	653	4	212	0	2	113	95	209	866	2	98	58	44	603	0	248	256	88	226	58	264	331	584	250	21	306	208	26	79	390	9	129	309	28	7	131	53	0	282	134	481	4	234	78	1246	231	456	6	91	423	53	317	1464	3	177	89	13	244	505	145	15	239	101	331
