seq_name	BA2040	BA2160	BA2303	BA2353	BA2516	BA2590	BA2647	BA2891	BA2924	BA2971	BA3036	BA3059	BA3073	BA3078	BA3079	BA3083	BA3084	BA3085	BA3087	BA3089	BA3094	BA3095	BA3098	BA3099	BA3103	BA3108	BA3109	BA3110	BA3114	BA3116	BA3117	BA3118	BA3119	BA3123	BA3124	BA3126	BA3128	BA3130	BA3133	BA3135	BA3136	BA3137	BA3138	BA3139	BA3141	BA3142	BA3145	BA3146	BA3149	BA3152	BA3153	BA3154	BA3156	BA3157	BA3158	BA3162	BA3163	BA3164	BA3167	BA3169	BA3171	BA3173	BA3174	BA3175	BA3176	BA3177	BA3178	BA3180	BA3181	BA3182	BA3183	BA3185	BA3186	BA3187	BA3189	BA3190	BA3191	BA3192	BA3194	BA3195	BA3197	BA3199	BA3200	BA3202	BA3203	BA3206	BA3207	BA3208	BA3210	BA3211	BA3212	BA3213	BA3214	BA3216	BA3217	BA3219	BA3221	BA3222	BA3225	BA3226	BA3227	BA3228	BA3229	BA3230	BA3232	BA3234	BA3235	BA3237	BA3240	BA3242	BA3243	BA3245	BA3249	BA3250	BA3251	BA3255	BA3258	BA3260	BA3261	BA3264	BA3266	BA3268	BA3269	BA3270	BA3271	BA3273	BA3275	BA3277	BA3280	BA3283	BA3285	BA3286	BA3289	BA3290	BA3293	BA3295	BA3296	BA3297	BA3299	BA3300	BA3302	BA3305	BA3306	BA3308	BA3310	BA3311	BA3312	BA3315	BA3317	BA3318	BA3319	BA3322	BA3324	BA3325	BA3326	BA3328	BA3329	BA3332	BA3333	BA3334	BA3335	BA3339	BA3341	BA3345	BA3347	BA3351	BA3352	BA3353	BA3357	BA3362	BA3367	BA3369	BA3371	BA3373	BA3374	BA3375	BA3376	BA3379	BA3380	BA3381	BA3384	BA3385	BA3386	BA3388	BA3390	BA3394	BA3395	BA3397	BA3399	BA3400	BA3403	BA3405	BA3406	BA3407	BA3408	BA3410	BA3411	BA3412	BA3413	BA3415	BA3416	BA3417	BA3418	BA3421	BA3422	BA3423	BA3427	BA3430	BA3431	BA3433	BA3434	BA3435	BA3436	BA3438	BA3445	BA3446	BA3447	BA3448	BA3449	BA3450	BA3451	BA3452	BA3453	BA3454
JAK2_ref21_kmer6.kmer1 ct:1	42	60	74	52	36	17	31	44	38	70	42	42	15	188	57	88	40	22	86	40	89	34	66	86	27	22	36	35	53	10	57	45	67	78	15	51	40	53	65	34	63	83	76	116	49	70	47	59	29	102	67	23	11	29	21	45	47	35	50	22	79	52	50	88	46	115	47	27	73	158	57	55	66	56	70	35	68	31	94	62	37	57	69	23	56	55	203	38	28	83	63	111	32	28	33	222	60	125	128	51	48	87	122	56	41	196	114	55	74	68	118	30	62	265	34	39	144	73	33	73	87	70	31	118	76	30	64	31	24	78	107	46	11	99	31	128	108	95	32	59	71	50	30	44	41	130	62	55	51	50	199	34	73	36	46	68	41	58	74	35	52	51	27	76	36	70	15	66	76	47	80	190	22	58	53	29	53	51	38	113	37	77	52	52	111	64	39	60	26	45	144	77	46	38	48	55	42	89	34	128	48	67	30	32	26	27	74	27	49	13	61	70	45	38	87	127	27	50	33	21	91	96	37	77
JAK2_ref21_kmer1.kmer1 ct:1	42	60	74	52	36	17	31	44	38	70	42	42	15	162	57	88	40	22	86	40	89	34	66	86	27	22	36	35	53	10	57	43	52	78	15	51	40	53	65	34	63	83	76	116	49	70	47	59	29	102	67	23	11	29	21	45	47	35	50	22	79	52	50	88	46	115	47	27	58	158	57	55	66	56	70	35	68	31	94	62	37	57	62	23	56	55	187	38	28	83	63	111	32	28	33	189	60	125	118	51	48	87	122	56	41	196	114	55	74	68	112	30	62	265	34	39	144	73	33	73	87	70	31	96	76	30	64	31	24	78	107	46	11	99	31	128	108	95	32	59	71	50	30	44	41	130	62	55	51	70	199	34	73	36	46	68	41	58	74	35	52	51	27	75	36	70	15	52	76	47	80	180	22	58	53	29	53	51	38	113	37	77	52	52	111	64	39	60	26	45	114	77	46	38	48	48	42	79	34	113	48	67	30	32	26	27	74	27	49	13	61	70	45	38	87	111	27	50	33	17	83	96	37	77
JAK2_ref21_kmer30.kmer1 ct:1	42	60	74	52	36	30	31	44	38	70	42	42	15	190	57	88	40	26	128	40	114	34	90	91	27	22	47	35	53	10	57	55	76	94	15	58	40	53	74	34	88	105	76	133	49	70	47	81	29	110	67	23	11	29	30	66	47	35	50	22	99	52	50	90	59	115	47	48	73	179	69	55	66	65	73	30	68	31	128	62	37	57	71	23	56	55	221	55	28	83	63	115	32	44	36	223	77	158	152	51	48	105	153	56	41	246	140	58	92	77	131	30	62	251	34	39	186	73	33	71	87	91	48	125	76	30	64	31	24	100	138	46	11	119	37	160	116	95	32	59	96	56	30	55	41	161	76	55	51	50	245	65	73	36	55	68	41	64	86	35	55	51	27	80	27	70	15	66	76	47	112	198	22	62	53	29	53	51	38	126	37	77	52	64	111	64	42	85	26	45	171	84	59	38	48	55	42	99	66	145	48	78	34	23	26	27	102	27	49	29	61	70	45	38	87	129	30	51	33	23	103	101	37	77
JAK2_ref21_kmer9.kmer1 ct:1	42	60	74	52	36	17	31	44	38	70	42	42	15	188	57	88	40	22	86	40	89	34	66	86	27	22	36	35	53	10	57	45	67	78	15	51	40	53	71	34	63	83	76	116	49	70	47	59	29	102	67	23	11	29	21	45	47	35	50	22	79	52	50	88	46	115	47	27	73	158	57	55	66	56	70	35	68	31	94	62	37	57	69	23	56	55	203	38	28	83	63	111	32	28	33	222	60	125	129	51	48	87	122	56	41	217	140	55	74	78	118	30	62	265	34	39	161	73	33	73	87	70	31	118	76	30	64	31	24	78	122	46	11	99	31	128	108	95	32	59	71	50	30	44	41	130	62	55	51	50	226	34	73	36	46	68	41	58	74	35	52	51	27	80	36	70	15	66	76	47	80	190	22	58	53	29	53	51	38	126	37	77	52	52	111	64	42	75	26	45	144	77	46	38	48	55	42	89	34	128	48	78	30	32	26	27	74	27	49	13	61	70	45	38	87	127	27	50	33	21	91	96	37	77
JAK2_ref21_kmer0.kmer1 ct:1	42	60	74	52	36	17	31	44	38	70	42	42	15	162	57	88	40	22	86	40	89	34	56	86	27	22	36	35	53	10	57	43	52	78	15	51	40	53	65	34	63	83	76	116	49	70	47	59	29	102	67	23	11	29	21	45	47	35	50	22	79	52	50	88	46	115	47	27	58	158	57	55	66	56	70	35	68	31	94	62	37	57	62	23	56	55	187	38	28	83	63	111	32	28	33	189	60	125	118	51	48	87	122	56	41	196	114	55	74	68	112	30	62	265	34	39	144	73	33	73	87	70	31	96	76	30	64	31	24	78	107	46	11	99	31	128	108	95	32	59	71	50	30	44	41	130	62	55	51	70	199	34	73	36	46	68	41	58	74	35	52	51	27	75	36	70	15	52	76	47	80	180	22	58	53	29	53	51	38	113	37	77	52	52	111	64	39	60	26	45	114	77	46	38	48	48	42	79	34	113	48	67	30	32	26	27	74	27	49	13	61	70	45	38	87	111	27	50	33	17	83	96	37	77
JAK2_ref21_kmer26.kmer1 ct:1	42	60	74	52	36	30	31	44	38	70	42	42	15	190	57	88	40	26	110	40	114	34	66	91	27	22	36	35	53	10	57	55	67	78	15	58	40	53	74	34	68	105	76	133	49	70	47	59	29	110	67	23	11	29	30	45	47	35	50	22	97	52	50	88	59	115	47	32	73	179	69	55	66	59	78	35	68	31	128	62	37	57	71	23	56	55	221	38	28	83	63	115	32	44	36	223	77	138	149	51	48	105	153	56	41	250	140	58	92	77	131	30	62	264	34	39	186	73	33	71	87	91	31	125	76	30	64	31	24	100	138	46	11	119	37	128	116	95	32	59	96	56	30	44	41	161	77	55	51	50	246	65	73	36	55	68	41	64	86	35	55	51	27	80	27	70	15	66	76	47	80	205	22	51	53	29	53	51	38	126	37	77	52	64	111	64	42	75	26	45	171	84	59	38	48	55	42	99	66	145	48	78	34	23	26	27	102	27	49	29	61	70	45	38	87	127	30	50	33	23	103	101	37	77
JAK2_ref21_kmer29.kmer1 ct:1	42	60	74	52	36	30	31	44	38	70	42	42	15	190	57	88	40	26	128	40	114	34	90	91	27	22	47	35	53	10	57	55	67	94	15	58	40	53	74	34	88	105	76	133	49	70	47	81	29	110	67	23	11	29	30	45	47	35	50	22	99	52	50	90	59	115	47	48	73	179	69	55	66	65	73	30	68	31	128	62	37	57	71	23	56	55	221	55	28	83	63	115	32	44	36	223	77	158	152	51	48	105	153	56	41	250	140	58	92	77	131	30	62	251	34	39	186	73	33	71	87	91	31	125	76	30	64	31	24	100	138	46	11	119	37	128	116	95	32	59	96	56	30	55	41	161	76	55	51	50	245	65	73	36	55	68	41	64	86	35	55	51	27	80	27	70	15	66	76	47	112	198	22	62	53	29	53	51	38	126	37	77	52	64	111	64	42	85	26	45	171	84	59	38	48	55	42	99	66	145	48	78	34	23	26	27	102	27	49	29	61	70	45	38	87	129	30	51	33	23	103	101	37	77
JAK2_ref21_kmer28.kmer1 ct:1	42	60	74	52	36	30	31	44	38	70	42	42	15	190	57	88	40	26	128	40	114	34	66	91	27	22	47	35	53	10	57	55	67	94	15	58	40	53	74	34	68	105	76	133	49	70	47	59	29	110	67	23	11	29	30	45	47	35	50	22	99	52	50	90	59	115	47	48	73	179	69	55	66	65	73	30	68	31	128	62	37	57	71	23	56	55	221	55	28	83	63	115	32	44	36	223	77	158	152	51	48	105	153	56	41	250	140	58	92	77	131	30	62	264	34	39	186	73	33	71	87	91	31	125	76	30	64	31	24	100	138	46	11	119	37	128	116	95	32	59	96	56	30	55	41	161	76	55	51	50	245	65	73	36	55	68	41	64	86	35	55	51	27	80	27	70	15	66	76	47	95	198	22	62	53	29	53	51	38	126	37	77	52	64	111	64	42	85	26	45	171	84	59	38	48	55	42	99	66	145	48	78	34	23	26	27	102	27	49	29	61	70	45	38	87	129	30	51	33	23	103	101	37	77
JAK2_ref21_kmer7.kmer1 ct:1	42	60	74	52	36	17	31	44	38	70	42	42	15	188	57	88	40	22	86	40	89	34	66	86	27	22	36	35	53	10	57	45	67	78	15	51	40	53	65	34	63	83	76	116	49	70	47	59	29	102	67	23	11	29	21	45	47	35	50	22	79	52	50	88	46	115	47	27	73	158	57	55	66	56	70	35	68	31	94	62	37	57	69	23	56	55	203	38	28	83	63	111	32	28	33	222	60	125	128	51	48	87	122	56	41	217	114	55	74	68	118	30	62	265	34	39	144	73	33	73	87	70	31	118	76	30	64	31	24	78	122	46	11	99	31	128	108	95	32	59	71	50	30	44	41	130	62	55	51	50	199	34	73	36	46	68	41	58	74	35	52	51	27	76	36	70	15	66	76	47	80	190	22	58	53	29	53	51	38	113	37	77	52	52	111	64	39	75	26	45	144	77	46	38	48	55	42	89	34	128	48	67	30	32	26	27	74	27	49	13	61	70	45	38	87	127	27	50	33	21	91	96	37	77
JAK2_ref21_kmer13.kmer1 ct:1	42	60	74	52	36	17	31	44	38	70	42	42	15	188	57	88	40	22	105	40	89	34	66	86	27	22	36	35	53	10	57	55	67	78	15	51	40	53	71	34	63	105	76	128	49	70	47	59	29	104	67	23	11	29	21	45	47	35	50	22	79	52	50	88	46	115	47	27	73	166	58	55	66	56	78	35	68	31	94	62	37	57	69	23	56	55	210	38	28	83	63	111	32	44	36	226	60	138	142	51	48	105	122	56	41	231	140	58	92	77	118	30	62	276	34	39	159	73	33	73	87	70	31	118	76	30	64	31	24	100	122	46	11	109	31	128	108	95	32	59	96	50	30	44	41	130	71	55	51	50	227	34	73	36	46	68	41	58	74	35	52	51	27	80	36	70	15	66	76	47	80	190	22	51	53	29	53	51	38	126	37	77	52	52	111	64	42	75	26	45	144	77	46	38	48	55	42	99	34	128	48	78	30	32	26	27	102	27	49	29	61	70	45	38	87	127	27	50	33	23	91	96	37	77
