ID Sample	Abundance	TotalKmers	NormalizedExpression	consensus_sex
BA2402	236.27586206896552	8054348400.0	29.335192660521802	Female
BA2405	221.1034482758621	4867078720.0	45.42836904759619	Female
BA2511	189.72413793103448	5476180220.0	34.645342247526415	Female
BA2908	335.4482758620689	7211399160.0	46.516392785844474	Male
BA3315	312.1034482758621	9651606662.0	32.33694235641263	Female
BA3318	398.3448275862069	10719455740.0	37.16091910336176	Female
BA3341	175.79310344827587	8305332000.0	21.16629455008853	Female
BA2233	359.13793103448273	7814986760.0	45.955027444535645	Male
BA2020	981.551724137931	10986815980.0	89.33905199875123	Male
BA2024	174.06896551724137	10864332780.0	16.02205759360414	Male
BA2171	490.7931034482759	9344985860.0	52.51940567925866	Female
BA2195	291.51724137931035	6109572840.0	47.71483195530743	Female
BA2198	433.5172413793104	6639298820.0	65.29563635144689	Male
BA2311	472.82758620689657	7871316880.0	60.06969271028719	Female
BA2355	245.89655172413796	11537650740.0	21.31253209733908	Female
BA2357	380.0	6424574660.0	59.147884507579214	Male
BA2361	553.6551724137931	9429462140.0	58.715456321222696	Female
BA2485	224.1034482758621	6779596600.0	33.05557269821365	Male
BA2489	316.3448275862069	5952864820.0	53.14161116566509	Male
BA2538	423.7931034482759	7400454460.0	57.26582140852413	Male
BA2597	195.51724137931035	6261958640.0	31.22301704939245	Female
BA2662	303.8965517241379	8914914400.0	34.08855521082041	Female
BA2688	24.58620689655172	5843420380.0	4.207502677832623	Female
BA2697	172.44827586206895	6970849480.0	24.73848794997492	Female
BA2704	546.6896551724138	7309448020.0	74.79219411323125	Female
BA2775	500.2758620689655	10002797280.0	50.01359600371362	Male
BA2782	294.7241379310345	8864156420.0	33.24897756384972	Male
BA2789	565.551724137931	8577039800.0	65.93786869660218	Female
BA2836	202.3793103448276	6410103420.0	31.57192592453174	Male
BA2846	512.9310344827586	7137672640.0	71.8625048182034	Male
BA2905	284.9310344827586	6623608740.0	43.01749177333784	Male
BA2962	532.4137931034483	7477301020.0	71.2040068574701	Male
BA2984	258.9310344827586	8091267100.0	32.00129612366382	Male
BA3001	220.3448275862069	7843750180.0	28.091770202988144	Female
BA3108	850.3793103448276	9072296660.0	93.73363131897712	Female
BA3124	129.13793103448276	8443221500.0	15.294864766307832	Female
BA3135	576.2758620689655	8084012720.0	71.28586780216811	Male
BA3180	465.41379310344826	8947255520.0	52.01749207487127	Male
BA3195	418.86206896551727	8965945660.0	46.716998390275464	Male
BA3217	415.7241379310345	9361310840.0	44.40875268821161	Male
BA3227	461.4827586206897	8628494140.0	53.483580232308036	Female
BA3245	23.517241379310345	9354306920.0	2.5140549246924158	Female
BA3251	502.86206896551727	8840810720.0	56.87963297618448	Female
BA3258	418.1724137931034	11536125156.0	36.2489491175128	Female
BA3261	434.5517241379311	8578250800.0	50.65738158855545	Male
BA3266	14.06896551724138	11950065948.0	1.1773127929554235	Female
BA3269	126.82758620689656	9623215700.0	13.179335282580912	Female
BA3271	567.6896551724138	10310846420.0	55.05752215174725	Female
BA3277	555.9655172413793	8901401880.0	62.458197566671295	Male
BA3297	423.9310344827586	11505274378.0	36.84666880203964	Female
BA3299	416.2413793103448	9476463220.0	43.92370546343395	Female
BA3305	556.4827586206897	9840911264.0	56.54788908181844	Male
BA3310	547.9310344827586	8566527900.0	63.96185722838288	Male
BA3328	453.3448275862069	11119974134.0	40.76851457775225	Female
BA3117	71.37931034482759	12552316206.0	5.686544951019345	Male
