ID Sample	NormalizedExpression	NPM1
BA2020	3.786356308845722e-08	positive
BA2054	4.383930552988625e-08	positive
BA2098	4.268329530184768e-08	positive
BA2104	1.7924677312752188e-08	positive
BA2110	2.1455217833883938e-08	positive
BA2123	2.827342615709411e-07	positive
BA2124	9.403638157140566e-08	positive
BA2139	1.1755114131790862e-08	positive
BA2171	5.222051775260792e-08	positive
BA2201	5.8624667309916564e-08	positive
BA2211	5.817680969361799e-08	positive
BA2226	3.7837357083070594e-08	positive
BA2233	4.926431890717624e-08	positive
BA2239	3.044118196656697e-08	positive
BA2242	2.0781229528705117e-08	positive
BA2301	2.6593156321703284e-08	positive
BA2376	2.0189573782101106e-08	positive
BA2386	6.830343093176534e-08	positive
BA2410	2.2549513090789064e-07	positive
BA2474	5.303863103257331e-08	positive
BA2477	8.42271423857944e-08	positive
BA2479	7.211230346673915e-09	positive
BA2485	1.0133346281989698e-07	positive
BA2512	7.252778212143134e-09	positive
BA2563	4.3125469772344306e-08	positive
BA2588	5.7348739361723255e-08	positive
BA2662	1.9517854260047634e-08	positive
BA2704	3.7759349166286295e-08	positive
BA2726	5.368263046285016e-09	positive
BA2744	6.342526481045591e-08	positive
BA2746	2.033248680564858e-08	positive
BA2772	1.0062838281546614e-07	positive
BA2775	4.328789116478026e-08	positive
BA2776	4.0304718199187975e-08	positive
BA2778	8.513653781712036e-09	positive
BA2782	2.154745369441484e-08	positive
BA2789	2.265350336837658e-07	positive
BA2806	1.5206666493680058e-07	positive
BA2813	8.546746169434335e-08	positive
BA2820	4.568003200549339e-08	positive
BA2836	1.0218243873513043e-07	positive
BA2846	6.13645402487946e-08	positive
BA2856	1.3163640372747311e-08	positive
BA2865	9.352391851674403e-08	positive
BA2870	2.217608510263924e-07	positive
BA2885	2.9490516727542126e-08	positive
BA2893	7.111969313055978e-08	positive
BA2902	5.321043997140761e-08	positive
BA2911	8.617572362189958e-08	positive
BA2914	1.8973797383800422e-08	positive
BA2984	2.471800739342791e-08	positive
BA3001	6.897210997099859e-08	positive
BA3004	2.2146799013195584e-08	positive
BA3006	8.683324306584161e-08	positive
BA3023	1.0572211576833225e-07	positive
BA3037	6.311976406856398e-08	positive
BA3043	2.5728230599043473e-08	positive
BA2160	5.810466411275285e-08	positive
BA2303	2.677859065207602e-08	positive
BA2590	1.0264795411826426e-07	positive
BA3119	7.338298312477471e-08	positive
BA3135	7.162284623421523e-08	positive
BA3157	1.4964811519313316e-07	positive
BA3176	5.417792156004613e-08	positive
BA3197	4.5990301319976037e-08	positive
BA3200	4.215696432239895e-08	positive
BA3216	5.423539265458214e-08	negative
BA3225	1.222556292702302e-08	positive
BA3232	7.815001284637996e-08	positive
BA3234	1.7576847705074775e-08	positive
BA3258	2.3491423362293486e-08	positive
BA3266	6.359797538416061e-08	positive
BA3269	2.0159581375693366e-08	positive
BA3277	6.583232707610321e-08	positive
BA3297	4.99770784345218e-08	positive
BA3299	4.094354518056157e-08	positive
BA3306	1.0236590272552298e-07	positive
BA3310	4.3424827928243834e-08	positive
BA3328	3.4622382692675427e-08	positive
BA3332	8.761122487070618e-08	positive
BA3333	9.576841232565283e-08	positive
BA3347	1.843068893607688e-08	positive
BA3352	6.99297142988194e-08	positive
BA3375	4.117353772707218e-08	positive
BA3385	3.709905866872119e-08	positive
BA3421	1.5400085841159187e-08	positive
BA3422	7.17220292743818e-08	positive
BA3431	2.3754713940252875e-08	positive
BA3433	5.104020054596581e-08	positive
BA3451	2.3622607819262502e-08	positive
BA3453	5.741636520604695e-08	positive
BA3454	9.48059540610775e-08	positive
BA2036	9.911744845269746e-08	positive
BA2068	5.0083687297115034e-08	positive
BA3146	3.482229596451495e-08	positive
BA3180	6.527141185300585e-08	positive
BA3226	9.846280538400188e-08	positive
BA2235	7.086256315432472e-08	positive
BA2603	8.812920876095213e-08	positive
BA2714	1.587555817590947e-07	positive
BA2724	4.3273552571322886e-08	positive
BA2901	6.18108058724711e-08	positive
BA3219	2.2595893393144703e-08	positive
BA3270	6.403840538529671e-08	positive
BA3271	5.9161001449578374e-08	positive
BA3280	5.146932699968084e-08	positive
BA3386	7.034707051322283e-08	positive
BA2271	4.07744946332683e-08	positive
BA2325	2.3648710294620842e-08	positive
BA2400	8.575050281165892e-08	positive
BA2455	2.8667119733863965e-08	positive
BA2456	1.2550069560100151e-08	positive
BA2521	4.427101496534947e-08	positive
BA2631	1.2394066267842712e-07	positive
BA2682	3.658316339241845e-07	negative
BA2762	5.850552555083622e-08	positive
BA3227	4.9255408082133785e-08	positive
BA3335	3.8132593875422316e-08	positive
BA3376	4.6651526573602864e-08	positive
BA3436	8.247046457761927e-08	positive
BA3438	4.114792456415226e-07	negative
