ID Sample	Abundance	TotalKmers	NormalizedExpression	analysisDrug
BA2224	35.172413793103445	7093041200.0	4.95872120312842	n
BA2528	113.03448275862068	9666894580.0	11.69294666691407	n
BA2600	146.55172413793105	8864826040.0	16.53182177254897	n
BA2721	487.7241379310345	10771698560.0	45.27829433903454	y
BA2751	112.10344827586206	6623304940.0	16.925605765006807	y
BA3149	15.93103448275862	8684668020.0	1.8343861211586783	n
BA3434	189.3793103448276	10719341440.0	17.66706578056605	y
BA2649	182.89655172413796	6648352900.0	27.510054666944345	y
BA2728	137.9655172413793	8251344640.0	16.72036780194159	n
BA3290	438.82758620689657	12933259606.0	33.93016142684676	y
BA3302	414.0	13339228840.0	31.036276906694106	y
BA2861	21.379310344827587	5743499860.0	3.7223488928277937	y
BA2880	193.3793103448276	8448479900.0	22.88924311044731	y
BA3381	385.0689655172414	12497289928.0	30.81219750327628	y
BA3133	262.0689655172414	8504459320.0	30.815476405529022	y
BA3230	171.58620689655172	8115898980.0	21.141984063551234	y
BA2097	418.2758620689655	14589031940.0	28.67057004119257	y
BA2201	106.72413793103448	4588512180.0	23.25898542804663	y
BA2714	299.1034482758621	8031213680.0	37.242621127204536	y
BA3157	269.7586206896552	8793963080.0	30.67543247971598	y
BA2622	290.7241379310345	9451592780.0	30.759274621545266	n
BA3449	385.2413793103448	7373008160.0	52.25023097090196	y
