ID Sample	Abundance	TotalKmers	NormalizedExpression	NPM1
BA2532	103.89655172413794	7460805800.0	13.9256475117122	negative
BA2242	580.4827586206897	11212041120.0	51.77315641352997	positive
BA2036	166.33333333333334	7970342380.0	20.869032395736724	positive
BA2386	114.65517241379312	9399235020.0	12.198351479649789	positive
BA3289	119.44827586206895	6844100060.0	17.45273663665124	negative
BA3422	135.27586206896552	12464789536.0	10.85263908213376	positive
BA2087	13.89655172413793	5578304760.0	2.4911782919759173	negative
BA2134	24.13793103448276	5670167440.0	4.257004980876325	negative
BA2276	23.517241379310345	6675530260.0	3.5229023708013787	negative
BA2420	16.896551724137932	5989376400.0	2.8210869706131563	negative
BA2662	11.758620689655173	8914914400.0	1.3189830167808647	positive
BA2905	35.27586206896552	6623608740.0	5.325776846680942	negative
BA3095	23.517241379310345	9686832260.0	2.4277535470930456	negative
BA3177	69.44827586206897	12198101608.0	5.6933675496293645	negative
BA3412	38.03448275862069	12857542880.0	2.958145511440106	negative
BA2621	46.142857142857146	9022035260.0	5.114462071261862	negative
BA3347	199.55172413793105	8843945040.0	22.563654934012465	positive
BA3433	31.82758620689655	8738210180.0	3.6423461499865817	positive
BA2068	11.758620689655173	7467501300.0	1.574639255791649	positive
BA3078	53.13793103448276	12930846174.0	4.109393176552281	negative
BA2561	15.551724137931034	7004248020.0	2.220327448931632	negative
BA3130	47.6551724137931	9036583920.0	5.2735826763387275	negative
BA3116	41.172413793103445	8673759640.0	4.746778271700349	negative
BA3199	62.206896551724135	12334715122.0	5.04323739433373	negative
BA3185	30.89655172413793	11798494864.0	2.6186858646191067	negative
BA2497	118.25925925925924	5429622940.0	21.78038154142233	negative
BA2594	61.44827586206897	5786195520.0	10.619806339013751	negative
BA2909	50.03448275862069	6033548360.0	8.292712641590676	negative
BA2031	54.689655172413794	6572317360.0	8.321213382856758	negative
BA2455	81.86206896551724	6313853700.0	12.965468136443713	positive
BA2995	35.27586206896552	8150876300.0	4.327861296210019	negative
BA3079	63.58620689655172	7646813160.0	8.31538649710538	negative
BA3230	77.55172413793103	8115898980.0	9.555530980491705	negative
BA3332	64.93103448275862	12692437546.0	5.115726135932142	positive
BA2087	44.96551724137931	5578304760.0	8.060785341778155	negative
BA2134	105.0	5670167440.0	18.517971666812013	negative
BA2276	91.20689655172414	6675530260.0	13.662869165351388	negative
BA2420	42.93103448275862	5989376400.0	7.167863833496693	negative
BA2662	91.3793103448276	8914914400.0	10.250161274103496	positive
BA2744	12.862068965517242	3358283180.0	3.8299536626679713	positive
BA2905	18.17241379310345	6623608740.0	2.743582011926545	negative
BA3095	65.3103448275862	9686832260.0	6.742177739287725	negative
BA3177	143.0344827586207	12198101608.0	11.725962560011222	negative
BA3412	78.51724137931035	12857542880.0	6.106706554441633	negative
BA2011	15.89655172413793	8141679840.0	1.952490399590305	negative
BA2020	24.06896551724138	10986815980.0	2.1907134479230064	positive
BA2023	34.172413793103445	6204715440.0	5.507490895199449	negative
BA2024	151.6206896551724	10864332780.0	13.955821560831499	positive
BA2033	15.89655172413793	9682106420.0	1.641848481576381	negative
BA2035	55.48275862068966	6217670060.0	8.923400258502888	negative
BA2036	135.58620689655172	7970342380.0	17.01134034552625	positive
BA2037	104.03448275862068	9245605880.0	11.252316409427207	negative
BA2041	11.758620689655173	6907664540.0	1.702257053967356	negative
BA2044	30.89655172413793	6829887820.0	4.523727554303802	negative
BA2046	10.06896551724138	8350758220.0	1.205754645503481	negative
BA2047	33.13793103448276	9483174120.0	3.494392343233993	negative
BA2054	52.37931034482759	8531157040.0	6.139766282490984	positive
BA2063	17.344827586206897	8812339060.0	1.9682433310965792	negative
BA2082	36.51724137931034	9492673400.0	3.8468869453899406	negative
BA2089	63.13793103448276	11437437620.0	5.5202863728915155	negative
BA2095	18.17241379310345	5860218840.0	3.100978698792663	negative
BA2101	43.48275862068966	8340797920.0	5.213261253629516	negative
BA2109	17.103448275862068	8011330880.0	2.134907237268181	negative
BA2110	61.86206896551724	6152349560.0	10.055031555378209	positive
BA2113	39.86206896551724	8617071400.0	4.625941589101517	negative
BA2121	38.48275862068966	8579946200.0	4.485198126380986	negative
BA2123	17.103448275862068	7958002640.0	2.149213697152288	positive
BA2125	39.62068965517241	7232958740.0	5.47779837814648	negative
BA2134	49.310344827586206	5670167440.0	8.696453032361633	negative
BA2139	58.89655172413793	6124993700.0	9.615773437307851	positive
BA2156	19.24137931034483	7132607020.0	2.6976642981158983	negative
BA2162	51.82758620689656	7355165580.0	7.046420049036688	negative
BA2175	11.379310344827584	12453753480.0	0.9137253570260637	negative
BA2184	60.82758620689656	14287959700.0	4.2572618823173585	negative
BA2201	26.724137931034484	4588512180.0	5.82414013141717	positive
BA2212	25.620689655172413	9008421240.0	2.84408210635279	negative
BA2217	11.758620689655173	7588826980.0	1.5494648541394433	negative
BA2220	18.20689655172414	5350323580.0	3.4029524157722326	negative
BA2226	179.72413793103448	14192323180.0	12.66347557419662	positive
BA2229	20.89655172413793	9053482760.0	2.30812299289538	negative
BA2242	129.89655172413794	11212041120.0	11.585450885693678	positive
BA2260	28.310344827586206	6968782240.0	4.062452212251391	negative
BA2273	19.24137931034483	7974097320.0	2.4129852619286605	negative
BA2275	76.79310344827586	12073133100.0	6.360660717662085	negative
BA2276	40.0	6675530260.0	5.992033357961289	negative
BA2281	21.48275862068965	6443114300.0	3.334219698801502	negative
BA2296	48.10344827586207	8933638000.0	5.38453072263081	negative
BA2301	84.27586206896552	9250500280.0	9.1104112770175	positive
BA2306	42.03448275862069	8486194640.0	4.953278182012178	negative
