ID_sample	TypeMutation	ExpressionGene
BA2534	mut1	9.27156918109996
BA3037	mut1	9.22687989289351
BA3243	mut1	9.58909503454725
BA3422	mut1	9.65571538111022
BA3436	mut1	10.4540502805812
BA2296	mut7	6.47426873472503
BA2577	mut7	7.03196402344294
BA2728	mut7	7.28525840993051
BA2748	mut7	7.63278489020753
BA2844	mut7	4.95919380929034
BA2020	mut14	7.53405377993628
BA2022	mut14	7.70330320958059
BA2036	mut14	9.97467175015227
BA2037	mut14	8.24717893447311
BA2041	mut14	7.08598210070988
BA2053	mut14	7.02841397070837
BA2054	mut14	5.69876878834828
BA2068	mut14	8.95777690896205
BA2080	mut14	5.89999571306857
BA2096	mut14	6.33465501524617
BA2097	mut14	6.65845499115322
BA2106	mut14	7.01200936090574
BA2109	mut14	5.25385282871793
BA2123	mut14	7.50105244518025
BA2132	mut14	8.1336646480907
BA2135	mut14	5.36438724591077
BA2153	mut14	5.7983454299058
BA2162	mut14	9.31751716888528
BA2217	mut14	8.48656626341456
BA2218	mut14	8.42321613548815
BA2220	mut14	9.160132157513
BA2228	mut14	5.23174307005196
BA2229	mut14	6.60156923670466
BA2236	mut14	8.58457840504288
BA2240	mut14	7.72809482559201
BA2242	mut14	8.1981158996604
BA2245	mut14	7.66369633945432
BA2271	mut14	5.03254935299147
BA2281	mut14	7.82261702082019
BA2296	mut14	6.47426873472503
BA2302	mut14	7.19225834495813
BA2308	mut14	7.87732006412967
BA2311	mut14	4.44334512113552
BA2322	mut14	7.08974258985974
BA2369	mut14	6.59569193185131
BA2402	mut14	7.41497012248878
BA2405	mut14	7.40510623344956
BA2413	mut14	7.29077391107671
BA2441	mut14	7.28268371584317
BA2442	mut14	7.74132890165977
BA2461	mut14	4.04229195612943
BA2472	mut14	5.32411225603459
BA2488	mut14	8.16840116234166
BA2500	mut14	6.70193954968785
BA2505	mut14	7.27462693268534
BA2507	mut14	6.80545390529169
BA2511	mut14	7.6112304020112
BA2541	mut14	7.65276972214058
BA2545	mut14	4.92380795044112
BA2570	mut14	5.80572775335192
BA2597	mut14	9.36650856672567
BA2619	mut14	9.4917929010063
BA2634	mut14	6.61275930528802
BA2636	mut14	9.22287720595147
BA2639	mut14	7.23126576681474
BA2645	mut14	9.64008823387741
BA2646	mut14	7.49256176412129
BA2657	mut14	9.2429894144776
BA2674	mut14	6.6396645832219
BA2676	mut14	5.78078023650693
BA2682	mut14	7.53511002571526
BA2694	mut14	7.01613705435711
BA2695	mut14	6.21316864027758
BA2701	mut14	5.76256437697443
BA2707	mut14	6.27202284935672
BA2714	mut14	7.06807720975175
BA2720	mut14	7.5552619353094
BA2722	mut14	7.49794707202402
BA2731	mut14	4.76216052725516
BA2747	mut14	8.01284698319857
BA2765	mut14	6.08707291217101
BA2772	mut14	8.79942491234482
BA2775	mut14	8.75396729152058
BA2782	mut14	5.97890641593254
BA2789	mut14	8.85577669200061
BA2804	mut14	5.14161615451425
BA2809	mut14	6.5550219238791
BA2814	mut14	5.88643954120856
BA2860	mut14	8.5529001392332
BA2865	mut14	10.0543370402648
BA2872	mut14	6.13505858445244
BA2904	mut14	10.1753003572988
BA2905	mut14	7.50647222464875
BA2909	mut14	7.51630069461518
