	ID_sample	TypeMutation	ExpressionGene
0	BA2494	mut3	0.2999725410280351
1	BA2622	mut3	0.5211049111147632
2	BA2758	mut3	0.2585140309692019
3	BA2930	mut3	0.3725037009771825
4	BA2454	mut5	0.8069416065588251
5	BA3138	mut5	0.3691902155274642
6	BA3229	mut5	0.9040616726306924
7	BA3388	mut5	0.2751835808372105
8	BA2363	mut6	0.1514118803869611
9	BA2499	mut6	0.3608387211811307
10	BA2769	mut6	0.2290155805800641
11	BA3010	mut6	0.316961809524329
12	BA3228	mut6	0.8434634677888566
13	BA2100	mut11	0.2614480767212281
14	BA2357	mut11	0.1991905147710996
15	BA2496	mut11	0.1783692775590445
16	BA2953	mut11	0.2051085762725941
17	BA2760	mut14	0.2318542233851574
18	BA2971	mut14	0.4343361209962151
19	BA3175	mut14	0.2132253898402153
20	BA3242	mut14	0.4369142444127037
21	BA3290	mut14	0.3000348646219577
22	BA3302	mut14	0.8089436356807943
23	BA2097	mut16	0.5803880630099275
24	BA2600	mut16	0.3640935596244726
25	BA2663	mut16	0.1518541155285465
26	BA2999	mut16	0.7037852261887951
27	BA2280	mut21	1.238123750065648
28	BA2552	mut21	0.6775473724682192
29	BA2583	mut21	0.6912775488681344
30	BA2995	mut21	0.8452907347711253
31	BA2095	mut30	0.5760620116676848
32	BA2116	mut30	0.247156774264995
33	BA2124	mut30	0.547448699385894
34	BA2135	mut30	0.3643324954167157
35	BA2276	mut30	0.2550864966643531
36	BA2282	mut30	0.1222042420164395
37	BA2344	mut30	0.2438605199065537
38	BA2347	mut30	0.1395398032978155
39	BA2379	mut30	0.2462887562455963
40	BA2521	mut30	0.6694791447565787
41	BA2534	mut30	0.4329884438925064
42	BA2552	mut30	0.6775473724682192
43	BA2559	mut30	0.3518012511866175
44	BA2651	mut30	0.1664388121516779
45	BA2685	mut30	0.2648671293645711
46	BA2715	mut30	0.5407179260858568
47	BA2718	mut30	0.2264120593094975
48	BA2735	mut30	0.2898572883111386
49	BA2860	mut30	0.1207170295640607
50	BA2893	mut30	0.603367933771291
51	BA2905	mut30	0.2835814840385837
52	BA2999	mut30	0.7037852261887951
53	BA3029	mut30	0.2886786546929628
54	BA2891	mut30	0.2015933580651004
55	BA3126	mut30	0.2332065906338938
56	BA3145	mut30	0.3714211515309634
57	BA3169	mut30	0.1890676749491902
58	BA3177	mut30	0.7269216743289351
59	BA3375	mut30	0.4729430043851663
60	BA3385	mut30	0.396194121898357
61	BA2006	NonMut	0.0434516639435853
62	BA2011	NonMut	0.1227164865716172
63	BA2019	NonMut	0.2985802352609417
64	BA2020	NonMut	0.4234286826082905
65	BA2022	NonMut	0.5851342050113773
66	BA2023	NonMut	0.2340222673641931
67	BA2024	NonMut	0.355324854052362
68	BA2025	NonMut	0.0980119356459087
69	BA2031	NonMut	0.2926282036740446
70	BA2032	NonMut	0.3819240898337823
71	BA2033	NonMut	0.2493802875679197
72	BA2034	NonMut	0.4487978343101674
73	BA2035	NonMut	0.5157778625167798
74	BA2036	NonMut	0.8388414173535819
75	BA2037	NonMut	0.4592527844731488
76	BA2041	NonMut	0.2588665449447568
77	BA2044	NonMut	0.4545446668656925
78	BA2046	NonMut	0.5157814038241734
79	BA2047	NonMut	0.3310338573537499
80	BA2050	NonMut	0.3165709499854057
81	BA2051	NonMut	0.3938825853566675
82	BA2052	NonMut	0.3736513203619646
83	BA2053	NonMut	0.3085386934826425
84	BA2054	NonMut	0.2938030708808976
85	BA2055	NonMut	0.0589301162250986
86	BA2063	NonMut	0.0920561794793435
87	BA2065	NonMut	0.5219851276879832
88	BA2066	NonMut	0.4636862910150136
89	BA2068	NonMut	0.4141447851298147
90	BA2069	NonMut	0.1889841436797342
91	BA2072	NonMut	0.3501484859597172
92	BA2079	NonMut	0.1133866749489385
93	BA2080	NonMut	0.1281109492294557
94	BA2082	NonMut	0.1837415500653363
95	BA2087	NonMut	0.1262338198212069
96	BA2088	NonMut	0.1123074663292034
