ID_sample	TypeMutation	ExpressionGene
BA2052	mut1	9.55435683089665
BA2209	mut1	8.67821802831458
BA2276	mut1	9.1410080593907
BA2311	mut1	8.78412431760784
BA2357	mut1	9.26745559419095
BA2361	mut1	9.1755941413251
BA2369	mut1	9.25110414260315
BA2473	mut1	9.93797001113285
BA2497	mut1	8.61423212805534
BA2621	mut1	8.9076089453561
BA2676	mut1	9.23089240757758
BA2685	mut1	9.26745559419095
BA2707	mut1	9.20696376307392
BA2789	mut1	9.09600320401444
BA2872	mut1	9.13720994130471
BA2995	mut1	9.52517542791568
BA2590	mut1	9.60929418124753
BA3135	mut1	9.4000752436972
BA3185	mut1	9.19906475607931
BA3234	mut1	7.94635895319707
BA3237	mut1	9.13342062895717
BA3305	mut1	8.82110029202306
BA3310	mut1	9.1755941413251
BA3329	mut1	9.48406046211483
BA2035	mut2	9.22287720595147
BA2046	mut2	9.1872873383188
BA2195	mut2	8.97142354261209
BA2286	mut2	8.92083445647999
BA2480	mut2	8.73025810259064
BA2496	mut2	8.84307877151568
BA2645	mut2	9.12586826213153
BA2667	mut2	8.95438322249582
BA2769	mut2	8.97485330936457
BA2846	mut2	9.30906602396076
BA2860	mut2	8.71271331389775
BA2880	mut2	9.160132157513
BA2923	mut2	7.64511152399424
BA3207	mut2	7.93502206043898
BA3333	mut2	9.46372381175102
BA3334	mut2	8.65565049707964
BA2104	mut3	7.64511152399424
BA2133	mut3	9.2389471182711
BA2276	mut3	9.1410080593907
BA2361	mut3	9.1755941413251
BA2363	mut3	8.26607857536642
BA2473	mut3	9.93797001113285
BA2538	mut3	9.00955709168753
BA2621	mut3	8.9076089453561
BA2685	mut3	9.26745559419095
BA2707	mut3	9.20696376307392
BA2836	mut3	9.14481502348153
BA2872	mut3	9.13720994130471
BA2590	mut3	9.60929418124753
BA3185	mut3	9.19906475607931
BA3234	mut3	7.94635895319707
BA3237	mut3	9.13342062895717
BA3305	mut3	8.82110029202306
BA3329	mut3	9.48406046211483
BA3452	mut3	8.57129520837751
BA2034	mut4	8.99390471507907
BA2089	mut4	8.18416035809344
BA2109	mut4	8.65285322774346
BA2162	mut4	9.18338030789918
BA2229	mut4	9.38675693832204
BA2233	mut4	9.65571538111022
BA2379	mut4	8.65845299235754
BA2423	mut4	8.69824500910271
BA2472	mut4	8.68106286594684
BA2489	mut4	9.57411368730524
BA2520	mut4	9.53000194332933
BA2583	mut4	9.67679810675791
BA2589	mut4	9.03786515454843
BA2659	mut4	8.52958832512444
BA2694	mut4	9.42251934116338
BA2722	mut4	8.95099667095566
BA2843	mut4	9.29229417829056
BA2858	mut4	9.30906602396076
BA2867	mut4	9.30065851731011
BA2999	mut4	9.03429954865997
BA3010	mut4	8.87824586229709
BA2516	mut4	8.94268168369866
BA2971	mut4	9.02543573403374
BA3123	mut4	8.68758550697862
BA3124	mut4	9.38234175781362
BA3181	mut4	8.03722226484621
BA3190	mut4	8.51425498508966
BA3195	mut4	9.3561004357089
BA3199	mut4	9.4917929010063
BA3206	mut4	9.57411368730524
BA3260	mut4	8.43758065182973
BA3275	mut4	9.73629770852437
BA3277	mut4	9.43158515365849
BA3290	mut4	8.8879736022598
BA3308	mut4	9.17948259034573
BA3345	mut4	8.94087956106744
BA3405	mut4	8.22445433533228
BA2409	NonMut	8.41135949860071
BA3037	NonMut	8.23061160269424
BA2172	NonMut	8.71271331389775
BA2865	NonMut	9.22287720595147
BA2751	NonMut	9.50293364970638
BA2922	NonMut	9.3217592552912
BA2452	NonMut	9.82133532639013
BA3379	NonMut	9.46372381175102
BA2887	NonMut	9.13342062895717
BA2712	NonMut	9.39118419839355
BA2068	NonMut	10.6289390647318
BA2236	NonMut	9.22287720595147
BA3395	NonMut	9.09970659968869
BA2921	NonMut	9.54945587390153
BA2449	NonMut	8.60608533344799
BA2003	NonMut	9.75293118746352
BA2360	NonMut	9.42251934116338
BA2802	NonMut	9.53969913371194
BA2235	NonMut	8.93082572022568
BA3038	NonMut	8.60879594020241
BA3006	NonMut	9.64008823387741
BA2245	NonMut	9.49651930986164
