	ID_sample	TypeMutation	ExpressionGene
0	BA2116	mut4	3.65588909933936
1	BA2441	mut4	7.44839655086442
2	BA2715	mut4	4.54449196266661
3	BA2822	mut4	6.13119942059496
4	BA3139	mut4	6.54456958822718
5	BA3285	mut4	6.59468087653905
6	BA2113	mut10	6.94881589861991
7	BA2275	mut10	5.9092894586333
8	BA2937	mut10	6.88364306076419
9	BA2939	mut10	5.4256501409614
10	BA3410	mut10	4.9477179907569
11	BA3438	mut10	6.61867340597626
12	BA2273	mut14	5.75263805334011
13	BA2308	mut14	6.1346163312472
14	BA2832	mut14	6.54255345963774
15	BA3040	mut14	7.4372988989966
16	BA3152	mut14	6.37124794281337
17	BA3395	mut14	6.09600230844392
18	BA2003	mut30	5.09857876696561
19	BA2011	mut30	4.74322903691124
20	BA2020	mut30	7.56206988956539
21	BA2022	mut30	7.02978091514104
22	BA2023	mut30	6.6639864599992
23	BA2024	mut30	6.16739291737488
24	BA2025	mut30	7.06736498172321
25	BA2031	mut30	7.10925539195399
26	BA2033	mut30	4.4255355439253
27	BA2034	mut30	7.18078818168097
28	BA2036	mut30	6.85895592875875
29	BA2041	mut30	5.97482137009541
30	BA2044	mut30	7.41702873174962
31	BA2046	mut30	5.08690717420201
32	BA2047	mut30	6.60634523087502
33	BA2050	mut30	6.89902500194997
34	BA2051	mut30	3.74222249554182
35	BA2052	mut30	6.02245886806957
36	BA2053	mut30	5.62530338833762
37	BA2054	mut30	5.68192875741287
38	BA2063	mut30	5.23357427325263
39	BA2065	mut30	6.97592290315855
40	BA2066	mut30	7.26938021173089
41	BA2068	mut30	5.89521114196018
42	BA2069	mut30	7.49042755149826
43	BA2072	mut30	6.8175184307766
44	BA2079	mut30	5.34829013725005
45	BA2081	mut30	7.12814379144502
46	BA2082	mut30	5.05791386338245
47	BA2087	mut30	6.1821095995856
48	BA2089	mut30	6.37831338727117
49	BA2093	mut30	5.51092026987085
50	BA2094	mut30	6.63707820351379
51	BA2095	mut30	7.28899814708616
52	BA2096	mut30	6.5435898741168
53	BA2097	mut30	5.89165055148412
54	BA2098	mut30	6.83151108322253
55	BA2101	mut30	5.99436956978052
56	BA2104	mut30	6.26429986711095
57	BA2106	mut30	5.5849409277756
58	BA2109	mut30	4.73402493935974
59	BA2110	mut30	5.89165055148412
60	BA2113	mut30	6.94881589861991
61	BA2116	mut30	3.65588909933936
62	BA2121	mut30	6.93827202821145
63	BA2123	mut30	6.39599982532293
64	BA2124	mut30	7.5725144548201
65	BA2125	mut30	6.90814621424913
66	BA2134	mut30	6.389795387917
67	BA2135	mut30	6.02937141783307
68	BA2139	mut30	6.24185782368877
69	BA2153	mut30	6.10234706288177
70	BA2155	mut30	6.81026452482456
71	BA2156	mut30	7.78123623973778
72	BA2162	mut30	5.66661596956027
73	BA2163	mut30	7.5552619353094
