	ABL1	ASXL1
BA2000	0.0146845710165825	0.0103560239248077
BA2003	0.0095313626532083	0.0099501566505269
BA2004	0.0112418889689978	0.0154827684420393
BA2006	0.0060003604902667	0.0159014525776132
BA2011	0.0100919250180245	0.0079735118199943
BA2019	0.0196629416005767	0.0143876388493306
BA2020	0.0263392213410237	0.0190586727428083
BA2022	0.0168979812545061	0.013366562232982
BA2023	0.0098017303532804	0.0071389917402449
BA2024	0.0110868781542898	0.0097294218171461
BA2025	0.0185724585436193	0.0104713756764454
BA2031	0.0146377072819033	0.0087510680717744
BA2032	0.0132462148521989	0.0096938194246653
BA2033	0.0081723143475126	0.0110937054970094
BA2034	0.0197494592645998	0.0122045001424095
BA2035	0.0183687815428983	0.0121931073768157
BA2036	0.0147530641672674	0.0149045855881515
BA2037	0.0234264599855803	0.0192067786955283
BA2041	0.01598774333093	0.0122529193961834
BA2044	0.0127793799567411	0.0103417829678154
BA2046	0.0203460706560922	0.0144673882084876
BA2047	0.0213968997837058	0.0156778695528339
BA2050	0.0107462148521989	0.0076445457134719
BA2051	0.0223882480173035	0.013607234406152
BA2052	0.013585075702956	0.0250484192537738
BA2053	0.0078983417447728	0.008046140700655
BA2054	0.0082660418168709	0.0083124465964112
BA2055	0.0044250180245133	0.006251780119624
BA2063	0.033361571737563	0.0278254058672742
BA2065	0.0192790194664744	0.0142879521503845
BA2066	0.0210976928622927	0.0126872685844488
BA2068	0.0152397260273972	0.009864710908573
BA2069	0.0120782263878875	0.0109043007690116
BA2072	0.0101243691420331	0.0074579891768726
BA2079	0.0053911319394376	0.0056664767872401
BA2080	0.0201568132660418	0.011177727143264
BA2081	0.012382840663302	0.0092708630019937
BA2082	0.0226405912040374	0.0100754770720592
BA2087	0.0131452775775054	0.0063600113927655
BA2088	0.016995313626532	0.0130575334662489
BA2089	0.0200973323720259	0.0115180860153802
BA2093	0.0109012256669069	0.0189518655653659
BA2094	0.0125342465753424	0.0118513244090002
BA2095	0.0175198269646719	0.011510965536884
BA2096	0.0067429704397981	0.0077015095414411
BA2097	0.0227577505407354	0.022336941042438
BA2098	0.012664023071377	0.007355454286528
BA2100	0.0066240086517664	0.008853602962119
BA2101	0.0096467195385724	0.0161492452292794
BA2104	0.0069358327325162	0.0051751637710054
BA2106	0.0121449170872386	0.0095286243235545
BA2109	0.0096160778658976	0.0068427798348048
BA2110	0.005677721701514	0.0061948162916547
BA2113	0.0232191780821917	0.0148518940472799
BA2116	0.0132804614275414	0.0155041298775277
BA2121	0.0142231434751261	0.0120279122757049
BA2122	0.0042213410237923	0.0057476502420962
BA2123	0.0203028118240807	0.0162019367701509
BA2124	0.0179434030281182	0.0128068926231842
BA2125	0.0150955299206921	0.0126046710338934
BA2132	0.0178821196827685	0.0134648248362289
BA2133	0.0063211968276856	0.0151794360581031
BA2134	0.0074351117519826	0.0062318427798348
BA2135	0.0098558038932948	0.0131871261748789
BA2139	0.0064852198990627	0.0061179151238963
BA2143	0.0127180966113914	0.0105012816861293
BA2148	0.0149242970439798	0.0085075477072059
BA2153	0.0082390050468637	0.011794360581031
BA2155	0.012382840663302	0.0102449444602677
BA2156	0.0208399423215573	0.012935061236115
BA2162	0.0132804614275414	0.0122315579606949
BA2163	0.0161968276856524	0.0135972657362574
BA2168	0.0087941600576784	0.0094403303902022
BA2169	0.0112076423936553	0.0152976360011392
BA2171	0.0253118240807498	0.0156849900313301
BA2172	0.0166528478731074	0.0083751068071774
BA2174	0.0147224224945926	0.0119581315864426
BA2175	0.019388968997837	0.0164240956992309
BA2184	0.046326604181687	0.0253545998291085
BA2195	0.0100342465753424	0.009192537738536
BA2198	0.0141474405191059	0.0102990600968385
BA2200	0.0183453496755587	0.0153047564796354
BA2201	0.0077883922134102	0.0059455995442893
BA2209	0.0153947368421052	0.0371418399316434
BA2211	0.0313320115356885	0.0170506978068926
BA2212	0.0161824080749819	0.0115679293648533
BA2217	0.0262707281903388	0.0119125605240672
BA2218	0.0069124008651766	0.0077200227855311
BA2220	0.0089419610670511	0.0090515522643121
BA2221	0.0084661139149242	0.01042580461407
BA2224	0.0088914924297043	0.0088692680148105
BA2226	0.0220944484498918	0.0164696667616063
BA2227	0.0209408795962509	0.0165593847906579
BA2228	0.0196377072819033	0.0170563941896895
BA2229	0.0153713049747656	0.0254955853033323
BA2233	0.0236860129776496	0.0119367701509541
BA2234	0.0152505407354001	0.011516661919681
BA2235	0.0130641672674837	0.0096738820848761
BA2236	0.018817591925018	0.0110125320421532
BA2239	0.0091726748377793	0.0074366277413842
