	ABL1	MSH2
BA2000	0.0146845710165825	0.0540194489465154
BA2003	0.0095313626532083	0.0118833063209076
BA2004	0.0112418889689978	0.0208525121555915
BA2006	0.0060003604902667	0.0008006482982171
BA2011	0.0100919250180245	0.0040032414910859
BA2019	0.0196629416005767	0.0573646677471636
BA2020	0.0263392213410237	0.075416531604538
BA2022	0.0168979812545061	0.0365705024311183
BA2023	0.0098017303532804	0.0083598055105348
BA2024	0.0110868781542898	0.0156985413290113
BA2025	0.0185724585436193	0.0333419773095624
BA2031	0.0146377072819033	0.0258800648298217
BA2032	0.0132462148521989	0.0062009724473257
BA2033	0.0081723143475126	0.0037763371150729
BA2034	0.0197494592645998	0.0277698541329011
BA2035	0.0183687815428983	0.0266969205834683
BA2036	0.0147530641672674	0.0301296596434359
BA2037	0.0234264599855803	0.069870340356564
BA2041	0.01598774333093	0.0181393841166936
BA2044	0.0127793799567411	0.0307811993517017
BA2046	0.0203460706560922	0.008580226904376
BA2047	0.0213968997837058	0.0314068071312803
BA2050	0.0107462148521989	0.0176693679092382
BA2051	0.0223882480173035	0.0037309562398703
BA2052	0.013585075702956	0.0163987034035656
BA2053	0.0078983417447728	0.0055591572123176
BA2054	0.0082660418168709	0.0261620745542949
BA2055	0.0044250180245133	0.0027552674230145
BA2063	0.033361571737563	0.0053063209076175
BA2065	0.0192790194664744	0.0386969205834683
BA2066	0.0210976928622927	0.0304473257698541
BA2068	0.0152397260273972	0.0106774716369529
BA2069	0.0120782263878875	0.0307001620745542
BA2072	0.0101243691420331	0.0224927066450567
BA2079	0.0053911319394376	0.0028330632090761
BA2080	0.0201568132660418	0.0119448946515397
BA2081	0.012382840663302	0.0155105348460291
BA2082	0.0226405912040374	0.0067552674230145
BA2087	0.0131452775775054	0.0044440842787682
BA2088	0.016995313626532	0.0107098865478119
BA2089	0.0200973323720259	0.0336952998379254
BA2093	0.0109012256669069	0.0443630470016207
BA2094	0.0125342465753424	0.0354554294975688
BA2095	0.0175198269646719	0.0337017828200972
BA2096	0.0067429704397981	0.0245640194489465
BA2097	0.0227577505407354	0.0270794165316045
BA2098	0.012664023071377	0.0097828200972447
BA2100	0.0066240086517664	0.0044894651539708
BA2101	0.0096467195385724	0.0113808752025931
BA2104	0.0069358327325162	0.0048168557536466
BA2106	0.0121449170872386	0.0106839546191247
BA2109	0.0096160778658976	0.0083338735818476
BA2110	0.005677721701514	0.008
BA2113	0.0232191780821917	0.0374294975688816
BA2116	0.0132804614275414	0.0104862236628849
BA2121	0.0142231434751261	0.0262495948136142
BA2122	0.0042213410237923	0.0023435980551053
BA2123	0.0203028118240807	0.0466547811993517
BA2124	0.0179434030281182	0.0408233387358184
BA2125	0.0150955299206921	0.043578606158833
BA2132	0.0178821196827685	0.0122755267423014
BA2133	0.0063211968276856	0.0023630470016207
BA2134	0.0074351117519826	0.0087811993517017
BA2135	0.0098558038932948	0.0133743922204213
BA2139	0.0064852198990627	0.0067779578606158
BA2143	0.0127180966113914	0.0120842787682333
BA2148	0.0149242970439798	0.0029043760129659
BA2153	0.0082390050468637	0.0334716369529983
BA2155	0.012382840663302	0.0193646677471636
BA2156	0.0208399423215573	0.0350891410048622
BA2162	0.0132804614275414	0.0245380875202593
BA2163	0.0161968276856524	0.0319222042139384
BA2168	0.0087941600576784	0.006482982171799
BA2169	0.0112076423936553	0.0095948136142625
BA2171	0.0253118240807498	0.051578606158833
BA2172	0.0166528478731074	0.0150275526742301
BA2174	0.0147224224945926	0.0394586709886547
BA2175	0.019388968997837	0.0144538087520259
BA2184	0.046326604181687	0.0969854132901134
BA2195	0.0100342465753424	0.0069918962722852
BA2198	0.0141474405191059	0.0432155591572123
BA2200	0.0183453496755587	0.0561880064829821
BA2201	0.0077883922134102	0.0168071312803889
BA2209	0.0153947368421052	0.0092739059967585
BA2211	0.0313320115356885	0.0490081037277147
BA2212	0.0161824080749819	0.0156337115072933
BA2217	0.0262707281903388	0.0324246353322528
BA2218	0.0069124008651766	0.007935170178282
BA2220	0.0089419610670511	0.0659611021069692
BA2221	0.0084661139149242	0.0177244732576985
BA2224	0.0088914924297043	0.0183565640194489
BA2226	0.0220944484498918	0.0360907617504051
BA2227	0.0209408795962509	0.0227358184764991
BA2228	0.0196377072819033	0.0217957860615883
BA2229	0.0153713049747656	0.0088978930307941
BA2233	0.0236860129776496	0.010868719611021
BA2234	0.0152505407354001	0.0459286871961102
BA2235	0.0130641672674837	0.0261134521880064
BA2236	0.018817591925018	0.0268881685575364
BA2239	0.0091726748377793	0.0142139384116693
BA2240	0.0207876712328767	0.0405899513776337
BA2242	0.0155587599134823	0.019481361426256
BA2244	0.0166348233597692	0.0213743922204213
BA2245	0.0197404470079307	0.0364019448946515
BA2248	0.00905010814708	0.0068978930307941
BA2249	0.012557678442682	0.0336045380875202
BA2251	0.0230894015861571	0.0409205834683954
BA2256	0.0136391492429704	0.021870340356564
BA2260	0.0076297764960346	0.0159611021069692
BA2261	0.0063482335976928	0.0078573743922204
BA2269	0.006685291997116	0.0025316045380875
BA2271	0.0136319394376351	0.0238346839546191
BA2272	0.01	0.0206807131280388
BA2273	0.0184607065609228	0.0185899513776337
BA2275	0.0184697188175919	0.0421491085899513
BA2276	0.0092519826964671	0.0172123176661264
BA2277	0.0193421052631578	0.0414294975688816
BA2280	0.0273449891852919	0.0464667747163695
BA2281	0.0179271809661139	0.0335688816855753
BA2282	0.0063031723143475	0.010418152350081
BA2286	0.0208507570295602	0.0296790923824959
BA2288	0.0124134823359769	0.0074035656401944
BA2292	0.0175486661860129	0.08645056726094
BA2294	0.0140573179524152	0.0309529983792544
BA2296	0.0239365537130497	0.0403987034035656
BA2300	0.0072584715212689	0.0702171799027552
BA2301	0.0100739005046863	0.0073484602917341
BA2302	0.0157948810382119	0.0073419773095623
BA2304	0.0063734679163662	0.0096693679092382
BA2306	0.0136121124729632	0.0281134521880064
BA2308	0.0117321557317952	0.0183922204213938
BA2309	0.0130984138428262	0.0391863857374392
