	ABL1	SRP72
BA2000	0.0146845710165825	515.1414580468389
BA2003	0.0095313626532083	390.3205895160881
BA2004	0.0112418889689978	496.1064699366191
BA2006	0.0060003604902667	126.61155638910635
BA2011	0.0100919250180245	402.8203499049563
BA2019	0.0196629416005767	542.6868051982807
BA2020	0.0263392213410237	1236.2852693021316
BA2022	0.0168979812545061	931.4740650181104
BA2023	0.0098017303532804	284.6858981292819
BA2024	0.0110868781542898	509.85184952254247
BA2025	0.0185724585436193	727.0528319252791
BA2031	0.0146377072819033	429.58655600285647
BA2032	0.0132462148521989	495.47253360750767
BA2033	0.0081723143475126	870.819990806465
BA2034	0.0197494592645998	899.9580880883395
BA2035	0.0183687815428983	631.1544193759557
BA2036	0.0147530641672674	477.7863067870616
BA2037	0.0234264599855803	932.1278807200372
BA2041	0.01598774333093	513.6852739406056
BA2044	0.0127793799567411	419.9933270616326
BA2046	0.0203460706560922	989.5217223788892
BA2047	0.0213968997837058	850.9098934204102
BA2050	0.0107462148521989	439.4813475346555
BA2051	0.0223882480173035	721.1202102295787
BA2052	0.013585075702956	596.7577284362619
BA2053	0.0078983417447728	641.6137617430475
BA2054	0.0082660418168709	606.0549903328758
BA2055	0.0044250180245133	40.41452634530221
BA2063	0.033361571737563	347.63106057752526
BA2065	0.0192790194664744	641.1138079445967
BA2066	0.0210976928622927	1024.3235344305704
BA2068	0.0152397260273972	310.8996351336913
BA2069	0.0120782263878875	629.537543907831
BA2072	0.0101243691420331	340.0580796996585
BA2079	0.0053911319394376	266.78569791298344
BA2080	0.0201568132660418	573.1689582453446
BA2081	0.012382840663302	423.72421106650006
BA2082	0.0226405912040374	795.8622148891225
BA2087	0.0131452775775054	368.9962438985023
BA2088	0.016995313626532	648.1332497433348
BA2089	0.0200973323720259	1391.091622491957
BA2093	0.0109012256669069	530.6453880994583
BA2094	0.0125342465753424	758.4458097536776
BA2095	0.0175198269646719	597.531674873243
BA2096	0.0067429704397981	417.36279524205867
BA2097	0.0227577505407354	1130.8351383154848
BA2098	0.012664023071377	269.34033992003435
BA2100	0.0066240086517664	252.96698739394077
BA2101	0.0096467195385724	422.1039356983594
BA2104	0.0069358327325162	337.33879132866
BA2106	0.0121449170872386	616.9628520841356
BA2109	0.0096160778658976	397.0888460042256
BA2110	0.005677721701514	276.6256013865835
BA2113	0.0232191780821917	911.8473333273414
BA2116	0.0132804614275414	505.25598983240576
BA2121	0.0142231434751261	975.3803505409262
BA2122	0.0042213410237923	220.32533260123333
BA2123	0.0203028118240807	1161.2634574015792
BA2124	0.0179434030281182	661.7409475614835
BA2125	0.0150955299206921	567.1297708782655
BA2132	0.0178821196827685	642.0892983039099
BA2133	0.0063211968276856	249.24278217297496
BA2134	0.0074351117519826	263.4391328522556
BA2135	0.0098558038932948	610.8760090902015
BA2139	0.0064852198990627	361.4360284946059
BA2143	0.0127180966113914	440.1652070457172
BA2148	0.0149242970439798	325.6983148912776
BA2153	0.0082390050468637	927.4280666285978
BA2155	0.012382840663302	353.0276123114654
BA2156	0.0208399423215573	521.2239017478964
BA2162	0.0132804614275414	568.1672039875074
BA2163	0.0161968276856524	739.0204730321722
BA2168	0.0087941600576784	358.2274345134054
BA2169	0.0112076423936553	417.7661624192685
BA2171	0.0253118240807498	638.4903895727509
BA2172	0.0166528478731074	807.3717438615525
BA2174	0.0147224224945926	635.4015711601598
BA2175	0.019388968997837	659.1112247805803
BA2184	0.046326604181687	1365.3436668819215
BA2195	0.0100342465753424	489.2019092010264
BA2198	0.0141474405191059	640.6616431738215
BA2200	0.0183453496755587	1219.9034061463744
BA2201	0.0077883922134102	323.8575475488113
BA2209	0.0153947368421052	805.6129107167188
BA2211	0.0313320115356885	605.4102716085284
BA2212	0.0161824080749819	585.3734627105696
BA2217	0.0262707281903388	605.9816622601436
BA2218	0.0069124008651766	633.9192068872085
BA2220	0.0089419610670511	531.2918770674244
BA2221	0.0084661139149242	428.8395948923468
BA2224	0.0088914924297043	426.49673623056935
BA2226	0.0220944484498918	1614.6072400887651
BA2227	0.0209408795962509	1556.198688723305
BA2228	0.0196377072819033	958.270040641178
BA2229	0.0153713049747656	631.066535674294
BA2233	0.0236860129776496	466.515544838646
BA2234	0.0152505407354001	741.0806559053135
BA2235	0.0130641672674837	575.5617491819961
BA2236	0.018817591925018	480.8068853896017
BA2239	0.0091726748377793	343.129171574367
BA2240	0.0207876712328767	776.6306205378
BA2242	0.0155587599134823	692.9291371537431
BA2244	0.0166348233597692	543.8616211030613
BA2245	0.0197404470079307	644.45375413621
BA2248	0.00905010814708	448.95064515223015
BA2249	0.012557678442682	792.1176847142482
BA2251	0.0230894015861571	651.4538518634376
BA2256	0.0136391492429704	941.150685593926
BA2260	0.0076297764960346	468.34256747268034
BA2261	0.0063482335976928	288.13429432471185
BA2269	0.006685291997116	242.06050705796
BA2271	0.0136319394376351	767.541361059911
BA2272	0.01	476.0504972594943
BA2273	0.0184607065609228	658.6574406779977
BA2275	0.0184697188175919	1215.9333063929269
BA2276	0.0092519826964671	503.7394128515307
BA2277	0.0193421052631578	859.0193088587215
BA2280	0.0273449891852919	1462.6655360528846
BA2281	0.0179271809661139	641.927863894989
BA2282	0.0063031723143475	314.66588257751806
BA2286	0.0208507570295602	612.2956565628945
BA2288	0.0124134823359769	575.6502267711049
BA2292	0.0175486661860129	758.821045461555
BA2294	0.0140573179524152	482.36101446774137
BA2296	0.0239365537130497	730.4180264894637
BA2300	0.0072584715212689	877.5895015903999
BA2301	0.0100739005046863	746.0291398475781
BA2302	0.0157948810382119	602.3766516247941
BA2304	0.0063734679163662	362.44741031758457
BA2306	0.0136121124729632	969.9555609665474
BA2308	0.0117321557317952	580.8984952668693
BA2309	0.0130984138428262	470.1301092725678
BA2311	0.0107876712328767	529.4775053631668
BA2312	0.009127613554434	451.4894960190048
BA2316	0.0084282624369142	317.6128270640396
BA2322	0.0178568853640951	906.5823886529748
BA2325	0.0081506849315068	301.02065610071475
BA2329	0.0087815428983417	339.2961677547321
BA2334	0.0099639509733237	332.41347888052746
BA2339	0.0048882480173035	418.4876807549829
BA2344	0.0139077144917087	780.9671059370721
BA2347	0.0055064888248017	433.5198005791178
BA2348	0.0043727469358327	208.44649116549837
BA2350	0.0045818312905551	311.49365740539145
BA2354	0.0157534246575342	767.186230935782
BA2355	0.0216312184571016	933.8043726206192
BA2357	0.0130569574621485	470.1830005907915
BA2360	0.0196322999279019	558.0178922964046
BA2361	0.0122873107426099	558.3508565956799
BA2363	0.0046250901225666	259.6490267478299
BA2369	0.0189221341023792	713.4517431608632
BA2374	0.0208489545782263	926.280170035634
BA2375	0.0116131939437635	521.4136838478634
BA2376	0.0086265320836337	503.9041752156702
BA2377	0.0481254506128334	1078.9294268317722
BA2379	0.0132227829848594	408.3042043730159
BA2385	0.0062310742609949	448.9714126749752
BA2386	0.0189491708723864	905.1458566733317
BA2387	0.0169881038211968	684.2085480184014
BA2394	0.0097242249459264	640.2988001018253
BA2399	0.0148125450612833	716.9927900504184
BA2400	0.0313842826243691	1377.6388647400331
BA2402	0.0125630857966834	651.0153561785479
BA2405	0.0074134823359769	323.080111674763
BA2406	0.0122512617159336	742.3869381099241
BA2409	0.0120385724585436	537.5448871275779
BA2410	0.0260958904109589	648.2021565707561
BA2412	0.0044754866618601	281.2558783913904
BA2413	0.0136788031723143	621.360134552539
BA2414	0.0243258832011535	1124.1028452009589
BA2415	0.0047260273972602	260.63329472699866
BA2417	0.0171773612112472	777.40403177769
BA2418	0.0077685652487382	357.1655875161901
BA2420	0.0105136986301369	406.5625862249553
BA2421	0.0181596971881759	546.1159657698919
BA2423	0.0107894736842105	652.3472189605747
BA2425	0.0087941600576784	520.6665333396627
BA2426	0.0100558759913482	736.492902699216
BA2427	0.0086571737563085	457.1393467210683
BA2429	0.0106452775775054	373.527936899076
BA2440	0.01405010814708	820.1761747290435
BA2441	0.0184354722422494	1204.0147069449442
BA2442	0.0116095890410958	937.4579086269998
BA2446	0.0115392934390771	477.3336436810431
BA2449	0.0213698630136986	1191.881483531951
BA2450	0.0162040374909877	544.4648999435962
BA2452	0.0252541456380677	697.5379074477266
BA2454	0.0121611391492429	1035.2827237325062
BA2455	0.0087148521989906	314.3199071263774
BA2456	0.0047837058399423	563.924104688621
BA2459	0.0067934390771449	554.1715130043124
BA2461	0.0103262436914203	574.9886681772365
BA2463	0.0140356885364095	297.95674743948337
BA2464	0.0198936553713049	580.121874106274
BA2469	0.0165843547224224	295.3216562965368
BA2470	0.0112599134823359	482.4268539972845
BA2472	0.0163428262436914	468.6617517021456
BA2473	0.0219412400865176	747.0049495161611
BA2474	0.0123521989906272	370.6669842048432
BA2477	0.025086517664023	817.8581449188126
BA2479	0.0077253064167267	321.071289182861
BA2480	0.023895097332372	388.53606956973584
BA2481	0.0052072819033886	257.4331692022267
BA2482	0.0118006488824801	495.43905722140727
BA2483	0.0151604181687094	657.7896003676832
BA2485	0.0216672674837779	346.3828893886736
BA2488	0.0136697909156452	420.2676541635937
BA2489	0.0131038211968276	505.7889790935751
BA2492	0.007577505407354	416.4109195316823
BA2494	0.0152487382840663	612.2036257549743
BA2496	0.0059769286229271	376.4271915148217
BA2497	0.0092682047584715	411.8036980957892
BA2499	0.0128262436914203	630.6657465494069
BA2500	0.0246304974765681	855.3580417729452
BA2501	0.0150558759913482	1025.6589677898328
BA2502	0.0097837058399423	648.1344500082369
BA2505	0.0148648161499639	669.4498750943252
BA2507	0.0108904109589041	531.8820306110565
BA2510	0.016472602739726	862.7850419143886
BA2511	0.0059480894015861	199.6075329790777
BA2512	0.0125036049026676	903.2076773762114
BA2514	0.0112743330930064	583.8973068588759
BA2515	0.0118655371304974	444.9959651309353
BA2520	0.0036265320836337	416.1688687437918
BA2521	0.0162959625090122	667.0853322301825
BA2523	0.0194394376351838	398.401372289706
BA2524	0.0125360490266762	548.7702080824861
BA2525	0.0119700793078586	345.4335067181132
BA2526	0.0263968997837058	803.8091536815288
BA2528	0.0154992790194664	601.7664580343292
BA2532	0.0165176640230713	873.900995084742
BA2534	0.0232516222062004	670.0079310478784
BA2538	0.012586517664023	794.1797244104192
BA2539	0.0068961788031723	516.1593828866568
BA2540	0.0125937274693583	464.74092135688414
BA2541	0.0059012256669069	571.2829075891881
BA2545	0.0118186733958183	557.4286116418984
BA2546	0.0096431146359048	419.6167419991012
BA2552	0.0384967555875991	1164.701382540342
BA2559	0.014059120403749	827.3793718823349
BA2561	0.0080064888248017	360.17273067785607
BA2563	0.0161067051189617	714.4677011312924
BA2564	0.0097710886806056	459.7153312886898
BA2567	0.0041636625811103	252.23829170351053
BA2570	0.0145692141312184	953.5052678755536
BA2575	0.0071935832732516	235.12057518733803
BA2577	0.0213626532083633	718.3644156447768
BA2579	0.0098648161499639	507.9101067316696
BA2583	0.0164635904830569	815.4574699465858
BA2584	0.0166005767844268	690.8777894889855
BA2587	0.0186751982696467	723.2599622019115
BA2588	0.0140032444124008	562.1499260611774
BA2589	0.0179704397981254	484.1107397632647
BA2592	0.0183543619322278	883.1967477978199
BA2593	0.0048125450612833	39.83494471304338
BA2594	0.0085021629416005	485.18798346860734
BA2595	0.0101045421773612	616.7190259628952
BA2597	0.0188248017303532	277.6166361186661
BA2600	0.011598774333093	511.7322735566014
BA2603	0.0146557317952415	502.9288433314105
BA2618	0.0207354001441961	645.6923770571527
BA2619	0.0106759192501802	271.78611955580027
BA2620	0.0146971881759192	831.0519027471746
BA2621	0.009030281182408	503.6105297291104
BA2622	0.0153731074260994	609.8849245310901
BA2623	0.0129217736121124	1064.1445687174908
BA2629	0.0102992069214131	413.48928417891415
BA2631	0.0144736842105263	496.6899212901536
BA2634	0.0064221341023792	335.12688920602733
BA2636	0.008720259552992	410.0512842195006
BA2639	0.0137959625090122	664.6885210338561
BA2644	0.0111986301369863	509.99114177809713
BA2645	0.0217844268204758	462.3972902755307
BA2646	0.0225540735400144	777.3716752637774
BA2649	0.0211121124729632	652.3260439568398
BA2651	0.007761355443403	549.8896035388589
BA2653	0.0130948089401586	406.7428676222156
BA2655	0.0299783705839942	1440.8246017510228
BA2656	0.0079307858687815	364.61106497614026
BA2657	0.0115537130497476	472.068200813887
BA2658	0.0126622206200432	866.7061962794227
BA2659	0.0140519105984138	545.2410313670435
