	CBL	IDH1
BA2392	5.58345571866186	5.74395799798389
BA2611	5.65372634921578	5.75871811902643
BA2506	5.64803687161425	5.75871811902643
BA2430	5.73284131564851	5.80931856446972
BA2448	5.71062850605643	5.79121445090041
BA2730	5.73699919077019	5.8227080060065
BA2845	5.51537822254039	5.67963455085071
BA2326	5.53387100376444	5.67432622931416
BA2341	5.53462725078282	5.64918681238206
BA2612	5.54319628882121	5.59924503664906
BA2973	5.52613507813266	5.63166253168885
BA2390	5.53130217583918	5.6571193282783
BA3218	5.57484353091513	5.60116902965989
BA3105	5.53022022640692	5.68416732949988
BA3402	5.63166253168885	5.71798453197329
BA3276	5.62154857269561	5.7151540674209
BA2409	6.92693139302054	7.52082148621471
BA3037	6.48412876670839	5.44138513248386
BA2496	6.95344802847081	6.59256890621003
BA2172	6.03067265261494	4.82328175599878
BA2865	6.00760401810435	6.97794904447586
BA2923	7.33890799019329	8.2618544484033
BA2751	6.31675170697475	7.15246698865564
BA2480	6.10148550070927	7.35298985161002
BA2286	6.45505097585003	6.15608719552673
BA2922	6.57560815980456	6.60792383481337
BA2452	5.96465349079709	6.40688318423783
BA3379	6.50804753914762	5.94263228316548
BA2887	6.97450183109637	5.85144934754927
BA2712	6.92833111291049	7.45375064871774
BA2068	5.45489161608543	4.80607814010981
BA2236	6.43095537419459	6.90558799283489
BA2104	7.23215951369131	7.73732673360922
BA3124	6.21887740590051	4.22136650202706
BA3395	7.04851156959908	7.16547841878937
BA2921	5.8258026321264	4.79871964465787
BA2449	5.72290783455204	4.22750729569156
BA2003	5.58682786591739	5.20261254311813
BA2360	6.29962436721057	6.61867340597626
BA2802	6.44227342376241	4.3579546600223
BA2235	6.7903869995291	7.1956195388029
BA2858	5.64461310314999	5.32198845078755
BA3038	6.89644993218602	7.20973552997534
BA3006	5.82392380814807	6.49699294257919
BA2245	6.05025616147561	5.4241733124076
BA2667	6.71895435387141	6.49799553338119
BA2239	6.93558317816731	7.14764743423536
BA2782	6.8911840063889	6.64358377452482
BA2649	6.16992972400798	6.23214914518013
BA2488	6.48013079701668	6.35757561884313
BA2861	6.64966424428309	7.03549223810054
BA2909	7.4827611671997	6.34548467937847
BA2429	6.24227196022735	5.11958001435747
BA2653	5.00447988229452	4.90152753707883
BA2134	6.59999610931592	6.53396722315737
BA2947	6.0228669992747	4.83268199793827
BA2032	6.08923274175156	5.82000063861969
BA2162	6.84335327492742	5.33028268437174
BA2564	6.64518894120786	6.85832315809809
BA2597	3.80075983876638	2.84361014461716
BA3243	6.99175546936536	5.4843036495526
BA2106	5.34794466566604	5.19270680337974
BA2427	5.87965665517008	3.18975730461156
BA2841	4.58048481229599	3.95599802451469
BA2446	7.14921380328589	6.55661288461065
BA2645	5.5977589538239	4.05123232495892
BA2525	5.28648765336968	3.65728472785622
BA2876	5.73014197003587	3.20185478187358
BA2357	6.13375733254388	3.69392175101973
BA2546	6.73222274372854	7.33073792117204
BA2742	6.1188645712048	9.09600320401444
BA2316	6.73745939965324	9.05942450247106
BA2421	6.78865136154736	5.60042800463674
BA2087	7.02698040559294	4.8688411127684
BA2910	6.21316864027758	6.13375733254388
BA2148	6.3674275206391	4.42623541625347
BA2063	5.67470446988703	2.864896220199
BA2329	6.69408720379773	6.84399982384708
BA3178	7.25358458154246	6.28908084563445
BA2072	6.70026474055664	6.78074983432615
BA3029	5.22784345449983	5.19342572013905
BA2733	5.73362651887088	4.2236378258506
BA2995	5.19628685284198	4.54341837856977
BA2069	6.8090279726606	6.95150045701844
BA2100	5.89241706426442	5.17381001168529
BA2681	5.31829221630524	5.34829013725005
BA2248	5.72023465218825	5.78304332339911
BA2832	7.03623900558414	5.24140893715519
BA2308	6.50446999422617	5.41063794413204
BA2413	6.13375733254388	5.39458251066191
BA2701	6.8194770973329	5.81524050486287
BA2634	6.8036454676491	4.90500171115938
BA2677	6.33280116885594	6.37500681410956
BA2937	6.53543485984192	6.43542748974206
BA2600	6.35117266997331	5.22500574588553
BA2019	3.95682310890252	5.31326361994662
BA2412	7.2187812774904	6.05611661620259
BA2334	6.49650890866452	5.71913182250031
BA2050	6.18507158781402	6.1842076331656
BA3230	6.62521439483861	5.34936654533728
BA2953	5.16463165990358	4.87201227243281
BA2481	5.91554817043997	4.1174274886939
BA2731	6.75831323775631	6.19120375825818
BA2294	6.63058753997147	5.51205399141146
BA2418	5.65788997880482	5.86536301251181
BA2816	5.85615861273504	4.97525881373139
BA2656	6.08278210679629	4.6932849776624
BA2814	7.20635659773546	7.64895583047878
BA2631	6.39926285688665	6.47620808782314
BA2023	6.81394894542996	7.42928783450574
BA2375	6.65187762334033	5.84864920436747
BA2485	6.11503718341623	6.60051001058414
BA2455	7.16953610700443	6.61484329859941
BA2025	7.16215175411855	6.18727628290146
BA2636	6.27603504625168	2.95707573664305
BA2325	6.77246010495607	7.31937809888862
BA2169	5.58159000678894	4.2685172238636
BA2156	6.31205444786469	6.53347844553203
BA2511	5.30233735609804	3.63778681479032
BA2939	6.10190214742508	5.88920214405522
BA2168	5.72903451515424	6.03566200297907
BA2505	7.04851156959908	4.82328175599878
BA2860	6.33918453468976	5.15668163101419
BA2707	6.43289690445385	5.24611528011748
BA2871	5.79243605583809	5.56596083132182
BA2655	5.28177179122875	4.94485331976651
BA2227	5.12877017474867	4.77735183811143
BA2125	6.62033484572762	6.43000064848533
BA2523	6.2823542083032	6.26118056372206
BA2603	6.58623483162294	6.25896920678185
BA2808	6.45552187143232	5.30025672574144
BA2282	6.42530173541054	5.83716487793583
BA2482	6.75542557918572	6.93954050250455
BA2812	6.6143322001923	5.82934773365488
BA2822	6.71895435387141	7.20386734649371
BA2594	6.5857158816337	6.94945791531145
BA2747	5.65139228908545	5.23068767781653
BA2561	5.57784205345213	7.35863482899504
BA2567	6.15017409130302	3.40936163024976
BA2906	6.34737367069021	6.56583781452914
BA2956	5.82859548893421	4.93680420181051
BA2474	6.29781353915766	6.41993290039897
BA2737	7.01847365520979	7.00490622738367
BA2110	6.64358377452482	6.60579006500373
BA2992	5.90157614057374	5.29873886453286
BA2220	5.37493254523606	5.88005273032646
BA2772	5.95395062623658	4.20752353675978
BA2935	6.12097278529639	5.76293182295601
BA2260	6.85454256896604	6.30695343234241
BA2676	6.56583781452914	6.47376016789819
BA2948	6.83919348466817	4.45829690708788
BA2524	5.85734049093177	4.71338041148762
BA2811	6.27738452973272	5.95983280142242
BA2540	6.56326897910348	5.10108468850577
BA2928	7.21542521128511	6.62899851308068
BA2302	5.17875449236567	4.35980493218316
BA2595	5.3310234675941	4.7899749730526
BA2792	6.28281877541209	5.62043017440298
BA2651	6.10105446354612	4.51902825678144
BA2619	6.86209164981008	6.57921927462639
BA3013	5.89241706426442	6.23486418682469
BA2405	6.40217435211346	4.63387310843381
BA2735	6.40025463094879	6.01046707595227
BA2856	6.17903573796561	4.64521147205465
BA2377	6.50698545533974	4.72354417544082
BA2499	6.23299520957221	3.58175052756526
BA2463	5.69295647546023	7.01129464656936
BA3023	4.98548688523347	3.85081185407147
BA2095	6.49846429425474	6.09645228197541
BA2901	6.69408720379773	5.0241682886734
BA2275	7.3370513303313	6.14149524736616
BA2387	6.34878143548061	6.07906325231323
BA2962	6.52477924694933	7.45670028367566
BA2195	5.6655125977295	4.08320598972476
BA2688	5.40222355803693	3.23858596558685
BA2787	6.64862107605335	5.66936167999459
BA2420	6.62413100331839	5.91360220597683
BA2756	5.42819410723842	4.39589281624757
BA2122	5.87015044982701	3.22968112507528
BA2053	6.28823715765654	5.25892746258291
BA2080	6.06511011474783	4.29267969728308
BA2081	6.60051001058414	7.18078818168097
BA2354	6.54978276410253	6.26203648745747
BA3273	4.79206101179779	4.10948809536277
BA2893	5.93650668840212	5.61817308697624
BA2044	6.73345379130114	6.28823715765654
BA2489	5.5268548517384	3.22332800972844
BA2309	5.59736566113199	5.45489161608543
BA2720	4.70558310668457	3.85948948082755
BA2908	6.2969414166888	6.09727224274201
BA2054	6.66675437475145	6.44947039282618
BA2872	6.5181383405608	5.47433300541024
BA2526	5.72328663310628	3.54989691248403
BA2041	4.58048481229599	3.74848704611698
BA2464	5.98180577093432	6.04982213026608
BA2902	5.03358349696303	5.08617132532278
BA2541	6.61275930528802	6.29556241973791
BA2143	5.7964028219612	5.1308809152012
BA2094	6.94490055523594	7.53511002571526
BA2769	6.84776495812423	4.72632902528561
BA2843	5.9527582231115	4.576912820314
BA2592	4.9207439830005	4.04795438154792
BA2497	7.15951987646114	7.27462693268534
BA2718	6.04401665671066	6.75597489483719
BA2575	6.34783039381028	7.35298985161002
BA2096	4.9819516092596	5.90476239808708
BA2593	4.81514527019492	7.86375133258917
BA2791	5.55664538738979	3.89144729146833
BA2620	6.3208153422885	7.07695814218809
BA2629	6.33963983784712	6.1725191860544
BA2870	6.63008743018599	7.69160326863138
BA2423	6.59679870213256	5.07164095305392
BA2682	6.8072812584581	5.90076617867574
BA2276	6.5679039967091	4.91022290966011
BA2348	6.19077861638542	4.81265842584299
BA2709	6.40549948389557	6.54150806703429
BA2789	6.5145040049866	5.91554817043997
BA2694	5.95848988053113	4.4543011664344
BA2538	6.75771576783705	4.37307759807115
BA2583	6.36840696799515	5.2008194787507
BA2415	7.12422017929786	6.07987511764245
BA2722	7.97894297933459	4.94450171912077
BA2806	5.90555861314736	6.08879387607679
BA2221	6.68477667416407	5.57935496877716
BA3025	6.03566200297907	5.87927912302444
BA2514	5.53314032561817	4.5993645555515
BA2520	6.19822146547957	4.59723676314568
BA2441	6.96975356458038	5.83369852515391
BA2153	5.69333061318898	4.98513676810276
BA2479	5.80651617633479	2.61422648503115
BA2281	6.62578562632488	5.98958134739074
BA2657	5.99395843173589	6.58623483162294
BA2932	6.60051001058414	7.48594354331146
BA2123	4.06363054666438	4.52334899104318
BA2844	5.44790183156178	5.43657703696705
BA2660	7.04704814373678	6.80545390529169
BA2836	6.45847746962255	4.62427313618414
BA3027	6.15101372135618	4.19644815920318
BA2714	7.08148396341999	7.14998539597838
BA2139	6.732801148639	7.28622892412638
BA2251	6.03404286985942	6.17773554711095
BA2952	7.78816074108162	7.21378004978512
BA2440	6.29962436721057	5.27576605306409
BA2036	6.68070832768596	6.68593691853273
BA2828	6.57509033573893	6.34322095252985
BA2292	4.49200541523704	5.09390910729551
BA2410	5.50870400018428	4.9819516092596
BA2051	6.39259211057253	4.798374704262
BA2532	6.25990865941117	5.86821930876448
BA2986	6.36930495814156	6.7892246921242
BA2494	4.96547907948064	3.75076608161682
BA2515	5.78229337378321	4.05242084925905
BA2748	6.4059839800287	6.45455803457724
BA2970	5.67772909120233	4.23547754378357
BA2622	7.14921380328589	5.88961440143981
BA2839	5.95765278561263	5.32846021235263
BA2052	5.83841841477399	4.36867112545861
BA3011	5.76722856076773	4.83233699169056
BA2868	6.38694021270264	6.88867708372879
BA2510	6.75771576783705	4.67922683289374
BA2065	6.65572341906315	6.91069984449294
BA2691	7.05132427456444	6.43193622663115
BA2374	6.08318959151969	7.58991392876001
BA2804	6.3208153422885	5.2695794873648
BA2670	6.34832965907228	4.93263432505861
BA2675	6.06596741795533	7.41008797800013
BA2589	5.50870400018428	3.43461282312155
BA2031	6.7472714933791	6.82612058067876
BA2198	6.65792194443728	6.5550219238791
BA2066	6.95960331595656	6.1842076331656
BA2344	5.77409344818299	5.95439094102815
BA2459	5.99520828398439	5.73516831539579
BA2229	5.92274484517742	4.10073895515048
BA2559	5.15922305350231	5.07408997846094
BA2093	6.74962731666034	5.34151860321391
BA2000	6.1368245443414	7.95765939482996
BA2425	5.61586637721502	4.80920574953976
BA2905	6.45599883472476	3.14612847066654
BA2304	6.74039110508618	7.6112304020112
BA2976	6.03812571980279	6.03067265261494
BA2386	5.66700121364047	4.25981249131916
BA2035	6.51004595939563	5.46628439479905
BA2760	6.57095981156775	5.35302745757832
BA2201	6.89968682755392	7.15481965297646
BA2355	4.87201227243281	2.57374882661096
BA2113	6.98756290986723	6.24956354515351
BA2155	5.13976221148527	4.31592922692549
BA2955	6.78802478417111	6.58727608652663
BA2502	6.99377561399407	6.82247572050957
BA2322	5.91045865628191	5.6147813580075
BA2376	6.67668520784891	6.97110220501606
BA2020	5.14508451414971	5.92833030401015
BA2226	6.67837784799198	6.57772759538865
BA2200	5.84631034661227	6.44374763893835
BA2121	6.83780188259357	5.63513768849615
BA2944	6.11118909883084	4.64167507429005
BA2033	5.46734103839207	5.27249782330272
BA2867	5.90514668195897	3.686686945389
BA2089	6.52630500155159	6.66232694076894
BA2224	6.78255354390321	4.84073982458941
BA2046	5.45162820453411	4.41752853740495
BA2972	5.8972652873143	5.58233779466511
BA2978	6.88993208075706	5.90476239808708
BA2829	6.24314863798514	6.5851771545889
BA2851	6.38023120196824	6.52531304614774
BA2587	6.55863333147361	6.46680230521735
BA2461	6.62466206493959	4.97525881373139
BA2695	6.79100301901869	4.76744564892536
BA2623	6.3037231448191	5.17806224044823
BA2024	6.96975356458038	5.21467303087656
BA2426	6.2290430058542	5.06916581711999
BA2271	6.56685915377229	5.61291824722341
BA3004	6.10621461216555	5.9059700222253
BA2579	6.40688318423783	5.11604418341834
BA3010	6.38837422038712	5.43991302011835
BA2662	6.26927993913723	6.72757025712009
BA2674	6.04066918000608	4.64236314712384
BA2280	6.31675170697475	6.60421812247539
BA2512	6.65403117957095	7.07626127790368
BA2658	6.50748244706823	6.0515207109664
BA2394	6.47571845442986	6.19874995357892
BA2950	6.32729837510952	5.51054741525892
BA2981	5.26459476589721	4.82920315142492
BA2934	6.31539551726359	3.15379592329678
BA2539	6.38550593619779	5.69683059962592
BA2249	6.43929618119963	7.28989199463087
BA2034	5.48394657614029	5.90196356256727
BA2109	6.24682640662524	5.04550512990365
BA2242	5.56705100056312	4.49812951936181
BA2277	6.27289277243206	6.49454808629482
BA2727	6.16950493399515	5.04344198379719
BA2132	5.79603390583248	4.47573564141147
BA2618	5.94473215258657	6.51917819512762
BA2521	6.20356343645269	7.60876718089275
BA2846	6.10234706288177	5.10282218386209
BA2885	6.90096747490557	8.3695120975799
BA2639	6.66232694076894	6.32360812377741
BA2775	5.99929451210714	6.51657057172327
BA2402	6.28908084563445	4.97105541814246
BA2097	5.96823920514463	4.20135659440007
BA2786	7.01271335596315	6.43335604753767
BA2399	5.38622445069567	6.07775440645337
BA2850	5.21397119518206	5.43546904513176
BA2174	6.32959875231621	6.13208464272519
BA2004	7.02125424605895	5.26566945651455
BA3001	6.28823715765654	6.34691329698472
BA2311	6.86903485569995	5.8717903577196
BA2483	6.42189529871828	7.05570452227078
BA3040	5.51092026987085	5.54245080282141
BA2837	6.34322095252985	5.24035827892386
BA2724	6.03193635166747	5.6643875190661
BA2911	6.25896920678185	6.06121727575126
BA2256	5.72137751467021	6.20314139469901
BA2821	6.40454724548096	6.91793209354363
BA2233	6.14026668002857	4.79452735368346
BA2744	5.47763005492427	6.82008128976274
BA2880	6.89839628157059	5.0883096858926
BA2621	7.00924527251429	4.96162900206024
BA3002	7.00490622738367	7.49042755149826
BA2501	6.06345159600226	5.76686556527581
BA2993	5.78501009572694	5.56967790109069
BA2301	6.46528423305325	4.86287652588537
BA2852	5.0417365543682	2.47641329200189
BA2133	5.7683712705426	3.1582319317872
BA2866	6.0158165147387	5.37084951659886
BA2212	5.69796250727745	4.78927104224353
BA2685	4.69855961142677	3.97791568550573
BA2273	5.06174326636484	4.97353447958461
BA2477	6.32868471625961	6.59734342436169
BA2659	6.44710159988793	5.69757983119209
BA2124	5.85893495391356	4.78927104224353
BA2363	6.38694021270264	6.58673582096521
BA2369	6.17121351437265	4.24276500476702
BA2534	6.14325138176865	6.43983576769468
BA2400	5.65448355973944	6.50804753914762
BA2762	5.67849879072138	5.08403773679609
BA2312	6.16092602046833	5.91835525147628
BA2813	5.44354227055874	5.85936501205287
BA2211	5.55025760092161	6.53298741802549
BA2171	5.88127605322844	6.05611661620259
BA2746	6.85962983110872	6.80845562026412
BA2798	5.53239656043462	4.18830550628692
BA2809	6.32959875231621	5.03892605141629
BA2288	5.0487198592787	4.70912069685916
BA2801	6.33691799113473	4.6961161698671
