	DNMT3A	GATA2
BA2392	6.55027156269161	7.41600983782201
BA2611	6.42139457326444	7.34547705030654
BA2506	6.38837422038712	7.41107466475047
BA2430	6.42233932973963	7.37299295258264
BA2448	6.36982886713941	7.42721767032965
BA2730	6.4369045674542	7.37967634115988
BA2845	6.55451548155805	7.31758513982701
BA2326	6.59041781660964	7.3445927403943
BA2341	6.54307132156237	7.3614587281193
BA2612	6.57247167015578	7.32489473499785
BA2973	6.54150806703429	7.31665510949842
BA2390	6.56633757408764	7.3634906067475
BA3218	6.52170608095191	7.31484141146978
BA3105	6.40170617544637	7.26503778677364
BA3402	6.40737616847402	7.27805701193436
BA3276	6.46333894051768	7.29968056370735
BA2409	4.92558404139259	4.08953411027778
BA3037	4.90640898586377	9.22687989289351
BA2496	5.03856627298611	4.22136650202706
BA2172	5.90037022570554	7.72672331348077
BA2865	6.44802101478473	10.0543370402648
BA2923	5.58458887284863	-0.905814060314707
BA2751	5.98996157877142	6.91069984449294
BA2480	5.89765135115317	8.44966638628301
BA2286	5.42089748568897	6.84098754890722
BA2922	6.6639864599992	6.95344802847081
BA2452	5.90353378741165	7.2808607611199
BA3379	6.22675882110798	6.11039522609915
BA2887	6.29652207810065	5.05929023106165
BA2712	4.84562521936661	2.26275670492429
BA2068	5.85144934754927	8.95777690896205
BA2236	5.92513526908082	8.58457840504288
BA2104	4.27532548252001	0.732935262992316
BA3124	6.23033780733241	5.77221027466017
BA3395	4.90361056525495	7.45571345371651
BA2921	5.99605530428902	7.41497012248878
BA2449	5.3715755453953	5.21327609576147
BA2003	5.33364015180298	7.37771038448057
BA2360	6.90753952267277	8.58992566833602
BA2802	6.43335604753767	7.40900238551148
BA2235	4.92771047103252	6.83214250556656
BA2858	4.35648958622004	4.24617468927424
BA3038	5.29082273845723	6.41227021268222
BA3006	5.99970534098919	7.99915514777274
BA2245	6.01005588113279	7.66369633945432
BA2667	6.36134230536283	6.50152491798344
BA2239	5.21813047946163	4.89696755761679
BA2782	5.27325382286629	5.97890641593254
BA2649	5.99890598903284	7.15798365655759
BA2488	5.55888193371954	8.16840116234166
BA2861	6.61117532741348	7.44839655086442
BA2909	6.01784200578308	7.51630069461518
BA2429	5.69757983119209	6.13853683580785
BA2653	5.46484401503758	8.67721676583393
BA2134	4.6827458552578	5.66361114365051
BA2947	6.7903869995291	8.5971359914493
BA2032	6.13853683580785	9.91143332054624
BA2162	6.25945312566298	9.31751716888528
BA2564	5.50870400018428	4.70523791699629
BA2597	5.76760186750385	9.36650856672567
BA3243	5.43042530271375	9.58909503454725
