	FLT3	IDH1
BA2392	8.40429460371975	5.74395799798389
BA2611	8.45453034732936	5.75871811902643
BA2506	8.3926007250059	5.75871811902643
BA2430	8.40194775982719	5.80931856446972
BA2448	8.40429460371975	5.79121445090041
BA2730	8.44966638628301	5.8227080060065
BA2845	8.29820901257083	5.67963455085071
BA2326	8.29387857030758	5.67432622931416
BA2341	8.28526081080175	5.64918681238206
BA2612	8.31128742473223	5.59924503664906
BA2973	8.27883495411433	5.63166253168885
BA2390	8.27883495411433	5.6571193282783
BA3218	8.30473182450184	5.60116902965989
BA3105	8.31347995218337	5.68416732949988
BA3402	8.33784249776874	5.71798453197329
BA3276	8.29387857030758	5.7151540674209
BA2409	8.8525926437112	7.52082148621471
BA3037	6.50698545533974	5.44138513248386
BA2496	6.65958088429919	6.59256890621003
BA2172	2.5120216939863	4.82328175599878
BA2865	9.61949185438657	6.97794904447586
BA2923	8.42559982560594	8.2618544484033
BA2751	9.48875791800016	7.15246698865564
BA2480	8.14321512557108	7.35298985161002
BA2286	9.18338030789918	6.15608719552673
BA2922	9.2592593958878	6.60792383481337
BA2452	9.9941844593607	6.40688318423783
BA3379	9.83892848550566	5.94263228316548
BA2887	8.24509615455004	5.85144934754927
BA2712	8.65565049707964	7.45375064871774
BA2068	8.38100696139026	4.80607814010981
BA2236	9.04860912314158	6.90558799283489
BA2104	9.13342062895717	7.73732673360922
BA3124	6.07264657026384	4.22136650202706
BA3395	6.54255345963774	7.16547841878937
BA2921	8.83992016748168	4.79871964465787
BA2449	5.80773323921587	4.22750729569156
BA2003	7.73595323737682	5.20261254311813
BA2360	8.43037965011906	6.61867340597626
BA2802	8.34456564828853	4.3579546600223
BA2235	9.4917929010063	7.1956195388029
BA2858	6.42718608083043	5.32198845078755
BA3038	6.73222274372854	7.20973552997534
BA3006	9.27569316532541	6.49699294257919
BA2245	9.29229417829056	5.4241733124076
BA2667	10.040753132835	6.49799553338119
BA2239	9.55927298456459	7.14764743423536
BA2782	7.1956195388029	6.64358377452482
BA2649	8.94424486652991	6.23214914518013
BA2488	8.79328666582968	6.35757561884313
BA2861	6.87718695252014	7.03549223810054
BA2909	7.12505562496802	6.34548467937847
BA2429	7.05570452227078	5.11958001435747
BA2653	-0.687378911865671	4.90152753707883
BA2134	6.92559422045597	6.53396722315737
BA2947	8.7174580058356	4.83268199793827
BA2032	8.68962960513866	5.82000063861969
BA2162	8.89122942781574	5.33028268437174
BA2564	8.08701091285537	6.85832315809809
BA2597	3.19146280756599	2.84361014461716
BA3243	9.75851596885508	5.4843036495526
BA2106	10.1170993958946	5.19270680337974
BA2427	7.550843282623	3.18975730461156
BA2841	5.61255399082521	3.95599802451469
BA2446	8.64171611871059	6.55661288461065
BA2645	5.43474590254893	4.05123232495892
BA2525	3.80426788372329	3.65728472785622
BA2876	3.5928295499371	3.20185478187358
BA2357	8.1981158996604	3.69392175101973
BA2546	7.13359161213086	7.33073792117204
BA2742	8.91420804405317	9.09600320401444
BA2316	8.79328666582968	9.05942450247106
BA2421	8.57659398663682	5.60042800463674
BA2087	9.3884596253967	4.8688411127684
BA2910	8.2874098816496	6.13375733254388
BA2148	5.78615399709568	4.42623541625347
BA2063	1.69252928638777	2.864896220199
BA2329	6.6892157543699	6.84399982384708
BA3178	10.0818938676199	6.28908084563445
BA2072	7.2925108116234	6.78074983432615
BA3029	7.6160759273921	5.19342572013905
BA2733	7.77161485169371	4.2236378258506
BA2995	10.0007468429699	4.54341837856977
BA2069	9.2592593958878	6.95150045701844
BA2100	6.78739149461742	5.17381001168529
BA2681	7.09568366825665	5.34829013725005
BA2248	8.69824500910271	5.78304332339911
BA2832	8.72438748273975	5.24140893715519
BA2308	9.4270458724936	5.41063794413204
BA2413	9.47302564786274	5.39458251066191
BA2701	8.18416035809344	5.81524050486287
BA2634	8.98173476670244	4.90500171115938
BA2677	7.55633666761795	6.37500681410956
BA2937	7.14998539597838	6.43542748974206
BA2600	9.01306871894599	5.22500574588553
BA2019	2.34653747220844	5.31326361994662
BA2412	6.0582244402994	6.05611661620259
BA2334	8.56865303112435	5.71913182250031
BA2050	8.60608533344799	6.1842076331656
BA3230	7.54295367203655	5.34936654533728
BA2953	8.39493145233583	4.87201227243281
BA2481	6.25179190765508	4.1174274886939
BA2731	7.98067391429632	6.19120375825818
BA2294	8.89449191470128	5.51205399141146
BA2418	9.27569316532541	5.86536301251181
BA2816	8.97142354261209	4.97525881373139
BA2656	8.08153228980509	4.6932849776624
BA2814	9.25517667754352	7.64895583047878
BA2631	9.22687989289351	6.47620808782314
BA2023	8.37180321609369	7.42928783450574
BA2375	8.3972661940189	5.84864920436747
BA2485	9.87029536698913	6.60051001058414
BA2455	9.95541459791256	6.61484329859941
BA2025	8.8879736022598	6.18727628290146
BA2636	7.24301197621157	2.95707573664305
BA2325	7.88342196520891	7.31937809888862
BA2169	6.55285609284704	4.2685172238636
BA2156	8.70690950167434	6.53347844553203
BA2511	4.75484190831669	3.63778681479032
BA2939	10.3575120670964	5.88920214405522
BA2168	9.39118419839355	6.03566200297907
BA2505	9.27156918109996	4.82328175599878
BA2860	5.64993072157884	5.15668163101419
BA2707	10.2282709856871	5.24611528011748
BA2871	9.17171491689544	5.56596083132182
BA2655	5.94221717949707	4.94485331976651
BA2227	9.90525526471174	4.77735183811143
BA2125	6.44756726036546	6.43000064848533
BA2523	9.44987135785787	6.26118056372206
BA2603	8.60608533344799	6.25896920678185
BA2808	8.67537853618004	5.30025672574144
BA2282	3.56095107813401	5.83716487793583
BA2482	7.80956394588893	6.93954050250455
BA2812	6.75946045637828	5.82934773365488
BA2822	8.42690176653796	7.20386734649371
BA2594	9.56915130536806	6.94945791531145
BA2747	9.16398396797258	5.23068767781653
BA2561	9.87474271994728	7.35863482899504
BA2567	2.50793166232776	3.40936163024976
BA2906	10.7149459001776	6.56583781452914
