	FLT3	RUNX1
BA2392	8.40429460371975	8.22240857358487
BA2611	8.45453034732936	8.24509615455004
BA2506	8.3926007250059	8.23267071257109
BA2430	8.40194775982719	8.27031665707811
BA2448	8.40429460371975	8.26607857536642
BA2730	8.44966638628301	8.27670009201677
BA2845	8.29820901257083	8.32671267592458
BA2326	8.29387857030758	8.31347995218337
BA2341	8.28526081080175	8.35811493599106
BA2612	8.31128742473223	8.31347995218337
BA2973	8.27883495411433	8.32007964073217
BA2390	8.27883495411433	8.29387857030758
BA3218	8.30473182450184	8.31347995218337
BA3105	8.31347995218337	8.24926512843891
BA3402	8.33784249776874	8.27456876079558
BA3276	8.29387857030758	8.25764420926654
BA2409	8.8525926437112	6.75831323775631
BA3037	6.50698545533974	7.64377441186557
BA2496	6.65958088429919	7.0949820634578
BA2172	2.5120216939863	6.54875546973009
BA2865	9.61949185438657	8.40664550150058
BA2923	8.42559982560594	7.4382687261571
BA2751	9.48875791800016	9.45155824142257
BA2480	8.14321512557108	9.25110414260315
BA2286	9.18338030789918	7.82833379039141
BA2922	9.2592593958878	8.52958832512444
BA2452	9.9941844593607	8.84624370479657
BA3379	9.83892848550566	7.11145591609312
BA2887	8.24509615455004	7.53303259081949
BA2712	8.65565049707964	7.50436087643108
BA2068	8.38100696139026	8.0179995830141
BA2236	9.04860912314158	8.79022656584331
BA2104	9.13342062895717	7.2245944685398
BA3124	6.07264657026384	7.10925539195399
BA3395	6.54255345963774	8.68106286594684
BA2921	8.83992016748168	8.14513423086413
BA2449	5.80773323921587	7.18474506245045
BA2003	7.73595323737682	8.13747585819058
BA2360	8.43037965011906	6.17338143773516
BA2802	8.34456564828853	7.51299557490928
BA2235	9.4917929010063	7.56436701911919
BA2858	6.42718608083043	6.5181383405608
BA3038	6.73222274372854	7.39635430321553
BA3006	9.27569316532541	8.75098362594822
BA2245	9.29229417829056	9.09600320401444
BA2667	10.040753132835	7.40804987020109
BA2239	9.55927298456459	7.09710413510838
BA2782	7.1956195388029	6.67339810625054
BA2649	8.94424486652991	8.91751782379931
BA2488	8.79328666582968	8.48407580140491
BA2861	6.87718695252014	6.18992574647122
BA2909	7.12505562496802	6.91854859965898
BA2429	7.05570452227078	7.12040364606583
BA2653	-0.687378911865671	7.68013043810275
BA2134	6.92559422045597	7.06371663624663
BA2947	8.7174580058356	7.78123623973778
BA2032	8.68962960513866	7.95765939482996
BA2162	8.89122942781574	6.37358566074055
BA2564	8.08701091285537	7.79663560293131
BA2597	3.19146280756599	7.63393532286626
BA3243	9.75851596885508	7.40609048790591
BA2106	10.1170993958946	8.13938594647296
BA2427	7.550843282623	7.38560317769133
BA2841	5.61255399082521	6.04647904010288
BA2446	8.64171611871059	6.23342882640082
BA2645	5.43474590254893	6.61649602743193
BA2525	3.80426788372329	5.30060514576655
BA2876	3.5928295499371	6.16229657509821
BA2357	8.1981158996604	7.01847365520979
BA2546	7.13359161213086	6.36695225743452
BA2742	8.91420804405317	7.41889646736553
BA2316	8.79328666582968	7.48163507084779
BA2421	8.57659398663682	7.48695721637732
BA2087	9.3884596253967	6.85707363149716
BA2910	8.2874098816496	8.25344779136567
BA2148	5.78615399709568	7.50861653894833
BA2063	1.69252928638777	5.38841032189554
BA2329	6.6892157543699	6.91733301258099
BA3178	10.0818938676199	6.42280633283907
BA2072	7.2925108116234	8.00619097456886
BA3029	7.6160759273921	7.92364245319313
BA2733	7.77161485169371	7.3212161814573
BA2995	10.0007468429699	9.09230819306279
BA2069	9.2592593958878	6.86281064555051
BA2100	6.78739149461742	7.54191215313676
BA2681	7.09568366825665	6.81883552060849
BA2248	8.69824500910271	7.92526519111295
BA2832	8.72438748273975	7.55189787670547
BA2308	9.4270458724936	7.4382687261571
BA2413	9.47302564786274	7.57003408038875
BA2701	8.18416035809344	6.83843057067482
BA2634	8.98173476670244	7.17761745050204
BA2677	7.55633666761795	7.16795764916514
BA2937	7.14998539597838	7.01983909137586
BA2600	9.01306871894599	7.53197491812839
BA2019	2.34653747220844	7.08227901596389
BA2412	6.0582244402994	6.15187477635529
BA2334	8.56865303112435	7.92699657991781
BA2050	8.60608533344799	8.20213208675208
BA3230	7.54295367203655	7.56567805381962
BA2953	8.39493145233583	7.79093203959201
BA2481	6.25179190765508	7.40510623344956
BA2731	7.98067391429632	6.17379906817959
BA2294	8.89449191470128	7.62205873798526
BA2418	9.27569316532541	8.5529001392332
BA2816	8.97142354261209	7.64636707538027
BA2656	8.08153228980509	7.64255001400601
BA2814	9.25517667754352	6.62033484572762
BA2631	9.22687989289351	7.78123623973778
BA2023	8.37180321609369	7.36910502551481
BA2375	8.3972661940189	7.95452812467512
BA2485	9.87029536698913	9.12011695971816
BA2455	9.95541459791256	6.33092888167036
BA2025	8.8879736022598	5.70757619671164
BA2636	7.24301197621157	7.60876718089275
BA2325	7.88342196520891	6.69807753006718
BA2169	6.55285609284704	7.07180826529373
BA2156	8.70690950167434	6.54978276410253
BA2511	4.75484190831669	6.52072194410879
BA2939	10.3575120670964	7.85486380528094
BA2168	9.39118419839355	8.02685700006077
BA2505	9.27156918109996	6.93954050250455
BA2860	5.64993072157884	6.26429986711095
BA2707	10.2282709856871	8.33337930026134
BA2871	9.17171491689544	6.24864350807345
BA2655	5.94221717949707	6.47279065497325
BA2227	9.90525526471174	8.08518191159815
BA2125	6.44756726036546	7.67493502317828
BA2523	9.44987135785787	8.16644533071452
BA2603	8.60608533344799	7.52776715607633
BA2808	8.67537853618004	7.8894951557827
BA2282	3.56095107813401	5.9389872636167
BA2482	7.80956394588893	8.42559982560594
BA2812	6.75946045637828	6.79581543973709
BA2822	8.42690176653796	7.91267481802265
BA2594	9.56915130536806	6.62843695703125
BA2747	9.16398396797258	8.62242404966029
BA2561	9.87474271994728	8.58191208164573
BA2567	2.50793166232776	5.31326361994662
BA2906	10.7149459001776	6.70639038824238
BA2956	8.44966638628301	7.57003408038875
BA2474	9.12586826213153	7.94466831928416
BA2737	11.5238128563748	7.52879493976561
BA2110	8.15671254170946	6.84719227215285
BA2992	7.48695721637732	8.06884590575294
BA2220	4.48295485202788	7.60876718089275
BA2772	8.89122942781574	8.03550248502968
BA2935	8.45209623715645	7.26238233832031
BA2260	8.34007975821985	7.81686981561798
BA2676	6.3078817611491	7.29162764738793
BA2948	5.20013137153335	6.31251579014812
BA2524	7.95765939482996	7.6685963483501
BA2811	8.89122942781574	9.0307417478067
BA2540	10.332335723606	6.20872841683922
BA2928	9.62975620855742	6.74268846032395
BA2302	8.86857724833819	7.28800386009291
BA2595	8.59260663428802	7.4262875873266
BA2792	7.49672370749375	7.46679247570854
BA2651	8.71853926395486	7.59930957213068
BA2619	8.08701091285537	7.5098325342709
BA3013	8.2618544484033	7.94466831928416
