	IDH1	NRAS
BA2392	5.74395799798389	6.99377561399407
BA2611	5.75871811902643	7.10771088589405
BA2506	5.75871811902643	7.09047728148948
BA2430	5.80931856446972	7.04058248557274
BA2448	5.79121445090041	7.03404295294828
BA2730	5.8227080060065	7.08368088883067
BA2845	5.67963455085071	7.05721925341645
BA2326	5.67432622931416	7.06736498172321
BA2341	5.64918681238206	7.06956103001791
BA2612	5.59924503664906	7.05213628356552
BA2973	5.63166253168885	7.05132427456444
BA2390	5.6571193282783	7.07251029744415
BA3218	5.60116902965989	7.02698040559294
BA3105	5.68416732949988	6.9582357295531
BA3402	5.71798453197329	7.00218029229942
BA3276	5.7151540674209	6.97383568837724
BA2409	7.52082148621471	6.66888521161026
BA3037	5.44138513248386	7.81101053195418
BA2496	6.59256890621003	6.87847286019697
BA2172	4.82328175599878	7.48490734822992
BA2865	6.97794904447586	7.04635072837336
BA2923	8.2618544484033	6.98553956904008
BA2751	7.15246698865564	6.77246010495607
BA2480	7.35298985161002	7.18731663184627
BA2286	6.15608719552673	7.33073792117204
BA2922	6.60792383481337	7.03335772337666
BA2452	6.40688318423783	7.31937809888862
BA3379	5.94263228316548	7.00010998499046
BA2887	5.85144934754927	7.41889646736553
BA2712	7.45375064871774	7.50539293842063
BA2068	4.80607814010981	7.4914611939268
BA2236	6.90558799283489	6.97926113627939
BA2104	7.73732673360922	7.44951411714195
BA3124	4.22136650202706	6.57560815980456
BA3395	7.16547841878937	6.90753952267277
BA2921	4.79871964465787	7.78959302181462
BA2449	4.22750729569156	8.06147774301482
BA2003	5.20261254311813	8.17625565039323
BA2360	6.61867340597626	6.81512757535845
BA2802	4.3579546600223	7.45670028367566
BA2235	7.1956195388029	7.04635072837336
BA2858	5.32198845078755	7.49256176412129
BA3038	7.20973552997534	6.89245255653176
BA3006	6.49699294257919	6.73983231150721
BA2245	5.4241733124076	7.15078589361001
BA2667	6.49799553338119	6.65958088429919
BA2239	7.14764743423536	6.67392482770239
BA2782	6.64358377452482	6.70809549173072
BA2649	6.23214914518013	7.27898774790875
BA2488	6.35757561884313	7.24053779186389
BA2861	7.03549223810054	7.12189404339898
BA2909	6.34548467937847	6.82793872143045
BA2429	5.11958001435747	6.64631169310032
BA2653	4.90152753707883	7.60044547310861
BA2134	6.53396722315737	6.79404595569359
BA2947	4.83268199793827	7.43138197639579
BA2032	5.82000063861969	8.01121552663761
BA2162	5.33028268437174	6.40264148496757
BA2564	6.85832315809809	7.18398636132438
BA2597	2.84361014461716	8.12977902219921
BA3243	5.4843036495526	6.99925381802676
BA2106	5.19270680337974	7.98067391429632
BA2427	3.18975730461156	8.61151153389318
BA2841	3.95599802451469	8.04242466385173
BA2446	6.55661288461065	6.91265400996675
BA2645	4.05123232495892	8.25974759702626
BA2525	3.65728472785622	7.20386734649371
BA2876	3.20185478187358	7.7729524118183
BA2357	3.69392175101973	7.07994856692804
BA2546	7.33073792117204	6.98137959105818
BA2742	9.09600320401444	6.89778124838191
BA2316	9.05942450247106	6.82066158800154
BA2421	5.60042800463674	7.56896114376543
BA2087	4.8688411127684	8.16435812995303
BA2910	6.13375733254388	8.00619097456886
BA2148	4.42623541625347	8.08701091285537
BA2063	2.864896220199	6.94160900810377
BA2329	6.84399982384708	6.77246010495607
BA3178	6.28908084563445	6.92369940347749
BA2072	6.78074983432615	6.9848366218031
BA3029	5.19342572013905	8.27031665707811
BA2733	4.2236378258506	8.23886821722062
BA2995	4.54341837856977	8.4594113881339
BA2069	6.95150045701844	6.79463806745523
BA2100	5.17381001168529	7.24218373520164
BA2681	5.34829013725005	6.89511146582289
BA2248	5.78304332339911	7.90490568648577
BA2832	5.24140893715519	7.26851020715081
BA2308	5.41063794413204	7.46894970580743
BA2413	5.39458251066191	7.73462168625585
BA2701	5.81524050486287	7.62683244469809
BA2634	4.90500171115938	7.03474280183588
BA2677	6.37500681410956	7.03474280183588
BA2937	6.43542748974206	6.97250726431014
BA2600	5.22500574588553	7.65632337592004
BA2019	5.31326361994662	7.20635659773546
BA2412	6.05611661620259	6.1201103531002
BA2334	5.71913182250031	7.69160326863138
BA2050	6.1842076331656	7.43138197639579
BA3230	5.34936654533728	6.59203093136997
BA2953	4.87201227243281	7.75921826167611
BA2481	4.1174274886939	6.72582978047913
BA2731	6.19120375825818	7.67233847579442
BA2294	5.51205399141146	7.42415546195164
BA2418	5.86536301251181	7.62320575204897
BA2816	4.97525881373139	7.47416545591404
BA2656	4.6932849776624	7.77444024847
BA2814	7.64895583047878	7.04851156959908
BA2631	6.47620808782314	7.07695814218809
BA2023	7.42928783450574	6.9785897904033
BA2375	5.84864920436747	7.02911174492955
BA2485	6.60051001058414	6.72991592484699
BA2455	6.61484329859941	7.79384765019346
BA2025	6.18727628290146	7.07556396699123
BA2636	2.95707573664305	7.45866975783138
BA2325	7.31937809888862	7.62080780455831
BA2169	4.2685172238636	8.11666073243668
BA2156	6.53347844553203	7.00924527251429
BA2511	3.63778681479032	7.47316503302079
BA2939	5.88920214405522	7.90342171341614
BA2168	6.03566200297907	7.79384765019346
BA2505	4.82328175599878	7.65276972214058
BA2860	5.15668163101419	7.13044392794916
BA2707	5.24611528011748	7.96905854853838
BA2871	5.56596083132182	7.73994866868774
BA2655	4.94485331976651	7.67751428719864
BA2227	4.77735183811143	7.86810697410873
BA2125	6.43000064848533	6.96289154217268
BA2523	6.26118056372206	7.19738153999511
BA2603	6.25896920678185	6.6430484484285
BA2808	5.30025672574144	7.95104961478815
BA2282	5.83716487793583	6.50904089235684
BA2482	6.93954050250455	7.10851364264035
BA2812	5.82934773365488	6.51657057172327
BA2822	7.20386734649371	7.24301197621157
BA2594	6.94945791531145	7.33618294917006
BA2747	5.23068767781653	7.1445927897216
BA2561	7.35863482899504	6.37831338727117
BA2567	3.40936163024976	6.73108967735957
BA2906	6.56583781452914	7.24647814947882
BA2956	4.93680420181051	8.51425498508966
BA2474	6.41993290039897	7.02841397070837
BA2737	7.00490622738367	8.27456876079558
BA2110	6.60579006500373	7.01407346260423
BA2992	5.29873886453286	7.88642489400613
BA2220	5.88005273032646	7.28899814708616
BA2772	4.20752353675978	7.73994866868774
BA2935	5.76293182295601	7.5932544466496
BA2260	6.30695343234241	7.31397253852267
BA2676	6.47376016789819	6.45897655908302
BA2948	4.45829690708788	7.66613976188412
BA2524	4.71338041148762	8.52958832512444
BA2811	5.95983280142242	7.64636707538027
BA2540	5.10108468850577	7.72941398094
BA2928	6.62899851308068	6.80787905159787
BA2302	4.35980493218316	8.0760787079227
BA2595	4.7899749730526	7.69666948274062
BA2792	5.62043017440298	6.87084783224833
BA2651	4.51902825678144	7.94145634611773
BA2619	6.57921927462639	7.51413414557592
BA3013	6.23486418682469	7.14840411383597
BA2405	4.63387310843381	7.62437772428186
BA2735	6.01046707595227	6.57720688521491
BA2856	4.64521147205465	6.73222274372854
BA2377	4.72354417544082	8.40379071339591
BA2499	3.58175052756526	7.53734841909383
BA2463	7.01129464656936	7.67892900147032
BA3023	3.85081185407147	8.14513423086413
BA2095	6.09645228197541	7.42415546195164
BA2901	5.0241682886734	7.51084212363206
BA2275	6.14149524736616	6.82008128976274
BA2387	6.07906325231323	7.15951987646114
BA2962	7.45670028367566	7.45571345371651
BA2195	4.08320598972476	7.91426996698012
BA2688	3.23858596558685	7.53197491812839
BA2787	5.66936167999459	6.33418865159932
BA2420	5.91360220597683	6.6892157543699
BA2756	4.39589281624757	7.99068122497693
BA2122	3.22968112507528	6.96289154217268
BA2053	5.25892746258291	7.99573716734119
BA2080	4.29267969728308	7.97230357086309
BA2081	7.18078818168097	7.36910502551481
BA2354	6.26203648745747	7.02978091514104
BA3273	4.10948809536277	7.62806217739621
BA2893	5.61817308697624	6.89318073804479
BA2044	6.28823715765654	6.93558317816731
BA2489	3.22332800972844	7.98067391429632
BA2309	5.45489161608543	6.94490055523594
