	IDH2	PTPN11
BA2392	9.29647098090766	7.10534081557561
BA2611	9.30906602396076	6.97042186538325
BA2506	9.29647098090766	7.0594253136799
BA2430	9.27569316532541	7.07556396699123
BA2448	9.29229417829056	7.06596636229514
BA2730	9.23491479941431	7.09423229403913
BA2845	9.2109276242084	7.04424068249485
BA2326	9.23089240757758	7.05570452227078
BA2341	9.25517667754352	7.01847365520979
BA2612	9.2109276242084	7.08741196449123
BA2973	9.22287720595147	7.0420285397911
BA2390	9.25517667754352	7.07405167828484
BA3218	9.21490111990201	7.04344633578654
BA3105	9.2429894144776	7.00490622738367
BA3402	9.22687989289351	7.01983909137586
BA3276	9.28397254525379	7.01338554790523
BA2409	6.82851443258156	6.68698956921182
BA3037	8.03722226484621	7.26938021173089
BA2496	8.28311530497155	6.71610247691018
BA2172	9.30485684547982	6.91265400996675
BA2865	7.78959302181462	7.04276966075825
BA2923	7.82688083190866	6.20964310204874
BA2751	8.18796359837961	6.61925110660737
BA2480	8.39960495989321	6.55451548155805
BA2286	8.48158973981744	6.86903485569995
BA2922	8.46430959418229	7.26585264294213
BA2452	9.09230819306279	7.26503778677364
BA3379	8.50160207030541	7.09710413510838
BA2887	8.79635277497105	7.26238233832031
BA2712	8.63894476137773	7.05796014084047
BA2068	8.32228693534529	6.78009238710876
BA2236	8.19211577067672	6.78739149461742
BA2104	7.5725144548201	6.3190384639483
BA3124	7.54733361982974	6.27468820513848
BA3395	8.40664550150058	7.54970729199318
BA2921	8.8525926437112	7.46679247570854
BA2449	9.26335235036244	7.09710413510838
BA2003	7.84883391972247	5.98627491229184
BA2360	9.07761127342397	6.83403264485773
BA2802	8.34007975821985	7.15951987646114
BA2235	7.79956921933088	6.75309739437635
BA2858	8.67537853618004	6.71325528813671
BA3038	7.93502206043898	6.69136843496562
BA3006	8.15090969693391	6.87403385388121
BA2245	8.58992566833602	7.51849616731086
BA2667	8.40664550150058	6.70082648857542
BA2239	7.47952389617521	6.62136909185019
BA2782	7.29077391107671	6.3931237186825
BA2649	8.78108213178214	7.22705513643141
BA2488	7.92699657991781	7.03986452617139
BA2861	8.59798330037588	7.08598210070988
BA2909	7.35673455123978	6.55713498264667
BA2429	7.43426786956565	6.38694021270264
BA2653	8.88978486658959	8.09064390303592
BA2134	7.41497012248878	6.67231936736834
BA2947	8.22627943224245	7.04635072837336
BA2032	7.75510135803604	6.95550948162844
BA2162	7.46474071975909	7.16132716982423
BA2564	8.24301678047805	6.77246010495607
BA2597	7.85205086731265	7.34837532536667
BA3243	7.96905854853838	7.0549889553605
BA2106	8.44481942009045	6.44275689894875
BA2427	7.99413751864958	6.95895559810233
BA2841	9.26745559419095	6.8971019245288
BA2446	8.52190108216259	6.85962983110872
BA2645	9.14481502348153	7.16132716982423
BA2525	6.8791208631907	6.23708437608245
BA2876	7.46260985261637	6.6963494054774
BA2357	8.73910632748104	6.70250395591763
BA2546	8.06706072393759	7.03779348616319
BA2742	7.80094268898657	6.59094704308975
BA2316	8.04414638908848	6.68698956921182
BA2421	8.03197078783115	6.67231936736834
BA2087	8.4934060566155	7.08068398565122
BA2910	8.50664971851981	7.55300749734541
BA2148	7.08821062221174	7.22867709025789
BA2063	6.611693175134	6.33509433573957
BA2329	8.0095286113404	6.72062167573975
BA3178	8.03550248502968	6.54408446340443
BA2072	8.53215993801742	6.69807753006718
BA3029	7.69921272259806	6.81689630084604
BA2733	8.22650342209935	6.53989151011847
BA2995	8.41846114844672	6.54978276410253
BA2069	8.65565049707964	6.97731252665637
BA2100	7.63755645913212	6.74268846032395
BA2681	8.51679913189176	7.03126251610198
BA2248	8.30473182450184	7.33163994376767
BA2832	8.3695120975799	7.2509128285615
BA2308	8.26607857536642	7.17275321082541
BA2413	8.32449794408229	7.166329054571
BA2701	7.60395254604328	6.83403264485773
BA2634	7.81249915728454	7.23215951369131
BA2677	8.27670009201677	6.83029032072815
BA2937	8.23061160269424	7.08741196449123
BA2600	8.16254296358662	6.24819820835326
BA2019	8.7332018546727	7.18812871773308
BA2412	7.24218373520164	6.54766219361137
BA2334	8.12230223339654	6.86903485569995
BA2050	8.72731998420373	7.14070376063247
BA3230	8.51934782702254	6.88430660085161
BA2953	9.03786515454843	6.42575430557831
BA2481	8.41135949860071	6.61700352029779
BA2731	7.72809482559201	6.72355108630667
BA2294	8.69249597847146	7.07329793491951
BA2418	7.83704881770087	6.6143322001923
BA2816	8.27244095196937	6.82309107200081
BA2656	8.50412364911741	6.78618260321054
BA2814	8.7332018546727	6.37031994316104
BA2631	8.03722226484621	6.93021683662514
BA2023	7.84567146798846	6.57921927462639
BA2375	7.84127876561754	6.84162430439576
BA2485	8.52886682883828	6.90877033903166
BA2455	7.18644077892568	6.77246010495607
BA2025	8.672544374331	7.25008508374438
BA2636	8.25554427681065	7.08068398565122
BA2325	7.05796014084047	6.76476869070353
BA2169	8.85577669200061	7.80392510487274
BA2156	8.78108213178214	6.77834045992494
BA2511	7.46784096415085	6.38217571781426
BA2939	7.72545959564587	6.28823715765654
BA2168	8.29820901257083	7.02698040559294
BA2505	8.14705635633251	7.21621114040909
BA2860	8.42321613548815	7.13596647021647
BA2707	8.66689198102969	7.01543819204674
BA2871	7.80682500789732	7.01759724929549
BA2655	8.7420670822246	7.09710413510838
BA2227	8.0301567645062	6.45750445904916
BA2125	8.3695120975799	7.32880266743386
BA2523	8.58992566833602	7.12664090320603
BA2603	7.97230357086309	6.7928687930301
BA2808	8.20213208675208	7.62925234894777
BA2282	7.09119041085949	6.03279032756297
BA2482	8.43037965011906	6.97042186538325
BA2812	8.25764420926654	6.40785243829132
BA2822	9.45324250904435	7.85777881958234
BA2594	8.40194775982719	7.22204702944845
BA2747	8.55813210635661	6.84839040918598
BA2561	8.07789379739417	6.23664169060856
BA2567	6.56478809528508	5.88005273032646
BA2906	8.95099667095566	7.23036606098158
BA2956	7.83985748399556	6.67446820413111
BA2474	7.82988769642495	6.71554173603585
BA2737	8.0301567645062	6.8175184307766
BA2110	7.17595663951225	6.42189529871828
BA2992	8.37180321609369	7.02978091514104
BA2220	8.79022656584331	7.18644077892568
BA2772	8.22445433533228	6.64072538795855
BA2935	8.03369173116136	6.48412876670839
BA2260	8.23267071257109	6.88993208075706
BA2676	8.5555137585582	6.9965338713589
BA2948	7.3014086607396	6.67339810625054
BA2524	8.30037965468589	6.87150487669772
BA2811	8.49156043324924	7.33796606665151
BA2540	7.64636707538027	6.6322579586067
BA2928	9.16398396797258	6.81569990825769
BA2302	8.06706072393759	6.75716311747521
BA2595	8.86857724833819	6.73108967735957
BA2792	8.38795127420314	6.80239867331755
BA2651	7.83268389248944	7.43037850226792
BA2619	8.57129520837751	7.281719536851
BA3013	9.13342062895717	6.8072812584581
BA2405	8.57394218930808	6.61979235879454
BA2735	8.01965582601105	6.59311218108753
BA2856	6.83661488155882	6.62245620960063
BA2377	8.70296361717243	7.47952389617521
BA2499	8.30909856685695	7.33163994376767
BA2463	8.46370355203629	6.1281715906941
BA3023	8.57129520837751	7.07180826529373
BA2095	9.33883912107995	7.27636680044251
BA2901	7.69288267465993	6.75831323775631
BA2275	8.24717893447311	6.90492530830845
BA2387	7.88494695067266	6.9068542300968
BA2962	8.59529250724368	7.12040364606583
BA2195	8.20012237793382	6.71384139703977
BA2688	7.81385914418798	6.43193622663115
BA2787	6.53792906948021	5.683055970914
BA2420	8.65006116973985	7.09927444538542
BA2756	8.77804587995587	6.73922514739457
BA2122	7.22786001580346	6.21887740590051
BA2053	8.13938594647296	6.74097656792209
BA2080	8.7420670822246	6.6892157543699
BA2081	8.62242404966029	7.04635072837336
BA2354	8.03197078783115	7.18398636132438
BA3273	8.71530617987172	6.61484329859941
BA2893	7.97069985635942	6.58991080721251
BA2044	8.60067902691643	6.98137959105818
BA2489	8.3311533449718	7.08227901596389
BA2309	8.77501554362266	6.84162430439576
BA2720	7.72941398094	6.80239867331755
BA2908	8.46065657230778	7.10160504306164
BA2054	7.90191887122195	6.53448056780642
BA2872	8.7420670822246	6.8072812584581
BA2526	7.97556074370465	6.71268468403438
BA2041	9.11460476788528	7.34082017175962
BA2464	8.03197078783115	7.01338554790523
BA2902	7.84883391972247	6.25676516705994
BA2541	8.09989277486394	7.08368088883067
BA2143	7.95296500400789	7.02052497875875
BA2094	8.51679913189176	6.56326897910348
BA2769	8.45696872743274	6.45847746962255
BA2843	9.00955709168753	6.29268793995786
BA2592	8.77804587995587	6.72757025712009
BA2497	8.52190108216259	7.05362684769664
BA2718	9.77539354132974	6.92559422045597
BA2575	8.0044307958278	6.55713498264667
BA2096	8.90103696609653	6.77304018403642
BA2593	7.29348678773891	5.14123425745589
BA2791	7.98067391429632	7.35578970076071
BA2620	7.72809482559201	6.88993208075706
BA2629	8.34906675857089	6.73637438056
BA2870	8.60608533344799	6.83843057067482
BA2423	7.46260985261637	6.46528423305325
BA2682	8.11478606741055	7.00642277827321
BA2276	8.5872495962732	6.60106588860888
BA2348	7.57949702449786	6.31115381839613
