	JAK2	NPM1
BA2392	5.49361387353109	9.6874475749889
BA2611	5.38803577864658	9.60929418124753
BA2506	5.45268870343212	9.61949185438657
BA2430	5.33137556428865	9.61949185438657
BA2448	5.40295228642976	9.61438474364243
BA2730	5.32810180055979	9.62461563502098
BA2845	5.53865932247819	9.57909169555586
BA2326	5.57154615906059	9.58408544068247
BA2341	5.50315192004078	9.58909503454725
BA2612	5.55285643961997	9.55927298456459
BA2973	5.56556160430555	9.56915130536806
BA2390	5.55851041668359	9.55927298456459
BA3218	5.53130217583918	9.56420444046175
BA3105	5.4227029621497	9.53000194332933
BA3402	5.41320005218039	9.53484314535953
BA3276	5.38841032189554	9.51556606369543
BA2409	6.77486042127373	7.88494695067266
BA3037	5.10315757075363	9.1755941413251
BA2496	6.85394237356265	8.3156761580726
BA2172	5.3789226513503	9.2592593958878
BA2865	5.63859875243939	9.53484314535953
BA2923	6.61867340597626	6.98208266015901
BA2751	6.87847286019697	9.13897207935234
BA2480	5.85615861273504	8.38563253120242
BA2286	5.89203625853857	9.51078302100883
BA2922	5.28398914288075	9.78674968596522
BA2452	4.76109238764645	9.33027676031699
BA3379	5.99561264597437	9.31328611186612
BA2887	5.77451233227095	9.06304565250042
BA2712	6.63861770845571	7.82549928808227
BA2068	5.80651617633479	8.67821802831458
BA2236	6.413222743052	8.75995195431454
BA2104	7.62437772428186	6.91599118004167
BA3124	5.53130217583918	8.84307877151568
BA3395	6.78550767222755	8.58457840504288
BA2921	6.13119942059496	9.00605305286098
BA2449	5.1308809152012	9.52036350053221
BA2003	5.81122081776697	9.04501990946176
BA2360	6.19646958807837	9.4000752436972
BA2802	6.27289277243206	7.15633759792086
BA2235	6.50297201387594	8.83362186336888
BA2858	6.30978800081562	8.91420804405317
BA3038	7.61949698331246	7.73462168625585
BA3006	6.23620830247888	9.15245565249128
BA2245	6.33826437905032	9.0307417478067
BA2667	7.12738803665014	9.13720994130471
BA2239	7.66988409314176	8.17428733914348
BA2782	7.34547705030654	7.59101188148724
BA2649	5.21007881246748	9.2429894144776
BA2488	6.41031606152443	7.91111348596979
BA2861	6.39121229400113	9.11460476788528
BA2909	6.7928687930301	7.83704881770087
BA2429	6.23033780733241	8.66493693752935
BA2653	5.9361114629243	8.41556616709075
BA2134	7.35957852119331	8.30037965468589
BA2947	5.76994542170869	9.91920628125652
BA2032	4.86639351070548	9.3735473533766
BA2162	6.83661488155882	8.85577669200061
BA2564	7.02768073602554	8.74800571415782
BA2597	6.04401665671066	8.13547459853116
BA3243	7.08297551023298	8.84307877151568
BA2106	5.75339715282444	9.54945587390153
BA2427	6.1281715906941	8.91090509269608
BA2841	5.4943411471575	9.13342062895717
BA2446	6.57407550686427	8.33784249776874
BA2645	6.01784200578308	8.42798766039968
BA2525	4.84004894658634	8.34456564828853
BA2876	5.68494283424888	8.61151153389318
BA2357	6.01704720263967	8.95777690896205
BA2546	6.43542748974206	8.0301567645062
BA2742	6.59148541753236	7.87584460904621
BA2316	6.52270916866473	8.22855584188171
BA2421	6.39453514704598	8.28526081080175
BA2087	6.63486341869675	9.10147698629206
BA2910	5.74782936628199	9.22287720595147
BA2148	5.13585150348145	7.95609226155088
BA2063	4.89696755761679	8.34232080533324
BA2329	6.65295694076347	8.3972661940189
BA3178	6.732801148639	8.76897254396233
BA2072	7.19225834495813	8.41135949860071
BA3029	5.07445877032658	8.78717245605116
BA2733	6.66177361256097	8.96458579397726
BA2995	6.83029032072815	8.45209623715645
BA2069	6.76957967246072	8.46185834013681
BA2100	5.66204443579784	8.70690950167434
BA2681	6.27064006981264	9.52517542791568
BA2248	5.21778173093654	9.19906475607931
BA2832	6.1188645712048	8.18813169577028
BA2308	5.84234806468241	9.48708042008341
BA2413	5.70836568128015	9.4045391740165
BA2701	6.81329812446179	8.7361512573159
BA2634	7.09119041085949	8.22240857358487
BA2677	6.46380824438958	8.79635277497105
BA2937	6.60315866621686	8.25344779136567
BA2600	6.44128835620157	9.2429894144776
BA2019	6.81569990825769	8.12986534537924
BA2412	7.23470845982278	6.82309107200081
BA2334	6.41176296562855	8.94087956106744
BA2050	5.67279352334088	9.34744684153524
BA3230	6.45599883472476	8.78108213178214
BA2953	6.09980072152953	9.69817061599593
BA2481	6.43793151264448	8.58191208164573
BA2731	6.80425051325387	8.46185834013681
BA2294	6.26561634633026	9.25517667754352
BA2418	5.60693430911561	9.1410080593907
BA2816	6.84098754890722	9.14863087419242
BA2656	5.45378533976882	8.93082572022568
BA2814	6.51402356062823	7.63755645913212
BA2631	6.45945806358587	9.3561004357089
BA2023	7.27555120012057	8.3311533449718
BA2375	7.5032888272442	8.84941498844258
BA2485	5.88045550111629	8.78899864293157
BA2455	6.77486042127373	8.3156761580726
BA2025	6.47813803224063	8.56338303703764
BA2636	6.38888273500531	9.10713869224013
BA2325	6.63537899034447	7.29687122589928
BA2169	5.67695923349879	8.51934782702254
BA2156	5.69217660010952	9.48238177689826
