	KIT	GATA2
BA2392	8.48407580140491	7.41600983782201
BA2611	8.46430959418229	7.34547705030654
BA2506	8.46185834013681	7.41107466475047
BA2430	8.48906113697349	7.37299295258264
BA2448	8.46676516104844	7.42721767032965
BA2730	8.46922505155083	7.37967634115988
BA2845	8.53990253916599	7.31758513982701
BA2326	8.52702131941912	7.3445927403943
BA2341	8.54768703664719	7.3614587281193
BA2612	8.50160207030541	7.32489473499785
BA2973	8.53215993801742	7.31665510949842
BA2390	8.49657233882556	7.3634906067475
BA3218	8.48906113697349	7.31484141146978
BA3105	8.45209623715645	7.26503778677364
BA3402	8.44966638628301	7.27805701193436
BA3276	8.40194775982719	7.29968056370735
BA2409	6.89778124838191	4.08953411027778
BA3037	5.49725940478877	9.22687989289351
BA2496	5.51241676925768	4.22136650202706
BA2172	4.37272792121348	7.72672331348077
BA2865	8.38563253120242	10.0543370402648
BA2923	-1.83754692529431	-0.905814060314707
BA2751	2.3627073872351	6.91069984449294
BA2480	5.00103650264355	8.44966638628301
BA2286	8.5872495962732	6.84098754890722
BA2922	9.77539354132974	6.95344802847081
BA2452	9.0271917203024	7.2808607611199
BA3379	8.66689198102969	6.11039522609915
BA2887	8.0301567645062	5.05929023106165
BA2712	0.402949581289092	2.26275670492429
BA2068	6.7421473941764	8.95777690896205
BA2236	8.09435501163422	8.58457840504288
BA2104	0.598455727053896	0.732935262992316
BA3124	6.29048213777498	5.77221027466017
BA3395	6.84399982384708	7.45571345371651
BA2921	9.60422004710875	7.41497012248878
BA2449	6.87788091401863	5.21327609576147
BA2003	5.06527754778608	7.37771038448057
BA2360	7.94635895319707	8.58992566833602
BA2802	9.09230819306279	7.40900238551148
BA2235	8.0044307958278	6.83214250556656
BA2858	6.02698748997862	4.24617468927424
BA3038	7.71347289714959	6.41227021268222
BA3006	5.2871864159011	7.99915514777274
BA2245	9.85077214115986	7.66369633945432
BA2667	8.75396729152058	6.50152491798344
BA2239	5.0610421966443	4.89696755761679
BA2782	5.3063518272781	5.97890641593254
BA2649	6.45042558800672	7.15798365655759
BA2488	7.52428329559334	8.16840116234166
BA2861	7.79956921933088	7.44839655086442
BA2909	6.47866220517702	7.51630069461518
BA2429	6.57560815980456	6.13853683580785
BA2653	0.779913057719338	8.67721676583393
BA2134	6.16187946786899	5.66361114365051
BA2947	6.64131489127646	8.5971359914493
BA2032	6.53646349390772	9.91143332054624
BA2162	8.27031665707811	9.31751716888528
BA2564	6.76240903317338	4.70523791699629
BA2597	5.54658259376352	9.36650856672567
BA3243	7.38062061343463	9.58909503454725
BA2106	7.77713213848426	7.01200936090574
BA2427	5.71100608100859	4.33903266779967
BA2841	6.71667600372627	5.94099029232779
BA2446	2.69090003434147	2.31812232252383
BA2645	10.0958725482412	9.64008823387741
BA2525	4.05402094746754	5.24865361107735
BA2876	6.00881830211778	5.79758031043752
BA2357	5.46954197713849	5.50571962151203
BA2546	6.5518017021576	3.0112376490771
BA2742	3.1321279031107	3.66797907398221
BA2316	3.27431420538309	3.22495437973645
BA2421	1.76094876809065	2.45065051871032
BA2087	8.58375614592974	2.55585093682386
BA2910	7.45571345371651	10.2053241381792
BA2148	7.71472395965624	8.16059641320183
BA2063	2.4375086335962	3.02935460711532
BA2329	6.61117532741348	7.2245944685398
