	KIT	PTPN11
BA2392	8.48407580140491	7.10534081557561
BA2611	8.46430959418229	6.97042186538325
BA2506	8.46185834013681	7.0594253136799
BA2430	8.48906113697349	7.07556396699123
BA2448	8.46676516104844	7.06596636229514
BA2730	8.46922505155083	7.09423229403913
BA2845	8.53990253916599	7.04424068249485
BA2326	8.52702131941912	7.05570452227078
BA2341	8.54768703664719	7.01847365520979
BA2612	8.50160207030541	7.08741196449123
BA2973	8.53215993801742	7.0420285397911
BA2390	8.49657233882556	7.07405167828484
BA3218	8.48906113697349	7.04344633578654
BA3105	8.45209623715645	7.00490622738367
BA3402	8.44966638628301	7.01983909137586
BA3276	8.40194775982719	7.01338554790523
BA2409	6.89778124838191	6.68698956921182
BA3037	5.49725940478877	7.26938021173089
BA2496	5.51241676925768	6.71610247691018
BA2172	4.37272792121348	6.91265400996675
BA2865	8.38563253120242	7.04276966075825
BA2923	-1.83754692529431	6.20964310204874
BA2751	2.3627073872351	6.61925110660737
BA2480	5.00103650264355	6.55451548155805
BA2286	8.5872495962732	6.86903485569995
BA2922	9.77539354132974	7.26585264294213
BA2452	9.0271917203024	7.26503778677364
BA3379	8.66689198102969	7.09710413510838
BA2887	8.0301567645062	7.26238233832031
BA2712	0.402949581289092	7.05796014084047
BA2068	6.7421473941764	6.78009238710876
BA2236	8.09435501163422	6.78739149461742
BA2104	0.598455727053896	6.3190384639483
BA3124	6.29048213777498	6.27468820513848
BA3395	6.84399982384708	7.54970729199318
BA2921	9.60422004710875	7.46679247570854
BA2449	6.87788091401863	7.09710413510838
BA2003	5.06527754778608	5.98627491229184
BA2360	7.94635895319707	6.83403264485773
BA2802	9.09230819306279	7.15951987646114
BA2235	8.0044307958278	6.75309739437635
BA2858	6.02698748997862	6.71325528813671
BA3038	7.71347289714959	6.69136843496562
BA3006	5.2871864159011	6.87403385388121
BA2245	9.85077214115986	7.51849616731086
BA2667	8.75396729152058	6.70082648857542
BA2239	5.0610421966443	6.62136909185019
BA2782	5.3063518272781	6.3931237186825
BA2649	6.45042558800672	7.22705513643141
BA2488	7.52428329559334	7.03986452617139
BA2861	7.79956921933088	7.08598210070988
BA2909	6.47866220517702	6.55713498264667
BA2429	6.57560815980456	6.38694021270264
BA2653	0.779913057719338	8.09064390303592
BA2134	6.16187946786899	6.67231936736834
BA2947	6.64131489127646	7.04635072837336
BA2032	6.53646349390772	6.95550948162844
BA2162	8.27031665707811	7.16132716982423
BA2564	6.76240903317338	6.77246010495607
BA2597	5.54658259376352	7.34837532536667
BA3243	7.38062061343463	7.0549889553605
BA2106	7.77713213848426	6.44275689894875
BA2427	5.71100608100859	6.95895559810233
BA2841	6.71667600372627	6.8971019245288
BA2446	2.69090003434147	6.85962983110872
BA2645	10.0958725482412	7.16132716982423
BA2525	4.05402094746754	6.23708437608245
BA2876	6.00881830211778	6.6963494054774
BA2357	5.46954197713849	6.70250395591763
BA2546	6.5518017021576	7.03779348616319
BA2742	3.1321279031107	6.59094704308975
BA2316	3.27431420538309	6.68698956921182
BA2421	1.76094876809065	6.67231936736834
BA2087	8.58375614592974	7.08068398565122
BA2910	7.45571345371651	7.55300749734541
BA2148	7.71472395965624	7.22867709025789
BA2063	2.4375086335962	6.33509433573957
BA2329	6.61117532741348	6.72062167573975
BA3178	6.71780036034788	6.54408446340443
BA2072	7.31397253852267	6.69807753006718
BA3029	6.52375465899181	6.81689630084604
BA2733	7.2371970090631	6.53989151011847
BA2995	5.70643173596218	6.54978276410253
BA2069	4.07958610816328	6.97731252665637
BA2100	5.76256437697443	6.74268846032395
BA2681	6.69356109841864	7.03126251610198
