	NPM1	IDH2
BA2392	9.6874475749889	9.29647098090766
BA2611	9.60929418124753	9.30906602396076
BA2506	9.61949185438657	9.29647098090766
BA2430	9.61949185438657	9.27569316532541
BA2448	9.61438474364243	9.29229417829056
BA2730	9.62461563502098	9.23491479941431
BA2845	9.57909169555586	9.2109276242084
BA2326	9.58408544068247	9.23089240757758
BA2341	9.58909503454725	9.25517667754352
BA2612	9.55927298456459	9.2109276242084
BA2973	9.56915130536806	9.22287720595147
BA2390	9.55927298456459	9.25517667754352
BA3218	9.56420444046175	9.21490111990201
BA3105	9.53000194332933	9.2429894144776
BA3402	9.53484314535953	9.22687989289351
BA3276	9.51556606369543	9.28397254525379
BA2409	7.88494695067266	6.82851443258156
BA3037	9.1755941413251	8.03722226484621
BA2496	8.3156761580726	8.28311530497155
BA2172	9.2592593958878	9.30485684547982
BA2865	9.53484314535953	7.78959302181462
BA2923	6.98208266015901	7.82688083190866
BA2751	9.13897207935234	8.18796359837961
BA2480	8.38563253120242	8.39960495989321
BA2286	9.51078302100883	8.48158973981744
BA2922	9.78674968596522	8.46430959418229
BA2452	9.33027676031699	9.09230819306279
BA3379	9.31328611186612	8.50160207030541
BA2887	9.06304565250042	8.79635277497105
BA2712	7.82549928808227	8.63894476137773
BA2068	8.67821802831458	8.32228693534529
BA2236	8.75995195431454	8.19211577067672
BA2104	6.91599118004167	7.5725144548201
BA3124	8.84307877151568	7.54733361982974
BA3395	8.58457840504288	8.40664550150058
BA2921	9.00605305286098	8.8525926437112
BA2449	9.52036350053221	9.26335235036244
BA2003	9.04501990946176	7.84883391972247
BA2360	9.4000752436972	9.07761127342397
BA2802	7.15633759792086	8.34007975821985
BA2235	8.83362186336888	7.79956921933088
BA2858	8.91420804405317	8.67537853618004
BA3038	7.73462168625585	7.93502206043898
BA3006	9.15245565249128	8.15090969693391
BA2245	9.0307417478067	8.58992566833602
BA2667	9.13720994130471	8.40664550150058
BA2239	8.17428733914348	7.47952389617521
BA2782	7.59101188148724	7.29077391107671
BA2649	9.2429894144776	8.78108213178214
BA2488	7.91111348596979	7.92699657991781
BA2861	9.11460476788528	8.59798330037588
BA2909	7.83704881770087	7.35673455123978
BA2429	8.66493693752935	7.43426786956565
BA2653	8.41556616709075	8.88978486658959
BA2134	8.30037965468589	7.41497012248878
BA2947	9.91920628125652	8.22627943224245
BA2032	9.3735473533766	7.75510135803604
BA2162	8.85577669200061	7.46474071975909
BA2564	8.74800571415782	8.24301678047805
BA2597	8.13547459853116	7.85205086731265
BA3243	8.84307877151568	7.96905854853838
BA2106	9.54945587390153	8.44481942009045
BA2427	8.91090509269608	7.99413751864958
BA2841	9.13342062895717	9.26745559419095
BA2446	8.33784249776874	8.52190108216259
BA2645	8.42798766039968	9.14481502348153
BA2525	8.34456564828853	6.8791208631907
BA2876	8.61151153389318	7.46260985261637
BA2357	8.95777690896205	8.73910632748104
BA2546	8.0301567645062	8.06706072393759
BA2742	7.87584460904621	7.80094268898657
BA2316	8.22855584188171	8.04414638908848
BA2421	8.28526081080175	8.03197078783115
BA2087	9.10147698629206	8.4934060566155
BA2910	9.22287720595147	8.50664971851981
BA2148	7.95609226155088	7.08821062221174
BA2063	8.34232080533324	6.611693175134
BA2329	8.3972661940189	8.0095286113404
BA3178	8.76897254396233	8.03550248502968
BA2072	8.41135949860071	8.53215993801742
BA3029	8.78717245605116	7.69921272259806
BA2733	8.96458579397726	8.22650342209935
BA2995	8.45209623715645	8.41846114844672
BA2069	8.46185834013681	8.65565049707964
BA2100	8.70690950167434	7.63755645913212
BA2681	9.52517542791568	8.51679913189176
BA2248	9.19906475607931	8.30473182450184
BA2832	8.18813169577028	8.3695120975799
BA2308	9.48708042008341	8.26607857536642
BA2413	9.4045391740165	8.32449794408229
BA2701	8.7361512573159	7.60395254604328
BA2634	8.22240857358487	7.81249915728454
BA2677	8.79635277497105	8.27670009201677
BA2937	8.25344779136567	8.23061160269424
BA2600	9.2429894144776	8.16254296358662
BA2019	8.12986534537924	8.7332018546727
