	NPM1	MYD88
BA2392	9.6874475749889	6.68298551627202
BA2611	9.60929418124753	6.67446820413111
BA2506	9.61949185438657	6.6963494054774
BA2430	9.61949185438657	6.70531293865616
BA2448	9.61438474364243	6.63330728837913
BA2730	9.62461563502098	6.6963494054774
BA2845	9.57909169555586	6.69580577134555
BA2326	9.58408544068247	6.71443140013608
BA2341	9.58909503454725	6.68181953854303
BA2612	9.55927298456459	6.60051001058414
BA2973	9.56915130536806	6.71155130794723
BA2390	9.55927298456459	6.70476093745623
BA3218	9.56420444046175	6.69300731767576
BA3105	9.53000194332933	6.75483486169623
BA3402	9.53484314535953	6.72524597427468
BA3276	9.51556606369543	6.73745939965324
BA2409	7.88494695067266	8.79635277497105
BA3037	9.1755941413251	6.32126637219132
BA2496	8.3156761580726	8.37409825216549
BA2172	9.2592593958878	6.73222274372854
BA2865	9.53484314535953	6.80787905159787
BA2923	6.98208266015901	8.25764420926654
BA2751	9.13897207935234	7.50861653894833
BA2480	8.38563253120242	8.19211577067672
BA2286	9.51078302100883	7.145353174227
BA2922	9.78674968596522	6.80545390529169
BA2452	9.33027676031699	6.3764431266369
BA3379	9.31328611186612	7.64636707538027
BA2887	9.06304565250042	7.30861526987379
BA2712	7.82549928808227	7.85777881958234
BA2068	8.67821802831458	7.48933909555342
BA2236	8.75995195431454	7.65898516432112
BA2104	6.91599118004167	9.28397254525379
BA3124	8.84307877151568	7.1940059259717
BA3395	8.58457840504288	7.26761325734099
BA2921	9.00605305286098	5.4227029621497
BA2449	9.52036350053221	6.31855304086332
BA2003	9.04501990946176	6.33324319286844
BA2360	9.4000752436972	7.74666982029682
BA2802	7.15633759792086	6.13984081619634
BA2235	8.83362186336888	7.84423149870525
BA2858	8.91420804405317	7.63041516939983
BA3038	7.73462168625585	8.96117775713075
BA3006	9.15245565249128	6.73865750312275
BA2245	9.0307417478067	3.76503931936474
BA2667	9.13720994130471	8.43758065182973
BA2239	8.17428733914348	8.47663077360064
BA2782	7.59101188148724	8.84941498844258
BA2649	9.2429894144776	6.45455803457724
BA2488	7.91111348596979	7.55410957706454
BA2861	9.11460476788528	8.02508710399741
BA2909	7.83704881770087	8.50849537330422
BA2429	8.66493693752935	7.51084212363206
BA2653	8.41556616709075	7.34547705030654
BA2134	8.30037965468589	8.91090509269608
BA2947	9.91920628125652	7.00079089475897
BA2032	9.3735473533766	6.59418114772064
BA2162	8.85577669200061	8.25974759702626
BA2564	8.74800571415782	8.42083657982967
BA2597	8.13547459853116	5.72715040553996
BA3243	8.84307877151568	7.73861349646242
BA2106	9.54945587390153	6.54408446340443
BA2427	8.91090509269608	8.43998936441936
BA2841	9.13342062895717	6.9944372976249
BA2446	8.33784249776874	7.39444593270682
BA2645	8.42798766039968	7.94314055717551
BA2525	8.34456564828853	7.06166102601644
BA2876	8.61151153389318	8.30037965468589
BA2357	8.95777690896205	6.52938873500607
BA2546	8.0301567645062	8.52190108216259
BA2742	7.87584460904621	8.49908497066643
BA2316	8.22855584188171	8.32228693534529
BA2421	8.28526081080175	7.85931538761176
BA2087	9.10147698629206	7.91578361841166
BA2910	9.22287720595147	7.00853195755675
BA2148	7.95609226155088	7.31579076602089
BA2063	8.34232080533324	7.96260346447077
BA2329	8.3972661940189	8.48407580140491
BA3178	8.76897254396233	7.38257507273258
BA2072	8.41135949860071	8.44481942009045
BA3029	8.78717245605116	6.90940702790402
BA2733	8.96458579397726	7.62806217739621
BA2995	8.45209623715645	7.21053357648558
BA2069	8.46185834013681	7.18644077892568
BA2100	8.70690950167434	7.13198010911185
BA2681	9.52517542791568	7.54625616208849
BA2248	9.19906475607931	6.51154576024005
BA2832	8.18813169577028	7.48382605156173
BA2308	9.48708042008341	7.04988485075939
BA2413	9.4045391740165	7.09190952990899
BA2701	8.7361512573159	8.80867768640892
BA2634	8.22240857358487	8.04242466385173
BA2677	8.79635277497105	7.93990288358419
BA2937	8.25344779136567	8.05115312612603
BA2600	9.2429894144776	7.91426996698012
BA2019	8.12986534537924	6.39599982532293
BA2412	6.82309107200081	9.56420444046175
BA2334	8.94087956106744	7.22951525991334
BA2050	9.34744684153524	6.28373604828764
BA3230	8.78108213178214	8.0301567645062
BA2953	9.69817061599593	6.96289154217268
BA2481	8.58191208164573	6.95017040445475
BA2731	8.46185834013681	9.3217592552912
BA2294	9.25517667754352	7.31937809888862
BA2418	9.1410080593907	6.76183989992728
BA2816	9.14863087419242	7.26761325734099
BA2656	8.93082572022568	6.67285627660237
BA2814	7.63755645913212	8.28526081080175
BA2631	9.3561004357089	7.631611105114
BA2023	8.3311533449718	8.48906113697349
BA2375	8.84941498844258	9.07395764638915
BA2485	8.78899864293157	7.31937809888862
BA2455	8.3156761580726	7.93352218493006
BA2025	8.56338303703764	7.30313040589717
BA2636	9.10713869224013	7.00288610035202
BA2325	7.29687122589928	9.15628939970288
BA2169	8.51934782702254	7.65022254150033
BA2156	9.48238177689826	7.53405377993628
BA2511	8.46430959418229	7.93502206043898
BA2939	9.41350421836705	6.68810200399149
BA2168	9.20300948929151	7.02200264661639
BA2505	9.09230819306279	8.24301678047805
BA2860	8.97485330936457	8.43758065182973
BA2707	9.12210512882866	7.53197491812839
BA2871	8.66689198102969	7.70961368830257
BA2655	9.36916799017741	6.97383568837724
BA2227	9.42251934116338	6.33691799113473
BA2125	7.76334677298606	7.49457772487061
BA2523	9.33455230246716	6.52630500155159
BA2603	8.99558616821901	7.67493502317828
BA2808	8.70112769787832	7.29687122589928
BA2282	7.26503778677364	8.83362186336888
BA2482	9.04501990946176	7.72417589543797
BA2812	8.81487669872437	7.34929269675225
BA2822	7.14998539597838	7.59101188148724
BA2594	8.42798766039968	8.36722488709977
BA2747	9.35176787188011	6.78433325744635
BA2561	9.09970659968869	7.08899874190146
BA2567	7.54085820588458	7.97388709664949
