	NPM1	SRP72
BA2392	9.6874475749889	7.81969894849543
BA2611	9.60929418124753	7.85633367820174
BA2506	9.61949185438657	7.81538872947805
BA2430	9.61949185438657	7.80235955590607
BA2448	9.61438474364243	7.81686981561798
BA2730	9.62461563502098	7.76749698582267
BA2845	9.57909169555586	7.96744532914178
BA2326	9.58408544068247	7.95609226155088
BA2341	9.58909503454725	7.97069985635942
BA2612	9.55927298456459	7.95104961478815
BA2973	9.56915130536806	7.93502206043898
BA2390	9.55927298456459	7.98722615701975
BA3218	9.56420444046175	7.95765939482996
BA3105	9.53000194332933	7.85931538761176
BA3402	9.53484314535953	7.87732006412967
BA3276	9.51556606369543	7.85777881958234
BA2409	7.88494695067266	7.41008797800013
BA3037	9.1755941413251	7.69160326863138
BA2496	8.3156761580726	7.4827611671997
BA2172	9.2592593958878	8.21020338316209
BA2865	9.53484314535953	7.70840071464408
BA2923	6.98208266015901	6.83535757136623
BA2751	9.13897207935234	7.24732283099868
BA2480	8.38563253120242	7.24218373520164
BA2286	9.51078302100883	7.60765864505298
BA2922	9.78674968596522	8.61695773628636
BA2452	9.33027676031699	7.76884228347361
BA3379	9.31328611186612	7.55867055300222
BA2887	9.06304565250042	7.76614073791854
BA2712	7.82549928808227	7.25696535562506
BA2068	8.67821802831458	6.9944372976249
BA2236	8.75995195431454	7.49672370749375
BA2104	6.91599118004167	7.28268371584317
BA3124	8.84307877151568	7.18812871773308
BA3395	8.58457840504288	7.63755645913212
BA2921	9.00605305286098	8.22240857358487
BA2449	9.52036350053221	8.22240857358487
BA2003	9.04501990946176	7.35957852119331
BA2360	9.4000752436972	7.69420627031986
BA2802	7.15633759792086	8.06706072393759
BA2235	8.83362186336888	7.58065740201547
BA2858	8.91420804405317	7.26150324021213
BA3038	7.73462168625585	6.75831323775631
BA3006	9.15245565249128	7.57834177713667
BA2245	9.0307417478067	7.87732006412967
BA2667	9.13720994130471	7.32024083349665
BA2239	8.17428733914348	7.18812871773308
BA2782	7.59101188148724	7.19064975766148
BA2649	9.2429894144776	7.93352218493006
BA2488	7.91111348596979	7.392421781637
BA2861	9.11460476788528	7.60765864505298
BA2909	7.83704881770087	6.81811142246577
BA2429	8.66493693752935	7.04988485075939
BA2653	8.41556616709075	7.45375064871774
BA2134	8.30037965468589	6.98419090856441
BA2947	9.91920628125652	7.37771038448057
BA2032	9.3735473533766	7.69790613813162
BA2162	8.85577669200061	7.5196690047936
BA2564	8.74800571415782	7.37874661141443
BA2597	8.13547459853116	7.27378385953679
BA3243	8.84307877151568	7.62320575204897
BA2106	9.54945587390153	8.05626383418968
BA2427	8.91090509269608	7.86375133258917
BA2841	9.13342062895717	7.81101053195418
BA2446	8.33784249776874	7.54733361982974
BA2645	8.42798766039968	7.40406179513594
BA2525	8.34456564828853	7.05431167976266
BA2876	8.61151153389318	7.41600983782201
BA2357	8.95777690896205	7.64511152399424
BA2546	8.0301567645062	7.41600983782201
BA2742	7.87584460904621	7.37396310701658
BA2316	8.22855584188171	7.08974258985974
BA2421	8.28526081080175	7.37675245327076
BA2087	9.10147698629206	7.61245153291675
BA2910	9.22287720595147	7.97230357086309
BA2148	7.95609226155088	7.56436701911919
BA2063	8.34232080533324	6.86708630662577
BA2329	8.3972661940189	7.15798365655759
BA3178	8.76897254396233	7.91267481802265
BA2072	8.41135949860071	7.33529770605395
BA3029	8.78717245605116	7.6685963483501
BA2733	8.96458579397726	7.30055320563665
BA2995	8.45209623715645	7.26669441560471
BA2069	8.46185834013681	7.67359575985668
BA2100	8.70690950167434	6.93355936383644
BA2681	9.52517542791568	7.74263536016322
BA2248	9.19906475607931	8.00107447892983
BA2832	8.18813169577028	7.77581260088951
BA2308	9.48708042008341	8.06706072393759
BA2413	9.4045391740165	8.01121552663761
BA2701	8.7361512573159	7.74808252538179
BA2634	8.22240857358487	7.53405377993628
BA2677	8.79635277497105	7.50647222464875
BA2937	8.25344779136567	7.33163994376767
BA2600	9.2429894144776	7.54085820588458
BA2019	8.12986534537924	7.24904224136933
BA2412	6.82309107200081	7.04344633578654
BA2334	8.94087956106744	7.72941398094
BA2050	9.34744684153524	8.07245680901417
BA3230	8.78108213178214	7.06020993945392
BA2953	9.69817061599593	7.59694470359064
BA2481	8.58191208164573	7.46577618872004
BA2731	8.46185834013681	7.42825345365406
BA2294	9.25517667754352	7.72277870826456
BA2418	9.1410080593907	7.79800939146032
BA2816	9.14863087419242	7.72417589543797
BA2656	8.93082572022568	7.74263536016322
BA2814	7.63755645913212	7.09190952990899
BA2631	9.3561004357089	7.54970729199318
BA2023	8.3311533449718	7.02480711295981
BA2375	8.84941498844258	7.37002936753922
BA2485	8.78899864293157	6.98621603600523
BA2455	8.3156761580726	7.27294418811562
BA2025	8.56338303703764	7.88494695067266
BA2636	9.10713869224013	7.51527675972318
BA2325	7.29687122589928	7.22127084858972
BA2169	8.51934782702254	7.53867754134672
BA2156	9.48238177689826	7.73332620572976
BA2511	8.46430959418229	7.12964479628402
BA2939	9.41350421836705	7.96260346447077
BA2168	9.20300948929151	7.73732673360922
BA2505	9.09230819306279	7.92868137841977
BA2860	8.97485330936457	7.47111652375221
BA2707	9.12210512882866	7.91729349109161
BA2871	8.66689198102969	7.86087718753597
BA2655	9.36916799017741	7.73861349646242
BA2227	9.42251934116338	8.53473617000875
BA2125	7.76334677298606	7.43037850226792
BA2523	9.33455230246716	7.45275636284168
BA2603	8.99558616821901	7.40609048790591
BA2808	8.70112769787832	7.91111348596979
BA2282	7.26503778677364	6.6441169206914
BA2482	9.04501990946176	7.53303259081949
BA2812	8.81487669872437	7.52428329559334
BA2822	7.14998539597838	7.76749698582267
BA2594	8.42798766039968	7.6112304020112
BA2747	9.35176787188011	7.94314055717551
BA2561	9.09970659968869	7.28438406463884
BA2567	7.54085820588458	6.48462547088391
BA2906	8.80250309714617	7.85931538761176
BA2956	8.11104544817006	7.06956103001791
BA2474	9.08127310626888	7.50105244518025
BA2737	8.02685700006077	7.65898516432112
BA2110	7.71347289714959	7.17913715940168
BA2992	9.18338030789918	8.04591780353771
BA2220	9.00955709168753	7.41889646736553
BA2772	9.42251934116338	8.03722226484621
BA2935	8.55029123602985	7.78959302181462
BA2260	8.75098362594822	7.59565623174131
BA2676	8.7361512573159	7.44644074627456
BA2948	7.55189787670547	7.32679901700122
BA2524	9.2592593958878	7.8210975174081
BA2811	8.83676787171411	7.74536502725477
BA2540	8.86857724833819	7.8210975174081
BA2928	8.7214605815193	7.26851020715081
BA2302	9.38234175781362	7.89108706846145
