	NRAS	IDH1
BA2392	6.99377561399407	5.74395799798389
BA2611	7.10771088589405	5.75871811902643
BA2506	7.09047728148948	5.75871811902643
BA2430	7.04058248557274	5.80931856446972
BA2448	7.03404295294828	5.79121445090041
BA2730	7.08368088883067	5.8227080060065
BA2845	7.05721925341645	5.67963455085071
BA2326	7.06736498172321	5.67432622931416
BA2341	7.06956103001791	5.64918681238206
BA2612	7.05213628356552	5.59924503664906
BA2973	7.05132427456444	5.63166253168885
BA2390	7.07251029744415	5.6571193282783
BA3218	7.02698040559294	5.60116902965989
BA3105	6.9582357295531	5.68416732949988
BA3402	7.00218029229942	5.71798453197329
BA3276	6.97383568837724	5.7151540674209
BA2409	6.66888521161026	7.52082148621471
BA3037	7.81101053195418	5.44138513248386
BA2496	6.87847286019697	6.59256890621003
BA2172	7.48490734822992	4.82328175599878
BA2865	7.04635072837336	6.97794904447586
BA2923	6.98553956904008	8.2618544484033
BA2751	6.77246010495607	7.15246698865564
BA2480	7.18731663184627	7.35298985161002
BA2286	7.33073792117204	6.15608719552673
BA2922	7.03335772337666	6.60792383481337
BA2452	7.31937809888862	6.40688318423783
BA3379	7.00010998499046	5.94263228316548
BA2887	7.41889646736553	5.85144934754927
BA2712	7.50539293842063	7.45375064871774
BA2068	7.4914611939268	4.80607814010981
BA2236	6.97926113627939	6.90558799283489
BA2104	7.44951411714195	7.73732673360922
BA3124	6.57560815980456	4.22136650202706
BA3395	6.90753952267277	7.16547841878937
BA2921	7.78959302181462	4.79871964465787
BA2449	8.06147774301482	4.22750729569156
BA2003	8.17625565039323	5.20261254311813
BA2360	6.81512757535845	6.61867340597626
BA2802	7.45670028367566	4.3579546600223
BA2235	7.04635072837336	7.1956195388029
BA2858	7.49256176412129	5.32198845078755
BA3038	6.89245255653176	7.20973552997534
BA3006	6.73983231150721	6.49699294257919
BA2245	7.15078589361001	5.4241733124076
BA2667	6.65958088429919	6.49799553338119
BA2239	6.67392482770239	7.14764743423536
BA2782	6.70809549173072	6.64358377452482
BA2649	7.27898774790875	6.23214914518013
BA2488	7.24053779186389	6.35757561884313
BA2861	7.12189404339898	7.03549223810054
BA2909	6.82793872143045	6.34548467937847
BA2429	6.64631169310032	5.11958001435747
BA2653	7.60044547310861	4.90152753707883
BA2134	6.79404595569359	6.53396722315737
BA2947	7.43138197639579	4.83268199793827
BA2032	8.01121552663761	5.82000063861969
BA2162	6.40264148496757	5.33028268437174
BA2564	7.18398636132438	6.85832315809809
BA2597	8.12977902219921	2.84361014461716
BA3243	6.99925381802676	5.4843036495526
BA2106	7.98067391429632	5.19270680337974
BA2427	8.61151153389318	3.18975730461156
BA2841	8.04242466385173	3.95599802451469
BA2446	6.91265400996675	6.55661288461065
BA2645	8.25974759702626	4.05123232495892
BA2525	7.20386734649371	3.65728472785622
BA2876	7.7729524118183	3.20185478187358
BA2357	7.07994856692804	3.69392175101973
BA2546	6.98137959105818	7.33073792117204
BA2742	6.89778124838191	9.09600320401444
