	SRSF2	ASXL1
BA2392	9.83892848550566	6.54408446340443
BA2611	9.86270964606403	6.53249965977741
BA2506	9.83892848550566	6.5242368874556
BA2430	9.85672905613112	6.58462737788517
BA2448	9.85672905613112	6.52324588492183
BA2730	9.83304132704525	6.54408446340443
BA2845	9.8991027074875	6.42575430557831
BA2326	9.87474271994728	6.42858727965842
BA2341	9.93012293296997	6.42763769743183
BA2612	9.90525526471174	6.45455803457724
BA2973	9.93012293296997	6.40360502181603
BA2390	9.92386690563917	6.40264148496757
BA3218	9.89297540900361	6.44565569212713
BA3105	9.95541459791256	6.54096638153352
BA3402	10.0007468429699	6.52120608932454
BA3276	9.98114720830101	6.53695474326822
BA2409	8.41135949860071	5.50426621763009
BA3037	8.23061160269424	6.49002795768883
BA2496	8.84307877151568	5.62715965117615
BA2172	8.71271331389775	5.7983454299058
BA2865	9.22287720595147	6.1921407741856
BA2923	7.64511152399424	4.94273522337111
BA2751	9.50293364970638	6.05776567233175
BA2480	8.73025810259064	6.00011677121632
BA2286	8.92083445647999	6.04154865344481
BA2922	9.3217592552912	6.58783674116998
BA2452	9.82133532639013	6.28373604828764
BA3379	9.46372381175102	6.15698094792798
BA2887	9.13342062895717	6.0444352624309
BA2712	9.39118419839355	5.75681040063766
BA2068	10.6289390647318	6.08966256500214
BA2236	9.22287720595147	6.00513768153823
BA2104	7.64511152399424	5.3920043604829
BA3124	9.38234175781362	6.7478553015081
BA3395	9.09970659968869	6.06345159600226
BA2921	9.54945587390153	5.84190332625174
BA2449	8.60608533344799	6.06168577538942
BA2003	9.75293118746352	6.17121351437265
BA2360	9.42251934116338	6.04734642903678
BA2802	9.53969913371194	6.2850706491728
BA2235	8.93082572022568	5.74011278993299
BA2858	9.30906602396076	5.98876336939614
BA3038	8.60879594020241	5.48611835069995
BA3006	9.64008823387741	6.04816746430603
BA2245	9.49651930986164	6.25762029146855
BA2667	8.95438322249582	6.03566200297907
BA2239	8.66407371953991	5.69838933100617
