	TP53	NRAS
BA2392	7.93187727167438	6.99377561399407
BA2611	8.01965582601105	7.10771088589405
BA2506	7.96260346447077	7.09047728148948
BA2430	7.94635895319707	7.04058248557274
BA2448	7.97556074370465	7.03404295294828
BA2730	7.95936662330483	7.08368088883067
BA2845	7.87430709609213	7.05721925341645
BA2326	7.85345354435312	7.06736498172321
BA2341	7.87732006412967	7.06956103001791
BA2612	7.87430709609213	7.05213628356552
BA2973	7.83554388846121	7.05132427456444
BA2390	7.85633367820174	7.07251029744415
BA3218	7.84275930534523	7.02698040559294
BA3105	7.86087718753597	6.9582357295531
BA3402	7.88037740793897	7.00218029229942
BA3276	7.90654028957083	6.97383568837724
BA2409	6.7240814115045	6.66888521161026
BA3037	4.29267969728308	7.81101053195418
BA2496	6.45599883472476	6.87847286019697
BA2172	6.55763968463611	7.48490734822992
BA2865	7.34082017175962	7.04635072837336
BA2923	6.41993290039897	6.98553956904008
BA2751	7.22625304922136	6.77246010495607
BA2480	7.08598210070988	7.18731663184627
BA2286	7.03335772337666	7.33073792117204
BA2922	7.58415033094325	7.03335772337666
BA2452	6.21802371577529	7.31937809888862
BA3379	7.1045805500083	7.00010998499046
BA2887	6.98275640527684	7.41889646736553
BA2712	5.93038956442244	7.50539293842063
BA2068	5.89521114196018	7.4914611939268
BA2236	7.24904224136933	6.97926113627939
BA2104	6.26429986711095	7.44951411714195
BA3124	6.49248354368901	6.57560815980456
BA3395	6.09600230844392	6.90753952267277
BA2921	5.26066257347525	7.78959302181462
BA2449	5.89918966262517	8.06147774301482
BA2003	5.09857876696561	8.17625565039323
BA2360	8.04765964150367	6.81512757535845
BA2802	5.98097884801574	7.45670028367566
BA2235	7.04704814373678	7.04635072837336
BA2858	6.16992972400798	7.49256176412129
BA3038	6.43046914091516	6.89245255653176
BA3006	7.35202275514424	6.73983231150721
BA2245	7.53093612416627	7.15078589361001
BA2667	7.16215175411855	6.65958088429919
BA2239	6.92833111291049	6.67392482770239
BA2782	6.1881494364125	6.70809549173072
BA2649	7.30861526987379	7.27898774790875
BA2488	6.28733698625511	7.24053779186389
BA2861	7.2179085684236	7.12189404339898
BA2909	6.00760401810435	6.82793872143045
BA2429	6.58673582096521	6.64631169310032
BA2653	6.64966424428309	7.60044547310861
BA2134	6.389795387917	6.79404595569359
BA2947	7.0549889553605	7.43138197639579
BA2032	5.6834289695156	8.01121552663761
BA2162	5.66661596956027	6.40264148496757
BA2564	6.33600766569699	7.18398636132438
BA2597	5.30025672574144	8.12977902219921
BA3243	6.79931174111644	6.99925381802676
BA2106	5.5849409277756	7.98067391429632
BA2427	4.58834815635997	8.61151153389318
BA2841	5.64578665380384	8.04242466385173
BA2446	7.02624764830014	6.91265400996675
BA2645	4.47755440955033	8.25974759702626
BA2525	5.33325727668396	7.20386734649371
BA2876	4.87307091837154	7.7729524118183
BA2357	5.73934974436077	7.07994856692804
BA2546	5.98097884801574	6.98137959105818
BA2742	6.87718695252014	6.89778124838191
BA2316	6.92303478434711	6.82066158800154
BA2421	5.73053658482108	7.56896114376543
BA2087	6.1821095995856	8.16435812995303
BA2910	6.65242333740906	8.00619097456886
BA2148	4.5255236296775	8.08701091285537
BA2063	5.23357427325263	6.94160900810377
BA2329	6.76359470107912	6.77246010495607
BA3178	7.16876088952225	6.92369940347749
BA2072	6.8175184307766	6.9848366218031
BA3029	4.51543236159046	8.27031665707811
BA2733	5.01531695363561	8.23886821722062
BA2995	5.64653817010519	8.4594113881339
BA2069	7.49042755149826	6.79463806745523
BA2100	4.13049769125671	7.24218373520164
BA2681	6.47571845442986	6.89511146582289
BA2248	5.35925920402751	7.90490568648577
BA2832	6.54255345963774	7.26851020715081
BA2308	6.1346163312472	7.46894970580743
BA2413	5.4113491881704	7.73462168625585
BA2701	4.6377523259586	7.62683244469809
BA2634	5.89802625126527	7.03474280183588
BA2677	6.55027156269161	7.03474280183588
BA2937	6.88364306076419	6.97250726431014
BA2600	5.11328125236518	7.65632337592004
BA2019	6.63058753997147	7.20635659773546
BA2412	6.07479305709891	6.1201103531002
BA2334	5.69683059962592	7.69160326863138
BA2050	6.89902500194997	7.43138197639579
BA3230	6.6396645832219	6.59203093136997
BA2953	5.27249782330272	7.75921826167611
BA2481	6.14278190987981	6.72582978047913
BA2731	5.43769371500229	7.67233847579442
BA2294	7.27378385953679	7.42415546195164
BA2418	6.13331916927191	7.62320575204897
BA2816	6.35951832125277	7.47416545591404
BA2656	6.23081198982986	7.77444024847
BA2814	6.732801148639	7.04851156959908
BA2631	7.21053357648558	7.07695814218809
BA2023	6.6639864599992	6.9785897904033
BA2375	7.07994856692804	7.02911174492955
BA2485	7.51413414557592	6.72991592484699
BA2455	6.16950493399515	7.79384765019346
BA2025	7.06736498172321	7.07556396699123
BA2636	5.63282770326011	7.45866975783138
BA2325	6.0844698592588	7.62080780455831
BA2169	5.15597615770657	8.11666073243668
BA2156	7.78123623973778	7.00924527251429
BA2511	5.1329891862807	7.47316503302079
BA2939	5.4256501409614	7.90342171341614
BA2168	6.17556084584677	7.79384765019346
BA2505	6.06427837502978	7.65276972214058
BA2860	6.30187774864901	7.13044392794916
BA2707	5.67887021391384	7.96905854853838
BA2871	3.82296440324922	7.73994866868774
BA2655	6.81265459274061	7.67751428719864
BA2227	6.51302546929391	7.86810697410873
BA2125	6.90814621424913	6.96289154217268
BA2523	6.94819581980106	7.19738153999511
BA2603	6.97110220501606	6.6430484484285
BA2808	0.227105256821812	7.95104961478815
BA2282	5.86057748465192	6.50904089235684
BA2482	6.56583781452914	7.10851364264035
BA2812	6.40314188601748	6.51657057172327
BA2822	6.13119942059496	7.24301197621157
BA2594	6.53249965977741	7.33618294917006
BA2747	6.91069984449294	7.1445927897216
BA2561	6.72062167573975	6.37831338727117
BA2567	4.61468245344628	6.73108967735957
BA2906	7.19145743010941	7.24647814947882
BA2956	4.65298561876012	8.51425498508966
BA2474	6.87788091401863	7.02841397070837
BA2737	5.1731127627033	8.27456876079558
BA2110	5.89165055148412	7.01407346260423
BA2992	6.00599295147661	7.88642489400613
BA2220	7.23974353995359	7.28899814708616
BA2772	5.69028030333394	7.73994866868774
BA2935	5.80651617633479	7.5932544466496
BA2260	6.26972531039322	7.31397253852267
BA2676	6.32546109149907	6.45897655908302
BA2948	4.29566916323682	7.66613976188412
BA2524	5.1674510313935	8.52958832512444
BA2811	6.82008128976274	7.64636707538027
BA2540	5.60231976530737	7.72941398094
BA2928	7.62437772428186	6.80787905159787
BA2302	4.46338478207428	8.0760787079227
BA2595	5.64956635618765	7.69666948274062
BA2792	6.54042498941119	6.87084783224833
BA2651	5.03323587286023	7.94145634611773
BA2619	6.36467185423724	7.51413414557592
