#Boxplots d'expressions du gène ASXL1 en fonction de la feature isTransformed
#Résultat du test statistique Mann-Whitney U : U = 23731.500, p-value = 0.002
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2452   FALSE        6.283736
BA2922   FALSE        6.587837
BA2707   FALSE        6.185072
BA2409   FALSE        5.504266
BA2480   FALSE        6.000117
BA2496    TRUE        5.627160
BA3037   FALSE        6.490028
BA2236   FALSE        6.005138
BA2865   FALSE        6.192141
BA2923    TRUE        4.942735
BA2003   FALSE        6.171214
BA2751   FALSE        6.057766
BA3395   FALSE        6.063452
BA2286   FALSE        6.041549
BA2488    TRUE        6.196901
BA3379   FALSE        6.156981
BA2887   FALSE        6.044435
BA2712   FALSE        5.756810
BA2858    TRUE        5.988763
BA2068   FALSE        6.089663
BA2104   FALSE        5.392004
BA3124   FALSE        6.747855
BA2921   FALSE        5.841903
BA2449   FALSE        6.061686
BA2360   FALSE        6.047346
BA2802   FALSE        6.285071
BA2235   FALSE        5.740113
BA3038   FALSE        5.486118
BA3006   FALSE        6.048167
BA2245   FALSE        6.257620
BA2667    TRUE        6.035662
BA2239   FALSE        5.698389
BA2782   FALSE        5.675463
BA2649   FALSE        6.318104
BA2592    TRUE        6.406883
BA2861   FALSE        5.902739
BA2134    TRUE        5.537226
BA2909   FALSE        6.022459
BA2429    TRUE        6.425302
BA2653   FALSE        6.901614
BA2947   FALSE        6.617004
BA2032   FALSE        6.056922
BA2162   FALSE        5.923147
BA2564   FALSE        5.686097
BA2597    TRUE        6.086663
BA3243   FALSE        6.034043
BA2106   FALSE        5.943920
BA2939   FALSE        5.774093
BA2427   FALSE        6.461362
BA2841   FALSE        6.456483
BA2446   FALSE        5.876948
BA2025   FALSE        5.796034
BA2645   FALSE        6.387388
BA2525   FALSE        7.406090
BA2876   FALSE        6.598388
BA2357   FALSE        6.536955
BA2546   FALSE        5.704524
BA2742   FALSE        5.610641
BA2316   FALSE        5.772579
BA2421   FALSE        5.838009
BA2087   FALSE        5.724804
BA2910   FALSE        6.008009
BA2148   FALSE        6.333683
BA2329   FALSE        5.788565
BA2677   FALSE        5.976485
BA3178   FALSE        5.513457
BA2072   FALSE        5.707576
BA3029   FALSE        6.002619
BA2735   FALSE        6.259453
BA2733   FALSE        6.068855
BA2995   FALSE        6.959603
BA2069   FALSE        6.003921
BA2100    TRUE        6.110395
BA2953    TRUE        6.339185
BA2681    TRUE        5.649931
BA2248   FALSE        5.925135
BA2832    TRUE        6.189502
BA2308   FALSE        6.176416
BA2413   FALSE        6.215397
BA2701   FALSE        5.578958
BA2634   FALSE        5.890481
BA2937    TRUE        5.869402
BA2600   FALSE        5.608414
BA2019   FALSE        6.158350
BA2412   FALSE        5.601562
BA2334   FALSE        6.112940
BA2050   FALSE        6.102773
BA3230   FALSE        5.959386
BA2481   FALSE        6.104974
BA2731   FALSE        5.407026
BA2418   FALSE        5.828196
BA2294   FALSE        6.307407
BA2816   FALSE        6.349231
BA2814   FALSE        5.406259
BA2631   FALSE        6.026987
BA2023   FALSE        5.647272
BA2375    TRUE        5.978121
BA2485   FALSE        6.443242
BA2455   FALSE        5.555868
BA2636    TRUE        5.803766
BA2325   FALSE        5.621162
BA2169    TRUE        6.580287
BA2156   FALSE        6.286421
BA2511   FALSE        6.644117
BA2168   FALSE        6.068855
BA2505   FALSE        5.992737
BA2860   FALSE        5.016315
BA2871   FALSE        5.040682
BA2655   FALSE        6.194380
BA2227   FALSE        6.068013
BA2812   FALSE        5.862524
BA2125   FALSE        6.189050
BA2603   FALSE        5.928753
BA2808   FALSE        6.249128
BA2282   FALSE        5.835609
BA2482   FALSE        5.696461
BA2822   FALSE        6.366009
BA2594   FALSE        5.797580
BA2747   FALSE        5.992306
BA2561   FALSE        5.875807
BA2094   FALSE        5.565961
BA2567   FALSE        6.669439
BA2906   FALSE        6.039384
BA2956   FALSE        6.166520
BA2474   FALSE        5.996458
BA2065   FALSE        6.265176
BA2737   FALSE        5.720614
BA2463   FALSE        5.757194
BA2110   FALSE        5.608414
BA2992   FALSE        5.944313
BA2220   FALSE        6.196470
