#Boxplots d'expressions du gène NRAS en fonction de la feature priorMDSMoreThanTwoMths
#Résultat du test statistique Mann-Whitney U : U = 13972.500, p-value = 0.031
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2452       n        7.319378
BA2922       n        7.033358
BA2707       n        7.969059
BA2409       n        6.668885
BA2480       n        7.187317
BA2496       n        6.878473
BA3037       n        7.811011
BA2236       n        6.979261
BA2172       n        7.484907
BA2865       n        7.046351
BA2923       n        6.985540
BA2003       n        8.176256
BA2751       n        6.772460
BA3395       n        6.907540
BA2286       n        7.330738
BA2488       n        7.240538
BA3379       n        7.000110
BA2887       n        7.418896
BA2712       n        7.505393
BA2858       y        7.492562
BA2068       n        7.491461
BA2104       n        7.449514
BA3124       n        6.575608
BA2921       n        7.789593
BA2449       n        8.061478
BA2360       n        6.815128
BA2802       n        7.456700
BA2235       n        7.046351
BA3038       n        6.892453
BA3006       n        6.739832
BA2245       n        7.150786
BA2667       n        6.659581
BA2239       n        6.673925
BA2782       n        6.708095
BA2649       n        7.278988
BA2592       y        7.692883
BA2861       n        7.121894
BA2134       n        6.794046
BA2909       n        6.827939
BA2429       y        6.646312
BA2653       n        7.600445
BA2947       n        7.431382
BA2032       n        8.011216
BA2162       n        6.402641
BA2564       n        7.183986
BA2597       y        8.129779
BA3243       n        6.999254
BA2106       n        7.980674
BA2939       n        7.903422
BA2427       n        8.611512
BA2841       n        8.042425
BA2446       n        6.912654
BA2025       n        7.075564
BA2645       n        8.259748
BA2525       n        7.203867
BA2876       n        7.772952
BA2357       n        7.079949
BA2546       n        6.981380
BA2742       n        6.897781
BA2316       n        6.820662
BA2421       n        7.568961
BA2087       n        8.164358
BA2910       n        8.006191
BA2148       n        8.087011
BA2329       n        6.772460
BA2677       n        7.034743
BA3178       n        6.923699
BA2072       n        6.984837
BA3029       n        8.270317
BA2735       n        6.577207
BA2733       n        8.238868
BA2995       n        8.459411
BA2069       n        6.794638
BA2100       y        7.242184
BA2953       y        7.759218
BA2681       n        6.895111
BA2248       n        7.904906
