#Boxplots d'expressions du gène STAG2 en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 4.155, p-value = 0.002
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2409       NonMut        7.016137
   BA3037       NonMut        7.137564
   BA2496       NonMut        7.001462
   BA2172       NonMut        6.878473
   BA2865       NonMut        7.257903
   BA2923       NonMut        6.397385
   BA2751       NonMut        7.451671
   BA2480       NonMut        6.919182
   BA2286       NonMut        7.445445
   BA2922       NonMut        7.167222
   BA2452       NonMut        6.902269
   BA3379       NonMut        7.481635
   BA2887       NonMut        7.179997
   BA2712       NonMut        6.619251
   BA2068       NonMut        6.919182
   BA2236       NonMut        7.166329
   BA2104       NonMut        6.528892
   BA3124       NonMut        6.900321
   BA3395       NonMut        7.235566
   BA2921       NonMut        6.887422
   BA2449       NonMut        7.507524
   BA2003       NonMut        6.320815
   BA2360       NonMut        7.055705
   BA2802       NonMut        7.147647
   BA2235       NonMut        7.304963
   BA2858       NonMut        7.107711
   BA3038       NonMut        6.973186
   BA3006       NonMut        6.757163
   BA2245       NonMut        7.591012
   BA2667       NonMut        7.370029
   BA2239       NonMut        7.004906
   BA2782       NonMut        6.902968
   BA2649       NonMut        7.134335
   BA2488       NonMut        7.663696
   BA2861       NonMut        7.128891
   BA2909       NonMut        7.153278
   BA2429       NonMut        7.403056
   BA2653       NonMut        6.918549
   BA2134       NonMut        6.886764
   BA2947       NonMut        6.830873
   BA2032       NonMut        7.103806
   BA2162       NonMut        7.139172
   BA2564       NonMut        6.792869
   BA2597       NonMut        7.119658
   BA3243       NonMut        7.321216
   BA2106       NonMut        6.642471
   BA2427       NonMut        6.986216
   BA2841       NonMut        6.876524
   BA2446       NonMut        6.961567
   BA2645       NonMut        6.576136
   BA2525       NonMut        6.928331
   BA2876       NonMut        6.931529
   BA2357       NonMut        6.501525
   BA2546       NonMut        7.081484
   BA2742       NonMut        7.161327
   BA2316       NonMut        7.021254
   BA2421       NonMut        7.371035
   BA2087       NonMut        7.012009
   BA2910       NonMut        7.342780
   BA2148       NonMut        6.985540
   BA2063       NonMut        7.079199
   BA2329       NonMut        6.869035
   BA3178       NonMut        6.776057
   BA2072       NonMut        6.869653
   BA3029       NonMut        6.712685
   BA2733       NonMut        7.002886
   BA2995       NonMut        6.989581
   BA2069       NonMut        6.888021
   BA2100       NonMut        6.916655
   BA2681       NonMut        7.405106
   BA2248       NonMut        6.462861
   BA2832       NonMut        7.259767
   BA2308       NonMut        6.750740
   BA2413       NonMut        6.514504
   BA2701       NonMut        6.567397
   BA2634       NonMut        6.299179
   BA2677       NonMut        6.738658
   BA2937       NonMut        7.200736
   BA2600       NonMut        6.593112
   BA2019       NonMut        7.160451
   BA2412       NonMut        7.125056
   BA2334       NonMut        6.666200
   BA2050       NonMut        6.812039
   BA3230       NonMut        7.261503
   BA2953       NonMut        6.704761
   BA2481       NonMut        6.869653
   BA2731       NonMut        6.385992
   BA2294       NonMut        7.163923
   BA2418       NonMut        6.352110
   BA2816       NonMut        6.531455
   BA2656       NonMut        6.336008
   BA2814       NonMut        6.746126
   BA2631       NonMut        7.203088
   BA2023       NonMut        6.442273
   BA2375       NonMut        7.069561
   BA2485       NonMut        6.892453
   BA2455       NonMut        6.602650
   BA2025       NonMut        7.002180
   BA2325       NonMut        6.603159
   BA2169       NonMut        6.952775
   BA2156       NonMut        7.488154
   BA2511       NonMut        6.736925
   BA2939       NonMut        6.404547
   BA2168       NonMut        6.214542
   BA2505       NonMut        6.621369
   BA2860       NonMut        7.053627
   BA2707       NonMut        6.536955
   BA2871       NonMut        6.799900
   BA2655       NonMut        7.132827
   BA2227       NonMut        5.736271
   BA2125       NonMut        7.352990
   BA2523       NonMut        6.982756
   BA2603       NonMut        7.366237
   BA2808       NonMut        6.853359
   BA2282       NonMut        6.814536
   BA2482       NonMut        7.196432
   BA2812       NonMut        6.349686
   BA2822       NonMut        7.371985
   BA2594       NonMut        7.185564
   BA2747       NonMut        6.545538
   BA2561       NonMut        6.301878
   BA2567       NonMut        7.154055
   BA2906       NonMut        7.541912
   BA2956       NonMut        6.967716
   BA2474       NonMut        7.177617
   BA2737       NonMut        6.982756
   BA2110       NonMut        7.097104
   BA2992       NonMut        7.295991
   BA2220       NonMut        7.188129
   BA2772       NonMut        7.194824
   BA2935       NonMut        6.813949
   BA2260       NonMut        6.584055
   BA2676       NonMut        7.165478
   BA2948       NonMut        7.084401
   BA2524       NonMut        6.945568
   BA2811       NonMut        7.222942
   BA2540       NonMut        6.941609
   BA2928       NonMut        6.904925
   BA2302       NonMut        7.071808
   BA2595       NonMut        6.538413
   BA2792       NonMut        6.993776
   BA2651       NonMut        7.571312
   BA2619       NonMut        8.198116
   BA3013       NonMut        6.870848
   BA2405       NonMut        6.412270
   BA2735       NonMut        6.831511
   BA2856       NonMut        7.340820
   BA2377       NonMut        7.135966
   BA2499       NonMut        5.941398
   BA2463       NonMut        6.716102
   BA3023       NonMut        7.409002
   BA2095       NonMut        7.150786
   BA2901       NonMut        7.114403
   BA2275       NonMut        7.391391
   BA2387       NonMut        7.131215
   BA2962       NonMut        6.946889
   BA2195       NonMut        7.059425
   BA2688       NonMut        7.382575
   BA2787       NonMut        7.109255
   BA2420       NonMut        7.475250
   BA2756       NonMut        7.236365
   BA2122       NonMut        7.286229
   BA2053       NonMut        7.085982
   BA2080       NonMut        6.408778
   BA2081       NonMut        6.977949
   BA2354       NonMut        7.297771
   BA3273       NonMut        6.879121
   BA2893       NonMut        6.802992
   BA2044       NonMut        7.071036
   BA2309       NonMut        7.203867
   BA2720       NonMut        7.433305
   BA2908       NonMut        7.865198
   BA2054       NonMut        6.921747
   BA2872       NonMut        7.268510
   BA2526       NonMut        6.534481
   BA2041       NonMut        7.373963
   BA2464       NonMut        7.420904
   BA2902       NonMut        6.354893
