#Résultats bruts de l'abondance de mutation du gène ASXL1 selon la feature manuscript_inhibitor, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.507570 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression manuscript_inhibitor
 70.206897 7.355166e+09              9.545250                   no
 12.142857 6.960387e+09              1.744566                   no
 27.793103 1.003396e+10              2.769903                  yes
 22.448276 5.843420e+09              3.841633                   no
 13.896552 8.656098e+09              1.605406                  yes
 27.793103 8.292092e+09              3.351760                  yes
 37.413793 1.150527e+10              3.251882                  yes
 25.655172 1.269887e+10              2.020273                  yes
 63.153846 8.174919e+09              7.725317                  yes
 29.931034 1.182556e+10              2.531047                  yes
103.896552 8.712778e+09             11.924619                  yes
 79.103448 6.993952e+09             11.310264                  yes
 18.259259 8.579029e+09              2.128360                  yes
 37.620690 1.071946e+10              3.509571                  yes
 69.172414 6.701910e+09             10.321298                   no
 30.034483 8.673760e+09              3.462683                   no
 52.482759 7.421624e+09              7.071600                  yes
 69.482759 1.047339e+10              6.634219                  yes
 93.551724 7.030049e+09             13.307407                  yes
 83.931034 6.675530e+09             12.572939                   no
121.068966 6.424575e+09             18.844666                  yes
136.965517 8.857558e+09             15.463124                  yes
 59.896552 6.313854e+09              9.486528                   no
119.103448 8.864826e+09             13.435509                   no
103.241379 6.623305e+09             15.587593                  yes
106.000000 6.930774e+09             15.294108                  yes
 92.517241 6.552646e+09             14.119065                  yes
 76.413793 7.166337e+09             10.662881                   no
146.896552 1.260141e+10             11.657153                  yes
 95.137931 6.517612e+09             14.597054                   no
 48.827586 1.279018e+10              3.817585                  yes
 82.000000 1.081995e+10              7.578595                  yes
 56.655172 6.861597e+09              8.256850                  yes
 94.724138 6.835010e+09             13.858669                   no
