#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature priorMDS, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.002576 avec le test Mann-Whitney
 Abundance   TotalKmers  NormalizedExpression priorMDS
 22.448276 8.352852e+09              2.687498        n
 77.586207 4.643957e+09             16.706919        n
376.275862 9.789722e+09             38.435808        y
516.620690 8.747321e+09             59.060449        n
125.482759 6.058733e+09             20.711057        n
 52.620690 7.093041e+09              7.418636        y
 17.724138 9.354307e+09              1.894757        y
 76.655172 7.188095e+09             10.664185        n
309.379310 8.617071e+09             35.903069        n
260.551724 1.207313e+10             21.581119        n
 84.448276 9.109860e+09              9.269986        n
320.275862 9.745327e+09             32.864556        n
411.862069 5.350324e+09             76.978908        n
 14.037037 7.646813e+09              1.835672        n
 37.517241 7.974097e+09              4.704889        n
 40.827586 7.839564e+09              5.207890        n
 80.551724 6.065394e+09             13.280543        n
 94.896552 9.697777e+09              9.785392        n
 12.727273 8.909130e+09              1.428565        y
135.827586 1.126770e+10             12.054593        n
124.896552 1.130116e+10             11.051659        n
 46.689655 1.173747e+10              3.977828        n
 45.931034 5.786196e+09              7.938037        n
 19.551724 1.072766e+10              1.822552        n
 65.793103 8.923147e+09              7.373307        n
107.344828 7.232959e+09             14.841067        n
 24.586207 6.109573e+09              4.024210        y
 16.517241 9.682106e+09              1.705955        y
170.137931 9.651607e+09             17.627939        n
 18.000000 9.835948e+09              1.830022        n
157.655172 6.065394e+09             25.992569        n
374.000000 9.789722e+09             38.203334        y
 34.206897 8.141680e+09              4.201454        n
612.931034 1.098682e+10             55.787868        n
375.689655 8.693196e+09             43.216518        n
 79.275862 6.204715e+09             12.776712        n
212.206897 1.086433e+10             19.532437        n
315.206897 6.572317e+09             47.959780        n
 44.896552 9.682106e+09              4.637064        y
105.448276 7.970342e+09             13.230081        n
 95.896552 6.907665e+09             13.882630        n
145.965517 6.829888e+09             21.371583        n
 23.517241 8.350758e+09              2.816180        n
191.827586 9.483174e+09             20.228205        n
 22.448276 1.192939e+10              1.881763        n
 46.758621 8.977505e+09              5.208420        n
 40.620690 7.030049e+09              5.778151        n
 23.517241 8.531157e+09              2.756630        n
 44.586207 8.812339e+09              5.059520        n
642.586207 1.182556e+10             54.338770        n
 59.241379 7.467501e+09              7.933227        n
209.517241 6.916062e+09             30.294297        n
183.103448 5.751399e+09             31.836332        n
230.241379 5.850998e+09             39.350790        n
 83.413793 9.492673e+09              8.787176        n
 66.379310 5.578305e+09             11.899549        n
182.758621 1.143744e+10             15.978983        y
 67.448276 5.986453e+09             11.266818        n
321.655172 5.860219e+09             54.887911        n
225.206897 1.458903e+10             15.436727        n
 50.896552 7.965646e+09              6.389507        n
 70.379310 8.340798e+09              8.437959        n
 55.586207 5.411534e+09             10.271802        n
 22.068966 8.011331e+09              2.754719        n
 37.413793 6.152350e+09              6.081220        n
404.655172 8.617071e+09             46.959710        n
181.793103 8.579946e+09             21.188140        n
161.000000 7.958003e+09             20.231207        n
440.172414 9.070957e+09             48.525464        n
255.275862 7.232959e+09             35.293422        n
115.206897 5.670167e+09             20.318077        n
 91.517241 8.731695e+09             10.481040        n
149.517241 6.124994e+09             24.411003        n
205.241379 7.132607e+09             28.775086        n
107.965517 7.355166e+09             14.678870        n
155.965517 9.344986e+09             16.689754        n
282.275862 1.003396e+10             28.132044        n
717.275862 1.428796e+10             50.201420        n
 25.655172 6.109573e+09              4.199176        y
183.827586 6.639299e+09             27.687801        n
107.965517 4.588512e+09             23.529526        n
437.724138 8.749191e+09             50.030243        n
103.482759 9.008421e+09             11.487336        y
348.448276 7.588827e+09             45.915960        n
320.862069 5.350324e+09             59.970591        n
273.827586 1.419232e+10             19.294064        n
302.137931 1.234512e+10             24.474280        n
 47.034483 9.053483e+09              5.195181        y
 39.275862 7.814987e+09              5.025711        n
377.862069 9.414387e+09             40.136663        n
251.137931 6.590222e+09             38.107661        n
189.793103 6.142994e+09             30.895863        n
 63.068966 6.968782e+09              9.050213        n
250.413793 8.745010e+09             28.635049        n
 96.206897 7.974097e+09             12.064926        n
232.000000 1.207313e+10             19.216222        n
110.137931 6.675530e+09             16.498754        n
199.758621 6.443114e+09             31.003427        n
269.793103 8.101218e+09             33.302784        n
141.758621 7.267595e+09             19.505574        n
221.862069 8.933638e+09             24.834459        n
 65.275862 9.470333e+09              6.892668        n
 45.965517 9.250500e+09              4.968976        n
 12.827586 7.196731e+09              1.782419        n
149.655172 6.171712e+09             24.248568        n
146.896552 8.486195e+09             17.310062        n
132.068966 7.871317e+09             16.778510        n
 79.206897 8.495132e+09              9.323799        n
 86.034483 5.633341e+09             15.272374        n
133.931034 8.510533e+09             15.737092        n
110.724138 5.835413e+09             18.974515        n
187.103448 7.031968e+09             26.607552        n
 24.034483 7.859985e+09              3.057828        n
231.344828 8.873211e+09             26.072279        n
 28.137931 9.429462e+09              2.984044        n
500.965517 9.177622e+09             54.585549        n
210.379310 7.726760e+09             27.227363        n
313.482759 1.422772e+10             22.033242        n
 35.034483 9.399235e+09              3.727376        n
325.758621 6.832622e+09             47.676953        n
109.000000 6.861597e+09             15.885516        n
236.344828 1.369088e+10             17.262937        n
141.448276 8.054348e+09             17.561728        n
 39.551724 4.867079e+09              8.126379        n
309.931034 6.550759e+09             47.312235        n
 65.310345 9.689788e+09              6.740121        n
898.931034 1.074916e+10             83.628049        n
284.413793 5.989376e+09             47.486378        n
142.310345 7.188095e+09             19.798061        n
 48.931034 6.490190e+09              7.539230        n
645.620690 9.789722e+09             65.948830        y
251.758621 8.496488e+09             29.630905        n
246.275862 7.182719e+09             34.287276        n
 52.379310 9.170928e+09              5.711451        n
645.448276 8.712778e+09             74.080656        n
