#Boxplots d'expressions du gène CEBPA en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 4.768, p-value = 0.00003
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        0.027728
BA2496       1        0.018012
BA3037       1        0.026983
BA2865       1        0.039175
BA2751       1        0.013977
BA2055       1        0.010548
BA2286       1        0.036585
BA2488       1        0.040275
BA3379       1        0.008198
BA2887       1        0.021983
BA2712       2        0.033610
BA2068       2        0.052763
BA2104       1        0.035650
BA3124       1        0.005067
BA2449       1        0.000848
BA2235       1        0.026854
BA3038       1        0.010857
BA3006       3        0.022730
BA2667       1        0.013286
BA2239       1        0.022287
BA2782       3        0.018166
BA2649       1        0.032294
BA2861       1        0.076321
BA2134       1        0.023254
BA2909       1        0.009541
BA2653       1        0.002147
BA2947       1        0.007828
BA2162       1        0.013326
BA2564       1        0.017959
BA3043       1        0.017632
BA2597       4        0.001118
BA3243       2        0.021387
BA2446       1        0.028646
BA2525       4        0.001428
BA2876       4        0.011097
BA2357       2        0.006236
BA2546       1        0.018681
BA2742       1        0.017301
BA2316       1        0.022094
BA2087       2        0.040302
BA2148       2        0.003889
BA3178       3        0.036310
BA2072       1        0.018598
BA2733       2        0.014465
BA2995       2        0.012073
BA2069       1        0.038411
BA2681       3        0.013254
BA2832       2        0.021136
BA2600       4        0.010925
BA3230       1        0.011790
BA2731       2        0.036041
BA2294       4        0.013594
BA2816       4        0.008145
BA2814       3        0.040036
BA2631       1        0.034553
BA2023       1        0.040872
BA2375       1        0.009535
BA2485       1        0.057084
BA2455       4        0.027229
BA2636       4        0.011980
BA2325       1        0.024195
BA2156       1        0.128204
BA2511       4        0.004049
BA2505       4        0.020173
BA2871       3        0.008915
BA2227       1        0.009610
BA2812       3        0.016760
BA2125       1        0.012852
BA2603       1        0.018030
BA2808       4        0.024838
BA2482       1        0.008567
BA2594       1        0.014721
BA2747       4        0.035676
BA2561       3        0.070413
BA2567       3        0.003063
BA2906       1        0.011636
BA2956       2        0.004253
BA2474       1        0.013281
BA2737       2        0.056562
BA2006       2        0.006139
BA2110       1        0.019725
BA2915       4        0.005997
BA2992       4        0.009355
BA2220       1        0.006179
BA2063       2        0.001898
BA2772       2        0.030161
BA2935       4        0.018003
BA2260       3        0.020316
BA2948       3        0.009037
BA3296       1        0.018929
BA2524       4        0.016356
BA2811       1        0.030871
BA2540       4        0.015704
BA2928       1        0.039218
BA2302       4        0.018592
BA2651       4        0.017609
BA2619       1        0.036015
BA3013       4        0.019584
BA2405       3        0.002397
BA2856       3        0.010071
BA2377       2        0.035594
BA2499       2        0.013226
BA2350       2        0.015666
BA3023       4        0.006864
BA2095       1        0.043540
BA2275       1        0.025966
BA2901       2        0.022180
BA2387       1        0.058691
BA2962       1        0.020599
BA2195       4        0.015979
BA2688       2        0.004593
BA2420       1        0.021950
BA2053       2        0.011951
BA2081       1        0.025660
BA2354       1        0.011967
BA3273       2        0.006701
BA2893       3        0.042132
BA2044       1        0.019476
BA2489       2        0.010128
BA2908       1        0.019255
BA2054       3        0.018054
BA2872       1        0.012910
BA2041       2        0.010473
BA2464       1        0.026099
BA2902       4        0.026082
BA2541       1        0.021138
BA2843       4        0.001446
BA2497       1        0.025431
BA2718       1        0.093907
BA2575       1        0.019360
BA2593       3        0.023411
BA2791       2        0.025974
BA2620       1        0.017064
BA2629       1        0.011633
BA2870       1        0.034057
BA2682       4        0.028668
BA2276       2        0.011886
BA2709       2        0.009865
BA2789       1        0.055506
BA2538       2        0.002365
BA2583       5        0.025902
BA2806       2        0.038549
BA2441       1        0.008542
BA2514       2        0.008475
BA2520       5        0.002738
BA2479       5        0.003044
BA2281       1        0.035677
BA2932       1        0.023564
BA2123       2        0.011095
BA2844       2        0.024110
BA2660       1        0.022119
BA2836       2        0.038045
BA2714       1        0.033417
BA2440       5        0.015281
BA2036       3        0.089060
BA2828       1        0.009521
BA2952       1        0.062659
BA2410       2        0.040462
BA2139       3        0.028576
BA2051       5        0.011053
BA2532       2        0.027578
BA2494       5        0.002086
BA2748       1        0.105191
BA2622       1        0.016255
BA2970       2        0.009361
BA2839       2        0.047104
BA2868       3        0.124556
BA3011       1        0.019240
BA2052       2        0.003293
BA2510       5        0.026411
BA2691       1        0.010194
BA2374       1        0.055942
BA2804       5        0.046529
BA2675       1        0.045172
BA2031       1        0.019944
BA2198       3        0.023141
BA2066       1        0.024898
BA2344       3        0.014602
BA2459       2        0.003610
BA2229       5        0.015166
BA2559       5        0.022369
