#Boxplots d'expressions du gène CEBPA en fonction de la feature isTransformed
#Résultat du test statistique ANOVA : F = 6.434, p-value = 0.00176
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409   FALSE        4.282872
BA2496    TRUE        4.239335
BA3037   FALSE        4.900135
BA2865   FALSE        4.170583
BA2751   FALSE        2.585065
BA2286   FALSE        4.748152
BA2488    TRUE        4.692932
BA3379   FALSE        2.077033
BA2887   FALSE        4.021227
BA2712   FALSE        4.152677
BA2068   FALSE        5.780399
BA2104   FALSE        5.134053
BA3124   FALSE        1.476381
BA2449   FALSE        1.026255
BA2235   FALSE        3.829117
BA3038   FALSE        2.927858
BA3006   FALSE        3.829561
BA2667    TRUE        3.185392
BA2239   FALSE        3.873158
BA2782   FALSE        3.204027
BA2649   FALSE        4.095948
BA2861   FALSE        5.827812
BA2134    TRUE        3.978774
BA2909   FALSE        2.719360
BA2653   FALSE       -0.955020
BA2947   FALSE        1.886115
BA2162   FALSE        2.780778
BA2564   FALSE        3.772972
BA2597    TRUE       -0.553699
BA3243   FALSE        2.788864
BA2446   FALSE        3.866258
BA2525   FALSE        1.113274
BA2876   FALSE        2.785099
BA2357   FALSE        2.544774
BA2546   FALSE        3.618965
BA2742   FALSE        2.967563
BA2316   FALSE        3.409845
BA2087   FALSE        4.764239
BA2148   FALSE        2.398132
BA3178   FALSE        4.101167
BA2072   FALSE        3.355943
BA2733   FALSE        4.054813
BA2995   FALSE        3.295393
BA2069   FALSE        4.170980
BA2681    TRUE        2.156454
BA2832    TRUE        3.494987
BA2600   FALSE        2.358629
BA3230   FALSE        1.778521
BA2731   FALSE        4.661169
BA2294   FALSE        2.843610
BA2816   FALSE        2.292744
BA2814   FALSE        4.647671
BA2631   FALSE        4.375263
BA2023   FALSE        4.364221
BA2375    TRUE        1.742355
BA2485   FALSE        5.023440
BA2455   FALSE        3.997503
BA2636    TRUE        2.376966
BA2325   FALSE        4.142911
BA2156   FALSE        7.076261
BA2511   FALSE        1.809225
BA2505   FALSE        3.117240
BA2871   FALSE        2.678955
BA2227   FALSE        2.328853
BA2812   FALSE        3.743124
BA2125   FALSE        2.020939
BA2603   FALSE        2.943017
BA2808   FALSE        4.114677
BA2482   FALSE        2.427321
BA2594   FALSE        2.791320
BA2747   FALSE        4.244676
BA2561   FALSE        5.488344
BA2567   FALSE        1.050250
BA2906   FALSE        3.099799
BA2956   FALSE        2.482581
BA2474   FALSE        2.373440
BA2737   FALSE        5.573386
BA2110   FALSE        3.674514
BA2992   FALSE        3.241815
BA2220   FALSE        2.315860
BA2063   FALSE        1.650337
BA2772   FALSE        3.995023
BA2935   FALSE        3.901783
BA2260   FALSE        3.677227
BA2948    TRUE        2.567931
BA3296   FALSE        3.278044
BA2524   FALSE        3.314149
BA2811   FALSE        3.756626
BA2540   FALSE        3.254148
BA2928   FALSE        4.570145
BA2302   FALSE        4.201727
BA2651   FALSE        3.761947
BA2619   FALSE        4.041884
BA3013   FALSE        3.413989
BA2405   FALSE        1.171341
BA2856   FALSE        3.796356
BA2377   FALSE        4.768863
BA2499    TRUE        3.495484
BA3023   FALSE        2.477099
BA2095   FALSE        4.438942
BA2275   FALSE        3.703481
BA2901   FALSE        4.253021
BA2387   FALSE        4.865709
BA2962   FALSE        3.755753
BA2195    TRUE        3.052599
BA2688   FALSE        1.648368
BA2420   FALSE        3.477403
BA2053   FALSE        3.439006
BA2081   FALSE        3.573748
BA2354   FALSE        2.876171
BA3273   FALSE        3.588437
BA2893   FALSE        5.046589
BA2044   FALSE        3.193566
BA2489    TRUE        3.524704
BA2908   FALSE        3.655018
BA2054   FALSE        3.143353
BA2872   FALSE        2.553926
BA2041   FALSE        2.713619
BA2464   FALSE        3.795526
BA2902    TRUE        4.388170
BA2541   FALSE        2.919588
BA2843   FALSE        0.890279
BA2497   FALSE        3.880783
BA2718   FALSE        6.295033
BA2575   FALSE        3.744920
BA2593   FALSE        0.734434
BA2791   FALSE        3.827749
BA2620   FALSE        2.759825
BA2629   FALSE        2.542187
BA2870    TRUE        4.000364
BA2682   FALSE        3.633583
BA2276   FALSE        3.006071
BA2709   FALSE        3.119439
BA2789   FALSE        4.993189
BA2538   FALSE        1.181186
BA2583    TRUE        3.421081
BA2806   FALSE        4.142515
BA2441    TRUE        1.804739
BA2514   FALSE        2.341651
BA2520   FALSE        0.506007
BA2479   FALSE        1.307417
BA2281   FALSE        3.192001
BA2932   FALSE        3.029933
BA2123   FALSE        2.367694
BA2844   FALSE        4.366447
BA2660   FALSE        2.879839
BA2836   FALSE        4.241583
BA2714   FALSE        3.355943
BA2440   FALSE        2.295730
BA2036   FALSE        5.710629
BA2828   FALSE        1.909557
BA2952   FALSE        4.777013
BA2410   FALSE        4.412039
BA2139   FALSE        4.157010
BA2051   FALSE        3.084249
BA2532   FALSE        4.192187
BA2494    TRUE        0.240701
BA2748   FALSE        6.096002
BA2622   FALSE        2.897153
BA2970    TRUE        1.706040
BA2839    TRUE        4.810254
BA2868   FALSE        5.979708
BA3011   FALSE        3.689458
BA2052   FALSE        1.240437
BA2510   FALSE        3.510085
BA2691   FALSE        2.253714
BA2374   FALSE        4.364592
BA2804    TRUE        5.334341
BA2675   FALSE        4.325247
BA2031   FALSE        3.238586
BA2198   FALSE        2.969797
BA2066   FALSE        3.540231
BA2344   FALSE        2.551945
BA2459   FALSE        2.076283
BA2229    TRUE        2.995606
BA2559   FALSE        4.044777
