#Boxplots d'expressions du gène CEBPA en fonction de la feature manuscript_inhibitor
#Résultat du test statistique Mann-Whitney : U = 23005.000, p-value = 0.02252
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409     yes        0.027728
BA2496     yes        0.018012
BA3037     yes        0.026983
BA2865     yes        0.039175
BA2751     yes        0.013977
BA2055     yes        0.010548
BA2286     yes        0.036585
BA2488     yes        0.040275
BA3379     yes        0.008198
BA2887     yes        0.021983
BA2712      no        0.033610
BA2068     yes        0.052763
BA2104      no        0.035650
BA3124      no        0.005067
BA2449     yes        0.000848
BA2235     yes        0.026854
BA3038     yes        0.010857
BA3006     yes        0.022730
BA2667     yes        0.013286
BA2239     yes        0.022287
BA2782      no        0.018166
BA2649     yes        0.032294
BA2861     yes        0.076321
BA2134      no        0.023254
BA2909     yes        0.009541
BA2653      no        0.002147
BA2947     yes        0.007828
BA2162      no        0.013326
BA2564      no        0.017959
BA3043      no        0.017632
BA2597     yes        0.001118
BA3243     yes        0.021387
BA2446     yes        0.028646
BA2525     yes        0.001428
BA2876      no        0.011097
BA2357     yes        0.006236
BA2546     yes        0.018681
BA2742     yes        0.017301
BA2316      no        0.022094
BA2087     yes        0.040302
BA2148     yes        0.003889
BA3178      no        0.036310
BA2072     yes        0.018598
BA2733      no        0.014465
BA2995     yes        0.012073
BA2069     yes        0.038411
BA2681      no        0.013254
BA2832     yes        0.021136
BA2600      no        0.010925
BA3230     yes        0.011790
BA2731     yes        0.036041
BA2294     yes        0.013594
BA2816      no        0.008145
BA2814     yes        0.040036
BA2631     yes        0.034553
BA2023      no        0.040872
BA2375      no        0.009535
BA2485      no        0.057084
BA2455      no        0.027229
BA2636     yes        0.011980
BA2325      no        0.024195
BA2156     yes        0.128204
BA2511     yes        0.004049
BA2505      no        0.020173
BA2871      no        0.008915
BA2227      no        0.009610
BA2812     yes        0.016760
BA2125      no        0.012852
BA2603     yes        0.018030
BA2808      no        0.024838
BA2482      no        0.008567
BA2594     yes        0.014721
BA2747     yes        0.035676
BA2561      no        0.070413
BA2567      no        0.003063
BA2906      no        0.011636
BA2956     yes        0.004253
BA2474     yes        0.013281
BA2737     yes        0.056562
BA2006     yes        0.006139
BA2110     yes        0.019725
BA2915      no        0.005997
BA2992     yes        0.009355
BA2220     yes        0.006179
BA2063      no        0.001898
BA2772      no        0.030161
BA2935      no        0.018003
BA2260     yes        0.020316
BA2948      no        0.009037
BA3296     yes        0.018929
BA2524     yes        0.016356
BA2811      no        0.030871
BA2540     yes        0.015704
BA2928      no        0.039218
BA2302     yes        0.018592
BA2651     yes        0.017609
BA2619      no        0.036015
BA3013      no        0.019584
BA2405      no        0.002397
BA2856      no        0.010071
BA2377     yes        0.035594
BA2499     yes        0.013226
BA2350     yes        0.015666
BA3023      no        0.006864
BA2095     yes        0.043540
BA2275      no        0.025966
BA2901     yes        0.022180
BA2387     yes        0.058691
BA2962     yes        0.020599
BA2195     yes        0.015979
BA2688      no        0.004593
BA2420      no        0.021950
BA2053     yes        0.011951
BA2081      no        0.025660
BA2354     yes        0.011967
BA3273     yes        0.006701
BA2893     yes        0.042132
BA2044      no        0.019476
BA2489     yes        0.010128
BA2908      no        0.019255
BA2054      no        0.018054
BA2872     yes        0.012910
BA2041      no        0.010473
BA2464      no        0.026099
