#Boxplots d'expressions du gène CEBPA en fonction de la feature totalDrug
#Résultat du test statistique Mann-Whitney : U = 20444.500, p-value = 0.03499
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       y        4.282872
BA2496       y        4.239335
BA3037       y        4.900135
BA2865       y        4.170583
BA2751       y        2.585065
BA2286       y        4.748152
BA2488       y        4.692932
BA3379       y        2.077033
BA2887       y        4.021227
BA2712       y        4.152677
BA2068       y        5.780399
BA2104       y        5.134053
BA3124       n        1.476381
BA2449       y        1.026255
BA2235       y        3.829117
BA3038       y        2.927858
BA3006       y        3.829561
BA2667       y        3.185392
BA2239       y        3.873158
BA2782       n        3.204027
BA2649       y        4.095948
BA2861       y        5.827812
BA2134       y        3.978774
BA2909       y        2.719360
BA2653       n       -0.955020
BA2947       y        1.886115
BA2162       y        2.780778
BA2564       n        3.772972
BA2597       y       -0.553699
BA3243       y        2.788864
BA2446       y        3.866258
BA2525       y        1.113274
BA2876       n        2.785099
BA2357       y        2.544774
BA2546       y        3.618965
BA2742       y        2.967563
BA2316       n        3.409845
BA2087       y        4.764239
BA2148       y        2.398132
BA3178       n        4.101167
BA2072       y        3.355943
BA2733       n        4.054813
BA2995       y        3.295393
BA2069       y        4.170980
BA2681       n        2.156454
BA2832       y        3.494987
BA2600       n        2.358629
BA3230       y        1.778521
BA2731       y        4.661169
BA2294       y        2.843610
BA2816       n        2.292744
BA2814       y        4.647671
BA2631       y        4.375263
BA2023       n        4.364221
BA2375       n        1.742355
BA2485       n        5.023440
BA2455       n        3.997503
BA2636       y        2.376966
BA2325       y        4.142911
BA2156       y        7.076261
BA2511       y        1.809225
BA2505       n        3.117240
BA2871       n        2.678955
BA2227       n        2.328853
BA2812       y        3.743124
BA2125       n        2.020939
BA2603       y        2.943017
BA2808       n        4.114677
BA2482       y        2.427321
BA2594       y        2.791320
BA2747       y        4.244676
BA2561       n        5.488344
BA2567       n        1.050250
BA2906       n        3.099799
BA2956       y        2.482581
BA2474       y        2.373440
BA2737       y        5.573386
BA2110       y        3.674514
BA2992       y        3.241815
BA2220       y        2.315860
BA2063       n        1.650337
BA2772       n        3.995023
BA2935       n        3.901783
BA2260       y        3.677227
BA2948       n        2.567931
BA3296       y        3.278044
BA2524       y        3.314149
BA2811       n        3.756626
BA2540       y        3.254148
BA2928       y        4.570145
BA2302       y        4.201727
BA2651       y        3.761947
BA2619       n        4.041884
BA3013       n        3.413989
BA2405       n        1.171341
BA2856       n        3.796356
BA2377       y        4.768863
BA2499       y        3.495484
BA3023       n        2.477099
BA2095       y        4.438942
BA2275       n        3.703481
BA2901       y        4.253021
BA2387       y        4.865709
BA2962       y        3.755753
BA2195       y        3.052599
BA2688       n        1.648368
BA2420       n        3.477403
BA2053       y        3.439006
BA2081       n        3.573748
BA2354       y        2.876171
BA3273       y        3.588437
BA2893       y        5.046589
BA2044       n        3.193566
BA2489       y        3.524704
BA2908       n        3.655018
BA2054       n        3.143353
BA2872       y        2.553926
BA2041       n        2.713619
BA2464       n        3.795526
BA2902       n        4.388170
BA2541       y        2.919588
BA2843       y        0.890279
BA2497       y        3.880783
BA2718       y        6.295033
BA2575       y        3.744920
BA2593       y        0.734434
BA2791       y        3.827749
BA2620       y        2.759825
BA2629       y        2.542187
BA2870       n        4.000364
BA2682       n        3.633583
BA2276       n        3.006071
BA2709       y        3.119439
BA2789       y        4.993189
BA2538       n        1.181186
BA2583       y        3.421081
BA2806       y        4.142515
BA2441       y        1.804739
BA2514       y        2.341651
BA2520       y        0.506007
BA2479       n        1.307417
BA2281       n        3.192001
BA2932       y        3.029933
BA2123       n        2.367694
BA2844       y        4.366447
BA2660       y        2.879839
BA2836       y        4.241583
BA2714       y        3.355943
BA2440       y        2.295730
BA2036       y        5.710629
BA2828       n        1.909557
BA2952       y        4.777013
BA2410       n        4.412039
BA2139       y        4.157010
BA2051       n        3.084249
BA2532       y        4.192187
BA2494       n        0.240701
BA2748       y        6.096002
BA2622       n        2.897153
BA2970       y        1.706040
BA2839       y        4.810254
BA2868       y        5.979708
BA3011       y        3.689458
BA2052       y        1.240437
BA2510       n        3.510085
BA2691       n        2.253714
BA2374       n        4.364592
BA2804       y        5.334341
BA2675       y        4.325247
BA2031       y        3.238586
BA2198       n        2.969797
BA2066       y        3.540231
BA2344       y        2.551945
BA2459       n        2.076283
BA2229       y        2.995606
BA2559       y        4.044777
BA2093       y        2.598762
BA2000       y        4.566932
BA2425       y        0.507603
BA2905       n        4.207524
BA2304       y        4.137864
BA2976       y        2.780169
BA2386       y        4.154662
BA2035       y        3.124299
BA2760       n        2.756692
BA2201       y        3.170262
BA2355       n        2.423869
BA2113       y        2.976239
BA2955       y        5.333640
BA2322       y        2.036449
BA2020       n        2.975034
BA2226       y        2.917191
BA2376       y        3.716958
BA2121       y        1.802921
BA2944       y        1.409259
BA2033       y        4.047128
BA2867       y        5.090421
BA2089       y        2.694096
BA2224       n        1.347193
BA2046       n        3.996670
BA2972       y        5.691816
BA2978       y        2.535382
BA2851       y        1.115791
BA2587       n        2.451323
BA2024       n        3.776102
BA2426       n        2.683474
BA2271       y        3.941796
BA3004       y        4.541981
BA3010       y        3.480832
BA2662       y        3.437568
BA2658       y        3.022013
BA2512       y        3.633128
BA2109       y        3.766340
BA2242       y        4.861843
BA2132       y        2.225636
BA2846       n        4.705583
BA2521       y        3.541610
BA2885       y        3.938851
BA2639       y        2.609716
BA2775       y        3.435096
BA2402       y        2.980203
BA2097       y        2.125511
BA2399       y        3.280666
BA2174       y        1.903289
BA3001       y        3.365073
BA2911       n        3.830889
BA2311       y        2.876171
BA3040       y        2.413481
BA2724       y        2.595441
BA2821       y        3.196416
BA2233       y        2.851618
BA2744       y        4.352423
BA2501       y        3.403350
BA2301       n        3.539208
BA2880       y        3.208805
BA2621       y        2.467552
BA2866       n        2.612930
BA2212       y        1.898053
BA2477       y        3.086483
BA2685       n        2.596764
BA2273       n        2.821234
BA2124       y        4.120989
BA2400       y        4.023714
BA2762       y        2.869496
BA2312       y        3.024285
BA2813       y        3.802931
BA2211       y        4.460506
BA2171       y        4.075198
BA2746       y        3.417084
BA2798       n        3.248339
BA2588       y        3.078139
BA2296       y        5.926764
BA2300       y        2.302269
BA2545       n        2.717495
BA2840       y       -2.449991
BA2528       n        2.580468
BA2646       y        3.512098
BA2926       n        2.942453
BA2272       y        3.390543
BA2306       y        1.084624
BA2726       n        3.242917
BA2234       y        4.460121
BA2022       y        4.073170
BA2037       y        1.921464
BA2184       y        6.442757
BA3009       y        2.275227
BA2442       y        3.113215
BA2882       y        4.158979
BA2570       y        2.701664
BA2721       y        2.945305
BA2728       n        3.260121
BA2098       y        3.541156
BA2951       y        2.682109
BA2778       y        4.166740
BA3153       y        2.267288
BA2820       y        3.956414
BA2704       y        4.483683
BA2584       y        3.478881
BA3079       y        1.732230
BA2361       y        4.071273
BA2472       y        3.118346
BA2047       n        5.192341
BA2101       n        0.507603
BA2082       y        5.550633
BA2456       y        5.475423
BA2175       y        4.846678
BA2507       y        0.917020
BA2563       y        2.568577
BA2984       y        3.310107
BA2414       y        2.433449
BA2697       y        4.209131
BA2644       n        2.168790
BA2011       y        1.928061
BA2217       y        6.005138
BA2454       y        2.651031
BA2776       y        4.197221
BA2135       y        1.315493
BA2914       y        2.505270
BA2500       y        3.377439
BA3108       n        4.324878
BA2303       y        3.560951
BA2160       y        5.355557
BA2590       y        4.402917
BA3195       y        3.489126
BA3036       y        3.045216
BA2971       y        2.567931
BA3410       n        2.823656
BA3118       y        3.694815
BA3206       y        1.742355
BA3217       y        3.784918
BA3405       n        3.983720
BA3306       y        2.780778
BA3413       n        6.440324
BA3411       y        2.216116
BA3133       y        2.430041
BA3451       y        4.093145
BA3286       y        3.702565
BA3212       y       -1.532442
BA3103       n        3.224386
BA3271       y        2.843610
BA3152       y        3.010680
BA3095       y        3.391999
BA3251       y        2.951152
BA3362       y        4.625708
BA3135       y        3.861568
BA3408       n        2.136373
BA3098       y        3.097641
BA3435       n        5.573030
BA3261       y        6.144588
BA3203       y        3.016994
BA3299       y        3.480357
BA3347       y        4.764239
BA3126       y        3.407834
BA3418       y        1.985541
BA3245       y        1.280512
BA3085       n        2.322556
BA3171       y        3.802032
BA3277       y        4.009004
BA3157       y        4.185557
BA3433       y        4.068485
BA3374       y        3.802032
BA3450       n        3.281165
BA3167       y        4.138243
BA3269       n        3.615795
BA3110       y        2.425270
BA3156       n       -1.813379
BA3226       y        4.101936
BA3421       y        3.564675
BA3232       y        3.445142
BA3289       y        3.329621
BA3430       n        2.785699
BA3384       y        4.137479
BA3427       n        1.142242
BA3449       y        0.989571
BA3163       y        3.148964
BA3158       y        1.990437
BA3436       y        5.912407
BA3154       y        2.546747
BA3162       y        3.162050
BA3352       y        5.012888
BA3084       y        2.119186
BA3149       n        2.690900
BA3169       y        3.430446
BA3180       n        4.967904
BA3255       y        3.493499
BA3438       y        4.141738
BA3345       y        1.893797
BA3431       y        3.949735
BA3181       y        3.050379
BA3341       y        4.550944
BA3191       y        3.431433
BA3197       y        3.615795
BA3448       y        3.520336
BA3453       n        3.421081
BA3406       y        3.120495
BA3334       y        3.108793
BA3447       n        1.854914
BA3116       n        4.175624
BA3280       n        3.766798
BA3185       y        2.771591
BA3094       y        3.684390
BA3318       y        2.590189
BA3216       y        3.382060
BA3332       y        1.989635
BA3373       y        1.850575
BA3319       y        2.992753
BA3328       y        3.839990
BA3240       y        3.592348
BA3142       y        2.059523
BA3333       y        3.406768
BA3381       y        2.582487
BA3290       y        2.997880
BA3207       y        2.982453
BA3305       y        3.707551
BA3434       y        1.402800
BA3189       y        3.337421
BA3264       y        4.098734
BA3329       y       -0.049936
BA3225       y        3.918729
BA3397       y        2.941859
BA3311       y        2.628696
BA3422       y        3.337937
BA3213       y        2.343023
BA3415       y        2.899448
BA3270       y        3.083073
BA3324       y        2.935952
BA3335       y        2.448596
BA3199       y        4.991809
BA3326       y        2.864328
BA3297       y        4.703812
BA3227       y        4.394820
BA3412       y        3.042959
BA3250       y        2.095142
BA3177       y        2.778890
BA3315       y        2.875552
BA3182       y        2.347954
BA3369       y        2.666683
BA3078       y        1.946721
BA3386       y        2.769149
BA3176       y        2.898862
BA3258       y        3.628375
BA3295       y        2.340969
BA3136       y        3.576109
BA3234       y        3.670252
BA3087       y        3.019777
BA3454       y        3.426501
BA3302       y        2.024948
BA3117       y        6.670584
BA3266       y        2.851618
BA3268       y        1.979845
BA3229       y        1.722045
BA3353       y        3.104898
BA3312       y        5.452689
BA3119       y        4.611162
BA3219       y        2.943017
BA3351       y        4.557032
BA3357       y        4.065285
BA3208       y        2.567300
BA3310       y        3.507678
BA3200       y        5.439525
BA3146       y        3.064625
BA3211       y        3.080840
BA3130       y        1.860181
BA3376       y        3.754392
BA3137       y        2.606440
BA3300       y       -1.539634
BA3375       y        3.215358
BA3385       y        3.264891
BA3416       y        5.408508
BA3123       n        2.942453
