#Boxplots d'expressions du gène DNMT3A en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 4.710, p-value = 0.00004
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        0.031190
BA2496       1        0.021356
BA3037       1        0.015087
BA2865       1        0.059742
BA2751       1        0.048026
BA2055       1        0.016410
BA2286       1        0.036102
BA2488       1        0.039807
BA3379       1        0.059832
BA2887       1        0.072049
BA2712       2        0.019405
BA2068       2        0.031806
BA2104       1        0.009931
BA3124       1        0.051831
BA2449       1        0.024948
BA2235       1        0.026686
BA3038       1        0.031809
BA3006       3        0.047660
BA2667       1        0.060376
BA2239       1        0.027904
BA2782       3        0.028240
BA2649       1        0.055339
BA2861       1        0.080468
BA2134       1        0.017251
BA2909       1        0.047825
BA2653       1        0.037552
BA2947       1        0.094470
BA2162       1        0.072558
BA2564       1        0.043806
BA3043       1        0.028409
BA2597       4        0.031237
BA3243       2        0.038705
BA2446       1        0.027862
BA2525       4        0.018248
BA2876       4        0.021649
BA2357       2        0.011972
BA2546       1        0.046209
BA2742       1        0.055864
BA2316       1        0.022943
BA2087       2        0.027662
BA2148       2        0.034449
BA3178       3        0.022846
BA2072       1        0.035984
BA2733       2        0.022159
BA2995       2        0.073201
BA2069       1        0.024492
BA2681       3        0.072180
BA2832       2        0.058851
BA2600       4        0.035484
BA3230       1        0.037504
BA2731       2        0.028013
BA2294       4        0.122828
BA2816       4        0.027606
BA2814       3        0.026749
BA2631       1        0.056530
BA2023       1        0.019361
BA2375       1        0.060350
BA2485       1        0.064853
BA2455       4        0.054776
BA2636       4        0.041603
BA2325       1        0.010182
BA2156       1        0.086820
BA2511       4        0.022417
BA2505       4        0.030527
BA2871       3        0.058243
BA2227       1        0.095347
BA2812       3        0.021948
BA2125       1        0.055531
BA2603       1        0.039831
BA2808       4        0.054377
BA2482       1        0.054854
BA2594       1        0.055086
BA2747       4        0.054724
BA2561       3        0.038200
BA2567       3        0.022168
BA2906       1        0.025258
BA2956       2        0.026949
BA2474       1        0.096948
BA2737       2        0.030076
BA2006       2        0.046338
BA2110       1        0.013658
BA2915       4        0.047967
BA2992       4        0.018666
BA2220       1        0.040337
BA2063       2        0.026524
BA2772       2        0.122401
BA2935       4        0.023698
BA2260       3        0.023469
BA2948       3        0.036076
BA3296       1        0.043102
BA2524       4        0.025757
BA2811       1        0.075407
BA2540       4        0.006076
BA2928       1        0.036522
BA2302       4        0.024751
BA2651       4        0.035074
BA2619       1        0.085374
BA3013       4        0.058543
BA2405       3        0.034681
BA2856       3        0.006665
BA2377       2        0.013820
BA2499       2        0.030123
BA2350       2        0.010568
BA3023       4        0.021488
BA2095       1        0.066131
BA2275       1        0.065493
BA2901       2        0.014176
BA2387       1        0.019419
BA2962       1        0.036697
BA2195       4        0.033227
BA2688       2        0.061226
BA2420       1        0.038571
BA2053       2        0.033532
BA2081       1        0.044001
BA2354       1        0.063666
BA3273       2        0.012972
BA2893       3        0.051781
BA2044       1        0.046062
BA2489       2        0.016583
BA2908       1        0.100948
BA2054       3        0.022248
BA2872       1        0.024070
BA2041       2        0.014855
BA2464       1        0.055386
BA2902       4        0.029062
BA2541       1        0.070621
BA2843       4        0.125922
BA2497       1        0.018233
BA2718       1        0.168730
BA2575       1        0.023941
BA2593       3        0.011033
BA2791       2        0.042143
BA2620       1        0.042145
BA2629       1        0.071289
BA2870       1        0.098765
BA2682       4        0.029339
BA2276       2        0.028921
BA2709       2        0.025970
BA2789       1        0.045795
BA2538       2        0.050334
BA2583       5        0.089568
BA2806       2        0.041201
BA2441       1        0.164860
BA2514       2        0.018010
BA2520       5        0.101398
BA2479       5        0.027264
BA2281       1        0.058085
BA2932       1        0.052212
BA2123       2        0.012054
BA2844       2        0.027972
BA2660       1        0.047931
BA2836       2        0.029364
BA2714       1        0.028642
BA2440       5        0.018313
BA2036       3        0.055236
BA2828       1        0.035671
BA2952       1        0.019117
BA2410       2        0.031437
BA2139       3        0.015455
BA2051       5        0.010083
BA2532       2        0.019015
BA2494       5        0.047729
BA2748       1        0.081282
BA2622       1        0.019261
BA2970       2        0.027699
BA2839       2        0.014739
BA2868       3        0.150500
BA3011       1        0.022482
BA2052       2        0.051561
BA2510       5        0.025432
BA2691       1        0.017462
BA2374       1        0.047231
BA2804       5        0.040824
BA2675       1        0.074411
BA2031       1        0.033824
BA2198       3        0.124967
BA2066       1        0.031940
BA2344       3        0.101986
BA2459       2        0.022263
BA2229       5        0.052488
BA2559       5        0.018180
BA2093       1        0.078240
BA2000       3        0.053783
BA2425       1        0.063365
BA2905       5        0.043558
BA2304       3        0.021759
BA2976       1        0.072529
BA2386       2        0.040734
BA2035       1        0.139195
BA2760       5        0.025981
BA2201       1        0.021503
BA2355       5        0.020823
BA2113       1        0.075730
BA2955       1        0.021649
BA2322       1        0.092079
BA2020       3        0.061579
BA2226       1        0.061527
BA2376       1        0.024252
BA2889       1        0.000837
BA2121       1        0.078795
BA2944       3        0.253963
BA2033       5        0.014721
BA2867       2        0.071524
BA2089       1        0.024121
BA2224       1        0.071112
BA2046       2        0.018288
BA2972       1        0.110353
BA2978       1        0.044036
BA2851       1        0.078317
BA2587       1        0.078798
BA2024       1        0.044132
BA2426       5        0.072698
BA2271       1        0.041349
BA3004       1        0.096944
BA3010       6        0.055849
BA2662       1        0.043489
