#Boxplots d'expressions du gène DNMT3A en fonction de la feature manuscript_inhibitor
#Résultat du test statistique Mann-Whitney : U = 22404.500, p-value = 0.01569
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409     yes        4.925584
BA2496     yes        5.038566
BA3037     yes        4.906409
BA2865     yes        6.448021
BA2751     yes        5.989962
BA2286     yes        5.420897
BA2488     yes        5.558882
BA3379     yes        6.226759
BA2887     yes        6.296522
BA2712      no        4.845625
BA2068     yes        5.851449
BA2104      no        4.275325
BA3124      no        6.230338
BA2449     yes        5.371576
BA2235     yes        4.927710
BA3038     yes        5.290823
BA3006     yes        5.999705
BA2667     yes        6.361342
BA2239     yes        5.218130
BA2782      no        5.273254
BA2649     yes        5.998906
BA2861     yes        6.611175
BA2134      no        4.682746
BA2909     yes        6.017842
BA2653      no        5.464844
BA2947     yes        6.790387
BA2162      no        6.259453
BA2564      no        5.508704
BA2597     yes        5.767602
BA3243     yes        5.430425
BA2446     yes        4.900831
BA2525     yes        4.890584
BA2876      no        5.446408
BA2357     yes        5.022357
BA2546     yes        5.515003
BA2742     yes        4.928412
BA2316      no        4.985812
BA2087     yes        5.133690
BA2148     yes        6.068855
BA3178      no        4.999236
BA2072     yes        5.439147
BA2733      no        5.379659
BA2995     yes        6.742688
BA2069     yes        4.777013
BA2681      no        6.511546
BA2832     yes        6.126826
BA2600      no        5.503152
BA3230     yes        5.173810
BA2731     yes        5.422349
BA2294     yes        7.175203
BA2816      no        5.114332
BA2814     yes        5.029740
BA2631     yes        6.216721
BA2023      no        4.727383
BA2375      no        6.085361
BA2485      no        6.780750
BA2455      no        4.698560
BA2636     yes        5.926374
BA2325      no        4.048797
BA2156     yes        6.796410
BA2511     yes        5.267104
BA2505      no        5.621950
BA2871      no        5.969076
BA2227      no        6.552326
BA2812     yes        4.997757
BA2125      no        6.108293
BA2603     yes        5.471382
BA2808      no        6.316752
BA2482      no        6.176416
BA2594     yes        5.812010
BA2747     yes        6.189502
BA2561      no        5.946413
BA2567      no        5.344339
BA2906      no        4.749578
BA2956     yes        5.641664
BA2474     yes        6.099370
BA2737     yes        5.708722
BA2110     yes        4.741830
BA2992     yes        5.055049
BA2220     yes        5.654484
BA2063      no        5.180219
BA2772      no        6.078175
BA2935      no        5.281772
BA2260     yes        5.011833
BA2948      no        5.855422
BA3296     yes        5.026199
BA2524     yes        5.521351
BA2811      no        6.249128
BA2540     yes        3.861568
BA2928      no        5.341519
BA2302     yes        5.539403
BA2651     yes        6.035662
BA2619      no        6.442273
BA3013      no        6.168650
BA2405      no        5.673178
BA2856      no        4.206750
BA2377     yes        4.194089
BA2499     yes        5.819597
BA3023      no        5.204400
BA2095     yes        6.146725
BA2275      no        5.753024
BA2901     yes        5.087589
BA2387     yes        4.471732
BA2962     yes        5.580102
BA2195     yes        5.515003
BA2688      no        4.723544
BA2420      no        5.560364
BA2053     yes        5.847880
BA2081      no        5.770331
BA2354     yes        6.235336
BA3273     yes        4.717895
BA2893     yes        6.192998
BA2044      no        5.542451
BA2489     yes        4.741830
BA2908      no        6.424314
BA2054      no        5.075502
BA2872     yes        5.317567
BA2041      no        4.609011
BA2464      no        6.096452
BA2902      no        5.398909
BA2541     yes        6.223784
BA2843     yes        7.049189
BA2497     yes        4.535543
BA2718     yes        7.875845
BA2575     yes        4.845625
BA2593     yes        5.263530
BA2791     yes        5.917586
BA2620     yes        5.729035
BA2629     yes        6.235336
BA2870      no        6.385992
BA2682      no        5.446408
BA2276      no        5.425300
BA2709     yes        5.286840
BA2789     yes        5.886843
BA2538      no        6.258078
BA2583     yes        6.366490
BA2806     yes        5.915950
BA2441     yes        6.922396
BA2514     yes        5.172412
BA2520     yes        6.938908
BA2479      no        5.617807
BA2281      no        6.192141
BA2932     yes        6.147180
BA2123      no        4.487312
BA2844     yes        5.360005
BA2660     yes        5.624193
BA2836     yes        5.625303
BA2714     yes        5.213632
BA2440     yes        4.780177
BA2036     yes        6.258078
BA2828      no        5.750622
BA2952     yes        4.366083
BA2410      no        5.754155
BA2139     yes        4.531977
BA2051      no        4.685913
BA2532     yes        4.962660
BA2494      no        5.246473
BA2748     yes        6.791584
BA2622      no        4.818313
BA2970     yes        5.583837
BA2839     yes        4.661516
BA2868     yes        7.188129
BA3011     yes        5.114332
BA2052     yes        6.348330
BA2510      no        5.219247
BA2691      no        4.779824
BA2374      no        5.516919
BA2804     yes        5.825418
BA2675     yes        6.348330
BA2031     yes        5.127021
BA2198      no        6.549289
BA2066     yes        4.564790
BA2344     yes        6.755975
BA2459      no        5.417544
BA2229     yes        6.229043
BA2559     yes        5.027284
BA2093     yes        6.360860
BA2000     yes        5.828595
BA2425     yes        6.126379
BA2905      no        5.905559
BA2304     yes        4.539131
BA2976     yes        5.898785
BA2386     yes        5.761817
BA2035     yes        7.388486
BA2760      no        5.223171
BA2201     yes        4.760057
BA2355      no        5.027642
BA2113     yes        5.955599
BA2955     yes        4.808150
BA2322     yes        6.240132
BA2020      no        5.678117
BA2226     yes        5.696831
BA2376     yes        4.815491
BA2121     yes        5.976084
BA2944     yes        7.242184
BA2033     yes        4.564075
BA2867     yes        6.137256
BA2089     yes        4.270791
BA2224      no        6.164792
BA2046      no        4.604016
BA2972     yes        6.614843
BA2978     yes        5.381515
BA2851     yes        6.026160
BA2587      no        5.975231
BA2024      no        5.402602
BA2426      no        5.912407
BA2271     yes        5.108349
BA3004     yes        6.388883
BA3010     yes        5.534269
BA2662     yes        5.342556
BA2658     yes        5.763713
BA2512     yes        4.686958
BA2109     yes        4.870231
BA2242     yes        6.034043
BA2132     yes        5.918741
BA2846      no        6.490028
BA2521      no        5.493966
BA2885     yes        4.925959
BA2639     yes        6.291374
BA2775     yes        5.605797
BA2402     yes        5.170655
BA2097     yes        5.667403
BA2399     yes        6.166974
BA2174     yes        5.569315
BA3001     yes        6.557135
BA2911      no        6.135059
BA2311     yes        4.783613
BA3040     yes        5.544315
BA2724     yes        4.795231
BA2821     yes        6.061217
BA2233     yes        6.750740
BA2744     yes        6.695806
BA2501     yes        5.713688
BA2301      no        4.602957
BA2880     yes        5.148257
BA2621     yes        5.317567
BA2866      no        6.369305
BA2212     yes        5.890863
BA2477     yes        6.166974
BA2685      no        5.407789
BA2273      no        5.977334
BA2124     yes        6.633834
BA2400     yes        5.924325
BA2762     yes        6.037320
BA2312     yes        6.017455
BA2813     yes        5.794469
BA2211     yes        6.678378
BA2171     yes        5.780025
BA2746     yes        4.561451
BA2798      no        4.852302
BA2588     yes        6.373095
BA2296     yes        6.577728
BA2300     yes        6.174237
BA2545      no        5.290149
BA2840     yes        5.207573
BA2528      no        5.490256
BA2646     yes        6.242272
BA2926      no        5.486858
BA2272     yes        5.163895
BA2306     yes        6.162297
BA2726      no        5.101429
BA2234     yes        4.093530
BA2022     yes        6.003921
BA2037     yes        6.370320
BA2184     yes        7.446441
BA3009     yes        6.323144
BA2442     yes        5.543935
BA2882     yes        5.059290
BA2570     yes        6.312990
BA2721     yes        5.427482
BA2728      no        5.461143
BA2098     yes        3.595664
BA2951     yes        6.930217
BA2778     yes        3.693922
BA3153     yes        6.358559
BA2820     yes        4.825341
BA2704     yes        6.191691
BA2584     yes        6.194796
BA3079     yes        5.957653
BA2361     yes        5.504985
BA2472     yes        4.567999
BA2047      no        5.701462
BA2101      no        5.790455
BA2082     yes        5.538659
BA2456     yes        4.853719
BA2175     yes        4.997382
BA2507     yes        6.740391
BA2563     yes        6.494067
BA2984     yes        5.628685
BA2414     yes        6.586235
BA2697     yes        4.611504
BA2644      no        5.654858
BA2011     yes        5.326646
BA2217     yes        7.208002
BA2454     yes        7.330738
BA2776     yes        6.740391
BA2135     yes        6.062558
BA2914     yes        5.770703
BA2500     yes        5.480594
BA3108      no        4.667175
BA2303      no        5.282569
BA2160      no        6.655181
BA2590      no        6.569903
BA3195     yes        6.868388
BA3036      no        6.385034
BA2971      no        6.236642
BA3410      no        5.662793
BA3118     yes        5.422349
BA3206     yes        6.836012
BA3217     yes        6.016644
BA3405      no        5.351179
BA3306     yes        5.440676
BA3413      no        6.838431
BA3411     yes        5.737384
BA3133     yes        6.159214
BA3451     yes        4.902544
BA3286     yes        5.876189
BA3212     yes        6.158350
BA3103      no        5.404056
BA3271     yes        5.492890
BA3152     yes        5.213276
BA3095     yes        6.200987
BA3251     yes        6.353995
BA3362     yes        5.605409
BA3135     yes        5.890034
BA3408      no        5.120635
BA3098     yes        6.185908
BA3435      no        5.678870
BA3261     yes        6.479152
BA3203     yes        5.614051
BA3299     yes        4.416408
BA3347     yes        4.565147
BA3126     yes        4.094347
BA3418     yes        6.252215
BA3245     yes        5.720999
BA3085      no        6.882321
BA3171     yes        6.348781
BA3277     yes        5.444249
BA3157     yes        6.431936
BA3433     yes        5.855788
BA3374     yes        5.355198
BA3450      no        5.342199
BA3167     yes        4.810960
BA3269      no        4.997382
BA3110     yes        5.370146
BA3156      no        5.452344
BA3226     yes        6.250002
BA3421     yes        4.886422
BA3232     yes        6.274268
BA3289     yes        4.859711
BA3430      no        5.253853
BA3384     yes        5.956398
BA3427      no        5.257143
BA3449     yes        4.950867
BA3163     yes        4.591527
BA3158     yes        6.795815
BA3436     yes        6.938272
BA3154     yes        6.285071
BA3162     yes        5.925135
BA3352     yes        6.188610
BA3084     yes        5.893599
BA3149      no        5.357096
BA3169     yes        4.997382
BA3180      no        5.908850
BA3255     yes        5.379287
BA3438     yes        5.831768
BA3345     yes        4.942072
BA3431     yes        5.532779
BA3181     yes        5.014990
BA3341     yes        4.250370
BA3191     yes        5.507213
BA3197     yes        6.833445
BA3448     yes        6.600510
BA3453      no        4.819726
BA3406     yes        5.890034
BA3334     yes        4.614682
BA3447      no        7.537348
BA3116      no        4.927361
BA3280      no        5.344715
BA3185     yes        6.076539
BA3094     yes        5.443183
BA3318     yes        4.652631
BA3216     yes        5.884062
BA3332     yes        5.839178
BA3373     yes        7.085217
BA3319     yes        4.996651
BA3328     yes        5.750230
BA3240     yes        7.467841
BA3142     yes        6.490028
BA3333     yes        6.664514
BA3381     yes        5.125964
BA3290     yes        5.678117
BA3207     yes        3.308524
BA3305     yes        5.713688
BA3434     yes        6.205253
BA3189     yes        6.720059
BA3264     yes        6.112940
BA3329     yes        6.393591
BA3225     yes        4.308378
BA3397     yes        6.551802
BA3311     yes        5.230329
BA3422     yes        6.540425
BA3213     yes        5.854629
BA3415     yes        6.081488
BA3270     yes        5.369391
BA3324     yes        6.405036
BA3335     yes        6.116336
BA3199     yes        7.061661
BA3326     yes        5.308867
BA3297     yes        6.179899
BA3227     yes        7.036239
BA3412     yes        6.214542
BA3250     yes        5.832566
BA3177     yes        5.641287
BA3315     yes        4.798375
BA3182     yes        5.858107
BA3369     yes        5.699930
BA3078     yes        5.480233
BA3386     yes        6.575090
BA3176     yes        6.559146
BA3258     yes        4.166344
BA3295     yes        5.685733
BA3136     yes        4.447724
BA3234     yes        4.640225
BA3087     yes        6.610066
BA3454     yes        5.628285
BA3302     yes        7.217046
BA3117     yes        6.535435
BA3266     yes        5.779253
BA3268     yes        6.165245
BA3229     yes        5.955203
BA3353     yes        7.192258
BA3312     yes        6.580287
BA3119     yes        6.884307
BA3219     yes        4.506785
BA3351     yes        5.315408
BA3357     yes        7.005651
BA3208     yes        5.956398
BA3310     yes        6.774215
BA3200     yes        6.930910
BA3146     yes        6.208728
BA3211     yes        6.572472
BA3130     yes        5.323759
BA3376     yes        6.445175
BA3137     yes        6.158350
BA3300     yes        6.685937
BA3375     yes        6.315858
BA3385     yes        5.558882
BA3416     yes        6.969120
BA3123      no        6.464800
