#Boxplots d'expressions du gène EZH2 en fonction de la feature analysisDrug
#Résultat du test statistique Mann-Whitney : U = 15081.000, p-value = 0.01232
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       y        4.123746
BA2496       y        5.431153
BA3037       y        5.400396
BA2865       y        4.864636
BA2751       y        5.489882
BA2286       y        5.118530
BA2488       y        5.356336
BA3379       y        5.725563
BA2887       y        5.347260
BA2712       y        6.123027
BA2068       y        5.533871
BA2104       y        4.469180
BA3124       n        4.744989
BA2449       y        6.110395
BA2235       y        4.737642
BA3038       y        5.722134
BA3006       y        5.495501
BA2667       y        5.577842
BA2239       y        5.130142
BA2782       n        5.104911
BA2649       y        6.151875
BA2861       y        5.576753
BA2134       y        3.927816
BA2909       y        5.076604
BA2653       n        5.317947
BA2947       y        5.999705
BA2162       y        4.180942
BA2564       n        5.725196
BA2597       y        6.688678
BA3243       y        4.175624
BA2446       y        6.079063
BA2525       y        4.689417
BA2876       n        5.389133
BA2357       y        6.427186
BA2546       y        5.142643
BA2742       y        5.122411
BA2316       n        5.536120
BA2087       y        4.728082
BA2148       y        6.005564
BA3178       n        5.299473
BA2072       y        5.801464
BA2733       n        6.314442
BA2995       y        6.365130
BA2069       y        6.089663
BA2681       n        5.939830
BA2832       y        5.638599
BA2600       n        5.311828
BA3230       y        5.709864
BA2731       y        5.321640
BA2294       y        6.048167
BA2816       n        6.260333
BA2814       y        5.665134
BA2631       y        5.767229
BA2023       n        5.542451
BA2375       n        5.196647
BA2485       n        5.475800
BA2455       n        5.394583
BA2636       y        5.250383
BA2325       y        4.008199
BA2156       y        5.700325
BA2511       y        6.199666
BA2505       n        3.997915
BA2871       n        5.286123
BA2227       n        5.759111
BA2812       y        6.266047
BA2125       n        6.151014
BA2603       y        5.887984
BA2808       n        5.227136
BA2482       y        5.794877
BA2594       y        5.498675
BA2747       y        5.293080
BA2561       n        6.079875
BA2567       n        6.013323
BA2906       n        6.243655
BA2956       y        6.800525
BA2474       y        5.351944
BA2737       y        5.695268
BA2110       y        5.299862
BA2992       y        6.427638
BA2220       y        6.421895
BA2063       n        4.917210
BA2772       n        5.696074
BA2935       n        5.697580
BA2260       y        5.427125
BA2948       n        6.005564
BA3296       y        5.817642
BA2524       y        5.345480
BA2811       n        5.697203
BA2540       y        5.051154
BA2928       y        6.187276
BA2302       y        5.468085
BA2651       y        5.408852
BA2619       n        5.430425
BA3013       n        6.315858
BA2405       n        5.448262
BA2856       n        5.976084
BA2377       y        5.047314
BA2499       y        5.435101
BA3023       n        5.348655
BA2095       y        6.415555
BA2275       n        5.509790
BA2901       y        5.385855
BA2387       y        3.416599
BA2962       y        5.732841
BA2195       y        6.211452
BA2688       n        6.105384
BA2420       n        5.640115
BA2053       y        6.180746
BA2081       n        5.756061
BA2354       y        5.399293
BA3273       y        4.807798
BA2893       y        5.590643
BA2044       n        6.229897
BA2489       y        5.740906
BA2908       n        4.990709
