#Boxplots d'expressions du gène FLT3 en fonction de la feature manuscript_inhibitor
#Résultat du test statistique Mann-Whitney : U = 23062.000, p-value = 0.01995
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409     yes        0.030457
BA2496     yes        0.005960
BA3037     yes        0.003826
BA2865     yes        0.045939
BA2751     yes        0.037569
BA2055     yes        0.011174
BA2286     yes        0.037424
BA2488     yes        0.028878
BA3379     yes        0.049329
BA2887     yes        0.021854
BA2712      no        0.018913
BA2068     yes        0.017765
BA2104      no        0.039673
BA3124      no        0.001982
BA2449     yes        0.002619
BA2235     yes        0.049992
BA3038     yes        0.008179
BA3006     yes        0.037630
BA2667     yes        0.053049
BA2239     yes        0.036767
BA2782      no        0.013349
BA2649     yes        0.032039
BA2861     yes        0.005672
BA2134      no        0.005250
BA2909     yes        0.009900
BA2653      no        0.000000
BA2947     yes        0.045924
BA2162      no        0.040879
BA2564      no        0.023204
BA3043      no        0.005601
BA2597     yes        0.000090
BA3243     yes        0.078920
BA2446     yes        0.024795
BA2525     yes        0.000227
BA2876      no        0.000485
BA2357     yes        0.013694
BA2546     yes        0.009839
BA2742     yes        0.030034
BA2316      no        0.026610
BA2087     yes        0.039012
BA2148     yes        0.001538
BA3178      no        0.069023
BA2072     yes        0.008092
BA2733      no        0.014559
BA2995     yes        0.041595
BA2069     yes        0.038132
BA2681      no        0.006421
BA2832     yes        0.029525
BA2600      no        0.028400
BA3230     yes        0.014980
BA2731     yes        0.013084
BA2294     yes        0.032392
BA2816      no        0.037710
BA2814     yes        0.039475
BA2631     yes        0.035676
BA2023      no        0.020874
BA2375      no        0.019160
BA2485      no        0.050640
BA2455      no        0.048915
BA2636     yes        0.009049
BA2325      no        0.019520
BA2156     yes        0.026910
BA2511     yes        0.000461
BA2505      no        0.031830
BA2871      no        0.029834
BA2227      no        0.067502
BA2812     yes        0.008823
BA2125      no        0.006226
BA2603     yes        0.042794
BA2808      no        0.017746
BA2482      no        0.008993
BA2594     yes        0.045289
BA2747     yes        0.046266
BA2561      no        0.088049
BA2567      no        0.000037
BA2906      no        0.072280
BA2956     yes        0.010105
BA2474     yes        0.022976
BA2737     yes        0.141425
BA2006     yes        0.005497
BA2110     yes        0.016093
BA2915      no        0.004994
BA2992     yes        0.010467
BA2220     yes        0.001380
BA2063      no        0.000016
BA2772      no        0.028958
BA2935      no        0.018473
BA2260     yes        0.022765
BA2948      no        0.001579
BA3296     yes        0.000556
BA2524     yes        0.020404
BA2811      no        0.036011
BA2540     yes        0.085362
BA2928      no        0.048457
BA2302     yes        0.028313
BA2651     yes        0.020437
BA2619      no        0.016761
BA3013      no        0.020531
BA2405      no        0.023947
BA2856      no        0.001906
BA2377     yes        0.012581
BA2499     yes        0.007254
BA2350     yes        0.008039
BA3023      no        0.016156
BA2095     yes        0.030956
BA2275      no        0.007146
BA2901     yes        0.007130
BA2387     yes        0.058972
BA2962     yes        0.079496
BA2195     yes        0.007514
BA2688      no        0.001696
BA2420      no        0.091160
BA2053     yes        0.004317
BA2081      no        0.034430
BA2354     yes        0.041451
BA3273     yes        0.012531
BA2893     yes        0.032873
BA2044      no        0.049851
BA2489     yes        0.001547
BA2908      no        0.044152
BA2054      no        0.013862
BA2872     yes        0.004192
BA2041      no        0.007789
BA2464      no        0.036951
BA2902      no        0.020622
BA2541     yes        0.015006
BA2843     yes        0.032515
BA2497     yes        0.011292
BA2718     yes        0.014968
BA2575     yes        0.009959
BA2593     yes        0.053953
BA2791     yes        0.016908
BA2620     yes        0.027777
BA2629     yes        0.112286
