#Boxplots d'expressions du gène FLT3 en fonction de la feature totalDrug
#Résultat du test statistique Mann-Whitney : U = 21905.000, p-value = 0.00654
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       y        0.030457
BA2496       y        0.005960
BA3037       y        0.003826
BA2865       y        0.045939
BA2751       y        0.037569
BA2055       y        0.011174
BA2286       y        0.037424
BA2488       y        0.028878
BA3379       y        0.049329
BA2887       y        0.021854
BA2712       y        0.018913
BA2068       y        0.017765
BA2104       y        0.039673
BA3124       n        0.001982
BA2449       y        0.002619
BA2235       y        0.049992
BA3038       y        0.008179
BA3006       y        0.037630
BA2667       y        0.053049
BA2239       y        0.036767
BA2782       n        0.013349
BA2649       y        0.032039
BA2861       y        0.005672
BA2134       y        0.005250
BA2909       y        0.009900
BA2653       n        0.000000
BA2947       y        0.045924
BA2162       y        0.040879
BA2564       n        0.023204
BA3043       n        0.005601
BA2597       y        0.000090
BA3243       y        0.078920
BA2446       y        0.024795
BA2525       y        0.000227
BA2876       n        0.000485
BA2357       y        0.013694
BA2546       y        0.009839
BA2742       y        0.030034
BA2316       n        0.026610
BA2087       y        0.039012
BA2148       y        0.001538
BA3178       n        0.069023
BA2072       y        0.008092
BA2733       n        0.014559
BA2995       y        0.041595
BA2069       y        0.038132
BA2681       n        0.006421
BA2832       y        0.029525
BA2600       n        0.028400
BA3230       y        0.014980
BA2731       y        0.013084
BA2294       y        0.032392
BA2816       n        0.037710
BA2814       y        0.039475
BA2631       y        0.035676
BA2023       n        0.020874
BA2375       n        0.019160
BA2485       n        0.050640
BA2455       n        0.048915
BA2636       y        0.009049
BA2325       y        0.019520
BA2156       y        0.026910
BA2511       y        0.000461
BA2505       n        0.031830
BA2871       n        0.029834
BA2227       n        0.067502
BA2812       y        0.008823
BA2125       n        0.006226
BA2603       y        0.042794
BA2808       n        0.017746
BA2482       y        0.008993
BA2594       y        0.045289
BA2747       y        0.046266
BA2561       n        0.088049
BA2567       n        0.000037
BA2906       n        0.072280
BA2956       y        0.010105
BA2474       y        0.022976
BA2737       y        0.141425
BA2006       y        0.005497
BA2110       y        0.016093
BA2915       n        0.004994
BA2992       y        0.010467
BA2220       y        0.001380
BA2063       n        0.000016
BA2772       n        0.028958
BA2935       n        0.018473
BA2260       y        0.022765
BA2948       n        0.001579
BA3296       y        0.000556
BA2524       y        0.020404
BA2811       n        0.036011
BA2540       y        0.085362
BA2928       y        0.048457
BA2302       y        0.028313
BA2651       y        0.020437
BA2619       n        0.016761
BA3013       n        0.020531
BA2405       n        0.023947
BA2856       n        0.001906
BA2377       y        0.012581
BA2499       y        0.007254
BA2350       y        0.008039
BA3023       n        0.016156
BA2095       y        0.030956
BA2275       n        0.007146
BA2901       y        0.007130
BA2387       y        0.058972
BA2962       y        0.079496
BA2195       y        0.007514
BA2688       n        0.001696
BA2420       n        0.091160
BA2053       y        0.004317
BA2081       n        0.034430
BA2354       y        0.041451
BA3273       y        0.012531
BA2893       y        0.032873
BA2044       n        0.049851
BA2489       y        0.001547
BA2908       n        0.044152
BA2054       n        0.013862
BA2872       y        0.004192
BA2041       n        0.007789
BA2464       n        0.036951
BA2902       n        0.020622
BA2541       y        0.015006
BA2843       y        0.032515
BA2497       y        0.011292
BA2718       y        0.014968
BA2575       y        0.009959
BA2593       y        0.053953
BA2791       y        0.016908
BA2620       y        0.027777
BA2629       y        0.112286
BA2870       n        0.161434
BA2682       n        0.033964
BA2276       n        0.003834
BA2709       y        0.006210
BA2789       y        0.057922
BA2538       n        0.032078
BA2583       y        0.058467
BA2806       y        0.023462
BA2441       y        0.062698
BA2514       y        0.007787
BA2520       y        0.022604
BA2479       n        0.002845
BA2281       n        0.033528
BA2932       y        0.058663
BA2123       n        0.003183
BA2844       y        0.004847
BA2660       y        0.022273
BA2836       y        0.034907
BA2714       y        0.034239
BA2440       y        0.003187
BA2036       y        0.064673
BA2828       n        0.010541
BA2952       y        0.050727
BA2410       n        0.030390
BA2139       y        0.021687
BA2051       n        0.002182
BA2532       y        0.007303
BA2494       n        0.000031
BA2748       y        0.008516
BA2622       n        0.015307
BA2970       y        0.003451
BA2839       y        0.004576
BA2868       y        0.011937
BA3011       y        0.008629
BA2052       y        0.033301
BA2510       n        0.008437
BA2691       n        0.008954
BA2374       n        0.032926
BA2804       y        0.002243
BA2675       y        0.057649
BA2031       y        0.054507
BA2198       n        0.059730
BA2066       y        0.099591
BA2344       y        0.029301
BA2459       n        0.007469
BA2229       y        0.000996
BA2559       y        0.009351
BA2093       y        0.022376
BA2000       y        0.044519
BA2425       y        0.000754
BA2905       n        0.009399
BA2304       y        0.001953
BA2976       y        0.014972
BA2386       y        0.052879
BA2035       y        0.015490
BA2760       n        0.008477
BA2201       y        0.033132
BA2355       n        0.003482
BA2113       y        0.031024
BA2955       y        0.022746
BA2322       y        0.015303
BA2020       n        0.047457
BA2226       y        0.020870
BA2376       y        0.005733
BA2889       y        0.000727
BA2121       y        0.036743
BA2944       y        0.029597
BA2033       y        0.008577
BA2867       y        0.007898
BA2089       y        0.041932
BA2224       n        0.003623
BA2046       n        0.007920
BA2972       y        0.017695
BA2978       y        0.025703
BA2851       y        0.046617
BA2587       n        0.045856
BA2024       n        0.010531
BA2426       n        0.023003
BA2271       y        0.015817
BA3004       y        0.044411
BA3010       y        0.015417
BA2662       y        0.048847
BA2658       y        0.022715
BA2512       y        0.020605
BA2109       y        0.002065
BA2242       y        0.062132
BA2132       y        0.008567
BA2846       n        0.122253
BA2521       y        0.047349
BA2885       y        0.072956
BA2639       y        0.012745
BA2775       y        0.021898
BA2402       y        0.019844
BA2097       y        0.028052
BA2399       y        0.080976
BA2174       y        0.027689
BA3001       y        0.079745
BA2911       n        0.115478
BA2311       y        0.006780
BA3040       y        0.002589
BA2724       y        0.045248
BA2821       y        0.078974
BA2233       y        0.040835
BA2744       y        0.026281
BA2501       y        0.040604
BA2301       n        0.019046
BA2880       y        0.001277
BA2621       y        0.004214
BA2866       n        0.009313
BA2212       y        0.017536
BA2477       y        0.064292
BA2685       n        0.006848
BA2273       n        0.045096
BA2124       y        0.055573
BA2400       y        0.041231
BA2762       y        0.043466
BA2312       y        0.053919
BA2813       y        0.047033
BA2211       y        0.037223
BA2171       y        0.039831
BA2746       y        0.022741
BA2798       n        0.010410
BA2588       y        0.018624
BA2296       y        0.025226
BA2300       y        0.025298
BA2545       n        0.001596
BA2840       y        0.000000
BA2528       n        0.020033
BA2646       y        0.027274
BA3067       y        0.000051
BA2926       n        0.042143
BA2272       y        0.032211
BA2306       y        0.063961
BA2726       n        0.023866
BA2234       y        0.077070
BA2022       y        0.046483
BA2037       y        0.058499
BA2184       y        0.021046
BA3009       y        0.018344
BA2442       y        0.046460
BA2882       y        0.006051
BA2347       y        0.001422
BA2570       y        0.010557
BA2721       y        0.035119
BA2728       n        0.008819
BA2098       y        0.045524
BA2951       y        0.018157
BA2778       y        0.004655
BA3153       y        0.001430
BA2820       y        0.066307
BA2704       y        0.032823
BA2584       y        0.027758
BA3079       y        0.019883
BA2361       y        0.001615
BA2472       y        0.002349
BA2047       n        0.031345
BA2101       n        0.004684
BA2082       y        0.012920
BA2456       y        0.019434
BA2175       y        0.001021
BA2507       y        0.037328
BA2563       y        0.031837
BA2984       y        0.067985
BA2414       y        0.026132
BA2697       y        0.015928
BA2644       n        0.023868
BA2011       y        0.009916
BA2217       y        0.020454
BA2454       y        0.026572
BA2776       y        0.036422
BA2135       y        0.024411
BA2914       y        0.005601
BA2500       y        0.019627
BA3108       n        0.013652
BA2303       y        0.022285
BA2160       y        0.058972
BA2590       y        0.047703
BA3195       y        0.064294
BA3036       y        0.019645
BA2971       y        0.002431
BA3410       n        0.036943
BA3118       y        0.004026
BA3206       y        0.021037
BA3217       y        0.086179
BA3405       n        0.018856
BA3306       y        0.003610
BA3413       n        0.017387
BA3411       y        0.002561
BA3133       y        0.015745
BA3451       y        0.016798
BA3286       y        0.029779
BA3212       y        0.000015
BA3103       n        0.007336
BA3271       y        0.064128
BA3152       y        0.016986
BA3095       y        0.023257
BA3251       y        0.020428
BA3362       y        0.112038
BA3135       y        0.061405
BA3408       n        0.000831
BA3098       y        0.033627
BA3435       n        0.034169
BA3261       y        0.013068
BA3203       y        0.015732
BA3299       y        0.018947
BA3347       y        0.008682
BA3126       y        0.054394
BA3418       y        0.003037
BA3245       y        0.011100
BA3085       n        0.038347
BA3171       y        0.008842
BA3277       y        0.024869
BA3157       y        0.032510
BA3433       y        0.021451
BA3374       y        0.031982
BA3450       n        0.011188
BA3167       y        0.027535
BA3269       n        0.015017
BA3110       y        0.040945
BA3156       n        0.000000
BA3226       y        0.049037
BA3421       y        0.006804
BA3232       y        0.026550
BA3289       y        0.002958
BA3430       n        0.009581
BA3384       y        0.023295
BA3427       n        0.002140
BA3449       y        0.009003
BA3163       y        0.002417
BA3158       y        0.021385
BA3436       y        0.082168
BA3154       y        0.002577
BA3162       y        0.006165
BA3352       y        0.041104
BA3084       y        0.048534
BA3149       n        0.004310
BA3169       y        0.006727
BA3180       n        0.010119
BA3255       y        0.026705
BA3438       y        0.071861
BA3345       y        0.000454
BA3431       y        0.004330
BA3181       y        0.003665
BA3341       y        0.004039
BA3191       y        0.007618
BA3197       y        0.034641
BA3448       y        0.035039
BA3453       n        0.016535
BA3406       y        0.039965
BA3334       y        0.007433
BA3447       n        0.020727
BA3116       n        0.002312
BA3280       n        0.024653
BA3185       y        0.043956
BA3094       y        0.021738
BA3318       y        0.024985
BA3216       y        0.065051
BA3332       y        0.011072
BA3373       y        0.010877
BA3319       y        0.025831
BA3328       y        0.017171
BA3240       y        0.020989
BA3142       y        0.010895
BA3333       y        0.084506
BA3381       y        0.009556
BA3290       y        0.006509
BA3207       y        0.036228
BA3305       y        0.016158
BA3434       y        0.019691
BA3189       y        0.059241
BA3264       y        0.057329
BA3329       y        0.000303
BA3225       y        0.031766
BA3397       y        0.017280
BA3311       y        0.035947
BA3422       y        0.025190
BA3213       y        0.013084
BA3415       y        0.049992
