#Boxplots d'expressions du gène GATA2 en fonction de la feature isTransformed
#Résultat du test statistique ANOVA : F = 4.828, p-value = 0.00842
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409   FALSE        0.345167
BA2496    TRUE        0.550426
BA3037   FALSE       12.130564
BA2865   FALSE       18.386816
BA2751   FALSE        2.124042
BA2055   FALSE        0.691097
BA2286   FALSE        3.107539
BA2488    TRUE        5.576293
BA3379   FALSE        1.983093
BA2887   FALSE        0.777937
BA2712   FALSE        0.077092
BA2068   FALSE        8.739513
BA2104   FALSE        0.030798
BA3124   FALSE        1.050395
BA2449   FALSE        0.838322
BA2235   FALSE        3.489590
BA3038   FALSE        2.393013
BA3006   FALSE        5.718906
BA2667    TRUE        1.847133
BA2239   FALSE        0.369031
BA2782   FALSE        1.114371
BA2649   FALSE        3.387014
BA2861   FALSE        3.353452
BA2134    TRUE        1.195604
BA2909   FALSE        4.602339
BA2653   FALSE        8.103397
BA2947   FALSE        9.151253
BA2162   FALSE       15.549433
BA2564   FALSE        0.781659
BA3043   FALSE        2.332943
BA2597    TRUE       12.344937
BA3243   FALSE       18.490983
BA2446   FALSE        0.128058
BA2525   FALSE        0.480275
BA2876   FALSE        1.382416
BA2357   FALSE        0.573712
BA2546   FALSE        0.248218
BA2742   FALSE        0.154435
BA2316   FALSE        0.237347
BA2087   FALSE        0.089824
BA2148   FALSE        4.519948
BA3178   FALSE        0.000000
BA2072   FALSE        0.945397
BA2733   FALSE        0.682705
BA2995   FALSE        0.071730
BA2069   FALSE        0.048282
BA2681    TRUE        4.232000
BA2832    TRUE       10.045138
BA2600   FALSE        2.172082
BA3230   FALSE        4.554112
BA2731   FALSE        0.523146
BA2294   FALSE        4.815056
BA2816   FALSE        0.067293
BA2814   FALSE        2.134562
BA2631   FALSE        5.144701
BA2023   FALSE        0.040292
BA2375    TRUE        3.150571
BA2485   FALSE        9.399306
BA2455   FALSE        0.489700
BA2636    TRUE       21.250893
BA2325   FALSE        0.630269
BA2156   FALSE        0.911681
BA2511   FALSE        3.957722
BA2505   FALSE        3.762607
BA2871   FALSE        0.137617
BA2227   FALSE        2.585600
BA2812   FALSE        0.100276
BA2125   FALSE        2.243567
BA2603   FALSE        5.739010
BA2808   FALSE        6.853443
BA2482   FALSE        9.089514
BA2594   FALSE        0.419307
BA2747   FALSE        5.457752
BA2561   FALSE        0.000000
BA2567   FALSE        0.252041
BA2906   FALSE        0.070148
BA2956   FALSE        0.084666
BA2474   FALSE        4.953392
BA2737   FALSE        0.000024
BA2006   FALSE        0.042138
BA2110   FALSE        0.462973
BA2915   FALSE        2.428209
BA2992   FALSE        0.188573
BA2220   FALSE       13.620877
BA2063   FALSE        0.057065
BA2772   FALSE       11.535990
BA2935   FALSE        1.291241
BA2260   FALSE        0.516280
BA2948    TRUE        7.189466
BA3296   FALSE        0.210666
BA2524   FALSE        0.573077
BA2811   FALSE        9.189210
BA2540   FALSE        0.479273
BA2928   FALSE        0.273504
BA2302   FALSE        3.624833
BA2651   FALSE        1.807986
BA2619   FALSE       17.346165
BA3013   FALSE        1.411838
BA2405   FALSE        3.266628
BA2856   FALSE        6.295857
BA2377   FALSE        0.076456
BA2499    TRUE        4.477770
BA2350   FALSE        0.000000
BA3023   FALSE        3.827107
BA2095   FALSE        6.638877
BA2275   FALSE        1.167640
BA2901   FALSE        1.670911
BA2387   FALSE        4.327185
BA2962   FALSE        2.473108
BA2195    TRUE        7.831962
BA2688   FALSE        4.225301
BA2420   FALSE        1.746723
BA2053   FALSE        2.382036
BA2081   FALSE        1.701307
BA2354   FALSE        1.245038
BA3273   FALSE        0.037233
BA2893   FALSE        6.916092
BA2044   FALSE        0.722810
BA2489    TRUE        0.674776
BA2908   FALSE        6.518645
BA2054   FALSE        1.274073
BA2872   FALSE        1.730216
BA2041   FALSE        3.282330
BA2464   FALSE        3.518515
BA2902    TRUE        2.651404
BA2541   FALSE        4.444034
BA2843   FALSE        0.694689
BA2497   FALSE        0.000000
BA2718   FALSE       12.341203
BA2575   FALSE        0.756684
BA2593   FALSE        0.444153
BA2791   FALSE        3.703064
BA2620   FALSE        2.364123
BA2629   FALSE        2.121715
BA2870    TRUE        0.009390
BA2682   FALSE        4.075879
BA2276   FALSE        2.706206
BA2709   FALSE        0.453846
BA2789   FALSE        7.393804
BA2538   FALSE        1.492081
BA2583    TRUE        1.552053
BA2806   FALSE        6.407047
BA2441    TRUE        3.029457
BA2514   FALSE        0.881468
BA2520   FALSE        0.071438
BA2479   FALSE        0.551651
BA2281   FALSE        5.853383
BA2932   FALSE        4.008725
BA2123   FALSE        4.834419
BA2844   FALSE        0.293436
BA2660   FALSE        3.751662
BA2836   FALSE        1.905918
BA2714   FALSE        3.811787
BA2440   FALSE        1.595846
BA2036   FALSE       20.616390
BA2828   FALSE        4.861177
BA2952   FALSE        2.302190
BA2410   FALSE        5.921361
BA2139   FALSE        0.054491
BA2051   FALSE        0.378718
BA2532   FALSE        5.774534
BA2494    TRUE       18.163210
BA2748   FALSE        3.092704
BA2622   FALSE        0.725879
BA2970    TRUE        1.387198
BA2839    TRUE        2.672673
BA2868   FALSE       13.106295
BA3011   FALSE        4.358851
BA2052   FALSE        0.224004
BA2510   FALSE        0.031990
BA2691   FALSE        0.070102
BA2374   FALSE        2.452456
BA2804    TRUE        0.775701
BA2675   FALSE        7.537955
BA2031   FALSE        0.381725
BA2198   FALSE        2.318253
BA2066   FALSE        0.375309
BA2344   FALSE        4.781863
BA2459   FALSE        1.830827
BA2229    TRUE        2.152618
BA2559   FALSE        2.261046
BA2093   FALSE       15.424579
BA2000   FALSE        2.790375
BA2425   FALSE       16.953940
BA2905    TRUE        3.309723
BA2304   FALSE        0.000000
BA2976    TRUE        1.545160
BA2386   FALSE       11.782710
BA2035   FALSE       10.266293
BA2760   FALSE        1.257442
BA2201   FALSE        2.078899
BA2355   FALSE        0.392073
BA2113   FALSE        1.681570
BA2955   FALSE        0.237123
BA2322   FALSE        2.412105
BA2020   FALSE        3.148083
BA2226   FALSE        2.945219
BA2376   FALSE        0.227002
BA2889   FALSE        0.000000
BA2121   FALSE        1.064724
BA2944   FALSE        5.320183
BA2033    TRUE        1.409906
BA2867    TRUE        1.365372
BA2089    TRUE        0.102575
BA2224    TRUE        2.115930
BA2046   FALSE        2.326688
BA2972   FALSE        1.332682
BA2978   FALSE        0.636764
BA2851   FALSE        1.568521
BA2587   FALSE        0.515656
BA2024   FALSE        0.662838
BA2426   FALSE        2.065328
BA2271   FALSE        0.505297
BA3004   FALSE        5.032316
BA3010    TRUE        0.967814
BA2662   FALSE        0.640016
BA2658   FALSE        0.090557
BA2512   FALSE        0.047732
BA2109   FALSE        0.407713
BA2242   FALSE        3.993507
BA2132   FALSE        4.184641
BA2846   FALSE        2.463676
BA2521   FALSE        3.638687
BA2885   FALSE        0.048617
BA2639   FALSE        3.575287
BA2775   FALSE        7.914170
BA2402   FALSE        3.595060
BA2097    TRUE        2.071086
BA2399   FALSE        4.792619
BA2174   FALSE        1.884977
BA3001   FALSE        8.342334
BA2911   FALSE        4.357532
BA2311   FALSE        0.202840
BA3040   FALSE        2.292290
BA2724   FALSE        1.101263
BA2821   FALSE        0.739606
BA2233   FALSE        1.970590
BA2744    TRUE        6.532230
BA2501   FALSE        3.201668
BA2301   FALSE        0.542258
BA2880   FALSE        0.297915
BA2621   FALSE        0.399026
BA2866   FALSE        2.063896
BA2212    TRUE        0.780190
BA2477   FALSE        2.888667
BA2685    TRUE        3.193813
BA2273    TRUE        6.356175
BA2124   FALSE        3.294583
BA2400   FALSE        2.537782
BA2762   FALSE        1.870000
BA2312   FALSE        2.688152
BA2813   FALSE        3.032143
BA2211   FALSE        9.936884
BA2171   FALSE        3.214499
BA2746   FALSE        0.512700
BA2798    TRUE        6.986804
BA2588   FALSE        4.777115
BA2296   FALSE        1.920401
BA2300   FALSE        1.589768
BA2545   FALSE        0.800651
BA2840    TRUE       15.378970
BA2528   FALSE        2.007140
BA2646   FALSE        3.620115
BA3067    TRUE       21.578921
BA2926   FALSE        1.925166
BA2272   FALSE        1.282016
BA2306   FALSE        0.807709
BA2726   FALSE        0.000000
BA2234   FALSE        0.035452
BA2022   FALSE        4.580651
BA2037   FALSE        6.694365
BA2184   FALSE        6.438340
BA3009   FALSE        3.682049
BA2442   FALSE        5.021667
BA2882   FALSE        0.239088
BA2347    TRUE        0.116875
BA2570   FALSE        1.160062
BA2721   FALSE        1.912640
BA2728    TRUE        2.470050
BA2098   FALSE        0.378177
BA2951    TRUE        7.283012
BA2778   FALSE        0.069215
BA3153   FALSE        6.199725
BA2820    TRUE        1.093600
BA2704   FALSE        5.514875
BA2584   FALSE        0.086784
BA3079   FALSE        2.689727
BA2361   FALSE        0.346400
BA2472   FALSE        0.583575
BA2047   FALSE        5.466667
BA2101   FALSE        0.901521
BA2082   FALSE        0.378173
BA2456   FALSE        0.035381
BA2175   FALSE        2.007742
BA2507   FALSE        1.597991
BA2563   FALSE        5.698269
BA2984   FALSE        3.983995
BA2414   FALSE        2.051441
BA2697    TRUE        0.348237
BA2644   FALSE        2.132257
BA2011   FALSE        1.460326
BA2217   FALSE        4.991248
BA2454   FALSE       23.578991
BA2776    TRUE        4.824499
BA2135   FALSE        0.451958
BA2914   FALSE        5.270813
BA2500   FALSE        1.896029
BA3108   FALSE        5.191944
BA2303   FALSE        0.884763
BA2160   FALSE        4.830897
BA2590   FALSE        3.414800
BA3195    TRUE        2.565099
BA3036    TRUE        6.557427
BA2971    TRUE        7.641464
BA3410   FALSE        1.671445
BA3118   FALSE        1.271486
BA3206   FALSE        1.418033
BA3217   FALSE        4.059904
BA3405   FALSE        1.942398
BA3306   FALSE        3.821797
BA3413   FALSE        4.909421
BA3411    TRUE        0.577459
BA3133    TRUE       11.835558
BA3451   FALSE        0.229683
BA3286   FALSE        1.189647
BA3212   FALSE       18.774071
BA3103   FALSE        0.807582
BA3271   FALSE        1.995112
BA3152   FALSE        0.224077
BA3095   FALSE        5.473493
BA3251   FALSE        2.649297
BA3362   FALSE        0.000018
BA3135   FALSE        2.629332
BA3408    TRUE        0.172142
BA3098   FALSE        2.540240
BA3435   FALSE        4.230143
BA3261   FALSE        0.390655
BA3203   FALSE        1.804011
BA3299   FALSE        0.512414
BA3347   FALSE        0.056620
BA3126   FALSE        0.053561
BA3418    TRUE        3.391147
BA3245    TRUE        2.263882
BA3085   FALSE        3.858204
BA3171   FALSE        3.639721
BA3277   FALSE        3.438764
BA3157   FALSE        2.512270
BA3433   FALSE        6.776886
BA3374   FALSE        0.032855
BA3450   FALSE        1.940151
BA3167   FALSE        0.000000
BA3269   FALSE        1.582531
BA3110 unknown        0.045122
BA3156   FALSE        5.096849
BA3226   FALSE        6.521528
BA3421   FALSE        1.716448
BA3232   FALSE        5.930521
BA3289   FALSE        0.305502
BA3430   FALSE        0.129770
BA3384   FALSE        3.706480
BA3427   FALSE        6.941640
BA3449    TRUE       10.888348
BA3163   FALSE        0.140629
BA3158   FALSE        5.417007
BA3436   FALSE       22.881622
BA3154   FALSE        0.000000
BA3162   FALSE        1.366324
BA3352   FALSE        1.309585
BA3084   FALSE        0.821570
BA3149   FALSE        0.057842
BA3169   FALSE        0.120027
BA3180   FALSE        2.448689
BA3255   FALSE        4.467158
BA3438   FALSE        0.034264
BA3345    TRUE        0.118059
BA3431   FALSE        1.169089
BA3181   FALSE        0.781628
BA3341   FALSE        3.545261
BA3191   FALSE        3.304156
BA3197   FALSE       12.755504
BA3448   FALSE        4.186429
BA3453   FALSE        2.489920
BA3406   FALSE        4.130375
BA3334   FALSE        0.204564
BA3447   FALSE        0.346688
BA3116   FALSE        0.154101
BA3280   FALSE        3.661800
BA3185   FALSE        0.084932
BA3094   FALSE        0.000000
BA3318   FALSE        1.272845
BA3216   FALSE        2.198100
BA3332   FALSE        4.623600
BA3373    TRUE        9.186140
BA3319   FALSE        1.959295
BA3328   FALSE       11.854129
BA3240    TRUE        8.238021
BA3142   FALSE        7.537788
BA3333    TRUE        3.263796
BA3381   FALSE        0.950204
BA3290    TRUE        6.891840
BA3207   FALSE        0.177421
BA3305   FALSE        2.531521
BA3434    TRUE        0.709769
BA3189   FALSE        3.086133
BA3264   FALSE        3.965772
BA3329    TRUE       12.930817
BA3225   FALSE        0.279312
BA3397   FALSE        0.306300
BA3311    TRUE        2.144215
BA3422   FALSE       16.702899
BA3213   FALSE        1.233793
BA3415   FALSE        2.201440
BA3270   FALSE        2.161847
BA3324   FALSE        3.653750
BA3335   FALSE        9.976426
BA3199   FALSE        3.329093
BA3326   FALSE        0.130674
BA3297   FALSE        5.159809
BA3227   FALSE       14.489775
BA3412   FALSE        0.025958
BA3250   FALSE        1.026954
BA3177   FALSE        1.281336
BA3315   FALSE        0.536770
BA3182   FALSE        1.113213
BA3369   FALSE        0.688003
BA3078   FALSE        1.312394
BA3386   FALSE        7.687401
BA3176   FALSE        3.674267
BA3258   FALSE        0.028945
BA3295   FALSE        2.719867
BA3136   FALSE        6.568879
BA3234   FALSE        0.274332
BA3087   FALSE        1.026249
BA3454   FALSE        4.481657
BA3302   FALSE        4.011897
BA3117   FALSE        3.670576
BA3266   FALSE        5.743266
BA3268   FALSE       12.842597
BA3229    TRUE        6.474551
BA3353   FALSE        3.134209
BA3312   FALSE        5.273606
BA3119   FALSE       12.814291
BA3219   FALSE        0.044092
BA3351   FALSE        1.463912
BA3357   FALSE       14.559453
BA3208    TRUE        3.673338
