#Boxplots d'expressions du gène KIT en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 3.852, p-value = 0.00044
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        4.497210
BA2496       1        0.798991
BA3037       1        1.890878
BA2865       1       11.387744
BA2751       1        0.352564
BA2055       1        2.928841
BA2286       1       16.704992
BA2488       1        6.823744
BA3379       1       13.414204
BA2887       1       11.561249
BA2712       2        0.000000
BA2068       2        2.691631
BA2104       1        0.000000
BA3124       1        2.575662
BA2449       1        5.138702
BA2235       1       12.023227
BA3038       1        8.323505
BA3006       3        0.677024
BA2667       1       15.496196
BA2239       1        0.981146
BA2782       3        1.211348
BA2649       1        3.373335
BA2861       1        6.588808
BA2134       1        3.711121
BA2909       1        3.435767
BA2653       1        0.149297
BA2947       1        6.133598
BA2162       1       10.777675
BA2564       1        2.431687
BA3043       1        1.331234
BA2597       4        1.228755
BA3243       2        5.216613
BA2446       1        0.187161
BA2525       4        0.441966
BA2876       4        1.569333
BA2357       2        1.354455
BA2546       1        3.426128
BA2742       1        0.328570
BA2316       1        0.238116
BA2087       2       13.734114
BA2148       2        6.628147
BA3178       3        4.574305
BA2072       1        4.832781
BA2733       2        4.193623
BA2995       2        2.008199
BA2069       1        0.919302
BA2681       3        3.495634
BA2832       2        5.926776
BA2600       4        1.321019
BA3230       1        3.550775
BA2731       2        1.337809
BA2294       4       12.850966
BA2816       4        0.810705
BA2814       3        0.469290
BA2631       1        5.613742
BA2023       1        0.000000
BA2375       1        3.369076
BA2485       1        6.995447
BA2455       4        0.105588
BA2636       4        1.222915
BA2325       1        0.515435
BA2156       1       13.233270
BA2511       4        0.306048
BA2505       4        5.756024
BA2871       3        2.241015
BA2227       1        1.730016
BA2812       3        0.000000
BA2125       1        4.585891
BA2603       1        2.842239
BA2808       4        2.301337
BA2482       1       10.705459
BA2594       1        4.576272
BA2747       4        3.152225
BA2561       3        0.142925
BA2567       3        0.262571
BA2906       1        2.152991
BA2956       2        2.166545
BA2474       1        4.917539
BA2737       2        0.248180
BA2006       2        0.327627
BA2110       1        0.381514
BA2915       4        0.459729
BA2992       4        0.398408
BA2220       1        0.567875
BA2063       2        0.151548
BA2772       2        1.785548
BA2935       4        2.236128
BA2260       3        0.337102
BA2948       3        6.394313
BA3296       1        0.726658
BA2524       4        6.870247
BA2811       1        0.769277
BA2540       4        1.811193
BA2928       1        2.443596
BA2302       4        3.807339
BA2651       4        2.456867
BA2619       1       14.708803
BA3013       4        0.508057
BA2405       3        0.692008
BA2856       3        0.775673
BA2377       2        2.354597
BA2499       2        7.818617
BA2350       2        0.000000
BA3023       4        3.002821
BA2095       1        1.089780
BA2275       1        4.580018
BA2901       2        0.418454
BA2387       1       13.911538
BA2962       1        2.417557
BA2195       4        5.420041
BA2688       2        1.205099
BA2420       1        7.153647
BA2053       2        5.096503
BA2081       1       10.014180
BA2354       1       21.257719
BA3273       2        0.000000
BA2893       3        2.607705
BA2044       1        8.671771
BA2489       2        2.190262
BA2908       1        6.549110
BA2054       3        0.746515
BA2872       1        3.298920
BA2041       2        2.276377
BA2464       1        6.848094
BA2902       4        1.375180
BA2541       1        7.923454
BA2843       4        6.415253
BA2497       1        0.000000
BA2718       1        9.139436
BA2575       1        1.689167
BA2593       3        0.931737
BA2791       2        3.207149
BA2620       1       10.298907
BA2629       1        3.909665
BA2870       1        0.299583
BA2682       4       10.221302
BA2276       2        1.104738
BA2709       2        2.922179
BA2789       1       17.329577
BA2538       2        1.580046
BA2583       5       13.124546
BA2806       2        8.046632
BA2441       1        4.412252
BA2514       2        2.278420
BA2520       5        0.641468
BA2479       5        0.563286
BA2281       1        2.228234
BA2932       1        9.277830
BA2123       2        5.326802
BA2844       2        7.331279
BA2660       1        1.756747
BA2836       2        5.110079
BA2714       1        8.486551
BA2440       5        2.715280
BA2036       3        1.634197
BA2828       1        9.545679
BA2952       1        1.162894
BA2410       2       10.235957
BA2139       3        0.000000
BA2051       5        1.036537
BA2532       2        1.700555
BA2494       5        3.765042
BA2748       1       12.579843
BA2622       1        1.413194
BA2970       2        2.791927
BA2839       2       10.512751
BA2868       3        5.492428
BA3011       1        0.532692
BA2052       2        2.008278
BA2510       5        3.843164
BA2691       1        0.139289
BA2374       1        3.077096
BA2804       5        1.875007
BA2675       1       10.188294
BA2031       1        0.458995
BA2198       3        3.278743
BA2066       1        1.906725
BA2344       3        1.522741
BA2459       2        0.555778
BA2229       5        4.476099
BA2559       5        0.542356
BA2093       1       11.237844
BA2000       3        6.326238
BA2425       1        1.489743
BA2905       5        6.619182
BA2304       3        0.108020
BA2976       1        0.728139
BA2386       2        2.603252
BA2035       1        2.260473
BA2760       5        1.240065
BA2201       1        2.187294
BA2355       5        0.957659
BA2113       1        6.542608
BA2955       1        0.272166
BA2322       1        3.936122
BA2020       3        1.196714
BA2226       1        1.071913
BA2376       1        0.130249
BA2889       1        0.107107
BA2121       1        0.329752
BA2944       3        1.794423
BA2033       5        0.595002
BA2867       2        7.025270
BA2089       1        0.118645
BA2224       1        7.233891
BA2046       2        1.846951
BA2972       1        3.123979
BA2978       1        0.385639
BA2851       1        7.020978
BA2587       1        4.824884
BA2024       1        0.907381
BA2426       5        2.088574
BA2271       1        0.000052
BA3004       1        2.085237
BA3010       6        0.245449
BA2662       1        0.689084
BA2658       1        0.766730
BA2512       3        0.082441
BA2109       1        0.335524
BA2242       1        0.687338
BA2132       6        1.381342
BA2846       1        3.246760
BA2521       1        3.206755
BA2885       1        0.310903
BA2639       1       14.475180
BA2775       3        0.368149
BA2402       1        3.576936
BA2097       4        3.125472
BA2399       2        2.735218
BA2174       1        1.873393
BA3001       1        3.334212
BA2911       1        3.631406
BA2311       2        0.383764
BA3040       4        6.801246
BA2724       2        0.714708
BA2821       1        7.409648
BA2233       4        1.332539
BA2744       1        1.103446
BA2501       3        1.085051
BA2301       5        0.073167
BA2880       5        0.949520
BA2621       6        0.148871
BA2866       4        2.386518
BA2212       2        2.191286
BA2477       1       10.260468
BA2685       6        1.615044
BA2273       6        5.122041
BA2124       3        2.880392
BA2400       1        8.362447
BA2762       2        3.390629
BA2312       3        4.929797
BA2813       5        1.903912
BA2211       1        1.454110
BA2171       1        1.975054
BA2746       5        0.388047
BA2798       6        3.468303
BA2588       1        3.903938
BA2296       1        5.288919
BA2300       3        3.931770
BA2545       1        1.326675
BA2840       1        1.136218
BA2528       1        2.429423
BA2646       1        4.074129
BA3067       1        1.298484
BA2926       3        2.700240
BA2272       1        3.175374
BA2306       6        0.828301
BA2726       1        0.000000
BA2234       1        0.106618
BA2022       3        1.585212
BA2037       1       22.653807
BA2184       1       10.241923
BA3009       1        1.699508
BA2442       3        2.525214
BA2882       1        0.267647
BA2347       6        0.000402
BA2570       2        5.488405
