#Boxplots d'expressions du gène KRAS en fonction de la feature analysisRnaSeq
#Résultat du test statistique Mann-Whitney : U = 2600.000, p-value = 0.02930
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       y        0.556087
BA2496       y        0.501530
BA3037       y        0.839314
BA2865       y        0.680636
BA2751       y        0.718791
BA2055       n        0.083341
BA2286       y        0.487917
BA2488       y        0.609321
BA3379       y        0.380648
BA2887       y        0.457218
BA2712       y        0.467035
BA2068       y        0.144580
BA2104       y        0.553754
BA3124       y        0.498774
BA2449       y        0.419159
BA2235       y        0.794654
BA3038       y        0.648582
BA3006       y        0.485895
BA2667       y        0.535552
BA2239       y        0.404559
BA2782       y        0.533028
BA2649       y        0.390901
BA2861       y        0.441158
BA2134       y        0.414248
BA2909       y        0.821777
BA2653       y        0.760710
BA2947       y        0.461524
BA2162       y        0.776600
BA2564       y        0.345776
BA3043       n        0.553350
BA2597       y        0.841275
BA3243       y        0.474565
BA2446       y        0.490995
BA2525       y        1.348686
BA2876       y        1.062465
BA2357       y        0.441531
BA2546       y        0.560103
BA2742       y        0.618889
BA2316       y        0.494446
BA2087       y        0.702190
BA2148       y        0.718139
BA3178       y        0.432199
BA2072       y        0.539139
BA2733       y        0.763624
BA2995       y        0.587736
BA2069       y        0.487889
BA2681       y        0.527020
BA2832       y        0.350666
BA2600       y        0.343297
BA3230       y        0.320487
BA2731       y        0.335829
BA2294       y        0.326378
BA2816       y        0.471836
BA2814       y        0.576309
BA2631       y        0.476286
BA2023       y        0.295766
BA2375       y        0.518798
BA2485       y        0.550363
BA2455       y        0.731515
BA2636       y        0.436089
BA2325       y        0.379209
BA2156       y        0.318681
BA2511       y        0.511492
BA2505       y        0.506396
BA2871       y        0.386570
BA2227       y        0.213590
BA2812       y        0.335475
BA2125       y        0.781549
BA2603       y        0.458234
BA2808       y        0.122205
BA2482       y        0.629484
BA2594       y        0.346103
BA2747       y        0.289246
BA2561       y        0.242615
BA2567       y        0.615034
BA2906       y        0.810982
BA2956       y        0.680454
BA2474       y        0.569346
BA2737       y        0.627560
BA2006       n        0.180589
BA2110       y        0.373645
BA2915       n        0.232797
BA2992       y        0.643308
BA2220       y        1.379243
BA2063       y        1.347967
BA2772       y        0.418313
BA2935       y        0.208987
BA2260       y        0.593064
BA2948       y        0.579605
BA3296       y        0.525202
BA2524       y        0.700345
BA2811       y        0.599668
BA2540       y        0.366188
BA2928       y        0.664049
BA2302       y        1.299030
BA2651       y        0.572277
BA2619       y        1.005467
BA3013       y        0.382502
BA2405       y        0.391178
BA2856       y        0.891317
BA2377       y        0.553463
BA2499       y        0.643552
BA2350       n        0.352493
BA3023       y        0.680341
BA2095       y        0.418850
BA2275       y        0.428746
BA2901       y        0.404259
BA2387       y        0.725625
BA2962       y        0.372584
BA2195       y        0.955582
BA2688       y        0.978120
BA2420       y        0.382998
BA2053       y        1.021211
BA2081       y        0.407484
BA2354       y        0.370248
BA3273       y        0.941048
BA2893       y        0.319558
BA2044       y        0.440712
BA2489       y        0.587127
BA2908       y        0.556443
BA2054       y        0.220834
BA2872       y        0.599619
BA2041       y        0.688682
BA2464       y        0.366063
BA2902       y        0.311730
BA2541       y        0.510717
BA2843       y        0.409281
BA2497       y        0.575782
BA2718       y        0.419568
BA2575       y        0.757114
BA2593       y        0.063929
BA2791       y        0.248335
BA2620       y        0.664932
BA2629       y        0.640776
BA2870       y        0.430097
BA2682       y        0.516810
BA2276       y        0.392889
BA2709       y        0.425412
BA2789       y        0.524710
BA2538       y        0.413694
BA2583       y        0.674756
BA2806       y        0.463063
BA2441       y        0.521702
BA2514       y        0.704414
BA2520       y        0.592580
BA2479       y        0.673283
BA2281       y        0.721092
BA2932       y        0.649046
BA2123       y        0.566334
BA2844       y        0.359078
BA2660       y        0.721916
BA2836       y        0.720576
BA2714       y        1.079243
BA2440       y        0.525707
BA2036       y        0.767999
BA2828       y        0.802283
BA2952       y        0.677958
BA2410       y        0.294559
BA2139       y        0.415432
BA2051       y        1.167948
BA2532       y        0.452563
BA2494       y        1.046099
BA2748       y        0.352448
BA2622       y        0.603114
BA2970       y        0.369837
BA2839       y        0.537538
BA2868       y        0.715915
BA3011       y        0.318981
BA2052       y        1.233843
BA2510       y        0.397202
BA2691       y        0.768402
BA2374       y        0.455807
BA2804       y        0.628677
BA2675       y        0.582769
BA2031       y        0.494846
BA2198       y        0.617991
BA2066       y        0.388010
BA2344       y        0.356745
BA2459       y        0.163253
BA2229       y        1.113976
BA2559       y        0.509573
BA2093       y        0.293636
BA2000       y        0.466214
BA2425       y        0.631692
BA2905       y        0.789745
BA2304       y        0.520962
BA2976       y        0.107161
BA2386       y        0.761133
BA2035       y        0.500178
BA2760       y        1.019238
BA2201       y        0.532161
BA2355       y        1.562844
BA2113       y        0.305958
BA2955       y        0.456389
BA2322       y        0.160184
BA2020       y        0.413677
BA2226       y        0.319369
BA2376       y        0.462862
BA2889       n        0.008013
BA2121       y        0.257332
BA2944       y        0.247425
BA2033       y        0.534339
BA2867       y        0.696642
BA2089       y        0.637544
BA2224       y        0.442183
BA2046       y        0.590265
BA2972       y        0.167969
BA2978       y        0.579678
BA2851       y        0.378370
BA2587       y        0.356734
BA2024       y        0.298699
BA2426       y        0.272219
BA2271       y        0.582772
BA3004       y        0.492240
BA3010       y        0.167709
BA2662       y        0.183551
BA2658       y        0.350032
BA2512       y        0.317867
BA2109       y        1.190926
BA2242       y        0.469736
BA2132       y        0.506631
BA2846       y        0.501638
BA2521       y        0.607079
BA2885       y        0.455467
BA2639       y        0.543906
BA2775       y        0.581114
BA2402       y        0.617655
BA2097       y        0.623163
BA2399       y        0.422901
BA2174       y        0.445309
BA3001       y        0.449725
BA2911       y        0.550296
BA2311       y        0.541655
BA3040       y        0.370936
BA2724       y        0.458230
BA2821       y        0.396964
BA2233       y        0.416469
BA2744       y        0.241985
BA2501       y        0.558771
BA2301       y        0.439164
BA2880       y        0.373938
BA2621       y        0.369306
BA2866       y        0.322274
BA2212       y        0.296958
BA2477       y        0.563941
BA2685       y        0.464964
BA2273       y        0.403864
BA2124       y        0.384188
BA2400       y        0.395141
BA2762       y        0.421870
BA2312       y        0.523843
BA2813       y        0.329194
BA2211       y        0.611845
BA2171       y        0.457671
BA2746       y        0.335508
BA2798       y        0.688460
BA2588       y        0.360506
BA2296       y        0.280378
BA2300       y        0.734619
BA2545       y        0.431779
BA2840       y        0.375251
BA2528       y        0.300647
BA2646       y        0.401768
BA3067       n        0.710550
BA2926       y        0.345957
BA2272       y        0.346249
BA2306       y        0.248182
BA2726       y        0.585396
BA2234       y        0.452970
BA2022       y        0.612467
BA2037       y        0.505655
BA2184       y        0.327101
BA3009       y        0.340188
BA2442       y        0.503064
BA2882       y        0.376996
BA2347       n        0.572495
BA2570       y        0.981281
BA2721       y        0.756729
BA2728       y        0.965278
BA2098       y        0.280067
BA2951       y        0.321420
BA2778       y        0.383208
BA3153       y        1.286901
BA2820       y        0.510121
BA2704       y        0.400456
BA2584       y        0.287550
BA3079       y        0.269396
BA2361       y        0.348956
BA2472       y        0.317443
BA2047       y        0.452548
BA2101       y        0.415294
BA2082       y        0.367905
BA2456       y        0.683004
BA2175       y        0.427170
BA2507       y        0.289697
BA2563       y        0.488020
BA2984       y        0.280193
BA2414       y        0.310106
BA2697       y        0.404608
BA2644       y        0.284791
BA2011       y        0.365584
BA2217       y        0.273509
BA2454       y        0.481706
BA2776       y        0.553430
BA2135       y        0.269688
BA2914       y        0.598050
BA2500       y        0.359460
BA3108       y        0.586780
BA2303       y        0.616317
BA2160       y        0.549751
BA2590       y        0.685465
BA3195       y        0.528586
BA3036       y        0.592609
BA2971       y        1.005263
BA3410       y        0.585778
BA3118       y        0.791431
BA3206       y        0.468831
BA3217       y        0.376793
BA3405       y        0.601251
BA3306       y        0.852349
BA3413       y        0.367835
BA3411       y        0.379563
BA3133       y        0.999377
BA3451       y        0.849112
BA3286       y        0.540220
BA3212       y        0.915289
BA3103       y        0.500333
BA3271       y        0.633739
BA3152       y        0.621756
BA3095       y        0.546762
BA3251       y        0.382304
BA3362       y        0.637016
BA3135       y        1.054203
BA3408       y        0.941551
BA3098       y        0.935992
BA3435       y        0.478649
BA3261       y        0.497523
BA3203       y        0.494176
BA3299       y        0.706260
BA3347       y        0.331844
BA3126       y        0.424555
BA3418       y        0.863222
BA3245       y        0.827625
BA3085       y        0.564022
BA3171       y        0.916078
BA3277       y        1.825692
BA3157       y        0.406139
BA3433       y        1.077904
BA3374       y        0.502677
BA3450       y        1.281204
BA3167       y        0.617808
BA3269       y        1.245639
BA3110       y        0.848473
BA3156       y        0.475592
BA3226       y        0.563045
BA3421       y        0.486168
BA3232       y        0.710601
BA3289       y        0.421675
BA3430       y        0.335428
BA3384       y        0.688106
BA3427       y        0.692342
BA3449       y        0.987992
BA3163       y        0.622687
BA3158       y        0.368112
BA3436       y        0.394481
BA3154       y        1.815595
BA3162       y        0.515045
BA3352       y        0.539899
BA3084       y        0.599899
BA3149       y        0.682132
BA3169       y        0.619113
BA3180       y        0.802241
BA3255       y        0.655461
BA3438       y        0.453057
BA3345       y        0.380944
BA3431       y        0.596633
BA3181       y        0.462971
BA3341       y        1.043163
BA3191       y        0.689854
BA3197       y        0.616300
BA3448       y        0.523847
BA3453       y        1.165405
BA3406       y        0.589487
BA3334       y        0.431597
BA3447       y        0.199436
BA3116       y        0.547314
BA3280       y        0.564635
BA3185       y        1.167954
BA3094       y        0.459947
BA3318       y        0.942709
BA3216       y        0.553355
BA3332       y        0.366304
BA3373       y        0.925205
BA3319       y        0.753960
BA3328       y        0.638339
BA3240       y        0.614300
BA3142       y        0.286547
BA3333       y        0.561162
BA3381       y        0.564237
BA3290       y        0.455128
BA3207       y        0.668194
BA3305       y        0.427983
BA3434       y        0.495112
BA3189       y        0.857655
BA3264       y        0.660572
BA3329       y        0.509170
BA3225       y        0.454261
BA3397       y        0.405524
BA3311       y        0.822388
BA3422       y        0.542036
BA3213       y        0.387532
BA3415       y        0.604135
BA3270       y        0.521487
BA3324       y        1.048093
BA3335       y        0.640807
BA3199       y        0.362794
BA3326       y        0.453887
BA3297       y        0.706178
BA3227       y        0.543997
BA3412       y        0.358028
BA3250       y        0.777891
BA3177       y        0.784821
BA3315       y        0.595267
BA3182       y        0.684460
BA3369       y        0.758245
BA3078       y        0.711315
BA3386       y        0.529219
BA3176       y        0.315068
