#Boxplots d'expressions du gène NF1 en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 3.156, p-value = 0.00288
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        5.577842
BA2496       1        4.917210
BA3037       1        5.797580
BA2865       1        3.826433
BA2751       1        5.091813
BA2286       1        6.066810
BA2488       1        6.115498
BA3379       1        6.345485
BA2887       1        7.296871
BA2712       2        6.399795
BA2068       2        4.119379
BA2104       1        5.874184
BA3124       1        4.559847
BA2449       1        5.526135
BA2235       1        5.782659
BA3038       1        5.618543
BA3006       3        5.613672
BA2667       1        5.653358
BA2239       1        5.739734
BA2782       3        4.960565
BA2649       1        5.668965
BA2861       1        6.025373
BA2134       1        4.678519
BA2909       1        4.937870
BA2653       1        5.179885
BA2947       1        5.192707
BA2162       1        5.704115
BA2564       1        5.370496
BA2597       4        4.839692
BA3243       2        5.852216
BA2446       1        4.895562
BA2525       4        4.967904
BA2876       4        4.659021
BA2357       2        5.693331
BA2546       1        5.025864
BA2742       1        5.718758
BA2316       1        5.769580
BA2087       2        5.193067
BA2148       2        5.643897
BA3178       3        4.670684
BA2072       1        5.264227
BA2733       2        5.248295
BA2995       2        4.668924
BA2069       1        4.626774
BA2681       3        5.159914
BA2832       2        5.056129
BA2600       4        5.898407
BA3230       1        5.711381
BA2731       2        5.699930
BA2294       4        5.792436
BA2816       4        4.980903
BA2814       3        4.754486
BA2631       1        5.421982
BA2023       1        4.782232
BA2375       1        5.581951
BA2485       1        5.811221
BA2455       4        5.068462
BA2636       4        5.205808
BA2325       1        5.767602
BA2156       1        5.962644
BA2511       4        4.498130
BA2505       4        5.669755
BA2871       3        4.562413
BA2227       1        5.905559
BA2812       3        4.712288
BA2125       1        2.839958
BA2603       1        5.431858
BA2808       4        4.271172
BA2482       1        5.958490
BA2594       1        5.638985
BA2747       4        5.169964
BA2561       3        4.253385
BA2567       3        4.434619
BA2906       1        5.668965
BA2956       2        4.802155
BA2474       1        5.599245
BA2737       2        4.947374
BA2110       1        5.199059
BA2992       4        5.645379
BA2220       1        6.070982
BA2063       2        5.331376
BA2772       2        6.192998
BA2935       4        5.793212
BA2260       3        5.252127
BA2948       3        4.174870
BA3296       1        4.871328
BA2524       4        5.686097
BA2811       1        5.894006
BA2540       4        5.796403
BA2928       1        4.945953
BA2302       4        5.371962
BA2651       4        5.591016
