#Boxplots d'expressions du gène NRAS en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 65.664, p-value = 0.00000
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        6.668885
BA2496       1        6.878473
BA3037       1        7.811011
BA2865       1        7.046351
BA2751       1        6.772460
BA2286       1        7.330738
BA2488       1        7.240538
BA3379       1        7.000110
BA2887       1        7.418896
BA2712       2        7.505393
BA2068       2        7.491461
BA2104       1        7.449514
BA3124       1        6.575608
BA2449       1        8.061478
BA2235       1        7.046351
BA3038       1        6.892453
BA3006       3        6.739832
BA2667       1        6.659581
BA2239       1        6.673925
BA2782       3        6.708095
BA2649       1        7.278988
BA2861       1        7.121894
BA2134       1        6.794046
BA2909       1        6.827939
BA2653       1        7.600445
BA2947       1        7.431382
BA2162       1        6.402641
BA2564       1        7.183986
BA2597       4        8.129779
BA3243       2        6.999254
BA2446       1        6.912654
BA2525       4        7.203867
BA2876       4        7.772952
BA2357       2        7.079949
BA2546       1        6.981380
BA2742       1        6.897781
BA2316       1        6.820662
BA2087       2        8.164358
BA2148       2        8.087011
BA3178       3        6.923699
BA2072       1        6.984837
BA2733       2        8.238868
BA2995       2        8.459411
BA2069       1        6.794638
BA2681       3        6.895111
BA2832       2        7.268510
BA2600       4        7.656323
BA3230       1        6.592031
BA2731       2        7.672338
BA2294       4        7.424155
BA2816       4        7.474165
BA2814       3        7.048512
BA2631       1        7.076958
BA2023       1        6.978590
BA2375       1        7.029112
BA2485       1        6.729916
BA2455       4        7.793848
BA2636       4        7.458670
BA2325       1        7.620808
BA2156       1        7.009245
BA2511       4        7.473165
BA2505       4        7.652770
BA2871       3        7.739949
BA2227       1        7.868107
BA2812       3        6.516571
BA2125       1        6.962892
BA2603       1        6.643048
BA2808       4        7.951050
BA2482       1        7.108514
BA2594       1        7.336183
BA2747       4        7.144593
BA2561       3        6.378313
BA2567       3        6.731090
BA2906       1        7.246478
BA2956       2        8.514255
BA2474       1        7.028414
BA2737       2        8.274569
BA2110       1        7.014073
BA2992       4        7.886425
BA2220       1        7.288998
BA2063       2        6.941609
BA2772       2        7.739949
BA2935       4        7.593254
BA2260       3        7.313973
BA2948       3        7.666140
BA3296       1        6.592031
BA2524       4        8.529588
BA2811       1        7.646367
BA2540       4        7.729414
BA2928       1        6.807879
BA2302       4        8.076079
BA2651       4        7.941456
BA2619       1        7.514134
BA3013       4        7.148404
BA2405       3        7.624378
BA2856       3        6.732223
BA2377       2        8.403791
BA2499       2        7.537348
BA3023       4        8.145134
BA2095       1        7.424155
BA2275       1        6.820081
BA2901       2        7.510842
BA2387       1        7.159520
BA2962       1        7.455713
