#Boxplots d'expressions du gène NRAS en fonction de la feature priorMDSMoreThanTwoMths
#Résultat du test statistique Mann-Whitney : U = 4626.000, p-value = 0.00512
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       n        0.647026
BA2496       n        0.595237
BA3037       n        1.194370
BA2865       n        0.773983
BA2751       n        0.606607
BA2055       n        0.262821
BA2286       n        0.871446
BA2488       n        0.958803
BA3379       n        0.838036
BA2887       n        1.116683
BA2712       n        0.801481
BA2068       n        0.843861
BA2104       n        0.948945
BA3124       n        0.382089
BA2449       n        1.565653
BA2235       n        0.881234
BA3038       n        0.716092
BA3006       n        0.668961
BA2667       n        0.549462
BA2239       n        0.589834
BA2782       n        0.575217
BA2649       n        0.979346
BA2861       n        0.672025
BA2134       n        0.563501
BA2909       n        0.540624
BA2653       n        1.034474
BA2947       n        0.937333
BA2162       n        0.561672
BA2564       n        0.760508
BA3043       n        0.496916
BA2597       y        1.167638
BA3243       n        0.789886
BA2446       n        0.717691
BA2525       n        0.918788
BA2876       n        1.083445
BA2357       n        0.714991
BA2546       n        0.919233
BA2742       n        0.858579
BA2316       n        0.706589
BA2087       n        1.673329
BA2148       n        1.507648
BA3178       n        0.625349
BA2072       n        0.691304
BA2733       n        1.395233
BA2995       n        1.362538
BA2069       n        0.783498
BA2681       n        0.642904
BA2832       n        0.753978
BA2600       n        0.917109
BA3230       n        0.637432
BA2731       n        0.939148
BA2294       n        0.813112
BA2816       n        0.814178
BA2814       n        0.678192
BA2631       n        0.783502
BA2023       n        0.705139
BA2375       n        0.857198
BA2485       n        0.669223
BA2455       n        1.000948
BA2636       y        0.783116
BA2325       n        1.141749
BA2156       n        0.684111
BA2511       n        0.727124
BA2505       n        1.069612
BA2871       n        1.063666
BA2227       n        1.187127
BA2812       n        0.422617
BA2125       n        0.909735
BA2603       n        0.621133
BA2808       n        1.083748
BA2482       n        0.717770
BA2594       n        0.931112
BA2747       n        0.819460
BA2561       n        0.398464
BA2567       n        0.550512
BA2906       n        0.862388
BA2956       n        1.273740
BA2474       n        0.535026
BA2737       n        1.176101
BA2006       n        0.804560
BA2110       n        0.543720
BA2915       n        0.695470
BA2992       n        1.087496
BA2220       n        1.227676
BA2063       n        0.618808
BA2772       n        1.193855
BA2935       n        0.842848
BA2260       n        0.729107
BA2948       y        1.291671
BA3296       n        0.634230
BA2524       n        2.050327
BA2811       n        1.244296
BA2540       n        0.947787
BA2928       n        0.753703
BA2302       n        1.182041
BA2651       n        1.063874
BA2619       n        1.276359
BA3013       n        0.746750
BA2405       n        0.864703
BA2856       n        0.538892
BA2377       n        1.991966
BA2499       y        0.960475
BA2350       n        0.967947
BA3023       n        1.834032
BA2095       n        1.049926
BA2275       n        0.775972
BA2901       n        0.953841
BA2387       n        0.893476
BA2962       n        1.022880
BA2195       y        1.428611
BA2688       n        0.954240
BA2420       n        0.549441
BA2053       n        1.284719
BA2081       n        0.734388
BA2354       n        0.830587
BA3273       n        1.154855
BA2893       n        0.526799
BA2044       n        0.695995
BA2489       y        1.421051
BA2908       n        0.893414
BA2054       n        0.425915
BA2872       n        0.759579
BA2041       n        1.463313
BA2464       n        0.826352
BA2902       n        1.291366
BA2541       n        0.981006
BA2843       n        1.552971
BA2497       n        0.667341
BA2718       n        0.882104
BA2575       n        0.721258
BA2593       n        0.328839
BA2791       n        1.236726
BA2620       n        0.903566
BA2629       n        0.883156
BA2870       y        0.966193
BA2682       n        1.141766
BA2276       n        0.781547
BA2709       n        1.174192
BA2789       n        1.006877
BA2538       n        2.297559
BA2583       n        1.292569
BA2806       n        1.295129
BA2441       y        1.381124
BA2514       n        1.511798
BA2520       n        1.935194
BA2479       n        0.888706
BA2281       n        1.125199
BA2932       n        0.832805
BA2123       n        1.847713
BA2844       n        1.155015
BA2660       n        0.845562
BA2836       n        1.697419
BA2714       n        0.933191
BA2440       n        1.563292
BA2036       n        0.739674
BA2828       n        1.024082
BA2952       n        0.940823
BA2410       n        1.628877
BA2139       n        0.650990
BA2051       n        1.745460
BA2532       n        1.386783
BA2494       n        1.484778
BA2748       n        1.018631
BA2622       n        0.819923
BA2970       n        1.110661
BA2839       y        1.783523
BA2868       n        0.988395
BA3011       n        1.476724
BA2052       n        0.980642
BA2510       n        1.298073
BA2691       n        0.760353
BA2374       n        0.970678
BA2804       n        0.714379
BA2675       n        0.957349
BA2031       n        0.641952
BA2198       n        0.997313
BA2066       n        0.854907
BA2344       n        0.539868
BA2459       n        0.861433
BA2229       y        1.195537
BA2559       n        1.210722
BA2093       n        0.651530
BA2000       n        0.694929
BA2425       n        0.744155
BA2905       y        1.259011
BA2304       n        0.626668
BA2976       n        0.714451
BA2386       n        0.905876
BA2035       n        1.103013
BA2760       n        1.198412
BA2201       n        0.699770
BA2355       n        1.526674
BA2113       n        0.853573
BA2955       n        0.607782
BA2322       n        1.308886
BA2020       n        0.974780
BA2226       n        0.973302
BA2376       n        0.613887
BA2889       n        0.002180
BA2121       n        0.990307
BA2944       n        1.143073
BA2033       y        2.234436
BA2867       n        1.457649
BA2089       y        1.161014
BA2224       n        0.741967
BA2046       n        1.096964
BA2972       n        1.042865
BA2978       n        0.783809
BA2851       n        1.021564
BA2587       n        0.822663
BA2024       n        0.476344
BA2426       n        1.840291
BA2271       n        1.270540
BA3004       n        0.882601
BA3010       y        0.710664
BA2662       n        0.601251
BA2658       n        0.786018
BA2512       n        0.656683
BA2109       n        0.894831
BA2242       n        0.570176
BA2132       n        0.731503
BA2846       n        1.036204
BA2521       n        0.625011
BA2885       n        0.994234
BA2639       n        0.887345
BA2775       n        0.506771
BA2402       n        0.811956
BA2097       n        0.954001
BA2399       n        1.064671
BA2174       n        0.582672
BA3001       n        0.566434
BA2911       n        0.905048
BA2311       n        0.673720
